#separator:tab		
#separator:tab		
#separator:tab	
#separator:tab		
#separator:tab			
同日	[sound:k-0001_同日.mp3]<br>どうじつ <br> the same day
[sound:k-0004_毎日.mp3]	every day<br> <b>毎日</b> <br> (まいにち)
<b>毎日</b> <br> 毎日新聞を読みます。	[sound:s-0004_毎日新聞を読みます。.mp3] <br> まいにちしんぶんをよみます。 <br>I read the newspaper every day.
[sound:s-0004_毎日新聞を読みます。.mp3]	<b>毎日</b> <br> 毎日新聞を読みます。<br> まいにちしんぶんをよみます <br>I read the newspaper every day.
前日	[sound:k-0005_前日.mp3]<br>ぜんじつ, まえび <br> previous day, the day before
previous day, the day before	<b>前日<b> <br> ぜんじつ, まえび <br>[sound:k-0005_前日.mp3]
[sound:k-0005_前日.mp3]	previous day, the day before<br> <b>前日</b> <br> (ぜんじつ, まえび)
<b>前日</b> <br> 仕事の前日に準備をします。	[sound:s-0005_仕事の前日に準備をします。.mp3] <br> ぜんじつにしごとのぜんじつにじゅんびをします。 <br>I prepare the day before work.
[sound:s-0005_仕事の前日に準備をします。.mp3]	<b>前日</b> <br> 仕事の前日に準備をします。<br> ぜんじつにしごとのぜんじつにじゅんびをします <br>I prepare the day before work.
全日	[sound:k-0006_全日.mp3]<br>ぜんじつ <br> all days
all days	<b>全日<b> <br> ぜんじつ <br>[sound:k-0006_全日.mp3]
[sound:k-0006_全日.mp3]	all days<br> <b>全日</b> <br> (ぜんじつ)
<b>全日</b> <br> 彼は全日家で過ごしました。	[sound:s-0006_彼は全日家で過ごしました。.mp3] <br> かれはぜんじついえですごしました。 <br>He spent the whole day at home.
[sound:s-0006_彼は全日家で過ごしました。.mp3]	<b>全日</b> <br> 彼は全日家で過ごしました。<br> かれはぜんじついえですごしました <br>He spent the whole day at home.
日程	[sound:k-0007_日程.mp3]<br>にってい <br> schedule, program, programme, agenda
schedule, program, programme, agenda	<b>日程<b> <br> にってい <br>[sound:k-0007_日程.mp3]
[sound:k-0007_日程.mp3]	schedule, program, programme, agenda<br> <b>日程</b> <br> (にってい)
<b>日程</b> <br> 会議の日程を確認しました。	[sound:s-0007_会議の日程を確認しました。.mp3] <br> かいぎのにっていをかくにんしました。 <br>I confirmed the schedule for the meeting.
[sound:s-0007_会議の日程を確認しました。.mp3]	<b>日程</b> <br> 会議の日程を確認しました。<br> かいぎのにっていをかくにんしました <br>I confirmed the schedule for the meeting.
日本語	[sound:k-0008_日本語.mp3]<br>にほんご, にっぽんご <br> Japanese (language)
Japanese (language)	<b>日本語<b> <br> にほんご, にっぽんご <br>[sound:k-0008_日本語.mp3]
[sound:k-0008_日本語.mp3]	Japanese<br> <b>language) (日本語</b> <br> (にほんご, にっぽんご)
<b>日本語</b> <br> 日本語を勉強しています。	[sound:s-0008_日本語を勉強しています。.mp3] <br> にほんごをべんきょうしています。 <br>I am studying Japanese.
[sound:s-0008_日本語を勉強しています。.mp3]	<b>日本語</b> <br> 日本語を勉強しています。<br> にほんごをべんきょうしています <br>I am studying Japanese.
今日	[sound:k-0009_今日.mp3]<br>こんにち, きょう, こんち, こんじつ <br> today, this day
today, this day	<b>今日<b> <br> こんにち, きょう, こんち, こんじつ <br>[sound:k-0009_今日.mp3]
[sound:k-0009_今日.mp3]	today, this day<br> <b>今日</b> <br> (こんにち, きょう, こんち, こんじつ)
<b>今日</b> <br> 今日はいい天気ですね。	[sound:s-0009_今日はいい天気ですね。.mp3] <br> きょうはいいてんきですね。 <br>The weather is nice today.
[sound:s-0009_今日はいい天気ですね。.mp3]	<b>今日</b> <br> 今日はいい天気ですね。<br> きょうはいいてんきですね <br>The weather is nice today.
一つ	[sound:k-0010_一つ.mp3]<br>ひとつ <br> one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. "just try it")
one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. "just try it")	<b>一つ<b> <br> ひとつ <br>[sound:k-0010_一つ.mp3]
[sound:k-0010_一つ.mp3]	one; for one thing<br> <b>often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. "just try it") (一つ</b> <br> (ひとつ)
<b>一つ</b> <br> プレゼントを一つもらいました。	[sound:s-0010_プレゼントを一つもらいました。.mp3] <br> プレゼントをひとつもらいました。 <br>I received one present.
[sound:s-0010_プレゼントを一つもらいました。.mp3]	<b>一つ</b> <br> プレゼントを一つもらいました。<br> プレゼントをひとつもらいました <br>I received one present.
一月	[sound:k-0011_一月.mp3]<br>いちがつ <br> January
January	<b>一月<b> <br> いちがつ <br>[sound:k-0011_一月.mp3]
[sound:k-0011_一月.mp3]	January<br> <b>一月</b> <br> (いちがつ)
<b>一月</b> <br> 一月に新しい仕事を始めます。	[sound:s-0011_一月に新しい仕事を始めます。.mp3] <br> いちがつにあたらしいしごとをはじめます。 <br>I will start a new job in January.
[sound:s-0011_一月に新しい仕事を始めます。.mp3]	<b>一月</b> <br> 一月に新しい仕事を始めます。<br> いちがつにあたらしいしごとをはじめます <br>I will start a new job in January.
一般	[sound:k-0012_一般.mp3]<br>いっぱん <br> general, liberal, universal, ordinary, average
general, liberal, universal, ordinary, average	<b>一般<b> <br> いっぱん <br>[sound:k-0012_一般.mp3]
[sound:k-0012_一般.mp3]	general, liberal, universal, ordinary, average<br> <b>一般</b> <br> (いっぱん)
<b>一般</b> <br> この本は一般の読者向けです。	[sound:s-0012_この本は一般の読者向けです。.mp3] <br> このほんはいっぱんのどくしゃむけです。 <br>This book is for general readers.
[sound:s-0012_この本は一般の読者向けです。.mp3]	<b>一般</b> <br> この本は一般の読者向けです。<br> このほんはいっぱんのどくしゃむけです <br>This book is for general readers.
一番	[sound:k-0013_一番.mp3]<br>いちばん <br> best, first, number one; game, round, bout, fall, event (in a meet)
best, first, number one; game, round, bout, fall, event (in a meet)	<b>一番<b> <br> いちばん <br>[sound:k-0013_一番.mp3]
[sound:k-0013_一番.mp3]	best, first, number one; game, round, bout, fall, event<br> <b>in a meet) (一番</b> <br> (いちばん)
<b>一番</b> <br> 彼はいつも一番に到着します。	[sound:s-0013_彼はいつも一番に到着します。.mp3] <br> かれはいつもいちばんにとうちゃくします。 <br>He always arrives first.
[sound:s-0013_彼はいつも一番に到着します。.mp3]	<b>一番</b> <br> 彼はいつも一番に到着します。<br> かれはいつもいちばんにとうちゃくします <br>He always arrives first.
一部	[sound:k-0014_一部.mp3]<br>いちぶ <br> one part, one portion, one section, some; one copy (e.g. of a document)
one part, one portion, one section, some; one copy (e.g. of a document)	<b>一部<b> <br> いちぶ <br>[sound:k-0014_一部.mp3]
[sound:k-0014_一部.mp3]	one part, one portion, one section, some; one copy<br> <b>e.g. of a document) (一部</b> <br> (いちぶ)
<b>一部</b> <br> この映画は一部が実話に基づいています。	[sound:s-0014_この映画は一部が実話に基づいています。.mp3] <br> このえいがはいちぶがじつわにもとづいています。 <br>This movie is based on a true story in part.
[sound:s-0014_この映画は一部が実話に基づいています。.mp3]	<b>一部</b> <br> この映画は一部が実話に基づいています。<br> このえいがはいちぶがじつわにもとづいています <br>This movie is based on a true story in part.
一方	[sound:k-0015_一方.mp3]<br>いっぽう <br> one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only
one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only	<b>一方<b> <br> いっぽう <br>[sound:k-0015_一方.mp3]
[sound:k-0015_一方.mp3]	one<br> <b>esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only (一方</b> <br> (いっぽう)
<b>一方</b> <br> 私たちは一方的な決定をしたくありません。	[sound:s-0015_私たちは一方的な決定をしたくありません。.mp3] <br> わたしたちはいっぽうてきなけっていをしたくありません。 <br>We don't want to make unilateral decisions.
[sound:s-0015_私たちは一方的な決定をしたくありません。.mp3]	<b>一方</b> <br> 私たちは一方的な決定をしたくありません。<br> わたしたちはいっぽうてきなけっていをしたくありません <br>We don't want to make unilateral decisions.
十一	[sound:k-0016_十一.mp3]<br>じゅういち, ジュウイチ <br> 11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)
11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)	<b>十一<b> <br> じゅういち, ジュウイチ <br>[sound:k-0016_十一.mp3]
[sound:k-0016_十一.mp3]	11, eleven; Hodgson's hawk-cuckoo<br> <b>Cuculus fugax) (十一</b> <br> (じゅういち, ジュウイチ)
<b>十一</b> <br> 彼女の誕生日は十一月です。	[sound:s-0016_彼女の誕生日は十一月です。.mp3] <br> かのじょのたんじょうびはじゅういちがつです。 <br>Her birthday is in November.
[sound:s-0016_彼女の誕生日は十一月です。.mp3]	<b>十一</b> <br> 彼女の誕生日は十一月です。<br> かのじょのたんじょうびはじゅういちがつです <br>Her birthday is in November.
十一月	[sound:k-0017_十一月.mp3]<br>じゅういちがつ <br> November
November	<b>十一月<b> <br> じゅういちがつ <br>[sound:k-0017_十一月.mp3]
[sound:k-0017_十一月.mp3]	November<br> <b>十一月</b> <br> (じゅういちがつ)
<b>十一月</b> <br> 十一月は秋の深まる季節です。	[sound:s-0017_十一月は秋の深まる季節です。.mp3] <br> じゅういちがつはあきのふかまるきせつです。 <br>November is a season when autumn deepens.
[sound:s-0017_十一月は秋の深まる季節です。.mp3]	<b>十一月</b> <br> 十一月は秋の深まる季節です。<br> じゅういちがつはあきのふかまるきせつです <br>November is a season when autumn deepens.
統一	[sound:k-0018_統一.mp3]<br>とういつ <br> unity, consolidation, uniformity, unification, compatible
unity, consolidation, uniformity, unification, compatible	<b>統一<b> <br> とういつ <br>[sound:k-0018_統一.mp3]
[sound:k-0018_統一.mp3]	unity, consolidation, uniformity, unification, compatible<br> <b>統一</b> <br> (とういつ)
<b>統一</b> <br> 国家の統一を目指しています。	[sound:s-0018_国家の統一を目指しています。.mp3] <br> こっかのとういつをめざしています。 <br>We aim for national unity.
[sound:s-0018_国家の統一を目指しています。.mp3]	<b>統一</b> <br> 国家の統一を目指しています。<br> こっかのとういつをめざしています <br>We aim for national unity.
一時	[sound:k-0019_一時.mp3]<br>いちじ, いっとき <br> one hour, short time, once, a time, temporarily, at one time, twelfth part of a day
one hour, short time, once, a time, temporarily, at one time, twelfth part of a day	<b>一時<b> <br> いちじ, いっとき <br>[sound:k-0019_一時.mp3]
[sound:k-0019_一時.mp3]	one hour, short time, once, a time, temporarily, at one time, twelfth part of a day<br> <b>一時</b> <br> (いちじ, いっとき)
<b>一時</b> <br> 電車が一時停止しました。	[sound:s-0019_電車が一時停止しました。.mp3] <br> でんしゃがいちじていしした。 <br>The train stopped temporarily.
[sound:s-0019_電車が一時停止しました。.mp3]	<b>一時</b> <br> 電車が一時停止しました。<br> でんしゃがいちじていしした <br>The train stopped temporarily.
国	[sound:k-0020_国.mp3]<br>くに <br> country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth
country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth	<b>国<b> <br> くに <br>[sound:k-0020_国.mp3]
[sound:k-0020_国.mp3]	country,<br> <b>the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth (国</b> <br> (くに)
<b>国</b> <br> 日本は美しい国です。	[sound:s-0020_日本は美しい国です。.mp3] <br> にほんはうつくしいくにです。 <br>Japan is a beautiful country.
[sound:s-0020_日本は美しい国です。.mp3]	<b>国</b> <br> 日本は美しい国です。<br> にほんはうつくしいくにです <br>Japan is a beautiful country.
外国	[sound:k-0021_外国.mp3]<br>がいこく <br> foreign country
foreign country	<b>外国<b> <br> がいこく <br>[sound:k-0021_外国.mp3]
[sound:k-0021_外国.mp3]	foreign country<br> <b>外国</b> <br> (がいこく)
<b>外国</b> <br> 外国に旅行したいです。	[sound:s-0021_外国に旅行したいです。.mp3] <br> がいこくにりょこうしたいです。 <br>I want to travel abroad.
[sound:s-0021_外国に旅行したいです。.mp3]	<b>外国</b> <br> 外国に旅行したいです。<br> がいこくにりょこうしたいです <br>I want to travel abroad.
外国人	[sound:k-0022_外国人.mp3]<br>がいこくじん <br> foreigner
foreigner	<b>外国人<b> <br> がいこくじん <br>[sound:k-0022_外国人.mp3]
[sound:k-0022_外国人.mp3]	foreigner<br> <b>外国人</b> <br> (がいこくじん)
<b>外国人</b> <br> 外国人と友達になりたいです。	[sound:s-0022_外国人と友達になりたいです。.mp3] <br> がいこくじんとともだちになりたいです。 <br>I want to become friends with foreigners.
[sound:s-0022_外国人と友達になりたいです。.mp3]	<b>外国人</b> <br> 外国人と友達になりたいです。<br> がいこくじんとともだちになりたいです <br>I want to become friends with foreigners.
韓国	[sound:k-0023_韓国.mp3]<br>かんこく <br> (South) Korea
(South) Korea	<b>韓国<b> <br> かんこく <br>[sound:k-0023_韓国.mp3]
[sound:k-0023_韓国.mp3]	(South) Korea<br> <b>韓国</b> <br> (かんこく)
<b>韓国</b> <br> 韓国の文化に興味があります。	[sound:s-0023_韓国の文化に興味があります。.mp3] <br> かんこくのぶんかにきょうみがあります。 <br>I am interested in Korean culture.
[sound:s-0023_韓国の文化に興味があります。.mp3]	<b>韓国</b> <br> 韓国の文化に興味があります。<br> かんこくのぶんかにきょうみがあります <br>I am interested in Korean culture.
国家	[sound:k-0024_国家.mp3]<br>こっか <br> state, country, nation
state, country, nation	<b>国家<b> <br> こっか <br>[sound:k-0024_国家.mp3]
[sound:k-0024_国家.mp3]	state, country, nation<br> <b>国家</b> <br> (こっか)
<b>国家</b> <br> 国家の安全が最優先です。	[sound:s-0024_国家の安全が最優先です。.mp3] <br> こっかのあんぜんがさいゆうせんです。 <br>National security is the top priority.
[sound:s-0024_国家の安全が最優先です。.mp3]	<b>国家</b> <br> 国家の安全が最優先です。<br> こっかのあんぜんがさいゆうせんです <br>National security is the top priority.
国会	[sound:k-0025_国会.mp3]<br>こっかい <br> National Diet, parliament, congress
National Diet, parliament, congress	<b>国会<b> <br> こっかい <br>[sound:k-0025_国会.mp3]
[sound:k-0025_国会.mp3]	National Diet, parliament, congress<br> <b>国会</b> <br> (こっかい)
<b>国会</b> <br> 国会で法律が制定されました。	[sound:s-0025_国会で法律が制定されました。.mp3] <br> こっかいでほうりつがせいていされました。 <br>A law was enacted in the Diet.
[sound:s-0025_国会で法律が制定されました。.mp3]	<b>国会</b> <br> 国会で法律が制定されました。<br> こっかいでほうりつがせいていされました <br>A law was enacted in the Diet.
国際	[sound:k-0026_国際.mp3]<br>こくさい <br> international
international	<b>国際<b> <br> こくさい <br>[sound:k-0026_国際.mp3]
[sound:k-0026_国際.mp3]	international<br> <b>国際</b> <br> (こくさい)
<b>国際</b> <br> 国際交流イベントに参加しました。	[sound:s-0026_国際交流イベントに参加しました。.mp3] <br> こくさいこうりゅうイベントにさんかしました。 <br>I participated in an international exchange event.
[sound:s-0026_国際交流イベントに参加しました。.mp3]	<b>国際</b> <br> 国際交流イベントに参加しました。<br> こくさいこうりゅうイベントにさんかしました <br>I participated in an international exchange event.
国内	[sound:k-0027_国内.mp3]<br>こくない <br> internal, domestic
internal, domestic	<b>国内<b> <br> こくない <br>[sound:k-0027_国内.mp3]
[sound:k-0027_国内.mp3]	internal, domestic<br> <b>国内</b> <br> (こくない)
<b>国内</b> <br> 国内旅行を計画しています。	[sound:s-0027_国内旅行を計画しています。.mp3] <br> こくないりょこうをけいかくしています。 <br>I am planning a domestic trip.
[sound:s-0027_国内旅行を計画しています。.mp3]	<b>国内</b> <br> 国内旅行を計画しています。<br> こくないりょこうをけいかくしています <br>I am planning a domestic trip.
国民	[sound:k-0028_国民.mp3]<br>こくみん <br> nation, nationality, people, citizen
nation, nationality, people, citizen	<b>国民<b> <br> こくみん <br>[sound:k-0028_国民.mp3]
[sound:k-0028_国民.mp3]	nation, nationality, people, citizen<br> <b>国民</b> <br> (こくみん)
<b>国民</b> <br> 国民の声を聞かなければなりません。	[sound:s-0028_国民の声を聞かなければなりません。.mp3] <br> こくみんのこえをきかなければなりません。 <br>We must listen to the voice of the people.
[sound:s-0028_国民の声を聞かなければなりません。.mp3]	<b>国民</b> <br> 国民の声を聞かなければなりません。<br> こくみんのこえをきかなければなりません <br>We must listen to the voice of the people.
国連	[sound:k-0029_国連.mp3]<br>こくれん <br> UN, United Nations
UN, United Nations	<b>国連<b> <br> こくれん <br>[sound:k-0029_国連.mp3]
[sound:k-0029_国連.mp3]	UN, United Nations<br> <b>国連</b> <br> (こくれん)
<b>国連</b> <br> 国連の総会が開催されました。	[sound:s-0029_国連の総会が開催されました。.mp3] <br> こくれんのそうかいがかいさいされました。 <br>The United Nations General Assembly was held.
[sound:s-0029_国連の総会が開催されました。.mp3]	<b>国連</b> <br> 国連の総会が開催されました。<br> こくれんのそうかいがかいさいされました <br>The United Nations General Assembly was held.
委員会	[sound:k-0030_委員会.mp3]<br>いいんかい <br> committee, commission, board, panel, committee meeting
committee, commission, board, panel, committee meeting	<b>委員会<b> <br> いいんかい <br>[sound:k-0030_委員会.mp3]
[sound:k-0030_委員会.mp3]	committee, commission, board, panel, committee meeting<br> <b>委員会</b> <br> (いいんかい)
<b>委員会</b> <br> 委員会で議論が行われました。	[sound:s-0030_委員会で議論が行われました。.mp3] <br> いいんかいでぎろんがおこなわれました。 <br>Discussion took place in the committee.
[sound:s-0030_委員会で議論が行われました。.mp3]	<b>委員会</b> <br> 委員会で議論が行われました。<br> いいんかいでぎろんがおこなわれました <br>Discussion took place in the committee.
会員	[sound:k-0031_会員.mp3]<br>かいいん <br> member, the membership
member, the membership	<b>会員<b> <br> かいいん <br>[sound:k-0031_会員.mp3]
[sound:k-0031_会員.mp3]	member, the membership<br> <b>会員</b> <br> (かいいん)
<b>会員</b> <br> 彼はクラブの会員です。	[sound:s-0031_彼はクラブの会員です。.mp3] <br> かれはクラブのかいいんです。 <br>He is a member of the club.
[sound:s-0031_彼はクラブの会員です。.mp3]	<b>会員</b> <br> 彼はクラブの会員です。<br> かれはクラブのかいいんです <br>He is a member of the club.
会議	[sound:k-0032_会議.mp3]<br>かいぎ <br> meeting, conference, session, assembly, council, convention, congress
meeting, conference, session, assembly, council, convention, congress	<b>会議<b> <br> かいぎ <br>[sound:k-0032_会議.mp3]
[sound:k-0032_会議.mp3]	meeting, conference, session, assembly, council, convention, congress<br> <b>会議</b> <br> (かいぎ)
<b>会議</b> <br> 今日の会議は午後からです。	[sound:s-0032_今日の会議は午後からです。.mp3] <br> きょうのかいぎはごごからです。 <br>Today's meeting is in the afternoon.
[sound:s-0032_今日の会議は午後からです。.mp3]	<b>会議</b> <br> 今日の会議は午後からです。<br> きょうのかいぎはごごからです <br>Today's meeting is in the afternoon.
会見	[sound:k-0033_会見.mp3]<br>かいけん <br> interview, audience
interview, audience	<b>会見<b> <br> かいけん <br>[sound:k-0033_会見.mp3]
[sound:k-0033_会見.mp3]	interview, audience<br> <b>会見</b> <br> (かいけん)
<b>会見</b> <br> 首相が会見を行いました。	[sound:s-0033_首相が会見を行いました。.mp3] <br> しゅしょうがかいけんをおこないました。 <br>The Prime Minister held a press conference.
[sound:s-0033_首相が会見を行いました。.mp3]	<b>会見</b> <br> 首相が会見を行いました。<br> しゅしょうがかいけんをおこないました <br>The Prime Minister held a press conference.
会社	[sound:k-0034_会社.mp3]<br>かいしゃ <br> company, corporation; workplace
company, corporation; workplace	<b>会社<b> <br> かいしゃ <br>[sound:k-0034_会社.mp3]
[sound:k-0034_会社.mp3]	company, corporation; workplace<br> <b>会社</b> <br> (かいしゃ)
<b>会社</b> <br> あの会社は有名です。	[sound:s-0034_あの会社は有名です。.mp3] <br> あのかいしゃはゆうめいです。 <br>That company is famous.
[sound:s-0034_あの会社は有名です。.mp3]	<b>会社</b> <br> あの会社は有名です。<br> あのかいしゃはゆうめいです <br>That company is famous.
会談	[sound:k-0035_会談.mp3]<br>かいだん <br> conversation, conference, discussion, interview
conversation, conference, discussion, interview	<b>会談<b> <br> かいだん <br>[sound:k-0035_会談.mp3]
[sound:k-0035_会談.mp3]	conversation, conference, discussion, interview<br> <b>会談</b> <br> (かいだん)
<b>会談</b> <br> 外交官たちは会談を行った。	[sound:s-0035_外交官たちは会談を行った。.mp3] <br> がいこうかんたちはかいだんをおこなった。 <br>Diplomats held talks.
[sound:s-0035_外交官たちは会談を行った。.mp3]	<b>会談</b> <br> 外交官たちは会談を行った。<br> がいこうかんたちはかいだんをおこなった <br>Diplomats held talks.
会長	[sound:k-0036_会長.mp3]<br>かいちょう <br> president (of a society), chairman
president (of a society), chairman	<b>会長<b> <br> かいちょう <br>[sound:k-0036_会長.mp3]
[sound:k-0036_会長.mp3]	president<br> <b>of a society), chairman (会長</b> <br> (かいちょう)
<b>会長</b> <br> 彼はクラブの会長です。	[sound:s-0036_彼はクラブの会長です。.mp3] <br> かれはクラブのかいちょうです。 <br>He is the president of the club.
[sound:s-0036_彼はクラブの会長です。.mp3]	<b>会長</b> <br> 彼はクラブの会長です。<br> かれはクラブのかいちょうです <br>He is the president of the club.
議会	[sound:k-0037_議会.mp3]<br>ぎかい <br> Diet, congress, parliament
Diet, congress, parliament	<b>議会<b> <br> ぎかい <br>[sound:k-0037_議会.mp3]
[sound:k-0037_議会.mp3]	Diet, congress, parliament<br> <b>議会</b> <br> (ぎかい)
<b>議会</b> <br> 議会で法案が審議されます。	[sound:s-0037_議会で法案が審議されます。.mp3] <br> ぎかいでほうあんがしんぎされます。 <br>The bill will be deliberated in the parliament.
[sound:s-0037_議会で法案が審議されます。.mp3]	<b>議会</b> <br> 議会で法案が審議されます。<br> ぎかいでほうあんがしんぎされます <br>The bill will be deliberated in the parliament.
協会	[sound:k-0038_協会.mp3]<br>きょうかい <br> association, society, organization, organisation
association, society, organization, organisation	<b>協会<b> <br> きょうかい <br>[sound:k-0038_協会.mp3]
[sound:k-0038_協会.mp3]	association, society, organization, organisation<br> <b>協会</b> <br> (きょうかい)
<b>協会</b> <br> 環境保護協会に参加しました。	[sound:s-0038_環境保護協会に参加しました。.mp3] <br> かんきょうほごきょうかいにさんかしました。 <br>I participated in the environmental protection association.
[sound:s-0038_環境保護協会に参加しました。.mp3]	<b>協会</b> <br> 環境保護協会に参加しました。<br> かんきょうほごきょうかいにさんかしました <br>I participated in the environmental protection association.
国会	[sound:k-0039_国会.mp3]<br>こっかい <br> National Diet, parliament, congress
National Diet, parliament, congress	<b>国会<b> <br> こっかい <br>[sound:k-0039_国会.mp3]
[sound:k-0039_国会.mp3]	National Diet, parliament, congress<br> <b>国会</b> <br> (こっかい)
<b>国会</b> <br> 国会で法案が可決されました。	[sound:s-0039_国会で法案が可決されました。.mp3] <br> こっかいでほうあんがかけつされました。 <br>The bill was passed in the National Diet.
[sound:s-0039_国会で法案が可決されました。.mp3]	<b>国会</b> <br> 国会で法案が可決されました。<br> こっかいでほうあんがかけつされました <br>The bill was passed in the National Diet.
外国人	[sound:k-0040_外国人.mp3]<br>がいこくじん <br> foreigner
foreigner	<b>外国人<b> <br> がいこくじん <br>[sound:k-0040_外国人.mp3]
[sound:k-0040_外国人.mp3]	foreigner<br> <b>外国人</b> <br> (がいこくじん)
<b>外国人</b> <br> 外国人と友達になりたいです。	[sound:s-0040_外国人と友達になりたいです。.mp3] <br> がいこくじんとともだちになりたいです。 <br>I want to become friends with foreigners.
[sound:s-0040_外国人と友達になりたいです。.mp3]	<b>外国人</b> <br> 外国人と友達になりたいです。<br> がいこくじんとともだちになりたいです <br>I want to become friends with foreigners.
個人	[sound:k-0041_個人.mp3]<br>こじん <br> individual, private person, personal, private
individual, private person, personal, private	<b>個人<b> <br> こじん <br>[sound:k-0041_個人.mp3]
[sound:k-0041_個人.mp3]	individual, private person, personal, private<br> <b>個人</b> <br> (こじん)
<b>個人</b> <br> 私の意見は個人的なものです。	[sound:s-0041_私の意見は個人的なものです。.mp3] <br> わたしのいけんはこじんてきなものです。 <br>My opinion is personal.
[sound:s-0041_私の意見は個人的なものです。.mp3]	<b>個人</b> <br> 私の意見は個人的なものです。<br> わたしのいけんはこじんてきなものです <br>My opinion is personal.
三人	[sound:k-0042_三人.mp3]<br>さんにん, みたり <br> three people
three people	<b>三人<b> <br> さんにん, みたり <br>[sound:k-0042_三人.mp3]
[sound:k-0042_三人.mp3]	three people<br> <b>三人</b> <br> (さんにん, みたり)
<b>三人</b> <br> 三人でレストランに行きました。	[sound:s-0042_三人でレストランに行きました。.mp3] <br> さんにんでレストランにいきました。 <br>We went to a restaurant with three people.
[sound:s-0042_三人でレストランに行きました。.mp3]	<b>三人</b> <br> 三人でレストランに行きました。<br> さんにんでレストランにいきました <br>We went to a restaurant with three people.
人間	[sound:k-0043_人間.mp3]<br>にんげん <br> human being, man, person; character (of a person)
human being, man, person; character (of a person)	<b>人間<b> <br> にんげん <br>[sound:k-0043_人間.mp3]
[sound:k-0043_人間.mp3]	human being, man, person; character<br> <b>of a person) (人間</b> <br> (にんげん)
<b>人間</b> <br> 人間は常に成長します。	[sound:s-0043_人間は常に成長します。.mp3] <br> にんげんはつねにせいちょうします。 <br>Humans are always growing.
[sound:s-0043_人間は常に成長します。.mp3]	<b>人間</b> <br> 人間は常に成長します。<br> にんげんはつねにせいちょうします <br>Humans are always growing.
人気	[sound:k-0044_人気.mp3]<br>にんき <br> popular, popular feeling, business conditions
