#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>人口</b> <br> この国の人口は1000万人です。	[sound:s-0045_この国の人口は1000万人です。.mp3] <br> このくにのじんこうは1000まんにんです。 <br>The population of this country is 10 million people.
<b>日本人</b> <br> 日本人は礼儀正しいです。	[sound:s-0046_日本人は礼儀正しいです。.mp3] <br> にほんじんはれいぎただしいです。 <br>Japanese people are polite.
<b>人々</b> <br> 街には人々が集まっています。	[sound:s-0047_街には人々が集まっています。.mp3] <br> まちにはひとびとがあつまっています。 <br>People are gathering in the town.
<b>二人</b> <br> 二人で映画を見に行きました。	[sound:s-0048_二人で映画を見に行きました。.mp3] <br> ふたりでえいがをみにいきました。 <br>We went to see a movie with two people.
<b>証人</b> <br> 裁判に証人として呼ばれました。	[sound:s-0049_裁判に証人として呼ばれました。.mp3] <br> さいばんにしょうにんとしてよばれました。 <br>I was called as a witness in court.
<b>年</b> <br> 今年は良い年になりますように。	[sound:s-0050_今年は良い年になりますように。.mp3] <br> ことしはよいとしになりますように。 <br>I hope this year will be a good one.
<b>昨年</b> <br> 昨年は忙しい年でした。	[sound:s-0051_昨年は忙しい年でした。.mp3] <br> さくねんはいそがしいとしでした。 <br>Last year was a busy year.
<b>前年</b> <br> 前年の売上高を超えた。	[sound:s-0052_前年の売上高を超えた。.mp3] <br> ぜんねんのうりあげだいをこえた。 <br>We exceeded the sales of the previous year.
<b>年間</b> <br> 年間を通じて支援を行う。	[sound:s-0053_年間を通じて支援を行う。.mp3] <br> ねんかんをつうじてしえんをおこなう。 <br>Provide support throughout the year.
<b>来年</b> <br> 来年の計画を立てる。	[sound:s-0054_来年の計画を立てる。.mp3] <br> らいねんのけいかくをたてる。 <br>Make plans for next year.
<b>今年</b> <br> 今年は特に忙しいです。	[sound:s-0055_今年は特に忙しいです。.mp3] <br> ことしはとくにいそがしいです。 <br>This year is particularly busy.
<b>周年</b> <br> 結婚周年を祝う。	[sound:s-0056_結婚周年を祝う。.mp3] <br> けっこんしゅうねんをいわう。 <br>Celebrate wedding anniversary.
<b>少年</b> <br> 少年たちは公園で遊んでいる。	[sound:s-0057_少年たちは公園で遊んでいる。.mp3] <br> しょうねんたちはこうえんであそんでいる。 <br>The boys are playing in the park.
<b>年金</b> <br> 年金支給が増えました。	[sound:s-0058_年金支給が増えました。.mp3] <br> ねんきんしきゅうがふえました。 <br>Pension payments have increased.
<b>年生</b> <br> 今年生まれた子は元気です。	[sound:s-0059_今年生まれた子は元気です。.mp3] <br> ことしうまれたこはげんきです。 <br>The child born this year is healthy.
<b>大きな</b> <br> 大きな変化が起こりました。	[sound:s-0060_大きな変化が起こりました。.mp3] <br> おおきなへんかがおこりました。 <br>A big change has occurred.
<b>拡大</b> <br> 問題は拡大しています。	[sound:s-0061_問題は拡大しています。.mp3] <br> もんだいはかくだいしています。 <br>The problem is escalating.
<b>最大</b> <br> 最大の努力をしてください。	[sound:s-0062_最大の努力をしてください。.mp3] <br> さいだいのどりょくをしてください。 <br>Please make the greatest effort.
<b>大いに</b> <br> 彼らは大いに喜んでいます。	[sound:s-0063_彼らは大いに喜んでいます。.mp3] <br> かれらはおおいによろこんでいます。 <br>They are greatly pleased.
<b>大会</b> <br> 町の祭りは大会でした。	[sound:s-0064_町の祭りは大会でした。.mp3] <br> まちのまつりはたいかいでした。 <br>The town festival was a big event.
<b>大学</b> <br> 彼は有名な大学に通っています。	[sound:s-0065_彼は有名な大学に通っています。.mp3] <br> かれはゆうめいなだいがくにかよっています。 <br>He attends a famous university.
<b>大手</b> <br> あの企業は大手です。	[sound:s-0066_あの企業は大手です。.mp3] <br> あのきぎょうはおおてです。 <br>That company is a major player.
<b>大蔵省</b> <br> 大蔵省が経済政策を決定した。	[sound:s-0067_大蔵省が経済政策を決定した。.mp3] <br> おおくらしょうがけいざいせいさくをけっていした。 <br>The Ministry of Finance decided on economic policy.
<b>大統領</b> <br> 彼は新しい大統領です。	[sound:s-0068_彼は新しい大統領です。.mp3] <br> かれはあたらしいだいとうりょうです。 <br>He is the new president.
<b>大幅</b> <br> プランは大幅に変更されました。	[sound:s-0069_プランは大幅に変更されました。.mp3] <br> プランはおおはばにへんこうされました。 <br>The plan was changed significantly.
<b>十</b> <br> 十本の鉛筆を買いました。	[sound:s-0070_十本の鉛筆を買いました。.mp3] <br> じゅっぽんのえんぴつをかいました。 <br>I bought ten pencils.
<b>十一</b> <br> 十一時に家に帰ります。	[sound:s-0071_十一時に家に帰ります。.mp3] <br> じゅういちじにいえにかえります。 <br>I will go home at eleven o'clock.
<b>十一月</b> <br> 十一月は寒くなります。	[sound:s-0072_十一月は寒くなります。.mp3] <br> じゅういちがつはさむくなります。 <br>November becomes cold.
<b>十九</b> <br> 彼の誕生日は十九日です。	[sound:s-0073_彼の誕生日は十九日です。.mp3] <br> かれのたんじょうびはじゅうくにちです。 <br>His birthday is on the nineteenth.
<b>十月</b> <br> 十月にはハロウィンがあります。	[sound:s-0074_十月にはハロウィンがあります。.mp3] <br> じゅうがつにはハロウィンがあります。 <br>There is Halloween in October.
<b>十五</b> <br> 十五歳の誕生日を祝いました。	[sound:s-0075_十五歳の誕生日を祝いました。.mp3] <br> じゅうごさいのたんじょうびをいわいました。 <br>We celebrated the fifteenth birthday.
<b>十三</b> <br> 十三日に	[sound:s-0076_十三日に.mp3]	
出発します。	じゅうさんにちにしゅっぱつします。	s-0077_じゅうさんにちにしゅっぱつします。.mp3
<b>十二</b> <br> 十二月にクリスマスがあります。	[sound:s-0078_十二月にクリスマスがあります。.mp3] <br> じゅうにがつにクリスマスがあります。 <br>There is Christmas in December.
<b>十二月</b> <br> 十二月は忙しい月です。	[sound:s-0079_十二月は忙しい月です。.mp3] <br> じゅうにがつはいそがしいつきです。 <br>December is a busy month.
<b>十八</b> <br> 彼女は十八歳になりました。	[sound:s-0080_彼女は十八歳になりました。.mp3] <br> かのじょはじゅうはっさいになりました。 <br>She turned eighteen.
<b>二</b> <br> 私は二人兄弟がいます。	[sound:s-0081_私は二人兄弟がいます。.mp3] <br> わたしはふたりきょうだいがいます。 <br>I have two siblings.
<b>二つ</b> <br> 机の上に本が二つあります。	[sound:s-0082_机の上に本が二つあります。.mp3] <br> つくえのうえにほんがふたつあります。 <br>There are two books on the desk.
<b>十二</b> <br> 十二人の仲間と旅行に行きました。	[sound:s-0083_十二人の仲間と旅行に行きました。.mp3] <br> じゅうににんのなかまとりょこうにいきました。 <br>I went on a trip with twelve friends.
<b>十二月</b> <br> 十二月はクリスマスの月です。	[sound:s-0084_十二月はクリスマスの月です。.mp3] <br> じゅうにがつはクリスマスのつきです。 <br>December is the month of Christmas.
<b>二月</b> <br> 二月は寒いです。	[sound:s-0085_二月は寒いです。.mp3] <br> にがつはさむいです。 <br>February is cold.
<b>二人</b> <br> 二人で映画を見に行きました。	[sound:s-0086_二人で映画を見に行きました。.mp3] <br> ふたりでえいがをみにいきました。 <br>We went to see a movie with two people.
<b>二百</b> <br> 彼は二百ドルを持っています。	[sound:s-0087_彼は二百ドルを持っています。.mp3] <br> かれはにひゃくドルをもっています。 <br>He has two hundred dollars.
<b>二死</b> <br> 二死満塁の場面でホームランを打った。	[sound:s-0088_二死満塁の場面でホームランを打った。.mp3] <br> にしまんるいのばめんでホームランをうった。 <br>He hit a home run with two outs and the bases loaded.
<b>二塁</b> <br> 彼は二塁手としてプレーしています。	[sound:s-0089_彼は二塁手としてプレーしています。.mp3] <br> かれはにるいしゅとしてプレーしています。 <br>He plays as a second baseman.
<b>二塁打</b> <br> 彼は二塁打を打ちました。	[sound:s-0090_彼は二塁打を打ちました。.mp3] <br> かれはにるいだをうちました。 <br>He hit a double.
<b>基本</b> <br> 基本的なルールを守りましょう。	[sound:s-0091_基本的なルールを守りましょう。.mp3] <br> きほんてきなルールをまもりましょう。 <br>Let's follow the basic rules.
<b>日本人</b> <br> 日本人は礼儀正しいです。	[sound:s-0092_日本人は礼儀正しいです。.mp3] <br> にほんじんはれいぎただしいです。 <br>Japanese people are polite.
<b>本社</b> <br> 会社の本社は東京にあります。	[sound:s-0093_会社の本社は東京にあります。.mp3] <br> かいしゃのほんしゃはとうきょうにあります。 <br>The company's headquarters are in Tokyo.
<b>本部</b> <br> 国連の本部はニューヨークにあります。	[sound:s-0094_国連の本部はニューヨークにあります。.mp3] <br> こくれんのほんぶはニューヨークにあります。 <br>The headquarters of the United Nations are in New York.
<b>本の</b> <br> 彼女は本の中身を確認しました。	[sound:s-0095_彼女は本の中身を確認しました。.mp3] <br> かのじょはほんのなかみをかくにんしました。 <br>She checked the contents of the book.
<b>日本語</b> <br> 日本語を勉強しています。	[sound:s-0096_日本語を勉強しています。.mp3] <br> にほんごをべんきょうしています。 <br>I am studying Japanese.
<b>本会議</b> <br> 本会議は明日開催されます。	[sound:s-0097_本会議は明日開催されます。.mp3] <br> ほんかいぎはあしたかいさいされます。 <br>The plenary session will be held tomorrow.
<b>本人</b> <br> 彼は本人の了承を得ました。	[sound:s-0098_彼は本人の了承を得ました。.mp3] <br> かれはほんにんのりょうしょうをえました。 <br>He obtained the consent of the person concerned.
<b>本当</b> <br> 本当のことを言ってください。	[sound:s-0099_本当のことを言ってください。.mp3] <br> ほんとうのことをいってください。 <br>Please tell the truth.
<b>本塁打</b> <br> 彼は昨日本塁打を打ちました。	[sound:s-0100_彼は昨日本塁打を打ちました。.mp3] <br> かれはきのうほんるいだをうちました。 <br>He hit a home run yesterday.
<b>中央</b> <br> 彼は中央の座席に座っています。	[sound:s-0101_彼は中央の座席に座っています。.mp3] <br> かれはちゅうおうのざせきにすわっています。 <br>He is sitting in the central seat.
<b>中国</b> <br> 中国には長い歴史があります。	[sound:s-0102_中国には長い歴史があります。.mp3] <br> ちゅうごくにはながいれきしがあります。 <br>China has a long history.
<b>中心</b> <br> 彼は町の中心に住んでいます。	[sound:s-0103_彼は町の中心に住んでいます。.mp3] <br> かれはまちのちゅうしんにすんでいます。 <br>He lives in the center of the town.
<b>中でも</b> <br> 彼は料理の中でもピザが好きです。	[sound:s-0104_彼は料理の中でもピザが好きです。.mp3] <br> かれはりょうりのなかでもピザがすきです。 <br>He likes pizza among all kinds of food.
<b>中間</b> <br> 今週は試験の中間テストがあります。	[sound:s-0105_今週は試験の中間テストがあります。.mp3] <br> こんしゅうはしけんのちゅうかんテストがあります。 <br>There is a midterm test this week.
<b>中東</b> <br> 中東地域の政治情勢が不安定です。	[sound:s-0106_中東地域の政治情勢が不安定です。.mp3] <br> ちゅうとうちいきのせいじじょうせいがふあんていです。 <br>The political situation in the Middle East is unstable.
<b>途中</b> <br> 途中で雨が降り始めました。	[sound:s-0107_途中で雨が降り始めました。.mp3] <br> とちゅうであめがふりはじめました。 <br>It started raining on the way.
<b>集中</b> <br> 仕事に集中してください。	[sound:s-0108_仕事に集中してください。.mp3] <br> しごとにしゅうちゅうしてください。 <br>Please focus on your work.
<b>中学</b> <br> 彼は中学校の教師です。	[sound:s-0109_彼は中学校の教師です。.mp3] <br> かれはちゅうがっこうのきょうしです。 <br>He is a middle school teacher.
<b>中学生</b> <br> 中学生の時、彼は野球をしていました。	[sound:s-0110_中学生の時、彼は野球をしていました。.mp3] <br> ちゅうがくせいのとき、かれはやきゅうをしていました。 <br>He played baseball when he was in middle school.
<b>長</b> <br> 彼は背がとても長いです。	[sound:s-0111_彼は背がとても長いです。.mp3] <br> かれはせがとてもながいです。 <br>He is very tall.
<b>委員長</b> <br> 彼は委員長として会議を進行しました。	[sound:s-0112_彼は委員長として会議を進行しました。.mp3] <br> かれはいいんちょうとしてかいぎをしんこうしました。 <br>He chaired the meeting as the committee chairman.
<b>会長</b> <br> 彼女はクラブの会長です。	[sound:s-0113_彼女はクラブの会長です。.mp3] <br> かのじょはクラブのかいちょうです。 <br>She is the president of the club.
<b>議長</b> <br> 彼は議長として会議を取り仕切った。	[sound:s-0114_彼は議長として会議を取り仕切った。.mp3] <br> かれはぎちょうとしてかいぎをとりしきった。 <br>He presided over the meeting as the chairman.
<b>社長</b> <br> 私の父は会社の社長です。	[sound:s-0115_私の父は会社の社長です。.mp3] <br> わたしのちちはかいしゃのしゃちょうです。 <br>My father is the president of the company.
<b>成長</b> <br> 彼女は素晴らしい成長を遂げました。	[sound:s-0116_彼女は素晴らしい成長を遂げました。.mp3] <br> かのじょはすばらしいせいちょうをとげました。 <br>She has achieved remarkable growth.
<b>長官</b> <br> 彼は国防長官として任命されました。	[sound:s-0117_彼は国防長官として任命されました。.mp3] <br> かれはこくぼうちょうかんとしてにんめいされました。 <br>He was appointed as the Secretary of Defense.
<b>長男</b> <br> 彼は家族の長男です。	[sound:s-0118_彼は家族の長男です。.mp3] <br> かれはかぞくのちょうなんです。 <br>He is the eldest son of the family.
<b>部長</b> <br> 彼は部長として仕事をしています。	[sound:s-0119_彼は部長として仕事をしています。.mp3] <br> かれはぶちょうとしてしごとをしています。 <br>He is working as a department manager.
<b>延長</b> <br> 試合は延長戦に突入しました。	[sound:s-0120_試合は延長戦に突入しました。.mp3] <br> しあいはえんちょうせんにとつにゅうしました。 <br>The game went into overtime.
<b>出す</b> <br> 彼はレポートを提出しました。	[sound:s-0121_彼はレポートを提出しました。.mp3] <br> かれはレポートをていしゅつしました。 <br>He submitted the report.
<b>出身</b> <br> 彼は京都出身です。	[sound:s-0122_彼は京都出身です。.mp3] <br> かれはきょうとしゅっしんです。 <br>He is from Kyoto.
<b>輸出</b> <br> この国は自動車を輸出しています。	[sound:s-0123_この国は自動車を輸出しています。.mp3] <br> このくにはじどうしゃをゆしゅつしています。 <br>This country exports automobiles.
<b>出場</b> <br> 彼は大会で優勝するために出場します。	[sound:s-0124_彼は大会で優勝するために出場します。.mp3] <br> かれはたいかいでゆうしょうするためにしゅつじょうします。 <br>He participates in the tournament to win.
<b>進出</b> <br> 企業は海外市場に進出しました。	[sound:s-0125_企業は海外市場に進出しました。.mp3] <br> きぎょうはかいがいしじょうにしんしゅつしました。 <br>The company expanded into the overseas market.
<b>出</b> <br> 今日は出かける予定です。	[sound:s-0126_今日は出かける予定です。.mp3] <br> きょうはでかけるよていです。 <br>I plan to go out today.
<b>演出</b> <br> この舞台の演出が素晴らしいです。	[sound:s-0127_この舞台の演出が素晴らしいです。.mp3] <br> このぶたいのえんしゅつがすばらしいです。 <br>The direction of this stage is wonderful.
<b>出演</b> <br> 彼女はその映画に出演しました。	[sound:s-0128_彼女はその映画に出演しました。.mp3] <br> かのじょはそのえいがにしゅつえんしました。 <br>She appeared in the movie.
<b>出席</b> <br> 会議に出席する予定です。	[sound:s-0129_会議に出席する予定です。.mp3] <br> かいぎにしゅっせきするよていです。 <br>I plan to attend the meeting.
<b>出馬</b> <br> 彼は次の選挙に出馬します。	[sound:s-0130_彼は次の選挙に出馬します。.mp3] <br> かれはつぎのせんきょにしゅっばします。 <br>He will run for the next election.
<b>三</b> <br> 彼女は三人兄弟の一番上です。	[sound:s-0131_彼女は三人兄弟の一番上です。.mp3] <br> かのじょはさんにんきょうだいのいちばんうえです。 <br>She is the oldest of three siblings.
<b>三つ</b> <br> このカフェは三つの異なるメニューを提供しています。	[sound:s-0132_このカフェは三つの異なるメニューを提供しています。.mp3] <br> このカフェはみっつのことなるメニューをていきょうしています。 <br>This cafe offers three different menus.
<b>三月</b> <br> 三月は春の始まりです。	[sound:s-0133_三月は春の始まりです。.mp3] <br> さんがつははるのはじまりです。 <br>March is the beginning of spring.
<b>三人</b> <br> 彼らは三人で旅行に行きました。	[sound:s-0134_彼らは三人で旅行に行きました。.mp3] <br> かれらはさんにんでりょこうにいきました。 <br>They went on a trip with three people.
<b>十三</b> <br> 十三歳の誕生日を祝いました。	[sound:s-0135_十三歳の誕生日を祝いました。.mp3] <br> じゅうさんさいのたんじょうびをいわいました。 <br>We celebrated the thirteenth birthday.
<b>三十</b> <br> 彼は三十歳になります。	[sound:s-0136_彼は三十歳になります。.mp3] <br> かれはさんじゅっさいになります。 <br>He will be thirty years old.
<b>三千</b> <br> その地域には三千人以上の住民がいます。	[sound:s-0137_その地域には三千人以上の住民がいます。.mp3] <br> そのちいきにはさんぜんにんいじょうのじゅうみんがいます。 <br>There are over three thousand residents in that area.
<b>三百</b> <br> 彼は三百メートルを走りました。	[sound:s-0138_彼は三百メートルを走りました。.mp3] <br> かれはさんびゃくメートルをはしりました。 <br>He ran three hundred meters.
<b>三十日</b> <br> 次の月の三十日に会いましょう。	[sound:s-0139_次の月の三十日に会いましょう。.mp3] <br> つぎのつきのさんじゅうにちにあいましょう。 <br>Let's meet on the thirtieth of next month.
<b>三塁</b> <br> 彼は三塁に到達しました。	[sound:s-0140_彼は三塁に到達しました。.mp3] <br> かれはさんるいにとうたつしました。 <br>He reached third base.
<b>同時</b> <br> 彼らは同時に同じ問題を解決しました。	[sound:s-0141_彼らは同時に同じ問題を解決しました。.mp3] <br> かれらはどうじにおなじもんだいをかいけつしました。 <br>They solved the same problem at the same time.
<b>同社</b> <br> 同社の製品は高品質です。	[sound:s-0142_同社の製品は高品質です。.mp3] <br> どうしゃのせいひんはこうひんしつです。 <br>The products of the same company are of high quality.
<b>同日</b> <br> 二つのイベントは同日に開催されます。	[sound:s-0143_二つのイベントは同日に開催されます。.mp3] <br> ふたつのイベントはどうじつにかいさいされます。 <br>The two events will be held on the same day.
<b>共同</b> <br> 彼らはプロジェクトの共同開発を行いました。	[sound:s-0144_彼らはプロジェクトの共同開発を行いました。.mp3] <br> かれらはプロジェクトのきょうどうかいはつをおこないました。 <br>They collaborated on the joint development of the project.
<b>同市</b> <br> 彼らは同市に住んでいます。	[sound:s-0145_彼らは同市に住んでいます。.mp3] <br> かれらはどうしにすんでいます。 <br>They live in the same city.
<b>共同体</b> <br> 彼らは共同体で協力しています。	[sound:s-0146_彼らは共同体で協力しています。.mp3] <br> かれらはきょうどうたいできょうりょくしています。 <br>They are cooperating within the community.
<b>同県</b> <br> 私たちは同県の出身です。	[sound:s-0147_私たちは同県の出身です。.mp3] <br> わたしたちはどうけんのしゅっしんです。 <br>We are from the same prefecture.
<b>同国</b> <br> 彼らは同国の市民です。	[sound:s-0148_彼らは同国の市民です。.mp3] <br> かれらはどうこくのしみんです。 <br>They are citizens of the same country.
<b>同省</b> <br> 彼らは同省の職員です。	[sound:s-0149_彼らは同省の職員です。.mp3] <br> かれらはどうしょうのしょくいんです。 <br>They are employees of the same ministry.
<b>二度</b> <br> 彼は二度と同じ過ちを繰り返さないだろう。	[sound:s-0150_彼は二度と同じ過ちを繰り返さないだろう。.mp3] <br> かれはにどとおなじあやまちをくりかえさないだろう。 <br>He won't make the same mistake twice.
<b>外務省</b> <br> 外務省は外交政策を担当しています。	[sound:s-0151_外務省は外交政策を担当しています。.mp3] <br> がいむしょうはがいこうせいさくをたんとうしています。 <br>The Ministry of Foreign Affairs is responsible for foreign policy.
<b>務める</b> <br> 彼はその会社で長年務めています。	[sound:s-0152_彼はその会社で長年務めています。.mp3] <br> かれはそのかいしゃでながねんつとめています。 <br>He has been working for the company for many years.
<b>事務</b> <br> 彼女は事務の仕事をしています。	[sound:s-0153_彼女は事務の仕事をしています。.mp3] <br> かのじょはじむのしごとをしています。 <br>She works in administration.
<b>事務局</b> <br> その会議の事務局は準備をしています。	[sound:s-0154_その会議の事務局は準備をしています。.mp3] <br> そのかいぎのじむきょくはじゅんびをしています。 <br>The secretariat of the meeting is preparing.
<b>事務所</b> <br> 弁護士事務所に相談に行きました。	[sound:s-0155_弁護士事務所に相談に行きました。.mp3] <br> べんごしかいじょにそうだんにいきました。 <br>I went to consult at a law firm.
<b>業務</b> <br> 彼の業務は多岐にわたっています。	[sound:s-0156_彼の業務は多岐にわたっています。.mp3] <br> かれのぎょうむはたきにわたっています。 <br>His duties are wide-ranging.
<b>常務</b> <br> 彼は会社の常務です。	[sound:s-0157_彼は会社の常務です。.mp3] <br> かれはかいしゃのじょうむです。 <br>He is the managing director of the company.
<b>専務</b> <br> 彼は専務取締役として働いています。	[sound:s-0158_彼は専務取締役として働いています。.mp3] <br> かれはせんむとりしまりやくとしてはたらいています。 <br>He works as an executive director.
