national policy	<b>国策</b> <br> こくさく <br> [sound:4c-k-国策.mp3]
このプロジェクトにはいくつかの要件があります。 <br><br> (要件)	<b>このぷろじぇくとにはいくつかのようけんがあります。</b> <br> This project has several requirements. <br> [sound:4c-s-このプロジェクトにはいくつかの要件があります。.mp3]
This project has several requirements.	<b>このプロジェクトにはいくつかの要件があります。</b> <br> このぷろじぇくとにはいくつかのようけんがあります。 <br><br> (要件) <br> [sound:4c-s-このプロジェクトにはいくつかの要件があります。.mp3]
[sound:4c-k-案件.mp3]	<b>案件</b> <br> あんけん <br> matter in question, subject
案件	<b>あんけん</b> <br> matter in question, subject <br> [sound:4c-k-案件.mp3]
matter in question, subject	<b>案件</b> <br> あんけん <br> [sound:4c-k-案件.mp3]
[sound:4c-s-新しい案件が処理中です。.mp3]	<b>新しい案件が処理中です。</b> <br> あたらしいあんけんがしょりちゅうです。 <br><br> (案件) <br> A new case is being processed.
新しい案件が処理中です。 <br><br> (案件)	<b>あたらしいあんけんがしょりちゅうです。</b> <br> A new case is being processed. <br> [sound:4c-s-新しい案件が処理中です。.mp3]
A new case is being processed.	<b>新しい案件が処理中です。</b> <br> あたらしいあんけんがしょりちゅうです。 <br><br> (案件) <br> [sound:4c-s-新しい案件が処理中です。.mp3]
[sound:4c-k-団体.mp3]	<b>団体</b> <br> だんたい <br> organization, organisation, association
団体	<b>だんたい</b> <br> organization, organisation, association <br> [sound:4c-k-団体.mp3]
organization, organisation, association	<b>団体</b> <br> だんたい <br> [sound:4c-k-団体.mp3]
[sound:4c-s-その団体は多くの活動をしています。.mp3]	<b>その団体は多くの活動をしています。</b> <br> そのだんたいはおおくのかつどうをしています。 <br><br> (団体) <br> The organization is engaged in many activities.
その団体は多くの活動をしています。 <br><br> (団体)	<b>そのだんたいはおおくのかつどうをしています。</b> <br> The organization is engaged in many activities. <br> [sound:4c-s-その団体は多くの活動をしています。.mp3]
The organization is engaged in many activities.	<b>その団体は多くの活動をしています。</b> <br> そのだんたいはおおくのかつどうをしています。 <br><br> (団体) <br> [sound:4c-s-その団体は多くの活動をしています。.mp3]
[sound:4c-k-集団.mp3]	<b>集団</b> <br> しゅうだん <br> group, mass
集団	<b>しゅうだん</b> <br> group, mass <br> [sound:4c-k-集団.mp3]
group, mass	<b>集団</b> <br> しゅうだん <br> [sound:4c-k-集団.mp3]
[sound:4c-s-集団での活動が重要です。.mp3]	<b>集団での活動が重要です。</b> <br> しゅうだんでのかつどうがじゅうようです。 <br><br> (集団) <br> Group activities are important.
集団での活動が重要です。 <br><br> (集団)	<b>しゅうだんでのかつどうがじゅうようです。</b> <br> Group activities are important. <br> [sound:4c-s-集団での活動が重要です。.mp3]
Group activities are important.	<b>集団での活動が重要です。</b> <br> しゅうだんでのかつどうがじゅうようです。 <br><br> (集団) <br> [sound:4c-s-集団での活動が重要です。.mp3]
[sound:4c-k-財団法人.mp3]	<b>財団法人</b> <br> ざいだんほうじん <br> incorporated foundation, juridical foundation
財団法人	<b>ざいだんほうじん</b> <br> incorporated foundation, juridical foundation <br> [sound:4c-k-財団法人.mp3]
incorporated foundation, juridical foundation	<b>財団法人</b> <br> ざいだんほうじん <br> [sound:4c-k-財団法人.mp3]
[sound:4c-s-その財団法人は教育に関する支援を行っています。.mp3]	<b>その財団法人は教育に関する支援を行っています。</b> <br> そのざいだんほうじんはきょういくにかんするしえんをおこなっています。 <br><br> (財団法人) <br> The foundation is providing support for education.
その財団法人は教育に関する支援を行っています。 <br><br> (財団法人)	<b>そのざいだんほうじんはきょういくにかんするしえんをおこなっています。</b> <br> The foundation is providing support for education. <br> [sound:4c-s-その財団法人は教育に関する支援を行っています。.mp3]
The foundation is providing support for education.	<b>その財団法人は教育に関する支援を行っています。</b> <br> そのざいだんほうじんはきょういくにかんするしえんをおこなっています。 <br><br> (財団法人) <br> [sound:4c-s-その財団法人は教育に関する支援を行っています。.mp3]
[sound:4c-k-公団.mp3]	<b>公団</b> <br> こうだん <br> public corporation
公団	<b>こうだん</b> <br> public corporation <br> [sound:4c-k-公団.mp3]
public corporation	<b>公団</b> <br> こうだん <br> [sound:4c-k-公団.mp3]
[sound:4c-s-公団は住宅の建設を行っています。.mp3]	<b>公団は住宅の建設を行っています。</b> <br> こうだんはじゅうたくのけんせつをおこなっています。 <br><br> (公団) <br> The public corporation is constructing housing.
公団は住宅の建設を行っています。 <br><br> (公団)	<b>こうだんはじゅうたくのけんせつをおこなっています。</b> <br> The public corporation is constructing housing. <br> [sound:4c-s-公団は住宅の建設を行っています。.mp3]
The public corporation is constructing housing.	<b>公団は住宅の建設を行っています。</b> <br> こうだんはじゅうたくのけんせつをおこなっています。 <br><br> (公団) <br> [sound:4c-s-公団は住宅の建設を行っています。.mp3]
[sound:4c-k-別に.mp3]	<b>別に</b> <br> べつに <br> (not) particularly, nothing; separately, apart
別に	<b>べつに</b> <br> (not) particularly, nothing; separately, apart <br> [sound:4c-k-別に.mp3]
(not) particularly, nothing; separately, apart	<b>別に</b> <br> べつに <br> [sound:4c-k-別に.mp3]
[sound:4c-s-別に気にしていません。.mp3]	<b>別に気にしていません。</b> <br> べつにきにしていません。 <br><br> (別に) <br> I’m not particularly concerned about it.
別に気にしていません。 <br><br> (別に)	<b>べつにきにしていません。</b> <br> I’m not particularly concerned about it. <br> [sound:4c-s-別に気にしていません。.mp3]
I’m not particularly concerned about it.	<b>別に気にしていません。</b> <br> べつにきにしていません。 <br><br> (別に) <br> [sound:4c-s-別に気にしていません。.mp3]
[sound:4c-k-告別.mp3]	<b>告別</b> <br> こくべつ <br> farewell, leave-taking
告別	<b>こくべつ</b> <br> farewell, leave-taking <br> [sound:4c-k-告別.mp3]
farewell, leave-taking	<b>告別</b> <br> こくべつ <br> [sound:4c-k-告別.mp3]
[sound:4c-s-彼は告別の言葉を述べました。.mp3]	<b>彼は告別の言葉を述べました。</b> <br> かれはこくべつのことばをのべました。 <br><br> (告別) <br> He gave a farewell speech.
彼は告別の言葉を述べました。 <br><br> (告別)	<b>かれはこくべつのことばをのべました。</b> <br> He gave a farewell speech. <br> [sound:4c-s-彼は告別の言葉を述べました。.mp3]
He gave a farewell speech.	<b>彼は告別の言葉を述べました。</b> <br> かれはこくべつのことばをのべました。 <br><br> (告別) <br> [sound:4c-s-彼は告別の言葉を述べました。.mp3]
[sound:4c-k-性別.mp3]	<b>性別</b> <br> せいべつ <br> distinction by sex, sex, gender
性別	<b>せいべつ</b> <br> distinction by sex, sex, gender <br> [sound:4c-k-性別.mp3]
distinction by sex, sex, gender	<b>性別</b> <br> せいべつ <br> [sound:4c-k-性別.mp3]
[sound:4c-s-性別に関係なく、全ての人が平等です。.mp3]	<b>性別に関係なく、全ての人が平等です。</b> <br> せいべつにかんけいなく、すべてのひとがびょうどうです。 <br><br> (性別) <br> Regardless of gender, all people are equal.
性別に関係なく、全ての人が平等です。 <br><br> (性別)	<b>せいべつにかんけいなく、すべてのひとがびょうどうです。</b> <br> Regardless of gender, all people are equal. <br> [sound:4c-s-性別に関係なく、全ての人が平等です。.mp3]
Regardless of gender, all people are equal.	<b>性別に関係なく、全ての人が平等です。</b> <br> せいべつにかんけいなく、すべてのひとがびょうどうです。 <br><br> (性別) <br> [sound:4c-s-性別に関係なく、全ての人が平等です。.mp3]
[sound:4c-k-区別.mp3]	<b>区別</b> <br> くべつ <br> distinction, differentiation, classification
区別	<b>くべつ</b> <br> distinction, differentiation, classification <br> [sound:4c-k-区別.mp3]
distinction, differentiation, classification	<b>区別</b> <br> くべつ <br> [sound:4c-k-区別.mp3]
[sound:4c-s-人々は年齢で区別されるべきではありません。.mp3]	<b>人々は年齢で区別されるべきではありません。</b> <br> ひとびとはねんれいでくべつされるべきではありません。 <br><br> (区別) <br> People should not be distinguished by age.
人々は年齢で区別されるべきではありません。 <br><br> (区別)	<b>ひとびとはねんれいでくべつされるべきではありません。</b> <br> People should not be distinguished by age. <br> [sound:4c-s-人々は年齢で区別されるべきではありません。.mp3]
People should not be distinguished by age.	<b>人々は年齢で区別されるべきではありません。</b> <br> ひとびとはねんれいでくべつされるべきではありません。 <br><br> (区別) <br> [sound:4c-s-人々は年齢で区別されるべきではありません。.mp3]
[sound:4c-k-人物.mp3]	<b>人物</b> <br> じんぶつ <br> character, personality, person, man, personage, talented man
人物	<b>じんぶつ</b> <br> character, personality, person, man, personage, talented man <br> [sound:4c-k-人物.mp3]
character, personality, person, man, personage, talented man	<b>人物</b> <br> じんぶつ <br> [sound:4c-k-人物.mp3]
[sound:4c-s-その人物は非常に有名です。.mp3]	<b>その人物は非常に有名です。</b> <br> そのじんぶつはひじょうにゆうめいです。 <br><br> (人物) <br> That person is very famous.
その人物は非常に有名です。 <br><br> (人物)	<b>そのじんぶつはひじょうにゆうめいです。</b> <br> That person is very famous. <br> [sound:4c-s-その人物は非常に有名です。.mp3]
That person is very famous.	<b>その人物は非常に有名です。</b> <br> そのじんぶつはひじょうにゆうめいです。 <br><br> (人物) <br> [sound:4c-s-その人物は非常に有名です。.mp3]
[sound:4c-k-動物.mp3]	<b>動物</b> <br> どうぶつ <br> animal
動物	<b>どうぶつ</b> <br> animal <br> [sound:4c-k-動物.mp3]
animal	<b>動物</b> <br> どうぶつ <br> [sound:4c-k-動物.mp3]
[sound:4c-s-動物園には多くの種類の動物がいます。.mp3]	<b>動物園には多くの種類の動物がいます。</b> <br> どうぶつえんにはおおくのしゅるいのどうぶつがいます。 <br><br> (動物) <br> There are many types of animals in the zoo.
動物園には多くの種類の動物がいます。 <br><br> (動物)	<b>どうぶつえんにはおおくのしゅるいのどうぶつがいます。</b> <br> There are many types of animals in the zoo. <br> [sound:4c-s-動物園には多くの種類の動物がいます。.mp3]
There are many types of animals in the zoo.	<b>動物園には多くの種類の動物がいます。</b> <br> どうぶつえんにはおおくのしゅるいのどうぶつがいます。 <br><br> (動物) <br> [sound:4c-s-動物園には多くの種類の動物がいます。.mp3]
[sound:4c-k-博物館.mp3]	<b>博物館</b> <br> はくぶつかん <br> museum
博物館	<b>はくぶつかん</b> <br> museum <br> [sound:4c-k-博物館.mp3]
museum	<b>博物館</b> <br> はくぶつかん <br> [sound:4c-k-博物館.mp3]
[sound:4c-s-博物館で古代の遺物を見ました。.mp3]	<b>博物館で古代の遺物を見ました。</b> <br> はくぶつかんでこだいのいぶつをみました。 <br><br> (博物館) <br> I saw ancient artifacts at the museum.
博物館で古代の遺物を見ました。 <br><br> (博物館)	<b>はくぶつかんでこだいのいぶつをみました。</b> <br> I saw ancient artifacts at the museum. <br> [sound:4c-s-博物館で古代の遺物を見ました。.mp3]
I saw ancient artifacts at the museum.	<b>博物館で古代の遺物を見ました。</b> <br> はくぶつかんでこだいのいぶつをみました。 <br><br> (博物館) <br> [sound:4c-s-博物館で古代の遺物を見ました。.mp3]
[sound:4c-k-物資.mp3]	<b>物資</b> <br> ぶっし <br> goods, materials
物資	<b>ぶっし</b> <br> goods, materials <br> [sound:4c-k-物資.mp3]
goods, materials	<b>物資</b> <br> ぶっし <br> [sound:4c-k-物資.mp3]
[sound:4c-s-戦争の影響で物資が不足しています。.mp3]	<b>戦争の影響で物資が不足しています。</b> <br> せんそうのえいきょうでぶっしがふそくしています。 <br><br> (物資) <br> There is a shortage of supplies due to the war.
戦争の影響で物資が不足しています。 <br><br> (物資)	<b>せんそうのえいきょうでぶっしがふそくしています。</b> <br> There is a shortage of supplies due to the war. <br> [sound:4c-s-戦争の影響で物資が不足しています。.mp3]
There is a shortage of supplies due to the war.	<b>戦争の影響で物資が不足しています。</b> <br> せんそうのえいきょうでぶっしがふそくしています。 <br><br> (物資) <br> [sound:4c-s-戦争の影響で物資が不足しています。.mp3]
[sound:4c-k-側.mp3]	<b>側</b> <br> そば, そく, はた <br> near, close, beside, vicinity, proximity, besides, while; third person
側	<b>そば, そく, はた</b> <br> near, close, beside, vicinity, proximity, besides, while; third person <br> [sound:4c-k-側.mp3]
near, close, beside, vicinity, proximity, besides, while; third person	<b>側</b> <br> そば, そく, はた <br> [sound:4c-k-側.mp3]
[sound:4c-s-彼は私の側に座っています。.mp3]	<b>彼は私の側に座っています。</b> <br> かれはわたしのそばにすわっています。 <br><br> (側) <br> He is sitting next to me.
彼は私の側に座っています。 <br><br> (側)	<b>かれはわたしのそばにすわっています。</b> <br> He is sitting next to me. <br> [sound:4c-s-彼は私の側に座っています。.mp3]
He is sitting next to me.	<b>彼は私の側に座っています。</b> <br> かれはわたしのそばにすわっています。 <br><br> (側) <br> [sound:4c-s-彼は私の側に座っています。.mp3]
[sound:4c-k-西側.mp3]	<b>西側</b> <br> にしがわ <br> west side, west bank
西側	<b>にしがわ</b> <br> west side, west bank <br> [sound:4c-k-西側.mp3]
west side, west bank	<b>西側</b> <br> にしがわ <br> [sound:4c-k-西側.mp3]
[sound:4c-s-西側の都市には多くの観光地があります。.mp3]	<b>西側の都市には多くの観光地があります。</b> <br> にしかわのとしにはおおくのかんこうちがあります。 <br><br> (西側) <br> The western cities have many tourist attractions.
西側の都市には多くの観光地があります。 <br><br> (西側)	<b>にしかわのとしにはおおくのかんこうちがあります。</b> <br> The western cities have many tourist attractions. <br> [sound:4c-s-西側の都市には多くの観光地があります。.mp3]
The western cities have many tourist attractions.	<b>西側の都市には多くの観光地があります。</b> <br> にしかわのとしにはおおくのかんこうちがあります。 <br><br> (西側) <br> [sound:4c-s-西側の都市には多くの観光地があります。.mp3]
[sound:4c-k-裏側.mp3]	<b>裏側</b> <br> うらがわ <br> the reverse, other side, lining
裏側	<b>うらがわ</b> <br> the reverse, other side, lining <br> [sound:4c-k-裏側.mp3]
the reverse, other side, lining	<b>裏側</b> <br> うらがわ <br> [sound:4c-k-裏側.mp3]
[sound:4c-s-ビルの裏側に駐車場があります。.mp3]	<b>ビルの裏側に駐車場があります。</b> <br> びるのうらがわにちゅうしゃじょうがあります。 <br><br> (裏側) <br> There is a parking lot on the back side of the building.
ビルの裏側に駐車場があります。 <br><br> (裏側)	<b>びるのうらがわにちゅうしゃじょうがあります。</b> <br> There is a parking lot on the back side of the building. <br> [sound:4c-s-ビルの裏側に駐車場があります。.mp3]
There is a parking lot on the back side of the building.	<b>ビルの裏側に駐車場があります。</b> <br> びるのうらがわにちゅうしゃじょうがあります。 <br><br> (裏側) <br> [sound:4c-s-ビルの裏側に駐車場があります。.mp3]
[sound:4c-k-外側.mp3]	<b>外側</b> <br> そとがわ, がいそく <br> exterior, outside
外側	<b>そとがわ, がいそく</b> <br> exterior, outside <br> [sound:4c-k-外側.mp3]
exterior, outside	<b>外側</b> <br> そとがわ, がいそく <br> [sound:4c-k-外側.mp3]
[sound:4c-s-窓の外側に花が咲いています。.mp3]	<b>窓の外側に花が咲いています。</b> <br> まどのそとがわにはながさいています。 <br><br> (外側) <br> Flowers are blooming on the outside of the window.
窓の外側に花が咲いています。 <br><br> (外側)	<b>まどのそとがわにはながさいています。</b> <br> Flowers are blooming on the outside of the window. <br> [sound:4c-s-窓の外側に花が咲いています。.mp3]
Flowers are blooming on the outside of the window.	<b>窓の外側に花が咲いています。</b> <br> まどのそとがわにはながさいています。 <br><br> (外側) <br> [sound:4c-s-窓の外側に花が咲いています。.mp3]
[sound:4c-k-責任.mp3]	<b>責任</b> <br> せきにん <br> duty, responsibility; liability, onus
責任	<b>せきにん</b> <br> duty, responsibility; liability, onus <br> [sound:4c-k-責任.mp3]
duty, responsibility; liability, onus	<b>責任</b> <br> せきにん <br> [sound:4c-k-責任.mp3]
[sound:4c-s-私はそのプロジェクトに責任を持っています。.mp3]	<b>私はそのプロジェクトに責任を持っています。</b> <br> わたしはそのぷろじぇくとにせきにんをもっています。 <br><br> (責任) <br> I am responsible for the project.
私はそのプロジェクトに責任を持っています。 <br><br> (責任)	<b>わたしはそのぷろじぇくとにせきにんをもっています。</b> <br> I am responsible for the project. <br> [sound:4c-s-私はそのプロジェクトに責任を持っています。.mp3]
I am responsible for the project.	<b>私はそのプロジェクトに責任を持っています。</b> <br> わたしはそのぷろじぇくとにせきにんをもっています。 <br><br> (責任) <br> [sound:4c-s-私はそのプロジェクトに責任を持っています。.mp3]
[sound:4c-k-辞任.mp3]	<b>辞任</b> <br> じにん <br> to resign; resignation
辞任	<b>じにん</b> <br> to resign; resignation <br> [sound:4c-k-辞任.mp3]
to resign; resignation	<b>辞任</b> <br> じにん <br> [sound:4c-k-辞任.mp3]
[sound:4c-s-彼は最近辞任しました。.mp3]	<b>彼は最近辞任しました。</b> <br> かれはさいきんじにんしました。 <br><br> (辞任) <br> He resigned recently.
彼は最近辞任しました。 <br><br> (辞任)	<b>かれはさいきんじにんしました。</b> <br> He resigned recently. <br> [sound:4c-s-彼は最近辞任しました。.mp3]
He resigned recently.	<b>彼は最近辞任しました。</b> <br> かれはさいきんじにんしました。 <br><br> (辞任) <br> [sound:4c-s-彼は最近辞任しました。.mp3]
[sound:4c-k-主任.mp3]	<b>主任</b> <br> しゅにん <br> person in charge, responsible official
主任	<b>しゅにん</b> <br> person in charge, responsible official <br> [sound:4c-k-主任.mp3]
person in charge, responsible official	<b>主任</b> <br> しゅにん <br> [sound:4c-k-主任.mp3]
[sound:4c-s-主任としての責任が増えました。.mp3]	<b>主任としての責任が増えました。</b> <br> しゅにんとしてのせきにんがふえました。 <br><br> (主任) <br> My responsibilities as the manager have increased.
主任としての責任が増えました。 <br><br> (主任)	<b>しゅにんとしてのせきにんがふえました。</b> <br> My responsibilities as the manager have increased. <br> [sound:4c-s-主任としての責任が増えました。.mp3]
My responsibilities as the manager have increased.	<b>主任としての責任が増えました。</b> <br> しゅにんとしてのせきにんがふえました。 <br><br> (主任) <br> [sound:4c-s-主任としての責任が増えました。.mp3]
[sound:4c-k-任務.mp3]	<b>任務</b> <br> にんむ <br> duty, function, office, mission, task
任務	<b>にんむ</b> <br> duty, function, office, mission, task <br> [sound:4c-k-任務.mp3]
duty, function, office, mission, task	<b>任務</b> <br> にんむ <br> [sound:4c-k-任務.mp3]
[sound:4c-s-この任務は非常に重要です。.mp3]	<b>この任務は非常に重要です。</b> <br> このにんむはひじょうにじゅうようです。 <br><br> (任務) <br> This mission is very important.
