the said person, he, she, same person	<b>同氏</b> <br> どうし <br> [sound:4c-k-同氏.mp3]
チームは協調して作業を進めました。 <br><br> (協調)	<b>チームはきょうちょうしてさぎょうをすすめました。</b> <br> The team worked together cooperatively. <br> [sound:4c-s-チームは協調して作業を進めました。.mp3]
The team worked together cooperatively.	<b>チームは協調して作業を進めました。</b> <br> チームはきょうちょうしてさぎょうをすすめました。 <br><br> (協調) <br> [sound:4c-s-チームは協調して作業を進めました。.mp3]
[sound:4c-k-体.mp3]	<b>体</b> <br> からだ, しんたい <br> body; health
体	<b>からだ, しんたい</b> <br> body; health <br> [sound:4c-k-体.mp3]
body; health	<b>体</b> <br> からだ, しんたい <br> [sound:4c-k-体.mp3]
[sound:4c-s-彼は健康な体を維持しています。.mp3]	<b>彼は健康な体を維持しています。</b> <br> かれはけんこうなからだをいじしています。 <br><br> (体) <br> He maintains a healthy body.
彼は健康な体を維持しています。 <br><br> (体)	<b>かれはけんこうなからだをいじしています。</b> <br> He maintains a healthy body. <br> [sound:4c-s-彼は健康な体を維持しています。.mp3]
He maintains a healthy body.	<b>彼は健康な体を維持しています。</b> <br> かれはけんこうなからだをいじしています。 <br><br> (体) <br> [sound:4c-s-彼は健康な体を維持しています。.mp3]
[sound:4c-k-具体的.mp3]	<b>具体的</b> <br> ぐたいてき <br> concrete, tangible, definite, specific
具体的	<b>ぐたいてき</b> <br> concrete, tangible, definite, specific <br> [sound:4c-k-具体的.mp3]
concrete, tangible, definite, specific	<b>具体的</b> <br> ぐたいてき <br> [sound:4c-k-具体的.mp3]
[sound:4c-s-具体的な例を挙げて説明します。.mp3]	<b>具体的な例を挙げて説明します。</b> <br> ぐたいてきなれいをあげてせつめいします。 <br><br> (具体的) <br> I will explain with a specific example.
具体的な例を挙げて説明します。 <br><br> (具体的)	<b>ぐたいてきなれいをあげてせつめいします。</b> <br> I will explain with a specific example. <br> [sound:4c-s-具体的な例を挙げて説明します。.mp3]
I will explain with a specific example.	<b>具体的な例を挙げて説明します。</b> <br> ぐたいてきなれいをあげてせつめいします。 <br><br> (具体的) <br> [sound:4c-s-具体的な例を挙げて説明します。.mp3]
[sound:4c-k-全体.mp3]	<b>全体</b> <br> ぜんたい <br> whole, entirety, whatever (is the matter)
全体	<b>ぜんたい</b> <br> whole, entirety, whatever (is the matter) <br> [sound:4c-k-全体.mp3]
whole, entirety, whatever (is the matter)	<b>全体</b> <br> ぜんたい <br> [sound:4c-k-全体.mp3]
[sound:4c-s-全体の計画を見直しました。.mp3]	<b>全体の計画を見直しました。</b> <br> ぜんたいのけいかくをみなおしました。 <br><br> (全体) <br> I reviewed the overall plan.
全体の計画を見直しました。 <br><br> (全体)	<b>ぜんたいのけいかくをみなおしました。</b> <br> I reviewed the overall plan. <br> [sound:4c-s-全体の計画を見直しました。.mp3]
I reviewed the overall plan.	<b>全体の計画を見直しました。</b> <br> ぜんたいのけいかくをみなおしました。 <br><br> (全体) <br> [sound:4c-s-全体の計画を見直しました。.mp3]
[sound:4c-k-体制.mp3]	<b>体制</b> <br> たいせい <br> order, system, structure, set-up, organization, organisation
体制	<b>たいせい</b> <br> order, system, structure, set-up, organization, organisation <br> [sound:4c-k-体制.mp3]
order, system, structure, set-up, organization, organisation	<b>体制</b> <br> たいせい <br> [sound:4c-k-体制.mp3]
[sound:4c-s-新しい体制が導入されました。.mp3]	<b>新しい体制が導入されました。</b> <br> あたらしいたいせいがどうにゅうされました。 <br><br> (体制) <br> A new system has been introduced.
新しい体制が導入されました。 <br><br> (体制)	<b>あたらしいたいせいがどうにゅうされました。</b> <br> A new system has been introduced. <br> [sound:4c-s-新しい体制が導入されました。.mp3]
A new system has been introduced.	<b>新しい体制が導入されました。</b> <br> あたらしいたいせいがどうにゅうされました。 <br><br> (体制) <br> [sound:4c-s-新しい体制が導入されました。.mp3]
[sound:4c-k-強化.mp3]	<b>強化</b> <br> きょうか <br> strengthen, intensify, reinforce, solidify, enhancement
強化	<b>きょうか</b> <br> strengthen, intensify, reinforce, solidify, enhancement <br> [sound:4c-k-強化.mp3]
strengthen, intensify, reinforce, solidify, enhancement	<b>強化</b> <br> きょうか <br> [sound:4c-k-強化.mp3]
[sound:4c-s-チームの協力を強化する必要があります。.mp3]	<b>チームの協力を強化する必要があります。</b> <br> チームのきょうりょくをきょうかするひつようがあります。 <br><br> (強化) <br> We need to strengthen team cooperation.
チームの協力を強化する必要があります。 <br><br> (強化)	<b>チームのきょうりょくをきょうかするひつようがあります。</b> <br> We need to strengthen team cooperation. <br> [sound:4c-s-チームの協力を強化する必要があります。.mp3]
We need to strengthen team cooperation.	<b>チームの協力を強化する必要があります。</b> <br> チームのきょうりょくをきょうかするひつようがあります。 <br><br> (強化) <br> [sound:4c-s-チームの協力を強化する必要があります。.mp3]
[sound:4c-k-文化.mp3]	<b>文化</b> <br> ぶんか <br> culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)
文化	<b>ぶんか</b> <br> culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22) <br> [sound:4c-k-文化.mp3]
culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)	<b>文化</b> <br> ぶんか <br> [sound:4c-k-文化.mp3]
[sound:4c-s-彼は日本文化に興味があります。.mp3]	<b>彼は日本文化に興味があります。</b> <br> かれはにほんぶんかにきょうみがあります。 <br><br> (文化) <br> He is interested in Japanese culture.
彼は日本文化に興味があります。 <br><br> (文化)	<b>かれはにほんぶんかにきょうみがあります。</b> <br> He is interested in Japanese culture. <br> [sound:4c-s-彼は日本文化に興味があります。.mp3]
He is interested in Japanese culture.	<b>彼は日本文化に興味があります。</b> <br> かれはにほんぶんかにきょうみがあります。 <br><br> (文化) <br> [sound:4c-s-彼は日本文化に興味があります。.mp3]
[sound:4c-k-変化.mp3]	<b>変化</b> <br> へんか <br> change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis; variety, diversity; inflection, declension, conjugation; sidestepping (sumo)
変化	<b>へんか</b> <br> change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis; variety, diversity; inflection, declension, conjugation; sidestepping (sumo) <br> [sound:4c-k-変化.mp3]
change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis; variety, diversity; inflection, declension, conjugation; sidestepping (sumo)	<b>変化</b> <br> へんか <br> [sound:4c-k-変化.mp3]
[sound:4c-s-市場の変化に対応しなければなりません。.mp3]	<b>市場の変化に対応しなければなりません。</b> <br> しじょうのへんかにたいおうしなければなりません。 <br><br> (変化) <br> We must respond to market changes.
市場の変化に対応しなければなりません。 <br><br> (変化)	<b>しじょうのへんかにたいおうしなければなりません。</b> <br> We must respond to market changes. <br> [sound:4c-s-市場の変化に対応しなければなりません。.mp3]
We must respond to market changes.	<b>市場の変化に対応しなければなりません。</b> <br> しじょうのへんかにたいおうしなければなりません。 <br><br> (変化) <br> [sound:4c-s-市場の変化に対応しなければなりません。.mp3]
[sound:4c-k-悪化.mp3]	<b>悪化</b> <br> あっか <br> (suffer) deterioration, growing worse, aggravation, degeneration, corruption
悪化	<b>あっか</b> <br> (suffer) deterioration, growing worse, aggravation, degeneration, corruption <br> [sound:4c-k-悪化.mp3]
(suffer) deterioration, growing worse, aggravation, degeneration, corruption	<b>悪化</b> <br> あっか <br> [sound:4c-k-悪化.mp3]
[sound:4c-s-環境問題が悪化しています。.mp3]	<b>環境問題が悪化しています。</b> <br> かんきょうもんだいがあっかしています。 <br><br> (悪化) <br> Environmental problems are worsening.
環境問題が悪化しています。 <br><br> (悪化)	<b>かんきょうもんだいがあっかしています。</b> <br> Environmental problems are worsening. <br> [sound:4c-s-環境問題が悪化しています。.mp3]
Environmental problems are worsening.	<b>環境問題が悪化しています。</b> <br> かんきょうもんだいがあっかしています。 <br><br> (悪化) <br> [sound:4c-s-環境問題が悪化しています。.mp3]
[sound:4c-k-上田.mp3]	<b>上田</b> <br> じょうでん <br> high rice field, very fertile rice field
上田	<b>じょうでん</b> <br> high rice field, very fertile rice field <br> [sound:4c-k-上田.mp3]
high rice field, very fertile rice field	<b>上田</b> <br> じょうでん <br> [sound:4c-k-上田.mp3]
[sound:4c-s-上田さんは新しいプロジェクトを担当しています。.mp3]	<b>上田さんは新しいプロジェクトを担当しています。</b> <br> うえださんはあたらしいプロジェクトをたんとうしています。 <br><br> (上田) <br> Mr. Ueda is in charge of a new project.
上田さんは新しいプロジェクトを担当しています。 <br><br> (上田)	<b>うえださんはあたらしいプロジェクトをたんとうしています。</b> <br> Mr. Ueda is in charge of a new project. <br> [sound:4c-s-上田さんは新しいプロジェクトを担当しています。.mp3]
Mr. Ueda is in charge of a new project.	<b>上田さんは新しいプロジェクトを担当しています。</b> <br> うえださんはあたらしいプロジェクトをたんとうしています。 <br><br> (上田) <br> [sound:4c-s-上田さんは新しいプロジェクトを担当しています。.mp3]
[sound:4c-k-水田.mp3]	<b>水田</b> <br> すいでん <br> (water-filled) paddy field
水田	<b>すいでん</b> <br> (water-filled) paddy field <br> [sound:4c-k-水田.mp3]
(water-filled) paddy field	<b>水田</b> <br> すいでん <br> [sound:4c-k-水田.mp3]
[sound:4c-s-この地域には広い水田があります。.mp3]	<b>この地域には広い水田があります。</b> <br> このちいきにはひろいすいでんがあります。 <br><br> (水田) <br> This area has vast rice fields.
この地域には広い水田があります。 <br><br> (水田)	<b>このちいきにはひろいすいでんがあります。</b> <br> This area has vast rice fields. <br> [sound:4c-s-この地域には広い水田があります。.mp3]
This area has vast rice fields.	<b>この地域には広い水田があります。</b> <br> このちいきにはひろいすいでんがあります。 <br><br> (水田) <br> [sound:4c-s-この地域には広い水田があります。.mp3]
[sound:4c-k-油田.mp3]	<b>油田</b> <br> ゆでん <br> oil field
油田	<b>ゆでん</b> <br> oil field <br> [sound:4c-k-油田.mp3]
oil field	<b>油田</b> <br> ゆでん <br> [sound:4c-k-油田.mp3]
[sound:4c-s-新しい油田が発見されました。.mp3]	<b>新しい油田が発見されました。</b> <br> あたらしいゆでんがはっけんされました。 <br><br> (油田) <br> A new oil field has been discovered.
新しい油田が発見されました。 <br><br> (油田)	<b>あたらしいゆでんがはっけんされました。</b> <br> A new oil field has been discovered. <br> [sound:4c-s-新しい油田が発見されました。.mp3]
A new oil field has been discovered.	<b>新しい油田が発見されました。</b> <br> あたらしいゆでんがはっけんされました。 <br><br> (油田) <br> [sound:4c-s-新しい油田が発見されました。.mp3]
[sound:4c-k-田舎.mp3]	<b>田舎</b> <br> いなか <br> rural area, countryside, the sticks; hometown
田舎	<b>いなか</b> <br> rural area, countryside, the sticks; hometown <br> [sound:4c-k-田舎.mp3]
rural area, countryside, the sticks; hometown	<b>田舎</b> <br> いなか <br> [sound:4c-k-田舎.mp3]
[sound:4c-s-田舎の生活は静かで快適です。.mp3]	<b>田舎の生活は静かで快適です。</b> <br> いなかのせいかつはしずかでかいてきです。 <br><br> (田舎) <br> Rural life is peaceful and comfortable.
田舎の生活は静かで快適です。 <br><br> (田舎)	<b>いなかのせいかつはしずかでかいてきです。</b> <br> Rural life is peaceful and comfortable. <br> [sound:4c-s-田舎の生活は静かで快適です。.mp3]
Rural life is peaceful and comfortable.	<b>田舎の生活は静かで快適です。</b> <br> いなかのせいかつはしずかでかいてきです。 <br><br> (田舎) <br> [sound:4c-s-田舎の生活は静かで快適です。.mp3]
[sound:4c-k-当局.mp3]	<b>当局</b> <br> とうきょく <br> authorities; this office
当局	<b>とうきょく</b> <br> authorities; this office <br> [sound:4c-k-当局.mp3]
authorities; this office	<b>当局</b> <br> とうきょく <br> [sound:4c-k-当局.mp3]
[sound:4c-s-当局が調査を開始しました。.mp3]	<b>当局が調査を開始しました。</b> <br> とうきょくがちょうさをかいししました。 <br><br> (当局) <br> The authorities have started an investigation.
当局が調査を開始しました。 <br><br> (当局)	<b>とうきょくがちょうさをかいししました。</b> <br> The authorities have started an investigation. <br> [sound:4c-s-当局が調査を開始しました。.mp3]
The authorities have started an investigation.	<b>当局が調査を開始しました。</b> <br> とうきょくがちょうさをかいししました。 <br><br> (当局) <br> [sound:4c-s-当局が調査を開始しました。.mp3]
[sound:4c-k-当時.mp3]	<b>当時</b> <br> とうじ <br> at that time, in those days
当時	<b>とうじ</b> <br> at that time, in those days <br> [sound:4c-k-当時.mp3]
at that time, in those days	<b>当時</b> <br> とうじ <br> [sound:4c-k-当時.mp3]
[sound:4c-s-当時の状況は今とは異なります。.mp3]	<b>当時の状況は今とは異なります。</b> <br> とうじのじょうきょうはいまとはことなります。 <br><br> (当時) <br> The situation at that time was different from now.
当時の状況は今とは異なります。 <br><br> (当時)	<b>とうじのじょうきょうはいまとはことなります。</b> <br> The situation at that time was different from now. <br> [sound:4c-s-当時の状況は今とは異なります。.mp3]
The situation at that time was different from now.	<b>当時の状況は今とは異なります。</b> <br> とうじのじょうきょうはいまとはことなります。 <br><br> (当時) <br> [sound:4c-s-当時の状況は今とは異なります。.mp3]
[sound:4c-k-当初.mp3]	<b>当初</b> <br> とうしょ <br> at first
当初	<b>とうしょ</b> <br> at first <br> [sound:4c-k-当初.mp3]
at first	<b>当初</b> <br> とうしょ <br> [sound:4c-k-当初.mp3]
[sound:4c-s-当初の計画は変更されました。.mp3]	<b>当初の計画は変更されました。</b> <br> とうしょのけいかくはへんこうされました。 <br><br> (当初) <br> The original plan was changed.
当初の計画は変更されました。 <br><br> (当初)	<b>とうしょのけいかくはへんこうされました。</b> <br> The original plan was changed. <br> [sound:4c-s-当初の計画は変更されました。.mp3]
The original plan was changed.	<b>当初の計画は変更されました。</b> <br> とうしょのけいかくはへんこうされました。 <br><br> (当初) <br> [sound:4c-s-当初の計画は変更されました。.mp3]
[sound:4c-k-担当.mp3]	<b>担当</b> <br> たんとう <br> (in) charge
担当	<b>たんとう</b> <br> (in) charge <br> [sound:4c-k-担当.mp3]
(in) charge	<b>担当</b> <br> たんとう <br> [sound:4c-k-担当.mp3]
[sound:4c-s-彼はこのプロジェクトを担当しています。.mp3]	<b>彼はこのプロジェクトを担当しています。</b> <br> かれはこのプロジェクトをたんとうしています。 <br><br> (担当) <br> He is in charge of this project.
彼はこのプロジェクトを担当しています。 <br><br> (担当)	<b>かれはこのプロジェクトをたんとうしています。</b> <br> He is in charge of this project. <br> [sound:4c-s-彼はこのプロジェクトを担当しています。.mp3]
He is in charge of this project.	<b>彼はこのプロジェクトを担当しています。</b> <br> かれはこのプロジェクトをたんとうしています。 <br><br> (担当) <br> [sound:4c-s-彼はこのプロジェクトを担当しています。.mp3]
[sound:4c-k-八.mp3]	<b>八</b> <br> はち, や <br> eight
八	<b>はち, や</b> <br> eight <br> [sound:4c-k-八.mp3]
eight	<b>八</b> <br> はち, や <br> [sound:4c-k-八.mp3]
[sound:4c-s-八人が集まりました。.mp3]	<b>八人が集まりました。</b> <br> はちにんがあつまりました。 <br><br> (八) <br> Eight people gathered.
八人が集まりました。 <br><br> (八)	<b>はちにんがあつまりました。</b> <br> Eight people gathered. <br> [sound:4c-s-八人が集まりました。.mp3]
Eight people gathered.	<b>八人が集まりました。</b> <br> はちにんがあつまりました。 <br><br> (八) <br> [sound:4c-s-八人が集まりました。.mp3]
[sound:4c-k-十八.mp3]	<b>十八</b> <br> じゅうはち <br> 18, eighteen
十八	<b>じゅうはち</b> <br> 18, eighteen <br> [sound:4c-k-十八.mp3]
18, eighteen	<b>十八</b> <br> じゅうはち <br> [sound:4c-k-十八.mp3]
[sound:4c-s-彼は十八歳になりました。.mp3]	<b>彼は十八歳になりました。</b> <br> かれはじゅうはっさいになりました。 <br><br> (十八) <br> He turned eighteen years old.
彼は十八歳になりました。 <br><br> (十八)	<b>かれはじゅうはっさいになりました。</b> <br> He turned eighteen years old. <br> [sound:4c-s-彼は十八歳になりました。.mp3]
He turned eighteen years old.	<b>彼は十八歳になりました。</b> <br> かれはじゅうはっさいになりました。 <br><br> (十八) <br> [sound:4c-s-彼は十八歳になりました。.mp3]
[sound:4c-k-八月.mp3]	<b>八月</b> <br> はちがつ <br> August
八月	<b>はちがつ</b> <br> August <br> [sound:4c-k-八月.mp3]
August	<b>八月</b> <br> はちがつ <br> [sound:4c-k-八月.mp3]
[sound:4c-s-八月は暑いです。.mp3]	<b>八月は暑いです。</b> <br> はちがつはあついです。 <br><br> (八月) <br> August is hot.
八月は暑いです。 <br><br> (八月)	<b>はちがつはあついです。</b> <br> August is hot. <br> [sound:4c-s-八月は暑いです。.mp3]
