[sound:4c-k-着工.mp3]	<b>着工</b> <br> ちゃっこう <br> start of (construction) work
著述	<b>ちょじゅつ</b> <br> writing, literary work <br> [sound:4c-k-著述.mp3]
writing, literary work	<b>著述</b> <br> ちょじゅつ <br> [sound:4c-k-著述.mp3]
[sound:4c-s-彼は多くの本を著述しています。.mp3]	<b>彼は多くの本を著述しています。</b> <br> ぜんじゅつのとおり、このもんだいはじゅうようです。 <br><br> (著述) <br> As mentioned earlier, this issue is important.
彼は多くの本を著述しています。 <br><br> (著述)	<b>ぜんじゅつのとおり、このもんだいはじゅうようです。</b> <br> As mentioned earlier, this issue is important. <br> [sound:4c-s-彼は多くの本を著述しています。.mp3]
As mentioned earlier, this issue is important.	<b>彼は多くの本を著述しています。</b> <br> ぜんじゅつのとおり、このもんだいはじゅうようです。 <br><br> (著述) <br> [sound:4c-s-彼は多くの本を著述しています。.mp3]
[sound:4c-k-前述.mp3]	<b>前述</b> <br> ぜんじゅつ <br> aforementioned, above-mentioned
前述	<b>ぜんじゅつ</b> <br> aforementioned, above-mentioned <br> [sound:4c-k-前述.mp3]
aforementioned, above-mentioned	<b>前述</b> <br> ぜんじゅつ <br> [sound:4c-k-前述.mp3]
[sound:4c-s-前述の通り、この問題は重要です。.mp3]	<b>前述の通り、この問題は重要です。</b> <br> かれはもんだいをしょうじゅつしました。 <br><br> (前述) <br> He provided a detailed explanation of the problem.
前述の通り、この問題は重要です。 <br><br> (前述)	<b>かれはもんだいをしょうじゅつしました。</b> <br> He provided a detailed explanation of the problem. <br> [sound:4c-s-前述の通り、この問題は重要です。.mp3]
He provided a detailed explanation of the problem.	<b>前述の通り、この問題は重要です。</b> <br> かれはもんだいをしょうじゅつしました。 <br><br> (前述) <br> [sound:4c-s-前述の通り、この問題は重要です。.mp3]
[sound:4c-k-詳述.mp3]	<b>詳述</b> <br> しょうじゅつ <br> detailed explanation
詳述	<b>しょうじゅつ</b> <br> detailed explanation <br> [sound:4c-k-詳述.mp3]
detailed explanation	<b>詳述</b> <br> しょうじゅつ <br> [sound:4c-k-詳述.mp3]
[sound:4c-s-彼は問題を詳述しました。.mp3]	<b>彼は問題を詳述しました。</b> <br> しけんにごうかくできなくてざんねんです。 <br><br> (詳述) <br> I’m disappointed that I didn’t pass the exam.
彼は問題を詳述しました。 <br><br> (詳述)	<b>しけんにごうかくできなくてざんねんです。</b> <br> I’m disappointed that I didn’t pass the exam. <br> [sound:4c-s-彼は問題を詳述しました。.mp3]
I’m disappointed that I didn’t pass the exam.	<b>彼は問題を詳述しました。</b> <br> しけんにごうかくできなくてざんねんです。 <br><br> (詳述) <br> [sound:4c-s-彼は問題を詳述しました。.mp3]
[sound:4c-k-残念.mp3]	<b>残念</b> <br> ざんねん <br> deplorable, bad luck, regret, disappointment
残念	<b>ざんねん</b> <br> deplorable, bad luck, regret, disappointment <br> [sound:4c-k-残念.mp3]
deplorable, bad luck, regret, disappointment	<b>残念</b> <br> ざんねん <br> [sound:4c-k-残念.mp3]
[sound:4c-s-試験に合格できなくて残念です。.mp3]	<b>試験に合格できなくて残念です。</b> <br> かれはちーむにざんりゅうすることをけっていしました。 <br><br> (残念) <br> He decided to remain with the team.
試験に合格できなくて残念です。 <br><br> (残念)	<b>かれはちーむにざんりゅうすることをけっていしました。</b> <br> He decided to remain with the team. <br> [sound:4c-s-試験に合格できなくて残念です。.mp3]
He decided to remain with the team.	<b>試験に合格できなくて残念です。</b> <br> かれはちーむにざんりゅうすることをけっていしました。 <br><br> (残念) <br> [sound:4c-s-試験に合格できなくて残念です。.mp3]
[sound:4c-k-残留.mp3]	<b>残留</b> <br> ざんりゅう <br> residual, residue; stay behind, stay back
残留	<b>ざんりゅう</b> <br> residual, residue; stay behind, stay back <br> [sound:4c-k-残留.mp3]
residual, residue; stay behind, stay back	<b>残留</b> <br> ざんりゅう <br> [sound:4c-k-残留.mp3]
[sound:4c-s-彼はチームに残留することを決定しました。.mp3]	<b>彼はチームに残留することを決定しました。</b> <br> ぎんこうのざんだかをかくにんしました。 <br><br> (残留) <br> I checked my bank balance.
彼はチームに残留することを決定しました。 <br><br> (残留)	<b>ぎんこうのざんだかをかくにんしました。</b> <br> I checked my bank balance. <br> [sound:4c-s-彼はチームに残留することを決定しました。.mp3]
I checked my bank balance.	<b>彼はチームに残留することを決定しました。</b> <br> ぎんこうのざんだかをかくにんしました。 <br><br> (残留) <br> [sound:4c-s-彼はチームに残留することを決定しました。.mp3]
[sound:4c-k-残高.mp3]	<b>残高</b> <br> ざんだか <br> (bank) balance, remainder
残高	<b>ざんだか</b> <br> (bank) balance, remainder <br> [sound:4c-k-残高.mp3]
(bank) balance, remainder	<b>残高</b> <br> ざんだか <br> [sound:4c-k-残高.mp3]
[sound:4c-s-銀行の残高を確認しました。.mp3]	<b>銀行の残高を確認しました。</b> <br> きょうはざんぎょうがおおかったです。 <br><br> (残高) <br> I had a lot of overtime today.
銀行の残高を確認しました。 <br><br> (残高)	<b>きょうはざんぎょうがおおかったです。</b> <br> I had a lot of overtime today. <br> [sound:4c-s-銀行の残高を確認しました。.mp3]
I had a lot of overtime today.	<b>銀行の残高を確認しました。</b> <br> きょうはざんぎょうがおおかったです。 <br><br> (残高) <br> [sound:4c-s-銀行の残高を確認しました。.mp3]
[sound:4c-k-残業.mp3]	<b>残業</b> <br> ざんぎょう <br> overtime (work)
残業	<b>ざんぎょう</b> <br> overtime (work) <br> [sound:4c-k-残業.mp3]
overtime (work)	<b>残業</b> <br> ざんぎょう <br> [sound:4c-k-残業.mp3]
[sound:4c-s-今日は残業が多かったです。.mp3]	<b>今日は残業が多かったです。</b> <br> えいがをみたあとのかんそうをきかせてください。 <br><br> (残業) <br> Please tell me your thoughts after watching the movie.
今日は残業が多かったです。 <br><br> (残業)	<b>えいがをみたあとのかんそうをきかせてください。</b> <br> Please tell me your thoughts after watching the movie. <br> [sound:4c-s-今日は残業が多かったです。.mp3]
Please tell me your thoughts after watching the movie.	<b>今日は残業が多かったです。</b> <br> えいがをみたあとのかんそうをきかせてください。 <br><br> (残業) <br> [sound:4c-s-今日は残業が多かったです。.mp3]
[sound:4c-k-感想.mp3]	<b>感想</b> <br> かんそう <br> impressions, thoughts
感想	<b>かんそう</b> <br> impressions, thoughts <br> [sound:4c-k-感想.mp3]
impressions, thoughts	<b>感想</b> <br> かんそう <br> [sound:4c-k-感想.mp3]
[sound:4c-s-映画を見た後の感想を聞かせてください。.mp3]	<b>映画を見た後の感想を聞かせてください。</b> <br> かれのはっそうはとてもゆにーくです。 <br><br> (感想) <br> His idea is very unique.
映画を見た後の感想を聞かせてください。 <br><br> (感想)	<b>かれのはっそうはとてもゆにーくです。</b> <br> His idea is very unique. <br> [sound:4c-s-映画を見た後の感想を聞かせてください。.mp3]
His idea is very unique.	<b>映画を見た後の感想を聞かせてください。</b> <br> かれのはっそうはとてもゆにーくです。 <br><br> (感想) <br> [sound:4c-s-映画を見た後の感想を聞かせてください。.mp3]
[sound:4c-k-発想.mp3]	<b>発想</b> <br> はっそう <br> expression (e.g. in music), idea, conception
発想	<b>はっそう</b> <br> expression (e.g. in music), idea, conception <br> [sound:4c-k-発想.mp3]
expression (e.g. in music), idea, conception	<b>発想</b> <br> はっそう <br> [sound:4c-k-発想.mp3]
[sound:4c-s-彼の発想はとてもユニークです。.mp3]	<b>彼の発想はとてもユニークです。</b> <br> りそうのせいかつをおくるためにどりょくしています。 <br><br> (発想) <br> I am working hard to live my ideal life.
彼の発想はとてもユニークです。 <br><br> (発想)	<b>りそうのせいかつをおくるためにどりょくしています。</b> <br> I am working hard to live my ideal life. <br> [sound:4c-s-彼の発想はとてもユニークです。.mp3]
I am working hard to live my ideal life.	<b>彼の発想はとてもユニークです。</b> <br> りそうのせいかつをおくるためにどりょくしています。 <br><br> (発想) <br> [sound:4c-s-彼の発想はとてもユニークです。.mp3]
[sound:4c-k-理想.mp3]	<b>理想</b> <br> りそう <br> ideal, dream
理想	<b>りそう</b> <br> ideal, dream <br> [sound:4c-k-理想.mp3]
ideal, dream	<b>理想</b> <br> りそう <br> [sound:4c-k-理想.mp3]
[sound:4c-s-理想の生活を送るために努力しています。.mp3]	<b>理想の生活を送るために努力しています。</b> <br> このけしきはそうぞういじょうにうつくしいです。 <br><br> (理想) <br> This view is even more beautiful than I imagined.
理想の生活を送るために努力しています。 <br><br> (理想)	<b>このけしきはそうぞういじょうにうつくしいです。</b> <br> This view is even more beautiful than I imagined. <br> [sound:4c-s-理想の生活を送るために努力しています。.mp3]
This view is even more beautiful than I imagined.	<b>理想の生活を送るために努力しています。</b> <br> このけしきはそうぞういじょうにうつくしいです。 <br><br> (理想) <br> [sound:4c-s-理想の生活を送るために努力しています。.mp3]
[sound:4c-k-想像.mp3]	<b>想像</b> <br> そうぞう <br> imagination, guess
想像	<b>そうぞう</b> <br> imagination, guess <br> [sound:4c-k-想像.mp3]
imagination, guess	<b>想像</b> <br> そうぞう <br> [sound:4c-k-想像.mp3]
[sound:4c-s-この景色は想像以上に美しいです。.mp3]	<b>この景色は想像以上に美しいです。</b> <br> だせんがぜっこうちょうです。 <br><br> (想像) <br> The batting lineup is in great form.
この景色は想像以上に美しいです。 <br><br> (想像)	<b>だせんがぜっこうちょうです。</b> <br> The batting lineup is in great form. <br> [sound:4c-s-この景色は想像以上に美しいです。.mp3]
The batting lineup is in great form.	<b>この景色は想像以上に美しいです。</b> <br> だせんがぜっこうちょうです。 <br><br> (想像) <br> [sound:4c-s-この景色は想像以上に美しいです。.mp3]
[sound:4c-k-打線.mp3]	<b>打線</b> <br> だせん <br> baseball lineup
打線	<b>だせん</b> <br> baseball lineup <br> [sound:4c-k-打線.mp3]
baseball lineup	<b>打線</b> <br> だせん <br> [sound:4c-k-打線.mp3]
[sound:4c-s-打線が絶好調です。.mp3]	<b>打線が絶好調です。</b> <br> せんせんがげっかしています。 <br><br> (打線) <br> The front lines are intensifying.
打線が絶好調です。 <br><br> (打線)	<b>せんせんがげっかしています。</b> <br> The front lines are intensifying. <br> [sound:4c-s-打線が絶好調です。.mp3]
The front lines are intensifying.	<b>打線が絶好調です。</b> <br> せんせんがげっかしています。 <br><br> (打線) <br> [sound:4c-s-打線が絶好調です。.mp3]
[sound:4c-k-戦線.mp3]	<b>戦線</b> <br> せんせん <br> (war) front
戦線	<b>せんせん</b> <br> (war) front <br> [sound:4c-k-戦線.mp3]
(war) front	<b>戦線</b> <br> せんせん <br> [sound:4c-k-戦線.mp3]
[sound:4c-s-戦線が激化しています。.mp3]	<b>戦線が激化しています。</b> <br> さんじゅうはちどせんはちょうせんはんとうをわけるきょうかいせんです。 <br><br> (戦線) <br> The 38th parallel is the dividing line on the Korean Peninsula.
戦線が激化しています。 <br><br> (戦線)	<b>さんじゅうはちどせんはちょうせんはんとうをわけるきょうかいせんです。</b> <br> The 38th parallel is the dividing line on the Korean Peninsula. <br> [sound:4c-s-戦線が激化しています。.mp3]
The 38th parallel is the dividing line on the Korean Peninsula.	<b>戦線が激化しています。</b> <br> さんじゅうはちどせんはちょうせんはんとうをわけるきょうかいせんです。 <br><br> (戦線) <br> [sound:4c-s-戦線が激化しています。.mp3]
[sound:4c-k-三十八度線.mp3]	<b>三十八度線</b> <br> さんじゅうはちどせん <br> the Thirty-eighth Parallel
三十八度線	<b>さんじゅうはちどせん</b> <br> the Thirty-eighth Parallel <br> [sound:4c-k-三十八度線.mp3]
the Thirty-eighth Parallel	<b>三十八度線</b> <br> さんじゅうはちどせん <br> [sound:4c-k-三十八度線.mp3]
[sound:4c-s-三十八度線は朝鮮半島を分ける境界線です。.mp3]	<b>三十八度線は朝鮮半島を分ける境界線です。</b> <br> むせんつうしんがあんていしています。 <br><br> (三十八度線) <br> Wireless communication is stable.
三十八度線は朝鮮半島を分ける境界線です。 <br><br> (三十八度線)	<b>むせんつうしんがあんていしています。</b> <br> Wireless communication is stable. <br> [sound:4c-s-三十八度線は朝鮮半島を分ける境界線です。.mp3]
Wireless communication is stable.	<b>三十八度線は朝鮮半島を分ける境界線です。</b> <br> むせんつうしんがあんていしています。 <br><br> (三十八度線) <br> [sound:4c-s-三十八度線は朝鮮半島を分ける境界線です。.mp3]
[sound:4c-k-無線.mp3]	<b>無線</b> <br> むせん <br> wireless, radio
無線	<b>むせん</b> <br> wireless, radio <br> [sound:4c-k-無線.mp3]
wireless, radio	<b>無線</b> <br> むせん <br> [sound:4c-k-無線.mp3]
[sound:4c-s-無線通信が安定しています。.mp3]	<b>無線通信が安定しています。</b> <br> そのどらまのしちょうりつはたかいです。 <br><br> (無線) <br> The viewership rating for that drama is high.
無線通信が安定しています。 <br><br> (無線)	<b>そのどらまのしちょうりつはたかいです。</b> <br> The viewership rating for that drama is high. <br> [sound:4c-s-無線通信が安定しています。.mp3]
The viewership rating for that drama is high.	<b>無線通信が安定しています。</b> <br> そのどらまのしちょうりつはたかいです。 <br><br> (無線) <br> [sound:4c-s-無線通信が安定しています。.mp3]
[sound:4c-k-視聴率.mp3]	<b>視聴率</b> <br> しちょうりつ <br> ratings (of a television program) (programme)
視聴率	<b>しちょうりつ</b> <br> ratings (of a television program) (programme) <br> [sound:4c-k-視聴率.mp3]
ratings (of a television program) (programme)	<b>視聴率</b> <br> しちょうりつ <br> [sound:4c-k-視聴率.mp3]
[sound:4c-s-そのドラマの視聴率は高いです。.mp3]	<b>そのドラマの視聴率は高いです。</b> <br> ことしのうりあげののびりつはよそうをこえました。 <br><br> (視聴率) <br> This year’s sales growth exceeded expectations.
そのドラマの視聴率は高いです。 <br><br> (視聴率)	<b>ことしのうりあげののびりつはよそうをこえました。</b> <br> This year’s sales growth exceeded expectations. <br> [sound:4c-s-そのドラマの視聴率は高いです。.mp3]
This year’s sales growth exceeded expectations.	<b>そのドラマの視聴率は高いです。</b> <br> ことしのうりあげののびりつはよそうをこえました。 <br><br> (視聴率) <br> [sound:4c-s-そのドラマの視聴率は高いです。.mp3]
[sound:4c-k-伸び率.mp3]	<b>伸び率</b> <br> のびりつ <br> growth rate, coefficient of extension
伸び率	<b>のびりつ</b> <br> growth rate, coefficient of extension <br> [sound:4c-k-伸び率.mp3]
growth rate, coefficient of extension	<b>伸び率</b> <br> のびりつ <br> [sound:4c-k-伸び率.mp3]
[sound:4c-s-今年の売上の伸び率は予想を超えました。.mp3]	<b>今年の売上の伸び率は予想を超えました。</b> <br> かれはそっちょくにいけんをいいました。 <br><br> (伸び率) <br> He spoke his opinion frankly.
今年の売上の伸び率は予想を超えました。 <br><br> (伸び率)	<b>かれはそっちょくにいけんをいいました。</b> <br> He spoke his opinion frankly. <br> [sound:4c-s-今年の売上の伸び率は予想を超えました。.mp3]
He spoke his opinion frankly.	<b>今年の売上の伸び率は予想を超えました。</b> <br> かれはそっちょくにいけんをいいました。 <br><br> (伸び率) <br> [sound:4c-s-今年の売上の伸び率は予想を超えました。.mp3]
[sound:4c-k-率直.mp3]	<b>率直</b> <br> そっちょく <br> frankness, candour, candor, openheartedness
率直	<b>そっちょく</b> <br> frankness, candour, candor, openheartedness <br> [sound:4c-k-率直.mp3]
frankness, candour, candor, openheartedness	<b>率直</b> <br> そっちょく <br> [sound:4c-k-率直.mp3]
[sound:4c-s-彼は率直に意見を言いました。.mp3]	<b>彼は率直に意見を言いました。</b> <br> かれのだりつはひじょうにたかいです。 <br><br> (率直) <br> His batting average is very high.
彼は率直に意見を言いました。 <br><br> (率直)	<b>かれのだりつはひじょうにたかいです。</b> <br> His batting average is very high. <br> [sound:4c-s-彼は率直に意見を言いました。.mp3]
His batting average is very high.	<b>彼は率直に意見を言いました。</b> <br> かれのだりつはひじょうにたかいです。 <br><br> (率直) <br> [sound:4c-s-彼は率直に意見を言いました。.mp3]
[sound:4c-k-打率.mp3]	<b>打率</b> <br> だりつ <br> batting average
打率	<b>だりつ</b> <br> batting average <br> [sound:4c-k-打率.mp3]
batting average	<b>打率</b> <br> だりつ <br> [sound:4c-k-打率.mp3]
[sound:4c-s-彼の打率は非常に高いです。.mp3]	<b>彼の打率は非常に高いです。</b> <br> とうにょうびょうのよぼうにはうんどうがじゅうようです。 <br><br> (打率) <br> Exercise is important for preventing diabetes.
彼の打率は非常に高いです。 <br><br> (打率)	<b>とうにょうびょうのよぼうにはうんどうがじゅうようです。</b> <br> Exercise is important for preventing diabetes. <br> [sound:4c-s-彼の打率は非常に高いです。.mp3]
Exercise is important for preventing diabetes.	<b>彼の打率は非常に高いです。</b> <br> とうにょうびょうのよぼうにはうんどうがじゅうようです。 <br><br> (打率) <br> [sound:4c-s-彼の打率は非常に高いです。.mp3]
[sound:4c-k-糖尿病.mp3]	<b>糖尿病</b> <br> とうにょうびょう <br> diabetes mellitus, sugar diabetes
糖尿病	<b>とうにょうびょう</b> <br> diabetes mellitus, sugar diabetes <br> [sound:4c-k-糖尿病.mp3]
diabetes mellitus, sugar diabetes	<b>糖尿病</b> <br> とうにょうびょう <br> [sound:4c-k-糖尿病.mp3]
[sound:4c-s-糖尿病の予防には運動が重要です。.mp3]	<b>糖尿病の予防には運動が重要です。</b> <br> はっけつびょうはけつえきのがんのいっしゅです。 <br><br> (糖尿病) <br> Leukemia is a type of blood cancer.
糖尿病の予防には運動が重要です。 <br><br> (糖尿病)	<b>はっけつびょうはけつえきのがんのいっしゅです。</b> <br> Leukemia is a type of blood cancer. <br> [sound:4c-s-糖尿病の予防には運動が重要です。.mp3]
Leukemia is a type of blood cancer.	<b>糖尿病の予防には運動が重要です。</b> <br> はっけつびょうはけつえきのがんのいっしゅです。 <br><br> (糖尿病) <br> [sound:4c-s-糖尿病の予防には運動が重要です。.mp3]
[sound:4c-k-白血病.mp3]	<b>白血病</b> <br> はっけつびょう <br> leukemia
白血病	<b>はっけつびょう</b> <br> leukemia <br> [sound:4c-k-白血病.mp3]
