tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
彼の研究室は大学の最上階にあります。 <br><br> (研究室)	<b>かれのけんきゅうしつはだいがくのさいじょうかいにあります。</b> <br> His laboratory is on the top floor of the university. <br> [sound:4c-s-彼の研究室は大学の最上階にあります。.mp3]
His laboratory is on the top floor of the university.	<b>彼の研究室は大学の最上階にあります。</b> <br> かれのけんきゅうしつはだいがくのさいじょうかいにあります。 <br><br> (研究室) <br> [sound:4c-s-彼の研究室は大学の最上階にあります。.mp3]
[sound:4c-k-研究家.mp3]	<b>研究家</b> <br> けんきゅうか <br> researcher, student (of)
研究家	<b>けんきゅうか</b> <br> researcher, student (of) <br> [sound:4c-k-研究家.mp3]
researcher, student (of)	<b>研究家</b> <br> けんきゅうか <br> [sound:4c-k-研究家.mp3]
[sound:4c-s-この研究家は歴史に関する書籍を多数出版しています。.mp3]	<b>この研究家は歴史に関する書籍を多数出版しています。</b> <br> このけんきゅうかはれきしにかんするしょせきをたすうしゅっぱんしています。 <br><br> (研究家) <br> This scholar has published many books on history.
この研究家は歴史に関する書籍を多数出版しています。 <br><br> (研究家)	<b>このけんきゅうかはれきしにかんするしょせきをたすうしゅっぱんしています。</b> <br> This scholar has published many books on history. <br> [sound:4c-s-この研究家は歴史に関する書籍を多数出版しています。.mp3]
This scholar has published many books on history.	<b>この研究家は歴史に関する書籍を多数出版しています。</b> <br> このけんきゅうかはれきしにかんするしょせきをたすうしゅっぱんしています。 <br><br> (研究家) <br> [sound:4c-s-この研究家は歴史に関する書籍を多数出版しています。.mp3]
[sound:4c-k-収益.mp3]	<b>収益</b> <br> しゅうえき <br> earnings, proceeds, returns
収益	<b>しゅうえき</b> <br> earnings, proceeds, returns <br> [sound:4c-k-収益.mp3]
earnings, proceeds, returns	<b>収益</b> <br> しゅうえき <br> [sound:4c-k-収益.mp3]
[sound:4c-s-今年の収益は予想を上回りました。.mp3]	<b>今年の収益は予想を上回りました。</b> <br> ことしのしゅうえきはよそうをうわまわりました。 <br><br> (収益) <br> This year's earnings exceeded expectations.
今年の収益は予想を上回りました。 <br><br> (収益)	<b>ことしのしゅうえきはよそうをうわまわりました。</b> <br> This year's earnings exceeded expectations. <br> [sound:4c-s-今年の収益は予想を上回りました。.mp3]
This year's earnings exceeded expectations.	<b>今年の収益は予想を上回りました。</b> <br> ことしのしゅうえきはよそうをうわまわりました。 <br><br> (収益) <br> [sound:4c-s-今年の収益は予想を上回りました。.mp3]
[sound:4c-k-収賄.mp3]	<b>収賄</b> <br> しゅうわい <br> accepting bribes, corruption, graft
収賄	<b>しゅうわい</b> <br> accepting bribes, corruption, graft <br> [sound:4c-k-収賄.mp3]
accepting bribes, corruption, graft	<b>収賄</b> <br> しゅうわい <br> [sound:4c-k-収賄.mp3]
[sound:4c-s-彼は収賄で逮捕されました。.mp3]	<b>彼は収賄で逮捕されました。</b> <br> かれはしゅうわいでたいほされました。 <br><br> (収賄) <br> He was arrested for bribery.
彼は収賄で逮捕されました。 <br><br> (収賄)	<b>かれはしゅうわいでたいほされました。</b> <br> He was arrested for bribery. <br> [sound:4c-s-彼は収賄で逮捕されました。.mp3]
He was arrested for bribery.	<b>彼は収賄で逮捕されました。</b> <br> かれはしゅうわいでたいほされました。 <br><br> (収賄) <br> [sound:4c-s-彼は収賄で逮捕されました。.mp3]
[sound:4c-k-税収.mp3]	<b>税収</b> <br> ぜいしゅう <br> tax yields, revenue
税収	<b>ぜいしゅう</b> <br> tax yields, revenue <br> [sound:4c-k-税収.mp3]
tax yields, revenue	<b>税収</b> <br> ぜいしゅう <br> [sound:4c-k-税収.mp3]
[sound:4c-s-税収は予算の目標を達成しました。.mp3]	<b>税収は予算の目標を達成しました。</b> <br> ぜいしゅうはよさんのもくひょうをたっせいしました。 <br><br> (税収) <br> Tax revenue has reached the budget target.
税収は予算の目標を達成しました。 <br><br> (税収)	<b>ぜいしゅうはよさんのもくひょうをたっせいしました。</b> <br> Tax revenue has reached the budget target. <br> [sound:4c-s-税収は予算の目標を達成しました。.mp3]
Tax revenue has reached the budget target.	<b>税収は予算の目標を達成しました。</b> <br> ぜいしゅうはよさんのもくひょうをたっせいしました。 <br><br> (税収) <br> [sound:4c-s-税収は予算の目標を達成しました。.mp3]
[sound:4c-k-買収.mp3]	<b>買収</b> <br> ばいしゅう <br> buying, purchase; corruption, bribery
買収	<b>ばいしゅう</b> <br> buying, purchase; corruption, bribery <br> [sound:4c-k-買収.mp3]
buying, purchase; corruption, bribery	<b>買収</b> <br> ばいしゅう <br> [sound:4c-k-買収.mp3]
[sound:4c-s-その企業は他の会社を買収しました。.mp3]	<b>その企業は他の会社を買収しました。</b> <br> そのきぎょうはほかのかいしゃをばいしゅうしました。 <br><br> (買収) <br> The company acquired another company.
その企業は他の会社を買収しました。 <br><br> (買収)	<b>そのきぎょうはほかのかいしゃをばいしゅうしました。</b> <br> The company acquired another company. <br> [sound:4c-s-その企業は他の会社を買収しました。.mp3]
The company acquired another company.	<b>その企業は他の会社を買収しました。</b> <br> そのきぎょうはほかのかいしゃをばいしゅうしました。 <br><br> (買収) <br> [sound:4c-s-その企業は他の会社を買収しました。.mp3]
[sound:4c-k-診断.mp3]	<b>診断</b> <br> しんだん <br> diagnosis
診断	<b>しんだん</b> <br> diagnosis <br> [sound:4c-k-診断.mp3]
diagnosis	<b>診断</b> <br> しんだん <br> [sound:4c-k-診断.mp3]
[sound:4c-s-医者は病気の診断を下しました。.mp3]	<b>医者は病気の診断を下しました。</b> <br> いしゃはびょうきのしんだんをくだしました。 <br><br> (診断) <br> The doctor made a diagnosis of the illness.
医者は病気の診断を下しました。 <br><br> (診断)	<b>いしゃはびょうきのしんだんをくだしました。</b> <br> The doctor made a diagnosis of the illness. <br> [sound:4c-s-医者は病気の診断を下しました。.mp3]
The doctor made a diagnosis of the illness.	<b>医者は病気の診断を下しました。</b> <br> いしゃはびょうきのしんだんをくだしました。 <br><br> (診断) <br> [sound:4c-s-医者は病気の診断を下しました。.mp3]
[sound:4c-k-断る.mp3]	<b>断る</b> <br> ことわる <br> to refuse, to reject, to dismiss, to turn down, to decline; to inform, to give notice; to ask leave, to excuse oneself (from)
断る	<b>ことわる</b> <br> to refuse, to reject, to dismiss, to turn down, to decline; to inform, to give notice; to ask leave, to excuse oneself (from) <br> [sound:4c-k-断る.mp3]
to refuse, to reject, to dismiss, to turn down, to decline; to inform, to give notice; to ask leave, to excuse oneself (from)	<b>断る</b> <br> ことわる <br> [sound:4c-k-断る.mp3]
[sound:4c-s-彼は私のお願いを断りました。.mp3]	<b>彼は私のお願いを断りました。</b> <br> かれはわたしのおねがいをことわりました。 <br><br> (断る) <br> He declined my request.
彼は私のお願いを断りました。 <br><br> (断る)	<b>かれはわたしのおねがいをことわりました。</b> <br> He declined my request. <br> [sound:4c-s-彼は私のお願いを断りました。.mp3]
He declined my request.	<b>彼は私のお願いを断りました。</b> <br> かれはわたしのおねがいをことわりました。 <br><br> (断る) <br> [sound:4c-s-彼は私のお願いを断りました。.mp3]
[sound:4c-k-断らず.mp3]	<b>断らず</b> <br> ことわらず <br> without permission
断らず	<b>ことわらず</b> <br> without permission <br> [sound:4c-k-断らず.mp3]
without permission	<b>断らず</b> <br> ことわらず <br> [sound:4c-k-断らず.mp3]
[sound:4c-s-彼はどんな状況でも断らずに手伝ってくれます。.mp3]	<b>彼はどんな状況でも断らずに手伝ってくれます。</b> <br> かれはどんなじょうきょうでもことわらずにてつだってくれます。 <br><br> (断らず) <br> He helps without refusal in any situation.
彼はどんな状況でも断らずに手伝ってくれます。 <br><br> (断らず)	<b>かれはどんなじょうきょうでもことわらずにてつだってくれます。</b> <br> He helps without refusal in any situation. <br> [sound:4c-s-彼はどんな状況でも断らずに手伝ってくれます。.mp3]
He helps without refusal in any situation.	<b>彼はどんな状況でも断らずに手伝ってくれます。</b> <br> かれはどんなじょうきょうでもことわらずにてつだってくれます。 <br><br> (断らず) <br> [sound:4c-s-彼はどんな状況でも断らずに手伝ってくれます。.mp3]
[sound:4c-k-断念.mp3]	<b>断念</b> <br> だんねん <br> abandoning (hope, plans), giving up
断念	<b>だんねん</b> <br> abandoning (hope, plans), giving up <br> [sound:4c-k-断念.mp3]
abandoning (hope, plans), giving up	<b>断念</b> <br> だんねん <br> [sound:4c-k-断念.mp3]
[sound:4c-s-彼は計画を断念することに決めました。.mp3]	<b>彼は計画を断念することに決めました。</b> <br> かれはけいかくをだんねんすることにきめました。 <br><br> (断念) <br> He decided to give up on the plan.
彼は計画を断念することに決めました。 <br><br> (断念)	<b>かれはけいかくをだんねんすることにきめました。</b> <br> He decided to give up on the plan. <br> [sound:4c-s-彼は計画を断念することに決めました。.mp3]
He decided to give up on the plan.	<b>彼は計画を断念することに決めました。</b> <br> かれはけいかくをだんねんすることにきめました。 <br><br> (断念) <br> [sound:4c-s-彼は計画を断念することに決めました。.mp3]
[sound:4c-k-油井.mp3]	<b>油井</b> <br> ゆせい <br> oil well
油井	<b>ゆせい</b> <br> oil well <br> [sound:4c-k-油井.mp3]
oil well	<b>油井</b> <br> ゆせい <br> [sound:4c-k-油井.mp3]
[sound:4c-s-油井の掘削が始まりました。.mp3]	<b>油井の掘削が始まりました。</b> <br> ゆせいのくっさくがはじまりました。 <br><br> (油井) <br> The drilling of the oil well has started.
油井の掘削が始まりました。 <br><br> (油井)	<b>ゆせいのくっさくがはじまりました。</b> <br> The drilling of the oil well has started. <br> [sound:4c-s-油井の掘削が始まりました。.mp3]
The drilling of the oil well has started.	<b>油井の掘削が始まりました。</b> <br> ゆせいのくっさくがはじまりました。 <br><br> (油井) <br> [sound:4c-s-油井の掘削が始まりました。.mp3]
[sound:4c-k-筒井.mp3]	<b>筒井</b> <br> つつい <br> round well
筒井	<b>つつい</b> <br> round well <br> [sound:4c-k-筒井.mp3]
round well	<b>筒井</b> <br> つつい <br> [sound:4c-k-筒井.mp3]
[sound:4c-s-筒井さんは新しいプロジェクトのリーダーです。.mp3]	<b>筒井さんは新しいプロジェクトのリーダーです。</b> <br> つついさんはあたらしいぷろじぇくとのりーだーです。 <br><br> (筒井) <br> Tsuttsui-san is the leader of the new project.
筒井さんは新しいプロジェクトのリーダーです。 <br><br> (筒井)	<b>つついさんはあたらしいぷろじぇくとのりーだーです。</b> <br> Tsuttsui-san is the leader of the new project. <br> [sound:4c-s-筒井さんは新しいプロジェクトのリーダーです。.mp3]
Tsuttsui-san is the leader of the new project.	<b>筒井さんは新しいプロジェクトのリーダーです。</b> <br> つついさんはあたらしいぷろじぇくとのりーだーです。 <br><br> (筒井) <br> [sound:4c-s-筒井さんは新しいプロジェクトのリーダーです。.mp3]
[sound:4c-k-井戸掘り.mp3]	<b>井戸掘り</b> <br> いどほり <br> well digging, well digger
井戸掘り	<b>いどほり</b> <br> well digging, well digger <br> [sound:4c-k-井戸掘り.mp3]
well digging, well digger	<b>井戸掘り</b> <br> いどほり <br> [sound:4c-k-井戸掘り.mp3]
[sound:4c-s-井戸掘りは昔の生活の重要な部分でした。.mp3]	<b>井戸掘りは昔の生活の重要な部分でした。</b> <br> いどほりはむかしのせいかつのじゅうようなぶぶんでした。 <br><br> (井戸掘り) <br> Well digging was an important part of ancient life.
井戸掘りは昔の生活の重要な部分でした。 <br><br> (井戸掘り)	<b>いどほりはむかしのせいかつのじゅうようなぶぶんでした。</b> <br> Well digging was an important part of ancient life. <br> [sound:4c-s-井戸掘りは昔の生活の重要な部分でした。.mp3]
Well digging was an important part of ancient life.	<b>井戸掘りは昔の生活の重要な部分でした。</b> <br> いどほりはむかしのせいかつのじゅうようなぶぶんでした。 <br><br> (井戸掘り) <br> [sound:4c-s-井戸掘りは昔の生活の重要な部分でした。.mp3]
[sound:4c-k-井筒.mp3]	<b>井筒</b> <br> いづつ <br> well crib
井筒	<b>いづつ</b> <br> well crib <br> [sound:4c-k-井筒.mp3]
well crib	<b>井筒</b> <br> いづつ <br> [sound:4c-k-井筒.mp3]
[sound:4c-s-井筒は日本の伝統的な井戸の形式の一つです。.mp3]	<b>井筒は日本の伝統的な井戸の形式の一つです。</b> <br> いづつはにほんのでんとうてきないどのけいしきのひとつです。 <br><br> (井筒) <br> Idutsu is one of Japan's traditional well structures.
井筒は日本の伝統的な井戸の形式の一つです。 <br><br> (井筒)	<b>いづつはにほんのでんとうてきないどのけいしきのひとつです。</b> <br> Idutsu is one of Japan's traditional well structures. <br> [sound:4c-s-井筒は日本の伝統的な井戸の形式の一つです。.mp3]
Idutsu is one of Japan's traditional well structures.	<b>井筒は日本の伝統的な井戸の形式の一つです。</b> <br> いづつはにほんのでんとうてきないどのけいしきのひとつです。 <br><br> (井筒) <br> [sound:4c-s-井筒は日本の伝統的な井戸の形式の一つです。.mp3]
[sound:4c-k-何とか.mp3]	<b>何とか</b> <br> なんとか <br> something, something or other, so-and-so; somehow, anyhow, one way or another
何とか	<b>なんとか</b> <br> something, something or other, so-and-so; somehow, anyhow, one way or another <br> [sound:4c-k-何とか.mp3]
something, something or other, so-and-so; somehow, anyhow, one way or another	<b>何とか</b> <br> なんとか <br> [sound:4c-k-何とか.mp3]
[sound:4c-s-何とかこの問題を解決しなければなりません。.mp3]	<b>何とかこの問題を解決しなければなりません。</b> <br> なんとかこのもんだいをかいけつしなければなりません。 <br><br> (何とか) <br> We have to somehow solve this problem.
何とかこの問題を解決しなければなりません。 <br><br> (何とか)	<b>なんとかこのもんだいをかいけつしなければなりません。</b> <br> We have to somehow solve this problem. <br> [sound:4c-s-何とかこの問題を解決しなければなりません。.mp3]
We have to somehow solve this problem.	<b>何とかこの問題を解決しなければなりません。</b> <br> なんとかこのもんだいをかいけつしなければなりません。 <br><br> (何とか) <br> [sound:4c-s-何とかこの問題を解決しなければなりません。.mp3]
[sound:4c-k-何の.mp3]	<b>何の</b> <br> どの <br> which, what (way)
何の	<b>どの</b> <br> which, what (way) <br> [sound:4c-k-何の.mp3]
which, what (way)	<b>何の</b> <br> どの <br> [sound:4c-k-何の.mp3]
[sound:4c-s-何の用事ですか？ なんのようじですか？ What is it about?.mp3]	<b>何の用事ですか？ なんのようじですか？ What is it about?</b> <br> なによりもけんこうがたいせつです。 <br><br> (何の) <br> Health is more important than anything else.
何の用事ですか？ なんのようじですか？ What is it about? <br><br> (何の)	<b>なによりもけんこうがたいせつです。</b> <br> Health is more important than anything else. <br> [sound:4c-s-何の用事ですか？ なんのようじですか？ What is it about?.mp3]
Health is more important than anything else.	<b>何の用事ですか？ なんのようじですか？ What is it about?</b> <br> なによりもけんこうがたいせつです。 <br><br> (何の) <br> [sound:4c-s-何の用事ですか？ なんのようじですか？ What is it about?.mp3]
[sound:4c-k-何より.mp3]	<b>何より</b> <br> なにより <br> most, best, above all
何より	<b>なにより</b> <br> most, best, above all <br> [sound:4c-k-何より.mp3]
most, best, above all	<b>何より</b> <br> なにより <br> [sound:4c-k-何より.mp3]
[sound:4c-s-何よりも健康が大切です。.mp3]	<b>何よりも健康が大切です。</b> <br> かれはなんでもしっているようにみえます。 <br><br> (何より) <br> He seems to know everything.
何よりも健康が大切です。 <br><br> (何より)	<b>かれはなんでもしっているようにみえます。</b> <br> He seems to know everything. <br> [sound:4c-s-何よりも健康が大切です。.mp3]
He seems to know everything.	<b>何よりも健康が大切です。</b> <br> かれはなんでもしっているようにみえます。 <br><br> (何より) <br> [sound:4c-s-何よりも健康が大切です。.mp3]
[sound:4c-k-何でも.mp3]	<b>何でも</b> <br> なんでも <br> any, whatever one likes, by all means, anything, everything
何でも	<b>なんでも</b> <br> any, whatever one likes, by all means, anything, everything <br> [sound:4c-k-何でも.mp3]
any, whatever one likes, by all means, anything, everything	<b>何でも</b> <br> なんでも <br> [sound:4c-k-何でも.mp3]
[sound:4c-s-彼は何でも知っているように見えます。.mp3]	<b>彼は何でも知っているように見えます。</b> <br> とうなんあじあにはおおくのいぶんかがあります。 <br><br> (何でも) <br> Southeast Asia has many different cultures.
彼は何でも知っているように見えます。 <br><br> (何でも)	<b>とうなんあじあにはおおくのいぶんかがあります。</b> <br> Southeast Asia has many different cultures. <br> [sound:4c-s-彼は何でも知っているように見えます。.mp3]
Southeast Asia has many different cultures.	<b>彼は何でも知っているように見えます。</b> <br> とうなんあじあにはおおくのいぶんかがあります。 <br><br> (何でも) <br> [sound:4c-s-彼は何でも知っているように見えます。.mp3]
[sound:4c-k-東南.mp3]	<b>東南</b> <br> とうなん, ひがしみなみ <br> south-east
東南	<b>とうなん, ひがしみなみ</b> <br> south-east <br> [sound:4c-k-東南.mp3]
south-east	<b>東南</b> <br> とうなん, ひがしみなみ <br> [sound:4c-k-東南.mp3]
[sound:4c-s-東南アジアには多くの異文化があります。.mp3]	<b>東南アジアには多くの異文化があります。</b> <br> そのとしのなんぶにはうつくしいこうえんがあります。 <br><br> (東南) <br> There is a beautiful park in the southern part of the city.
東南アジアには多くの異文化があります。 <br><br> (東南)	<b>そのとしのなんぶにはうつくしいこうえんがあります。</b> <br> There is a beautiful park in the southern part of the city. <br> [sound:4c-s-東南アジアには多くの異文化があります。.mp3]
There is a beautiful park in the southern part of the city.	<b>東南アジアには多くの異文化があります。</b> <br> そのとしのなんぶにはうつくしいこうえんがあります。 <br><br> (東南) <br> [sound:4c-s-東南アジアには多くの異文化があります。.mp3]
[sound:4c-k-南部.mp3]	<b>南部</b> <br> なんぶ <br> southern part
南部	<b>なんぶ</b> <br> southern part <br> [sound:4c-k-南部.mp3]
southern part	<b>南部</b> <br> なんぶ <br> [sound:4c-k-南部.mp3]
[sound:4c-s-その都市の南部には美しい公園があります。.mp3]	<b>その都市の南部には美しい公園があります。</b> <br> そのちいきはなんせいほうこうにいちしています。 <br><br> (南部) <br> The area is located southwest.
その都市の南部には美しい公園があります。 <br><br> (南部)	<b>そのちいきはなんせいほうこうにいちしています。</b> <br> The area is located southwest. <br> [sound:4c-s-その都市の南部には美しい公園があります。.mp3]
The area is located southwest.	<b>その都市の南部には美しい公園があります。</b> <br> そのちいきはなんせいほうこうにいちしています。 <br><br> (南部) <br> [sound:4c-s-その都市の南部には美しい公園があります。.mp3]
[sound:4c-k-南西.mp3]	<b>南西</b> <br> なんせい, みなみにし <br> southwest
南西	<b>なんせい, みなみにし</b> <br> southwest <br> [sound:4c-k-南西.mp3]
southwest	<b>南西</b> <br> なんせい, みなみにし <br> [sound:4c-k-南西.mp3]
[sound:4c-s-その地域は南西方向に位置しています。.mp3]	<b>その地域は南西方向に位置しています。</b> <br> ちゅうなんべいのぶんかはひじょうにたようです。 <br><br> (南西) <br> Culture in Central and South America is very diverse.
その地域は南西方向に位置しています。 <br><br> (南西)	<b>ちゅうなんべいのぶんかはひじょうにたようです。</b> <br> Culture in Central and South America is very diverse. <br> [sound:4c-s-その地域は南西方向に位置しています。.mp3]
Culture in Central and South America is very diverse.	<b>その地域は南西方向に位置しています。</b> <br> ちゅうなんべいのぶんかはひじょうにたようです。 <br><br> (南西) <br> [sound:4c-s-その地域は南西方向に位置しています。.mp3]
[sound:4c-k-中南米.mp3]	<b>中南米</b> <br> ちゅうなんべい <br> Central and South America
中南米	<b>ちゅうなんべい</b> <br> Central and South America <br> [sound:4c-k-中南米.mp3]
Central and South America	<b>中南米</b> <br> ちゅうなんべい <br> [sound:4c-k-中南米.mp3]
[sound:4c-s-中南米の文化は非常に多様です。.mp3]	<b>中南米の文化は非常に多様です。</b> <br> せきたんはいちじき、じゅうようなえねるぎーげんでした。 <br><br> (中南米) <br> Coal was once an important energy source.
中南米の文化は非常に多様です。 <br><br> (中南米)	<b>せきたんはいちじき、じゅうようなえねるぎーげんでした。</b> <br> Coal was once an important energy source. <br> [sound:4c-s-中南米の文化は非常に多様です。.mp3]
Coal was once an important energy source.	<b>中南米の文化は非常に多様です。</b> <br> せきたんはいちじき、じゅうようなえねるぎーげんでした。 <br><br> (中南米) <br> [sound:4c-s-中南米の文化は非常に多様です。.mp3]
[sound:4c-k-石炭.mp3]	<b>石炭</b> <br> せきたん <br> coal
石炭	<b>せきたん</b> <br> coal <br> [sound:4c-k-石炭.mp3]
coal	<b>石炭</b> <br> せきたん <br> [sound:4c-k-石炭.mp3]
[sound:4c-s-石炭は一時期、重要なエネルギー源でした。.mp3]	<b>石炭は一時期、重要なエネルギー源でした。</b> <br> いしばしはひじょうにけんごなはしとしてしられています。 <br><br> (石炭) <br> Stone bridges are known to be extremely solid.
石炭は一時期、重要なエネルギー源でした。 <br><br> (石炭)	<b>いしばしはひじょうにけんごなはしとしてしられています。</b> <br> Stone bridges are known to be extremely solid. <br> [sound:4c-s-石炭は一時期、重要なエネルギー源でした。.mp3]
