この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
[sound:4c-s-十四日は私の誕生日です。.mp3]	<b>十四日は私の誕生日です。</b> <br> じゅうよっかはわたしのたんじょうびです。 <br><br> (十四) <br> The 14th is my birthday.
十四日は私の誕生日です。 <br><br> (十四)	<b>じゅうよっかはわたしのたんじょうびです。</b> <br> The 14th is my birthday. <br> [sound:4c-s-十四日は私の誕生日です。.mp3]
The 14th is my birthday.	<b>十四日は私の誕生日です。</b> <br> じゅうよっかはわたしのたんじょうびです。 <br><br> (十四) <br> [sound:4c-s-十四日は私の誕生日です。.mp3]
[sound:4c-k-協定.mp3]	<b>協定</b> <br> きょうてい <br> arrangement, pact, agreement
協定	<b>きょうてい</b> <br> arrangement, pact, agreement <br> [sound:4c-k-協定.mp3]
arrangement, pact, agreement	<b>協定</b> <br> きょうてい <br> [sound:4c-k-協定.mp3]
[sound:4c-s-両国は協定を結びました。.mp3]	<b>両国は協定を結びました。</b> <br> りょうこくはきょうていをむすびました。 <br><br> (協定) <br> Both countries signed an agreement.
両国は協定を結びました。 <br><br> (協定)	<b>りょうこくはきょうていをむすびました。</b> <br> Both countries signed an agreement. <br> [sound:4c-s-両国は協定を結びました。.mp3]
Both countries signed an agreement.	<b>両国は協定を結びました。</b> <br> りょうこくはきょうていをむすびました。 <br><br> (協定) <br> [sound:4c-s-両国は協定を結びました。.mp3]
[sound:4c-k-決定.mp3]	<b>決定</b> <br> けってい <br> decision, determination
決定	<b>けってい</b> <br> decision, determination <br> [sound:4c-k-決定.mp3]
decision, determination	<b>決定</b> <br> けってい <br> [sound:4c-k-決定.mp3]
[sound:4c-s-新しい方針が決定しました。.mp3]	<b>新しい方針が決定しました。</b> <br> あたらしいほうしんがけっていしました。 <br><br> (決定) <br> A new policy has been decided.
新しい方針が決定しました。 <br><br> (決定)	<b>あたらしいほうしんがけっていしました。</b> <br> A new policy has been decided. <br> [sound:4c-s-新しい方針が決定しました。.mp3]
A new policy has been decided.	<b>新しい方針が決定しました。</b> <br> あたらしいほうしんがけっていしました。 <br><br> (決定) <br> [sound:4c-s-新しい方針が決定しました。.mp3]
[sound:4c-k-予定.mp3]	<b>予定</b> <br> よてい <br> plans, arrangement, schedule, program, programme, expectation, estimate
予定	<b>よてい</b> <br> plans, arrangement, schedule, program, programme, expectation, estimate <br> [sound:4c-k-予定.mp3]
plans, arrangement, schedule, program, programme, expectation, estimate	<b>予定</b> <br> よてい <br> [sound:4c-k-予定.mp3]
[sound:4c-s-旅行の予定を変更しました。.mp3]	<b>旅行の予定を変更しました。</b> <br> りょこうのよていをへんこうしました。 <br><br> (予定) <br> I changed my travel plans.
旅行の予定を変更しました。 <br><br> (予定)	<b>りょこうのよていをへんこうしました。</b> <br> I changed my travel plans. <br> [sound:4c-s-旅行の予定を変更しました。.mp3]
I changed my travel plans.	<b>旅行の予定を変更しました。</b> <br> りょこうのよていをへんこうしました。 <br><br> (予定) <br> [sound:4c-s-旅行の予定を変更しました。.mp3]
[sound:4c-k-安定.mp3]	<b>安定</b> <br> あんてい <br> stability, equilibrium
安定	<b>あんてい</b> <br> stability, equilibrium <br> [sound:4c-k-安定.mp3]
stability, equilibrium	<b>安定</b> <br> あんてい <br> [sound:4c-k-安定.mp3]
[sound:4c-s-このシステムは安定しています。.mp3]	<b>このシステムは安定しています。</b> <br> このシステムはあんていしています。 <br><br> (安定) <br> This system is stable.
このシステムは安定しています。 <br><br> (安定)	<b>このシステムはあんていしています。</b> <br> This system is stable. <br> [sound:4c-s-このシステムは安定しています。.mp3]
This system is stable.	<b>このシステムは安定しています。</b> <br> このシステムはあんていしています。 <br><br> (安定) <br> [sound:4c-s-このシステムは安定しています。.mp3]
[sound:4c-k-今.mp3]	<b>今</b> <br> いま <br> now, the present time, just now, soon, immediately, (one) more
今	<b>いま</b> <br> now, the present time, just now, soon, immediately, (one) more <br> [sound:4c-k-今.mp3]
now, the present time, just now, soon, immediately, (one) more	<b>今</b> <br> いま <br> [sound:4c-k-今.mp3]
[sound:4c-s-今すぐ決定が必要です。.mp3]	<b>今すぐ決定が必要です。</b> <br> いますぐけっていがひつようです。 <br><br> (今) <br> A decision is needed immediately.
今すぐ決定が必要です。 <br><br> (今)	<b>いますぐけっていがひつようです。</b> <br> A decision is needed immediately. <br> [sound:4c-s-今すぐ決定が必要です。.mp3]
A decision is needed immediately.	<b>今すぐ決定が必要です。</b> <br> いますぐけっていがひつようです。 <br><br> (今) <br> [sound:4c-s-今すぐ決定が必要です。.mp3]
[sound:4c-k-今や.mp3]	<b>今や</b> <br> いまや <br> now
今や	<b>いまや</b> <br> now <br> [sound:4c-k-今や.mp3]
now	<b>今や</b> <br> いまや <br> [sound:4c-k-今や.mp3]
[sound:4c-s-今やインターネットは欠かせません。.mp3]	<b>今やインターネットは欠かせません。</b> <br> いまやインターネットはかかせません。 <br><br> (今や) <br> The internet is now indispensable.
今やインターネットは欠かせません。 <br><br> (今や)	<b>いまやインターネットはかかせません。</b> <br> The internet is now indispensable. <br> [sound:4c-s-今やインターネットは欠かせません。.mp3]
The internet is now indispensable.	<b>今やインターネットは欠かせません。</b> <br> いまやインターネットはかかせません。 <br><br> (今や) <br> [sound:4c-s-今やインターネットは欠かせません。.mp3]
[sound:4c-k-今回.mp3]	<b>今回</b> <br> こんかい <br> now, this time, lately
今回	<b>こんかい</b> <br> now, this time, lately <br> [sound:4c-k-今回.mp3]
now, this time, lately	<b>今回</b> <br> こんかい <br> [sound:4c-k-今回.mp3]
[sound:4c-s-今回のイベントは成功しました。.mp3]	<b>今回のイベントは成功しました。</b> <br> こんかいのイベントはせいこうしました。 <br><br> (今回) <br> This event was a success.
今回のイベントは成功しました。 <br><br> (今回)	<b>こんかいのイベントはせいこうしました。</b> <br> This event was a success. <br> [sound:4c-s-今回のイベントは成功しました。.mp3]
This event was a success.	<b>今回のイベントは成功しました。</b> <br> こんかいのイベントはせいこうしました。 <br><br> (今回) <br> [sound:4c-s-今回のイベントは成功しました。.mp3]
[sound:4c-k-今月.mp3]	<b>今月</b> <br> こんげつ <br> this month
今月	<b>こんげつ</b> <br> this month <br> [sound:4c-k-今月.mp3]
this month	<b>今月</b> <br> こんげつ <br> [sound:4c-k-今月.mp3]
[sound:4c-s-今月は新しいプロジェクトが始まります。.mp3]	<b>今月は新しいプロジェクトが始まります。</b> <br> こんげつはあたらしいプロジェクトがはじまります。 <br><br> (今月) <br> A new project is starting this month.
今月は新しいプロジェクトが始まります。 <br><br> (今月)	<b>こんげつはあたらしいプロジェクトがはじまります。</b> <br> A new project is starting this month. <br> [sound:4c-s-今月は新しいプロジェクトが始まります。.mp3]
A new project is starting this month.	<b>今月は新しいプロジェクトが始まります。</b> <br> こんげつはあたらしいプロジェクトがはじまります。 <br><br> (今月) <br> [sound:4c-s-今月は新しいプロジェクトが始まります。.mp3]
[sound:4c-k-回.mp3]	<b>回</b> <br> かい <br> counter for occurrences; counter for innings (baseball)
回	<b>かい</b> <br> counter for occurrences; counter for innings (baseball) <br> [sound:4c-k-回.mp3]
counter for occurrences; counter for innings (baseball)	<b>回</b> <br> かい <br> [sound:4c-k-回.mp3]
[sound:4c-s-彼は三回目の優勝を果たしました。.mp3]	<b>彼は三回目の優勝を果たしました。</b> <br> かれはさんかいめのゆうしょうをはたしました。 <br><br> (回) <br> He achieved his third championship victory.
彼は三回目の優勝を果たしました。 <br><br> (回)	<b>かれはさんかいめのゆうしょうをはたしました。</b> <br> He achieved his third championship victory. <br> [sound:4c-s-彼は三回目の優勝を果たしました。.mp3]
He achieved his third championship victory.	<b>彼は三回目の優勝を果たしました。</b> <br> かれはさんかいめのゆうしょうをはたしました。 <br><br> (回) <br> [sound:4c-s-彼は三回目の優勝を果たしました。.mp3]
[sound:4c-k-回復.mp3]	<b>回復</b> <br> かいふく <br> recovery (from illness), improvement, rehabilitation, restoration, convalescence
回復	<b>かいふく</b> <br> recovery (from illness), improvement, rehabilitation, restoration, convalescence <br> [sound:4c-k-回復.mp3]
recovery (from illness), improvement, rehabilitation, restoration, convalescence	<b>回復</b> <br> かいふく <br> [sound:4c-k-回復.mp3]
[sound:4c-s-健康が回復しました。.mp3]	<b>健康が回復しました。</b> <br> けんこうがかいふくしました。 <br><br> (回復) <br> My health has recovered.
健康が回復しました。 <br><br> (回復)	<b>けんこうがかいふくしました。</b> <br> My health has recovered. <br> [sound:4c-s-健康が回復しました。.mp3]
My health has recovered.	<b>健康が回復しました。</b> <br> けんこうがかいふくしました。 <br><br> (回復) <br> [sound:4c-s-健康が回復しました。.mp3]
[sound:4c-k-今回.mp3]	<b>今回</b> <br> こんかい <br> now, this time, lately
今回	<b>こんかい</b> <br> now, this time, lately <br> [sound:4c-k-今回.mp3]
now, this time, lately	<b>今回</b> <br> こんかい <br> [sound:4c-k-今回.mp3]
[sound:4c-s-今回の旅行は楽しかったです。.mp3]	<b>今回の旅行は楽しかったです。</b> <br> こんかいのりょこうはたのしかったです。 <br><br> (今回) <br> This trip was fun.
今回の旅行は楽しかったです。 <br><br> (今回)	<b>こんかいのりょこうはたのしかったです。</b> <br> This trip was fun. <br> [sound:4c-s-今回の旅行は楽しかったです。.mp3]
This trip was fun.	<b>今回の旅行は楽しかったです。</b> <br> こんかいのりょこうはたのしかったです。 <br><br> (今回) <br> [sound:4c-s-今回の旅行は楽しかったです。.mp3]
[sound:4c-k-回答.mp3]	<b>回答</b> <br> かいとう <br> reply, answer
回答	<b>かいとう</b> <br> reply, answer <br> [sound:4c-k-回答.mp3]
reply, answer	<b>回答</b> <br> かいとう <br> [sound:4c-k-回答.mp3]
[sound:4c-s-質問に正確に回答してください。.mp3]	<b>質問に正確に回答してください。</b> <br> しつもんにせいかくにかいとうしてください。 <br><br> (回答) <br> Please answer the question accurately.
質問に正確に回答してください。 <br><br> (回答)	<b>しつもんにせいかくにかいとうしてください。</b> <br> Please answer the question accurately. <br> [sound:4c-s-質問に正確に回答してください。.mp3]
Please answer the question accurately.	<b>質問に正確に回答してください。</b> <br> しつもんにせいかくにかいとうしてください。 <br><br> (回答) <br> [sound:4c-s-質問に正確に回答してください。.mp3]
[sound:4c-k-新た.mp3]	<b>新た</b> <br> あらた <br> new, fresh, novel; newly, freshly, re-
新た	<b>あらた</b> <br> new, fresh, novel; newly, freshly, re- <br> [sound:4c-k-新た.mp3]
new, fresh, novel; newly, freshly, re-	<b>新た</b> <br> あらた <br> [sound:4c-k-新た.mp3]
[sound:4c-s-新たな挑戦が始まりました。.mp3]	<b>新たな挑戦が始まりました。</b> <br> あらたなちょうせんがはじまりました。 <br><br> (新た) <br> A new challenge has begun.
