[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
[sound:k-2262_結論.mp3]	conclusion<br> <b>結論</b> <br> (けつろん)
(<b>賞与</b>) その会社は毎年賞与を支給する。	[sound:s-2262_その会社は毎年賞与を支給する。.mp3] <br> そのかいしゃはまいとししょうよをしきゅうする。 <br> The company pays bonuses every year.
[sound:s-2252_土壌の状態が作物の収穫に影響する。.mp3]	(<b>土壌</b>) 土壌の状態が作物の収穫に影響する。<br> どじょうのじょうたいがさくもつのしゅうかくにえいきょうする。 <br>The condition of the soil affects the harvest of crops.	
世論	[sound:k-2263_世論.mp3]<br>せろん, よろん <br> public opinion
public opinion	<b>世論<b> <br> せろん, よろん <br>[sound:k-2263_世論.mp3]
[sound:k-2263_世論.mp3]	public opinion<br> <b>世論</b> <br> (せろん, よろん)
(<b>贈与</b>) 彼は富を子供に贈与した。	[sound:s-2263_彼は富を子供に贈与した。.mp3] <br> かれはとみをこどもにぞうよした。 <br> He bestowed wealth upon his children.
[sound:s-2253_この地域の風土は異なる。.mp3]	(<b>風土</b>) この地域の風土は異なる。<br> このちいきのふうどはことなる。 <br>The climate and culture of this region are different.	
評論家	[sound:k-2264_評論家.mp3]<br>ひょうろんか <br> critic
critic	<b>評論家<b> <br> ひょうろんか <br>[sound:k-2264_評論家.mp3]
[sound:k-2264_評論家.mp3]	critic<br> <b>評論家</b> <br> (ひょうろんか)
(<b>急</b>) 事故が急に起こった。	[sound:s-2264_事故が急に起こった。.mp3] <br> じこがきゅうにおこった。 <br> The accident happened suddenly.
[sound:s-2254_与党は選挙に勝利した。.mp3]	(<b>与党</b>) 与党は選挙に勝利した。<br> よとうはせんきょにしょうりした。 <br>The ruling party won the election.	
論文	[sound:k-2265_論文.mp3]<br>ろんぶん <br> thesis, essay, treatise, paper, article
thesis, essay, treatise, paper, article	<b>論文<b> <br> ろんぶん <br>[sound:k-2265_論文.mp3]
[sound:k-2265_論文.mp3]	thesis, essay, treatise, paper, article<br> <b>論文</b> <br> (ろんぶん)
(<b>急いで</b>) 彼は急いで駅に向かった。	[sound:s-2265_彼は急いで駅に向かった。.mp3] <br> かれはいそいでえきにむかった。 <br> He hurried to the station.
[sound:s-2255_与野党は意見を交わした。.mp3]	(<b>与野党</b>) 与野党は意見を交わした。<br> よやとうはいけんをかわした。 <br>The ruling and opposition parties exchanged views.	
討論	[sound:k-2266_討論.mp3]<br>とうろん <br> debate, discussion
debate, discussion	<b>討論<b> <br> とうろん <br>[sound:k-2266_討論.mp3]
[sound:k-2266_討論.mp3]	debate, discussion<br> <b>討論</b> <br> (とうろん)
(<b>急きょ</b>) 急きょ旅行をキャンセルした。	[sound:s-2266_急きょ旅行をキャンセルした。.mp3] <br> きゅうきょりょこうをきゃんせるした。 <br> I suddenly canceled the trip.
[sound:s-2256_彼はその計画に関与している。.mp3]	(<b>関与</b>) 彼はその計画に関与している。<br> かれはそのけいかくにかんよしている。 <br>He is involved in the project.	
理論	[sound:k-2267_理論.mp3]<br>りろん <br> theory
theory	<b>理論<b> <br> りろん <br>[sound:k-2267_理論.mp3]
[sound:k-2267_理論.mp3]	theory<br> <b>理論</b> <br> (りろん)
(<b>緊急</b>) 緊急の事態が発生した。	[sound:s-2267_緊急の事態が発生した。.mp3] <br> きんきゅうのじたいがはっせいした。 <br> An emergency situation occurred.
[sound:s-2257_その企業は給与水準が高い。.mp3]	(<b>給与</b>) その企業は給与水準が高い。<br> そのきぎょうはきゅうよすいじゅんがたかい。 <br>The company has high salary levels.	
論争	[sound:k-2268_論争.mp3]<br>ろんそう <br> controversy, dispute
controversy, dispute	<b>論争<b> <br> ろんそう <br>[sound:k-2268_論争.mp3]
[sound:k-2268_論争.mp3]	controversy, dispute<br> <b>論争</b> <br> (ろんそう)
(<b>急速</b>) 科学技術の発展は急速だ。	[sound:s-2268_科学技術の発展は急速だ。.mp3] <br> かがくぎじゅつのはってんはきゅうそくだ。 <br> The development of science and technology is rapid.
[sound:s-2258_その寄付は地域に多くの恩恵を供与した。.mp3]	(<b>供与</b>) その寄付は地域に多くの恩恵を供与した。<br> そのきふはちいきにおおくのおんけいをきょうよした。 <br>The donation provided many benefits to the community.	
論理	[sound:k-2269_論理.mp3]<br>ろんり <br> logic; logical
logic; logical	<b>論理<b> <br> ろんり <br>[sound:k-2269_論理.mp3]
[sound:k-2269_論理.mp3]	logic; logical<br> <b>論理</b> <br> (ろんり)
(<b>早急</b>) この問題には早急に対処する必要がある。	[sound:s-2269_この問題には早急に対処する必要がある。.mp3] <br> このもんだいにはさっきゅうにたいしょするひつようがある。 <br> It is urgent to address this issue promptly.
[sound:s-2259_医師は患者に薬を投与した。.mp3]	(<b>投与</b>) 医師は患者に薬を投与した。<br> いしはかんじゃにくすりをとうよした。 <br>The doctor administered medicine to the patient.	
計	[sound:k-2270_計.mp3]<br>けい <br> plan; meter, measuring device; (in) total, total (of)
plan; meter, measuring device; (in) total, total (of)	<b>計<b> <br> けい <br>[sound:k-2270_計.mp3]
[sound:k-2270_計.mp3]	plan; meter, measuring device;<br> <b>in) total, total (of) (計</b> <br> (けい)
(<b>急激</b>) その国では急激な変化が起こった。	[sound:s-2270_その国では急激な変化が起こった。.mp3] <br> そのくにではきゅうげきなへんかがおこった。 <br> Sudden changes occurred in that country.
[sound:s-2260_彼は栄誉を彼に付与された。.mp3]	(<b>付与</b>) 彼は栄誉を彼に付与された。<br> かれはえいよをかれにふよされた。 <br>He was granted an honor.	
計画	[sound:k-2271_計画.mp3]<br>けいかく <br> plan, project, schedule, scheme, program, programme
plan, project, schedule, scheme, program, programme	<b>計画<b> <br> けいかく <br>[sound:k-2271_計画.mp3]
[sound:k-2271_計画.mp3]	plan, project, schedule, scheme, program, programme<br> <b>計画</b> <br> (けいかく)
(<b>急性</b>) 彼は急性の病気にかかった。	[sound:s-2271_彼は急性の病気にかかった。.mp3] <br> かれはきゅうせいのびょうきにかかった。 <br> He contracted an acute illness.
[sound:s-2261_彼はプロジェクトに参与しています。.mp3]	(<b>参与</b>) 彼はプロジェクトに参与しています。<br> かれはぷろじぇくとにさんよしています。 <br>He is participating in the project.	
合計	[sound:k-2272_合計.mp3]<br>ごうけい <br> sum total, total amount
sum total, total amount	<b>合計<b> <br> ごうけい <br>[sound:k-2272_合計.mp3]
[sound:k-2272_合計.mp3]	sum total, total amount<br> <b>合計</b> <br> (ごうけい)
(<b>急進</b>) 彼は急進的な改革を提案した。	[sound:s-2272_彼は急進的な改革を提案した。.mp3] <br> かれはきゅうしんてきなかいかくをていあんした。 <br> He proposed radical reforms.
[sound:s-2262_その会社は毎年賞与を支給する。.mp3]	(<b>賞与</b>) その会社は毎年賞与を支給する。<br> そのかいしゃはまいとししょうよをしきゅうする。 <br>The company pays bonuses every year.	
設計	[sound:k-2273_設計.mp3]<br>せっけい <br> plan, design, layout
plan, design, layout	<b>設計<b> <br> せっけい <br>[sound:k-2273_設計.mp3]
[sound:k-2273_設計.mp3]	plan, design, layout<br> <b>設計</b> <br> (せっけい)
(<b>急増</b>) その地域で感染者が急増している。	[sound:s-2273_その地域で感染者が急増している。.mp3] <br> そのちいきでかんせんしゃがきゅうぞうしている。 <br> There is a rapid increase in infections in that area.
[sound:s-2263_彼は富を子供に贈与した。.mp3]	(<b>贈与</b>) 彼は富を子供に贈与した。<br> かれはとみをこどもにぞうよした。 <br>He bestowed wealth upon his children.	
計算	[sound:k-2274_計算.mp3]<br>けいさん <br> calculation, reckoning, count; forecast
calculation, reckoning, count; forecast	<b>計算<b> <br> けいさん <br>[sound:k-2274_計算.mp3]
[sound:k-2274_計算.mp3]	calculation, reckoning, count; forecast<br> <b>計算</b> <br> (けいさん)
(<b>禁止</b>) この公園では喫煙が禁止されています。	[sound:s-2274_この公園では喫煙が禁止されています。.mp3] <br> このこうえんではきつえんがきんしされています。 <br> Smoking is prohibited in this park.
[sound:s-2264_事故が急に起こった。.mp3]	(<b>急</b>) 事故が急に起こった。<br> じこがきゅうにおこった。 <br>The accident happened suddenly.	
統計	[sound:k-2275_統計.mp3]<br>とうけい <br> statistics
statistics	<b>統計<b> <br> とうけい <br>[sound:k-2275_統計.mp3]
[sound:k-2275_統計.mp3]	statistics<br> <b>統計</b> <br> (とうけい)
(<b>停止</b>) 電車が停止しています。	[sound:s-2275_電車が停止しています。.mp3] <br> でんしゃがていしています。 <br> The train is stopped.
[sound:s-2265_彼は急いで駅に向かった。.mp3]	(<b>急いで</b>) 彼は急いで駅に向かった。<br> かれはいそいでえきにむかった。 <br>He hurried to the station.	
会計	[sound:k-2276_会計.mp3]<br>かいけい <br> account, finance, accountant, treasurer, paymaster, reckoning, bill
account, finance, accountant, treasurer, paymaster, reckoning, bill	<b>会計<b> <br> かいけい <br>[sound:k-2276_会計.mp3]
[sound:k-2276_会計.mp3]	account, finance, accountant, treasurer, paymaster, reckoning, bill<br> <b>会計</b> <br> (かいけい)
(<b>防止</b>) 犯罪の防止に努める。	[sound:s-2276_犯罪の防止に努める。.mp3] <br> はんざいのぼうしにつとめる。 <br> Work to prevent crime.
[sound:s-2266_急きょ旅行をキャンセルした。.mp3]	(<b>急きょ</b>) 急きょ旅行をキャンセルした。<br> きゅうきょりょこうをきゃんせるした。 <br>I suddenly canceled the trip.	
時計	[sound:k-2277_時計.mp3]<br>とけい, ときはかり <br> watch, clock, timepiece
watch, clock, timepiece	<b>時計<b> <br> とけい, ときはかり <br>[sound:k-2277_時計.mp3]
[sound:k-2277_時計.mp3]	watch, clock, timepiece<br> <b>時計</b> <br> (とけい, ときはかり)
(<b>中止</b>) イベントが中止になった。	[sound:s-2277_イベントが中止になった。.mp3] <br> いべんとがちゅうしになった。 <br> The event was canceled.
[sound:s-2267_緊急の事態が発生した。.mp3]	(<b>緊急</b>) 緊急の事態が発生した。<br> きんきゅうのじたいがはっせいした。 <br>An emergency situation occurred.	
集計	[sound:k-2278_集計.mp3]<br>しゅうけい <br> totalization, totalisation, aggregate
totalization, totalisation, aggregate	<b>集計<b> <br> しゅうけい <br>[sound:k-2278_集計.mp3]
[sound:k-2278_集計.mp3]	totalization, totalisation, aggregate<br> <b>集計</b> <br> (しゅうけい)
(<b>廃止</b>) 制度の廃止が議論されている。	[sound:s-2278_制度の廃止が議論されている。.mp3] <br> せいどのはいしのぎろんされている。 <br> The abolition of the system is being discussed.
[sound:s-2268_科学技術の発展は急速だ。.mp3]	(<b>急速</b>) 科学技術の発展は急速だ。<br> かがくぎじゅつのはってんはきゅうそくだ。 <br>The development of science and technology is rapid.	
家計	[sound:k-2279_家計.mp3]<br>かけい <br> household economy, family finances
household economy, family finances	<b>家計<b> <br> かけい <br>[sound:k-2279_家計.mp3]
[sound:k-2279_家計.mp3]	household economy, family finances<br> <b>家計</b> <br> (かけい)
(<b>歯止め</b>) 犯罪を防ぐために歯止めが必要だ。	[sound:s-2279_犯罪を防ぐために歯止めが必要だ。.mp3] <br> はんざいをふせぐためにはどめがひつようだ。 <br> Brakes are necessary to prevent crime.
[sound:s-2269_この問題には早急に対処する必要がある。.mp3]	(<b>早急</b>) この問題には早急に対処する必要がある。<br> このもんだいにはさっきゅうにたいしょするひつようがある。 <br>It is urgent to address this issue promptly.	
死	[sound:k-2280_死.mp3]<br>し <br> death, decease; death penalty (by strangulation or decapitation)
death, decease; death penalty (by strangulation or decapitation)	<b>死<b> <br> し <br>[sound:k-2280_死.mp3]
[sound:k-2280_死.mp3]	death, decease; death penalty<br> <b>by strangulation or decapitation) (死</b> <br> (し)
(<b>受け止める</b>) 彼は批判を受け止めた。	[sound:s-2280_彼は批判を受け止めた。.mp3] <br> かれはひはんをうけとめた。 <br> He accepted the criticism.
[sound:s-2270_その国では急激な変化が起こった。.mp3]	(<b>急激</b>) その国では急激な変化が起こった。<br> そのくにではきゅうげきなへんかがおこった。 <br>Sudden changes occurred in that country.	
死者	[sound:k-2281_死者.mp3]<br>ししゃ <br> casualty, deceased
casualty, deceased	<b>死者<b> <br> ししゃ <br>[sound:k-2281_死者.mp3]
[sound:k-2281_死者.mp3]	casualty, deceased<br> <b>死者</b> <br> (ししゃ)
(<b>阻止</b>) 洪水を阻止するためにダムが建設された。	[sound:s-2281_洪水を阻止するためにダムが建設された。.mp3] <br> こうずいをそしするためにダムがけんせつされた。 <br> Dams were built to prevent floods.
[sound:s-2271_彼は急性の病気にかかった。.mp3]	(<b>急性</b>) 彼は急性の病気にかかった。<br> かれはきゅうせいのびょうきにかかった。 <br>He contracted an acute illness.	
脳死	[sound:k-2282_脳死.mp3]<br>のうし <br> brain death
brain death	<b>脳死<b> <br> のうし <br>[sound:k-2282_脳死.mp3]
[sound:k-2282_脳死.mp3]	brain death<br> <b>脳死</b> <br> (のうし)
(<b>止まる</b>) 雨が降ると列車が止まることがある。	[sound:s-2282_雨が降ると列車が止まることがある。.mp3] <br> あめがふるとれっしゃがとまることがある。 <br> Trains sometimes stop when it rains.
[sound:s-2272_彼は急進的な改革を提案した。.mp3]	(<b>急進</b>) 彼は急進的な改革を提案した。<br> かれはきゅうしんてきなかいかくをていあんした。 <br>He proposed radical reforms.	
死亡	[sound:k-2283_死亡.mp3]<br>しぼう <br> death, mortality
death, mortality	<b>死亡<b> <br> しぼう <br>[sound:k-2283_死亡.mp3]
[sound:k-2283_死亡.mp3]	death, mortality<br> <b>死亡</b> <br> (しぼう)
(<b>差し止め</b>) 裁判所は差し止め命令を出した。	[sound:s-2283_裁判所は差し止め命令を出した。.mp3] <br> さいばんしょはさしとめめいれいをだした。 <br> The court issued an injunction.
[sound:s-2273_その地域で感染者が急増している。.mp3]	(<b>急増</b>) その地域で感染者が急増している。<br> そのちいきでかんせんしゃがきゅうぞうしている。 <br>There is a rapid increase in infections in that area.	
二死	[sound:k-2284_二死.mp3]<br>にし <br> two out (e.g. in baseball), two down (and one to go)
two out (e.g. in baseball), two down (and one to go)	<b>二死<b> <br> にし <br>[sound:k-2284_二死.mp3]
[sound:k-2284_二死.mp3]	two out<br> <b>e.g. in baseball), two down (and one to go) (二死</b> <br> (にし)
(<b>一連</b>) 彼の行動は一連の出来事につながっています。	[sound:s-2284_彼の行動は一連の出来事につながっています。.mp3] <br> かれのこうどうはいちれんのできごとにつながっています。 <br> His actions are connected to a series of events.
[sound:s-2274_この公園では喫煙が禁止されています。.mp3]	(<b>禁止</b>) この公園では喫煙が禁止されています。<br> このこうえんではきつえんがきんしされています。 <br>Smoking is prohibited in this park.	
死去	[sound:k-2285_死去.mp3]<br>しきょ <br> death
death	<b>死去<b> <br> しきょ <br>[sound:k-2285_死去.mp3]
[sound:k-2285_死去.mp3]	death<br> <b>死去</b> <br> (しきょ)
(<b>五</b>) 彼の誕生日は五月五日です。	[sound:s-2285_彼の誕生日は五月五日です。.mp3] <br> かれのたんじょうびはごがついつかです。 <br> His birthday is on May fifth.
[sound:s-2275_電車が停止しています。.mp3]	(<b>停止</b>) 電車が停止しています。<br> でんしゃがていしています。 <br>The train is stopped.	
死刑	[sound:k-2286_死刑.mp3]<br>しけい <br> death penalty, capital punishment
death penalty, capital punishment	<b>死刑<b> <br> しけい <br>[sound:k-2286_死刑.mp3]
[sound:k-2286_死刑.mp3]	death penalty, capital punishment<br> <b>死刑</b> <br> (しけい)
(<b>五月</b>) 五月には多くの祭りが開催されます。	[sound:s-2286_五月には多くの祭りが開催されます。.mp3] <br> ごがつにはおおくのまつりがかいさいされます。 <br> Many festivals are held in May.
[sound:s-2276_犯罪の防止に努める。.mp3]	(<b>防止</b>) 犯罪の防止に努める。<br> はんざいのぼうしにつとめる。 <br>Work to prevent crime.	
必死	[sound:k-2287_必死.mp3]<br>ひっし <br> frantic, desperate; inevitable death; brinkmate (inevitable checkmate) (shogi)
frantic, desperate; inevitable death; brinkmate (inevitable checkmate) (shogi)	<b>必死<b> <br> ひっし <br>[sound:k-2287_必死.mp3]
[sound:k-2287_必死.mp3]	frantic, desperate; inevitable death; brinkmate<br> <b>inevitable checkmate) (shogi) (必死</b> <br> (ひっし)
(<b>十五</b>) 今月の十五日に会議があります。	[sound:s-2287_今月の十五日に会議があります。.mp3] <br> こんげつのじゅうごにちにかいぎがあります。 <br> There is a meeting on the fifteenth of this month.
[sound:s-2277_イベントが中止になった。.mp3]	(<b>中止</b>) イベントが中止になった。<br> いべんとがちゅうしになった。 <br>The event was canceled.	
死後	[sound:k-2288_死後.mp3]<br>しご <br> after death
after death	<b>死後<b> <br> しご <br>[sound:k-2288_死後.mp3]
[sound:k-2288_死後.mp3]	after death<br> <b>死後</b> <br> (しご)
(<b>五輪</b>) オリンピックは五輪から成り立っています。	[sound:s-2288_オリンピックは五輪から成り立っています。.mp3] <br> おりんぴっくはごりんからなりたっています。 <br> The Olympics consist of five rings.
[sound:s-2278_制度の廃止が議論されている。.mp3]	(<b>廃止</b>) 制度の廃止が議論されている。<br> せいどのはいしのぎろんされている。 <br>The abolition of the system is being discussed.	
死体	[sound:k-2289_死体.mp3]<br>したい <br> dead body, corpse, cadaver
dead body, corpse, cadaver	<b>死体<b> <br> したい <br>[sound:k-2289_死体.mp3]
[sound:k-2289_死体.mp3]	dead body, corpse, cadaver<br> <b>死体</b> <br> (したい)
(<b>五十</b>) 彼の誕生日は五十歳になります。	[sound:s-2289_彼の誕生日は五十歳になります。.mp3] <br> かれのたんじょうびはごじゅっさいになります。 <br> He will turn fifty on his birthday.
[sound:s-2279_犯罪を防ぐために歯止めが必要だ。.mp3]	(<b>歯止め</b>) 犯罪を防ぐために歯止めが必要だ。<br> はんざいをふせぐためにはどめがひつようだ。 <br>Brakes are necessary to prevent crime.	
長官	[sound:k-2290_長官.mp3]<br>ちょうかん <br> secretary (government), director, chief
secretary (government), director, chief	<b>長官<b> <br> ちょうかん <br>[sound:k-2290_長官.mp3]
[sound:k-2290_長官.mp3]	secretary<br> <b>government), director, chief (長官</b> <br> (ちょうかん)
(<b>五つ</b>) この箱には五つのリンゴが入っています。	[sound:s-2290_この箱には五つのリンゴが入っています。.mp3] <br> このはこにはいつつのりんごがはいっています。 <br> There are five apples in this box.
[sound:s-2280_彼は批判を受け止めた。.mp3]	(<b>受け止める</b>) 彼は批判を受け止めた。<br> かれはひはんをうけとめた。 <br>He accepted the criticism.	
官邸	[sound:k-2291_官邸.mp3]<br>かんてい <br> official residence
official residence	<b>官邸<b> <br> かんてい <br>[sound:k-2291_官邸.mp3]
[sound:k-2291_官邸.mp3]	official residence<br> <b>官邸</b> <br> (かんてい)
(<b>五分</b>) 彼の計画には五分ほどで到着する予定です。	[sound:s-2291_彼の計画には五分ほどで到着する予定です。.mp3] <br> かれのけいかくにはごぶんほどでとうちゃくするよていです。 <br> He is expected to arrive in about five minutes according to his plan.
[sound:s-2281_洪水を阻止するためにダムが建設された。.mp3]	(<b>阻止</b>) 洪水を阻止するためにダムが建設された。<br> こうずいをそしするためにダムがけんせつされた。 <br>Dams were built to prevent floods.	
官房長官	[sound:k-2292_官房長官.mp3]<br>かんぼうちょうかん <br> Chief Cabinet Secretary
Chief Cabinet Secretary	<b>官房長官<b> <br> かんぼうちょうかん <br>[sound:k-2292_官房長官.mp3]
[sound:k-2292_官房長官.mp3]	Chief Cabinet Secretary<br> <b>官房長官</b> <br> (かんぼうちょうかん)
(<b>五十三次</b>) 五十三次の旅は彼にとって忘れられないものだった。	[sound:s-2292_五十三次の旅は彼にとって忘れられないものだった。.mp3] <br> ごじゅうさんじのたびはかれにとってわすれられないものだった。 <br> The fifty-three trips were unforgettable for him.
[sound:s-2282_雨が降ると列車が止まることがある。.mp3]	(<b>止まる</b>) 雨が降ると列車が止まることがある。<br> あめがふるとれっしゃがとまることがある。 <br>Trains sometimes stop when it rains.	
官僚	[sound:k-2293_官僚.mp3]<br>かんりょう <br> bureaucrat, bureaucracy
bureaucrat, bureaucracy	<b>官僚<b> <br> かんりょう <br>[sound:k-2293_官僚.mp3]
[sound:k-2293_官僚.mp3]	bureaucrat, bureaucracy<br> <b>官僚</b> <br> (かんりょう)
(<b>五感</b>) 五感を使ってこの世界を感じることができます。	[sound:s-2293_五感を使ってこの世界を感じることができます。.mp3] <br> ごかんをつかってこのせかいをかんじることができます。 <br> You can feel the world using your five senses.
[sound:s-2283_裁判所は差し止め命令を出した。.mp3]	(<b>差し止め</b>) 裁判所は差し止め命令を出した。<br> さいばんしょはさしとめめいれいをだした。 <br>The court issued an injunction.	
次官	[sound:k-2294_次官.mp3]<br>じかん <br> vice-minister, undersecretary
vice-minister, undersecretary	<b>次官<b> <br> じかん <br>[sound:k-2294_次官.mp3]
[sound:k-2294_次官.mp3]	vice-minister, undersecretary<br> <b>次官</b> <br> (じかん)
(<b>五十音</b>) 日本語の五十音はひらがなとカタカナで表されます。	[sound:s-2294_日本語の五十音はひらがなとカタカナで表されます。.mp3] <br> にほんごのごじゅうおんはひらがなとカタカナであらわされます。 <br> The Japanese syllabary is represented by Hiragana and Katakana.
[sound:s-2284_彼の行動は一連の出来事につながっています。.mp3]	(<b>一連</b>) 彼の行動は一連の出来事につながっています。<br> かれのこうどうはいちれんのできごとにつながっています。 <br>His actions are connected to a series of events.	
高官	[sound:k-2295_高官.mp3]<br>こうかん <br> high official
high official	<b>高官<b> <br> こうかん <br>[sound:k-2295_高官.mp3]
[sound:k-2295_高官.mp3]	high official<br> <b>高官</b> <br> (こうかん)
(<b>発</b>) 彼の発言には重要な意味があります。	[sound:s-2295_彼の発言には重要な意味があります。.mp3] <br> かれのはつげんにはじゅうようないみがあります。 <br> His statement carries significant meaning.
[sound:s-2285_彼の誕生日は五月五日です。.mp3]	(<b>五</b>) 彼の誕生日は五月五日です。<br> かれのたんじょうびはごがついつかです。 <br>His birthday is on May fifth.	
司令官	[sound:k-2296_司令官.mp3]<br>しれいかん <br> commandant, commanding officer, general
commandant, commanding officer, general	<b>司令官<b> <br> しれいかん <br>[sound:k-2296_司令官.mp3]
[sound:k-2296_司令官.mp3]	commandant, commanding officer, general<br> <b>司令官</b> <br> (しれいかん)
(<b>開発</b>) その地域の開発に多くの資金が投入されました。	[sound:s-2296_その地域の開発に多くの資金が投入されました。.mp3] <br> そのちいきのかいはつにおおくのしきんがとうにゅうされました。 <br> A lot of funds have been invested in the development of that area.
[sound:s-2286_五月には多くの祭りが開催されます。.mp3]	(<b>五月</b>) 五月には多くの祭りが開催されます。<br> ごがつにはおおくのまつりがかいさいされます。 <br>Many festivals are held in May.	
事務次官	[sound:k-2297_事務次官.mp3]<br>じむじかん <br> permanent vice-president, undersecretary, vice-minister
permanent vice-president, undersecretary, vice-minister	<b>事務次官<b> <br> じむじかん <br>[sound:k-2297_事務次官.mp3]
