[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
(<b>印象的</b>) 彼女の演技は私たちに印象的なものを残しました。	[sound:s-3106_彼女の演技は私たちに印象的なものを残しました。.mp3] <br> かのじょのえんぎはわたしたちにいんしょうてきなものをのこしました。 <br> Her performance left an impressive impression on us.
[sound:s-3096_その地域には複数の部族が住んでいる。.mp3]	(<b>部族</b>) その地域には複数の部族が住んでいる。<br> そのちいきにはふくすうのぶぞくがすんでいる。 <br>Several tribes live in that region.	
運送	[sound:k-3107_運送.mp3]<br>うんそう <br> transport, freight, shipping
transport, freight, shipping	<b>運送<b> <br> うんそう <br>[sound:k-3107_運送.mp3]
[sound:k-3107_運送.mp3]	transport, freight, shipping<br> <b>運送</b> <br> (うんそう)
(<b>象徴的</b>) その象徴的な場所は多くの人々に親しまれています。	[sound:s-3107_その象徴的な場所は多くの人々に親しまれています。.mp3] <br> そのしょうちょうてきなばしょはおおくのひとびとにしたしまれています。 <br> That symbolic place is cherished by many people.
[sound:s-3097_彼らは家族計画について話し合っています。.mp3]	(<b>家族計画</b>) 彼らは家族計画について話し合っています。<br> かれらはかぞくけいかくについてはなしあっています。 <br>They are discussing family planning.	
送金	[sound:k-3108_送金.mp3]<br>そうきん <br> remittance, sending money
remittance, sending money	<b>送金<b> <br> そうきん <br>[sound:k-3108_送金.mp3]
[sound:k-3108_送金.mp3]	remittance, sending money<br> <b>送金</b> <br> (そうきん)
(<b>抽象</b>) 彼女の作品は抽象的な美しさを表しています。	[sound:s-3108_彼女の作品は抽象的な美しさを表しています。.mp3] <br> かのじょのさくひんはちゅうしょうてきなうつくしさをあらわしています。 <br> Her work expresses abstract beauty.
[sound:s-3098_彼は貴族の家系に生まれました。.mp3]	(<b>貴族</b>) 彼は貴族の家系に生まれました。<br> かれはきぞくのかけいにうまれました。 <br>He was born into a noble family.	
郵送	[sound:k-3109_郵送.mp3]<br>ゆうそう <br> mailing
mailing	<b>郵送<b> <br> ゆうそう <br>[sound:k-3109_郵送.mp3]
[sound:k-3109_郵送.mp3]	mailing<br> <b>郵送</b> <br> (ゆうそう)
(<b>銀</b>) 彼は古銀貨をコレクションしています。	[sound:s-3109_彼は古銀貨をコレクションしています。.mp3] <br> かれはこぎんかをコレクションしています。 <br> He collects old silver coins.
[sound:s-3099_このプログラムは子供たちを対象としています。.mp3]	(<b>対象</b>) このプログラムは子供たちを対象としています。<br> このプログラムはこどもたちをたいしょうとしています。 <br>This program targets children.	
援助	[sound:k-3110_援助.mp3]<br>えんじょ <br> assistance, aid, support
assistance, aid, support	<b>援助<b> <br> えんじょ <br>[sound:k-3110_援助.mp3]
[sound:k-3110_援助.mp3]	assistance, aid, support<br> <b>援助</b> <br> (えんじょ)
(<b>銀行</b>) 私たちは銀行で口座を開設しました。	[sound:s-3110_私たちは銀行で口座を開設しました。.mp3] <br> わたしたちはぎんこうでこうざをかいせつしました。 <br> We opened an account at the bank.
[sound:s-3100_彼の笑顔は私に良い印象を与えました。.mp3]	(<b>印象</b>) 彼の笑顔は私に良い印象を与えました。<br> かれのえがおはわたしにいいいんしょうをあたえました。 <br>His smile left a good impression on me.	
支援	[sound:k-3111_支援.mp3]<br>しえん <br> support, backing, aid, assistance
support, backing, aid, assistance	<b>支援<b> <br> しえん <br>[sound:k-3111_支援.mp3]
[sound:k-3111_支援.mp3]	support, backing, aid, assistance<br> <b>支援</b> <br> (しえん)
(<b>銀座</b>) 銀座は東京の有名なショッピングエリアです。	[sound:s-3111_銀座は東京の有名なショッピングエリアです。.mp3] <br> ぎんざはとうきょうのゆうめいなショッピングエリアです。 <br> Ginza is a famous shopping area in Tokyo.
[sound:s-3101_その現象は自然の摂理に基づいています。.mp3]	(<b>現象</b>) その現象は自然の摂理に基づいています。<br> そのげんしょうはしぜんのせつりにもとづいています。 <br>The phenomenon is based on the laws of nature.	
応援	[sound:k-3112_応援.mp3]<br>おうえん <br> aid, assistance, help, reinforcement, rooting, barracking, support, cheering
aid, assistance, help, reinforcement, rooting, barracking, support, cheering	<b>応援<b> <br> おうえん <br>[sound:k-3112_応援.mp3]
[sound:k-3112_応援.mp3]	aid, assistance, help, reinforcement, rooting, barracking, support, cheering<br> <b>応援</b> <br> (おうえん)
(<b>住友銀行</b>) 住友銀行は日本の有力な銀行の一つです。	[sound:s-3112_住友銀行は日本の有力な銀行の一つです。.mp3] <br> すみともぎんこうはにほんのゆうりょくなぎんこうのひとつです。 <br> Sumitomo Bank is one of Japan's leading banks.
[sound:s-3102_アフリカで象の群れを見たことがありますか？.mp3]	(<b>象</b>) アフリカで象の群れを見たことがありますか？	アフリカでぞうのむれをみたことがありますか？ <br>Have you ever seen a herd of elephants in Africa?
救援	[sound:k-3113_救援.mp3]<br>きゅうえん <br> relief, rescue, reinforcement
relief, rescue, reinforcement	<b>救援<b> <br> きゅうえん <br>[sound:k-3113_救援.mp3]
[sound:k-3113_救援.mp3]	relief, rescue, reinforcement<br> <b>救援</b> <br> (きゅうえん)
(<b>日本銀行</b>) 日本銀行は日本の中央銀行です。	[sound:s-3113_日本銀行は日本の中央銀行です。.mp3] <br> にほんぎんこうはにほんのちゅうおうぎんこうです。 <br> The Bank of Japan is the central bank of Japan.
[sound:s-3103_台風の情報は気象庁から提供されます。.mp3]	(<b>気象庁</b>) 台風の情報は気象庁から提供されます。<br> たいふうのじょうほうはきしょうちょうからていきゅうされます。 <br>Typhoon information is provided by the Meteorological Agency.	
後援	[sound:k-3114_後援.mp3]<br>こうえん <br> support, backing
support, backing	<b>後援<b> <br> こうえん <br>[sound:k-3114_後援.mp3]
[sound:k-3114_後援.mp3]	support, backing<br> <b>後援</b> <br> (こうえん)
(<b>世界銀行</b>) 世界銀行は途上国の開発を支援しています。	[sound:s-3114_世界銀行は途上国の開発を支援しています。.mp3] <br> せかいぎんこうはとじょうこくのかいはつをしえんしています。 <br> The World Bank supports the development of developing countries.
[sound:s-3104_彼は気象学者として働いています。.mp3]	(<b>気象</b>) 彼は気象学者として働いています。<br> かれはきしょうがくしゃとしてはたらいています。 <br>He works as a meteorologist.	
援護	[sound:k-3115_援護.mp3]<br>えんご <br> covering, protection, backing, relief
covering, protection, backing, relief	<b>援護<b> <br> えんご <br>[sound:k-3115_援護.mp3]
[sound:k-3115_援護.mp3]	covering, protection, backing, relief<br> <b>援護</b> <br> (えんご)
(<b>水銀</b>) 水銀は有毒な物質です。	[sound:s-3115_水銀は有毒な物質です。.mp3] <br> すいぎんはゆうどくなぶっしつです。 <br> Mercury is a toxic substance.
[sound:s-3105_その建物は国の繁栄を象徴しています。.mp3]	(<b>象徴</b>) その建物は国の繁栄を象徴しています。<br> そのたてものはくにのはんえいをしょうちょうしています。 <br>The building symbolizes the prosperity of the country.	
声援	[sound:k-3116_声援.mp3]<br>せいえん <br> encouragement, cheering, support
encouragement, cheering, support	<b>声援<b> <br> せいえん <br>[sound:k-3116_声援.mp3]
[sound:k-3116_声援.mp3]	encouragement, cheering, support<br> <b>声援</b> <br> (せいえん)
(<b>世銀</b>) 世銀は国際開発銀行の略称です。	[sound:s-3116_世銀は国際開発銀行の略称です。.mp3] <br> せぎんはこくさいかいはつぎんこうのりゃくしょうです。 <br> The IDB is an abbreviation for the International Development Bank.
[sound:s-3106_彼女の演技は私たちに印象的なものを残しました。.mp3]	(<b>印象的</b>) 彼女の演技は私たちに印象的なものを残しました。<br> かのじょのえんぎはわたしたちにいんしょうてきなものをのこしました。 <br>Her performance left an impressive impression on us.	
義援金	[sound:k-3117_義援金.mp3]<br>ぎえんきん <br> donation money, contribution
donation money, contribution	<b>義援金<b> <br> ぎえんきん <br>[sound:k-3117_義援金.mp3]
[sound:k-3117_義援金.mp3]	donation money, contribution<br> <b>義援金</b> <br> (ぎえんきん)
(<b>銀河</b>) 銀河系には多くの星があります。	[sound:s-3117_銀河系には多くの星があります。.mp3] <br> ぎんがけいにはおおくのほしがあります。 <br> There are many stars in the Milky Way.
[sound:s-3107_その象徴的な場所は多くの人々に親しまれています。.mp3]	(<b>象徴的</b>) その象徴的な場所は多くの人々に親しまれています。<br> そのしょうちょうてきなばしょはおおくのひとびとにしたしまれています。 <br>That symbolic place is cherished by many people.	
援軍	[sound:k-3118_援軍.mp3]<br>えんぐん <br> reinforcement
reinforcement	<b>援軍<b> <br> えんぐん <br>[sound:k-3118_援軍.mp3]
[sound:k-3118_援軍.mp3]	reinforcement<br> <b>援軍</b> <br> (えんぐん)
(<b>輸銀</b>) 輸銀は国際的な銀行業務を担当しています。	[sound:s-3118_輸銀は国際的な銀行業務を担当しています。.mp3] <br> ゆぎんはこくさいてきなぎんこうぎょうむをたんとうしています。 <br> Yugin is responsible for international banking operations.
[sound:s-3108_彼女の作品は抽象的な美しさを表しています。.mp3]	(<b>抽象</b>) 彼女の作品は抽象的な美しさを表しています。<br> かのじょのさくひんはちゅうしょうてきなうつくしさをあらわしています。 <br>Her work expresses abstract beauty.	
無援	[sound:k-3119_無援.mp3]<br>むえん <br> helpless, unsupporting
helpless, unsupporting	<b>無援<b> <br> むえん <br>[sound:k-3119_無援.mp3]
[sound:k-3119_無援.mp3]	helpless, unsupporting<br> <b>無援</b> <br> (むえん)
(<b>地域</b>) この地域は豊かな自然景観で知られています。	[sound:s-3119_この地域は豊かな自然景観で知られています。.mp3] <br> このちいきはゆたかなしぜんけいかんでしられています。 <br> This area is known for its rich natural landscapes.
[sound:s-3109_彼は古銀貨をコレクションしています。.mp3]	(<b>銀</b>) 彼は古銀貨をコレクションしています。<br> かれはこぎんかをコレクションしています。 <br>He collects old silver coins.	
子供	[sound:k-3120_子供.mp3]<br>こども <br> child, children
child, children	<b>子供<b> <br> こども <br>[sound:k-3120_子供.mp3]
[sound:k-3120_子供.mp3]	child, children<br> <b>子供</b> <br> (こども)
(<b>区域</b>) 犬の散歩は指定された区域内で行われます。	[sound:s-3120_犬の散歩は指定された区域内で行われます。.mp3] <br> いぬのさんぽはしていされたくいきないでおこなわれます。 <br> Dog walking is conducted within designated areas.
[sound:s-3110_私たちは銀行で口座を開設しました。.mp3]	(<b>銀行</b>) 私たちは銀行で口座を開設しました。<br> わたしたちはぎんこうでこうざをかいせつしました。 <br>We opened an account at the bank.	
供給	[sound:k-3121_供給.mp3]<br>きょうきゅう <br> supply, provision
supply, provision	<b>供給<b> <br> きょうきゅう <br>[sound:k-3121_供給.mp3]
[sound:k-3121_供給.mp3]	supply, provision<br> <b>供給</b> <br> (きょうきゅう)
(<b>域内</b>) 公園は市域内に位置しています。	[sound:s-3121_公園は市域内に位置しています。.mp3] <br> こうえんはしきいないにいちしています。 <br> The park is located within the city limits.
[sound:s-3111_銀座は東京の有名なショッピングエリアです。.mp3]	(<b>銀座</b>) 銀座は東京の有名なショッピングエリアです。<br> ぎんざはとうきょうのゆうめいなショッピングエリアです。 <br>Ginza is a famous shopping area in Tokyo.	
提供	[sound:k-3122_提供.mp3]<br>ていきょう <br> offer, tender, program sponsoring, programme sponsoring, furnishing
offer, tender, program sponsoring, programme sponsoring, furnishing	<b>提供<b> <br> ていきょう <br>[sound:k-3122_提供.mp3]
[sound:k-3122_提供.mp3]	offer, tender, program sponsoring, programme sponsoring, furnishing<br> <b>提供</b> <br> (ていきょう)
(<b>海域</b>) この海域は多くの漁業に利用されています。	[sound:s-3122_この海域は多くの漁業に利用されています。.mp3] <br> このかいいきはおおくのぎょぎょうにりようされています。 <br> This maritime area is utilized by many fisheries.
[sound:s-3112_住友銀行は日本の有力な銀行の一つです。.mp3]	(<b>住友銀行</b>) 住友銀行は日本の有力な銀行の一つです。<br> すみともぎんこうはにほんのゆうりょくなぎんこうのひとつです。 <br>Sumitomo Bank is one of Japan's leading banks.	
供与	[sound:k-3123_供与.mp3]<br>きょうよ <br> giving, provision, furnishing
giving, provision, furnishing	<b>供与<b> <br> きょうよ <br>[sound:k-3123_供与.mp3]
[sound:k-3123_供与.mp3]	giving, provision, furnishing<br> <b>供与</b> <br> (きょうよ)
(<b>全域</b>) この地図は市の全域をカバーしています。	[sound:s-3123_この地図は市の全域をカバーしています。.mp3] <br> このちずはしのぜんいきをカバーしています。 <br> This map covers the entire city area.
[sound:s-3113_日本銀行は日本の中央銀行です。.mp3]	(<b>日本銀行</b>) 日本銀行は日本の中央銀行です。<br> にほんぎんこうはにほんのちゅうおうぎんこうです。 <br>The Bank of Japan is the central bank of Japan.	
供述	[sound:k-3124_供述.mp3]<br>きょうじゅつ <br> affidavit, deposition, testimony
affidavit, deposition, testimony	<b>供述<b> <br> きょうじゅつ <br>[sound:k-3124_供述.mp3]
[sound:k-3124_供述.mp3]	affidavit, deposition, testimony<br> <b>供述</b> <br> (きょうじゅつ)
(<b>領域</b>) その研究は新しい科学の領域に進んでいます。	[sound:s-3124_その研究は新しい科学の領域に進んでいます。.mp3] <br> そのけんきゅうはあたらしいかがくのりょういきにすすんでいます。 <br> The research is advancing into the realm of new science.
[sound:s-3114_世界銀行は途上国の開発を支援しています。.mp3]	(<b>世界銀行</b>) 世界銀行は途上国の開発を支援しています。<br> せかいぎんこうはとじょうこくのかいはつをしえんしています。 <br>The World Bank supports the development of developing countries.	
供	[sound:k-3125_供.mp3]<br>とも <br> companion, follower, attendant, retinue
companion, follower, attendant, retinue	<b>供<b> <br> とも <br>[sound:k-3125_供.mp3]
[sound:k-3125_供.mp3]	companion, follower, attendant, retinue<br> <b>供</b> <br> (とも)
(<b>域外</b>) このプランは地域外の顧客にも適用されます。	[sound:s-3125_このプランは地域外の顧客にも適用されます。.mp3] <br> このプランはちいきがいのこきゃくにもてきようされます。 <br> This plan also applies to customers outside the region.
[sound:s-3115_水銀は有毒な物質です。.mp3]	(<b>水銀</b>) 水銀は有毒な物質です。<br> すいぎんはゆうどくなぶっしつです。 <br>Mercury is a toxic substance.	
提供者	[sound:k-3126_提供者.mp3]<br>ていきょうしゃ <br> donor, contributer, provider
donor, contributer, provider	<b>提供者<b> <br> ていきょうしゃ <br>[sound:k-3126_提供者.mp3]
[sound:k-3126_提供者.mp3]	donor, contributer, provider<br> <b>提供者</b> <br> (ていきょうしゃ)
(<b>流域</b>) この川の流域には多くの農村があります。	[sound:s-3126_この川の流域には多くの農村があります。.mp3] <br> このかわのりゅういきにはおおくののうそんがあります。 <br> There are many villages in the basin of this river.
[sound:s-3116_世銀は国際開発銀行の略称です。.mp3]	(<b>世銀</b>) 世銀は国際開発銀行の略称です。<br> せぎんはこくさいかいはつぎんこうのりゃくしょうです。 <br>The IDB is an abbreviation for the International Development Bank.	
供養	[sound:k-3127_供養.mp3]<br>くよう <br> memorial service for the dead, holding a service
memorial service for the dead, holding a service	<b>供養<b> <br> くよう <br>[sound:k-3127_供養.mp3]
[sound:k-3127_供養.mp3]	memorial service for the dead, holding a service<br> <b>供養</b> <br> (くよう)
(<b>広域</b>) このプロジェクトは広域にわたって実施されます。	[sound:s-3127_このプロジェクトは広域にわたって実施されます。.mp3] <br> このプロジェクトはこういきにわたってじっしされます。 <br> This project will be implemented over a wide area.
[sound:s-3117_銀河系には多くの星があります。.mp3]	(<b>銀河</b>) 銀河系には多くの星があります。<br> ぎんがけいにはおおくのほしがあります。 <br>There are many stars in the Milky Way.	
供給源	[sound:k-3128_供給源.mp3]<br>きょうきゅうげん <br> source of supply
source of supply	<b>供給源<b> <br> きょうきゅうげん <br>[sound:k-3128_供給源.mp3]
[sound:k-3128_供給源.mp3]	source of supply<br> <b>供給源</b> <br> (きょうきゅうげん)
(<b>地域社会</b>) 地域社会でのボランティア活動に参加します。	[sound:s-3128_地域社会でのボランティア活動に参加します。.mp3] <br> ちいきしゃかいでのボランティアかつどうにさんかします。 <br> I participate in volunteer activities in the local community.
[sound:s-3118_輸銀は国際的な銀行業務を担当しています。.mp3]	(<b>輸銀</b>) 輸銀は国際的な銀行業務を担当しています。<br> ゆぎんはこくさいてきなぎんこうぎょうむをたんとうしています。 <br>Yugin is responsible for international banking operations.	
自供	[sound:k-3129_自供.mp3]<br>じきょう <br> confession
confession	<b>自供<b> <br> じきょう <br>[sound:k-3129_自供.mp3]
[sound:k-3129_自供.mp3]	confession<br> <b>自供</b> <br> (じきょう)
(<b>援助</b>) 困っている人々に援助を提供することが大切です。	[sound:s-3129_困っている人々に援助を提供することが大切です。.mp3] <br> こまっているひとびとにえんじょをていきゅうすることがたいせつです。 <br> It is important to provide assistance to those in need.
[sound:s-3119_この地域は豊かな自然景観で知られています。.mp3]	(<b>地域</b>) この地域は豊かな自然景観で知られています。<br> このちいきはゆたかなしぜんけいかんでしられています。 <br>This area is known for its rich natural landscapes.	
可	[sound:k-3130_可.mp3]<br>か <br> passable, acceptable, tolerable, fair
passable, acceptable, tolerable, fair	<b>可<b> <br> か <br>[sound:k-3130_可.mp3]
[sound:k-3130_可.mp3]	passable, acceptable, tolerable, fair<br> <b>可</b> <br> (か)
(<b>補助</b>) 政府は地方のプロジェクトに補助金を提供します。	[sound:s-3130_政府は地方のプロジェクトに補助金を提供します。.mp3] <br> せいふはちほうのプロジェクトにほじょきんをていきゅうします。 <br> The government provides subsidies to local projects.
[sound:s-3120_犬の散歩は指定された区域内で行われます。.mp3]	(<b>区域</b>) 犬の散歩は指定された区域内で行われます。<br> いぬのさんぽはしていされたくいきないでおこなわれます。 <br>Dog walking is conducted within designated areas.	
可能	[sound:k-3131_可能.mp3]<br>かのう <br> possible, practicable, feasible
possible, practicable, feasible	<b>可能<b> <br> かのう <br>[sound:k-3131_可能.mp3]
[sound:k-3131_可能.mp3]	possible, practicable, feasible<br> <b>可能</b> <br> (かのう)
(<b>助教授</b>) 彼女は大学で助教授として働いています。	[sound:s-3131_彼女は大学で助教授として働いています。.mp3] <br> かのじょはだいがくでじょきょうじゅとしてはたらいています。 <br> She works as an associate professor at the university.
[sound:s-3121_公園は市域内に位置しています。.mp3]	(<b>域内</b>) 公園は市域内に位置しています。<br> こうえんはしきいないにいちしています。 <br>The park is located within the city limits.	
可能性	[sound:k-3132_可能性.mp3]<br>かのうせい <br> potentiality, likelihood, possibility, availability
potentiality, likelihood, possibility, availability	<b>可能性<b> <br> かのうせい <br>[sound:k-3132_可能性.mp3]
[sound:k-3132_可能性.mp3]	potentiality, likelihood, possibility, availability<br> <b>可能性</b> <br> (かのうせい)
(<b>助成</b>) 文化プロジェクトへの助成金が与えられました。	[sound:s-3132_文化プロジェクトへの助成金が与えられました。.mp3] <br> ぶんかプロジェクトへのじょせいきんがあたえられました。 <br> Grants were provided for the cultural project.
[sound:s-3122_この海域は多くの漁業に利用されています。.mp3]	(<b>海域</b>) この海域は多くの漁業に利用されています。<br> このかいいきはおおくのぎょぎょうにりようされています。 <br>This maritime area is utilized by many fisheries.	
許可	[sound:k-3133_許可.mp3]<br>きょか <br> permission, approval, authorization
permission, approval, authorization	<b>許可<b> <br> きょか <br>[sound:k-3133_許可.mp3]
[sound:k-3133_許可.mp3]	permission, approval, authorization<br> <b>許可</b> <br> (きょか)
(<b>助手</b>) 私の助手が手伝ってくれました。	[sound:s-3133_私の助手が手伝ってくれました。.mp3] <br> わたしのじょしゅがてつだってくれました。 <br> My assistant helped me.
[sound:s-3123_この地図は市の全域をカバーしています。.mp3]	(<b>全域</b>) この地図は市の全域をカバーしています。<br> このちずはしのぜんいきをカバーしています。 <br>This map covers the entire city area.	
可笑しい	[sound:k-3134_可笑しい.mp3]<br>おかしい <br> strange, funny, amusing, ridiculous
strange, funny, amusing, ridiculous	<b>可笑しい<b> <br> おかしい <br>[sound:k-3134_可笑しい.mp3]
[sound:k-3134_可笑しい.mp3]	strange, funny, amusing, ridiculous<br> <b>可笑しい</b> <br> (おかしい)
(<b>助け</b>) 彼女は彼を助けました。	[sound:s-3134_彼女は彼を助けました。.mp3] <br> かのじょはかれをたすけました。 <br> She helped him.
[sound:s-3124_その研究は新しい科学の領域に進んでいます。.mp3]	(<b>領域</b>) その研究は新しい科学の領域に進んでいます。<br> そのけんきゅうはあたらしいかがくのりょういきにすすんでいます。 <br>The research is advancing into the realm of new science.	
認可	[sound:k-3135_認可.mp3]<br>にんか <br> approval, license, licence, permission
approval, license, licence, permission	<b>認可<b> <br> にんか <br>[sound:k-3135_認可.mp3]
[sound:k-3135_認可.mp3]	approval, license, licence, permission<br> <b>認可</b> <br> (にんか)
(<b>救助</b>) 沈んでいる船の救助に向かいます。	[sound:s-3135_沈んでいる船の救助に向かいます。.mp3] <br> しずんでいるふねのきゅうじょにむかいます。 <br> We're heading for the rescue of the sinking ship.
[sound:s-3125_このプランは地域外の顧客にも適用されます。.mp3]	(<b>域外</b>) このプランは地域外の顧客にも適用されます。<br> このプランはちいきがいのこきゃくにもてきようされます。 <br>This plan also applies to customers outside the region.	
不可欠	[sound:k-3136_不可欠.mp3]<br>ふかけつ <br> indispensable, essential
indispensable, essential	<b>不可欠<b> <br> ふかけつ <br>[sound:k-3136_不可欠.mp3]
[sound:k-3136_不可欠.mp3]	indispensable, essential<br> <b>不可欠</b> <br> (ふかけつ)
(<b>助役</b>) 彼は村の助役を務めています。	[sound:s-3136_彼は村の助役を務めています。.mp3] <br> かれはむらのじょやくをつとめています。 <br> He serves as the deputy mayor of the village.
[sound:s-3126_この川の流域には多くの農村があります。.mp3]	(<b>流域</b>) この川の流域には多くの農村があります。<br> このかわのりゅういきにはおおくののうそんがあります。 <br>There are many villages in the basin of this river.	
不可能	[sound:k-3137_不可能.mp3]<br>ふかのう <br> impossible
impossible	<b>不可能<b> <br> ふかのう <br>[sound:k-3137_不可能.mp3]
[sound:k-3137_不可能.mp3]	impossible<br> <b>不可能</b> <br> (ふかのう)
(<b>助言</b>) 彼からの助言はいつも役に立ちます。	[sound:s-3137_彼からの助言はいつも役に立ちます。.mp3] <br> かれからのじょげんはいつもやくにたちます。 <br> His advice is always helpful.
[sound:s-3127_このプロジェクトは広域にわたって実施されます。.mp3]	(<b>広域</b>) このプロジェクトは広域にわたって実施されます。<br> このプロジェクトはこういきにわたってじっしされます。 <br>This project will be implemented over a wide area.	
可決	[sound:k-3138_可決.mp3]<br>かけつ <br> approval, adoption (e.g. motion, bill), passage
approval, adoption (e.g. motion, bill), passage	<b>可決<b> <br> かけつ <br>[sound:k-3138_可決.mp3]
