[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
[sound:k-3667_王宮.mp3]	royal palace<br> <b>王宮</b> <br> (おうきゅう)
(<b>当局</b>) 当局は事件に関する声明を発表しました。	[sound:s-3667_当局は事件に関する声明を発表しました。.mp3] <br> とうきょくはじけんにかんするせいめいをはっぴょうしました。 <br> The authorities issued a statement regarding the incident.
[sound:s-3657_上田さんは私の隣人です。.mp3]	(<b>上田</b>) 上田さんは私の隣人です。<br> うえださんはわたしのりんじんです。 <br>Mr. Ueda is my neighbor.	
宮廷	[sound:k-3668_宮廷.mp3]<br>きゅうてい <br> imperial court, royal court
imperial court, royal court	<b>宮廷<b> <br> きゅうてい <br>[sound:k-3668_宮廷.mp3]
[sound:k-3668_宮廷.mp3]	imperial court, royal court<br> <b>宮廷</b> <br> (きゅうてい)
(<b>当時</b>) 当時の状況を思い出します。	[sound:s-3668_当時の状況を思い出します。.mp3] <br> とうじのじょうきょうをおもいだします。 <br> I recall the situation at that time.
[sound:s-3658_この地域では水田が広がっています。.mp3]	(<b>水田</b>) この地域では水田が広がっています。<br> このちいきではすいでんがひろがっています。 <br>Paddy fields spread out in this area.	
二宮	[sound:k-3669_二宮.mp3]<br>にぐう <br> the Two Ise Shrines
the Two Ise Shrines	<b>二宮<b> <br> にぐう <br>[sound:k-3669_二宮.mp3]
[sound:k-3669_二宮.mp3]	the Two Ise Shrines<br> <b>二宮</b> <br> (にぐう)
(<b>当初</b>) 当初の計画は変更されました。	[sound:s-3669_当初の計画は変更されました。.mp3] <br> とうしょのけいかくはへんこうされました。 <br> The initial plan has been changed.
[sound:s-3659_その国は豊富な油田を持っています。.mp3]	(<b>油田</b>) その国は豊富な油田を持っています。<br> そのくにはほうふなゆでんをもっています。 <br>The country has abundant oil fields.	
研究	[sound:k-3670_研究.mp3]<br>けんきゅう <br> study, research, investigation
study, research, investigation	<b>研究<b> <br> けんきゅう <br>[sound:k-3670_研究.mp3]
[sound:k-3670_研究.mp3]	study, research, investigation<br> <b>研究</b> <br> (けんきゅう)
(<b>担当</b>) 私はそのプロジェクトの担当者です。	[sound:s-3670_私はそのプロジェクトの担当者です。.mp3] <br> わたしはそのぷろじぇくとのたんとうしゃです。 <br> I am in charge of that project.
[sound:s-3660_彼女は田舎でのんびりと暮らしたいと言っています。.mp3]	(<b>田舎</b>) 彼女は田舎でのんびりと暮らしたいと言っています。<br> かのじょはいなかでのんびりとくらしたいといっています。 <br>She says she wants to live a relaxed life in the countryside.	
研究所	[sound:k-3671_研究所.mp3]<br>けんきゅうしょ, けんきゅうじょ <br> research establishment (institute, laboratory, etc.)
research establishment (institute, laboratory, etc.)	<b>研究所<b> <br> けんきゅうしょ, けんきゅうじょ <br>[sound:k-3671_研究所.mp3]
[sound:k-3671_研究所.mp3]	research establishment<br> <b>institute, laboratory, etc.) (研究所</b> <br> (けんきゅうしょ, けんきゅうじょ)
(<b>当たり</b>) 彼は宝くじで大当たりを引きました。	[sound:s-3671_彼は宝くじで大当たりを引きました。.mp3] <br> かれはたからくじでおおあたりをひきました。 <br> He won the jackpot in the lottery.
[sound:s-3661_日本では桑田地帯が多く見られます。.mp3]	(<b>桑田</b>) 日本では桑田地帯が多く見られます。<br> にほんではくわたちたいがおおくみられます。 <br>Mulberry fields are commonly seen in Japan.	
研究者	[sound:k-3672_研究者.mp3]<br>けんきゅうしゃ <br> researcher
researcher	<b>研究者<b> <br> けんきゅうしゃ <br>[sound:k-3672_研究者.mp3]
[sound:k-3672_研究者.mp3]	researcher<br> <b>研究者</b> <br> (けんきゅうしゃ)
(<b>当選</b>) 彼は市長に当選しました。	[sound:s-3672_彼は市長に当選しました。.mp3] <br> かれはしちょうにとうせんしました。 <br> He was elected as the mayor.
[sound:s-3662_その町は美しい田園風景で有名です。.mp3]	(<b>田園</b>) その町は美しい田園風景で有名です。<br> そのまちはうつくしいでんえんふうけいでゆうめいです。 <br>The town is famous for its beautiful rural landscape.	
究明	[sound:k-3673_究明.mp3]<br>きゅうめい <br> investigation (esp. in academic and scientific contexts)
investigation (esp. in academic and scientific contexts)	<b>究明<b> <br> きゅうめい <br>[sound:k-3673_究明.mp3]
[sound:k-3673_究明.mp3]	investigation<br> <b>esp. in academic and scientific contexts) (究明</b> <br> (きゅうめい)
(<b>当面</b>) 当面の問題に焦点を当てましょう。	[sound:s-3673_当面の問題に焦点を当てましょう。.mp3] <br> とうめんのもんだいにしょうてんをあてましょう。 <br> Let's focus on the current issues.
[sound:s-3663_この地域は田畑が広がっています。.mp3]	(<b>田畑</b>) この地域は田畑が広がっています。<br> このちいきはたはたがひろがっています。 <br>This area has vast fields and paddies.	
研究員	[sound:k-3674_研究員.mp3]<br>けんきゅういん <br> researcher
researcher	<b>研究員<b> <br> けんきゅういん <br>[sound:k-3674_研究員.mp3]
[sound:k-3674_研究員.mp3]	researcher<br> <b>研究員</b> <br> (けんきゅういん)
(<b>本当</b>) 彼の言葉は本当です。	[sound:s-3674_彼の言葉は本当です。.mp3] <br> かれのことばはほんとうです。 <br> His words are true.
[sound:s-3664_春になると田植えが始まります。.mp3]	(<b>田植え</b>) 春になると田植えが始まります。<br> はるになるとたうえがはじまります。 <br>Rice planting begins in spring.	
研究室	[sound:k-3675_研究室.mp3]<br>けんきゅうしつ <br> laboratory; seminar room; professor's office
laboratory; seminar room; professor's office	<b>研究室<b> <br> けんきゅうしつ <br>[sound:k-3675_研究室.mp3]
[sound:k-3675_研究室.mp3]	laboratory; seminar room; professor's office<br> <b>研究室</b> <br> (けんきゅうしつ)
(<b>相当</b>) 彼はその仕事に相当な時間を費やしました。	[sound:s-3675_彼はその仕事に相当な時間を費やしました。.mp3] <br> かれはそのしごとにそうとうなじかんをついやしました。 <br> He spent a considerable amount of time on the job.
[sound:s-3665_政治家たちは票田を拡大するために努力しています。.mp3]	(<b>票田</b>) 政治家たちは票田を拡大するために努力しています。<br> せいじかたちはひょうでんをかくだいするためにどりょくしています。 <br>Politicians are striving to expand their voter base.	
研究家	[sound:k-3676_研究家.mp3]<br>けんきゅうか <br> researcher, student (of)
researcher, student (of)	<b>研究家<b> <br> けんきゅうか <br>[sound:k-3676_研究家.mp3]
[sound:k-3676_研究家.mp3]	researcher, student<br> <b>of) (研究家</b> <br> (けんきゅうか)
(<b>担当者</b>) 私はこのプロジェクトの担当者です。	[sound:s-3676_私はこのプロジェクトの担当者です。.mp3] <br> わたしはこのぷろじぇくとのたんとうしゃです。 <br> I am the person in charge of this project.
[sound:s-3666_新田に家を建てました。.mp3]	(<b>新田</b>) 新田に家を建てました。<br> しんでんにいえをたてました。 <br>I built a house in the new field.	
経済研究所	[sound:k-3677_経済研究所.mp3]<br>けいざいけんきゅうしょ <br> economics research centre, economics research center
economics research centre, economics research center	<b>経済研究所<b> <br> けいざいけんきゅうしょ <br>[sound:k-3677_経済研究所.mp3]
[sound:k-3677_経済研究所.mp3]	economics research centre, economics research center<br> <b>経済研究所</b> <br> (けいざいけんきゅうしょ)
(<b>八</b>) 彼は八つのりんごを買いました。	[sound:s-3677_彼は八つのりんごを買いました。.mp3] <br> かれはやっつのりんごをかいました。 <br> He bought eight apples.
[sound:s-3667_当局は事件に関する声明を発表しました。.mp3]	(<b>当局</b>) 当局は事件に関する声明を発表しました。<br> とうきょくはじけんにかんするせいめいをはっぴょうしました。 <br>The authorities issued a statement regarding the incident.	
究極	[sound:k-3678_究極.mp3]<br>きゅうきょく <br> ultimate, extreme, final, eventual
ultimate, extreme, final, eventual	<b>究極<b> <br> きゅうきょく <br>[sound:k-3678_究極.mp3]
[sound:k-3678_究極.mp3]	ultimate, extreme, final, eventual<br> <b>究極</b> <br> (きゅうきょく)
(<b>十八</b>) 彼女は十八歳になりました。	[sound:s-3678_彼女は十八歳になりました。.mp3] <br> かのじょはじゅうはっさいになりました。 <br> She turned eighteen.
[sound:s-3668_当時の状況を思い出します。.mp3]	(<b>当時</b>) 当時の状況を思い出します。<br> とうじのじょうきょうをおもいだします。 <br>I recall the situation at that time.	
研究官	[sound:k-3679_研究官.mp3]<br>けんきゅうかん <br> research officer
research officer	<b>研究官<b> <br> けんきゅうかん <br>[sound:k-3679_研究官.mp3]
[sound:k-3679_研究官.mp3]	research officer<br> <b>研究官</b> <br> (けんきゅうかん)
(<b>八月</b>) 八月にはよく海に行きます。	[sound:s-3679_八月にはよく海に行きます。.mp3] <br> はちがつにはよくうみにいきます。 <br> We often go to the sea in August.
[sound:s-3669_当初の計画は変更されました。.mp3]	(<b>当初</b>) 当初の計画は変更されました。<br> とうしょのけいかくはへんこうされました。 <br>The initial plan has been changed.	
教育	[sound:k-3680_教育.mp3]<br>きょういく <br> training, education
training, education	<b>教育<b> <br> きょういく <br>[sound:k-3680_教育.mp3]
[sound:k-3680_教育.mp3]	training, education<br> <b>教育</b> <br> (きょういく)
(<b>八十</b>) 彼の祖母は八十歳になりました。	[sound:s-3680_彼の祖母は八十歳になりました。.mp3] <br> かれのそぼははちじゅっさいになりました。 <br> His grandmother turned eighty.
[sound:s-3670_私はそのプロジェクトの担当者です。.mp3]	(<b>担当</b>) 私はそのプロジェクトの担当者です。<br> わたしはそのぷろじぇくとのたんとうしゃです。 <br>I am in charge of that project.	
体育	[sound:k-3681_体育.mp3]<br>たいいく <br> physical education, gymnastics, athletics
physical education, gymnastics, athletics	<b>体育<b> <br> たいいく <br>[sound:k-3681_体育.mp3]
[sound:k-3681_体育.mp3]	physical education, gymnastics, athletics<br> <b>体育</b> <br> (たいいく)
(<b>三十八度線</b>) 戦争の原因となった三十八度線。	[sound:s-3681_戦争の原因となった三十八度線。.mp3] <br> せんそうのげんいんとなったさんじゅうはちどせん。 <br> The 38th parallel that became the cause of the war.
[sound:s-3671_彼は宝くじで大当たりを引きました。.mp3]	(<b>当たり</b>) 彼は宝くじで大当たりを引きました。<br> かれはたからくじでおおあたりをひきました。 <br>He won the jackpot in the lottery.	
育児	[sound:k-3682_育児.mp3]<br>いくじ <br> childcare, nursing, upbringing
childcare, nursing, upbringing	<b>育児<b> <br> いくじ <br>[sound:k-3682_育児.mp3]
[sound:k-3682_育児.mp3]	childcare, nursing, upbringing<br> <b>育児</b> <br> (いくじ)
(<b>百八十度</b>) そのスパイスは百八十度の温度で調理されます。	[sound:s-3682_そのスパイスは百八十度の温度で調理されます。.mp3] <br> そのすぱいすはひゃくはちじゅうどのおんどでちょうりされます。 <br> The spice is cooked at 180 degrees.
[sound:s-3672_彼は市長に当選しました。.mp3]	(<b>当選</b>) 彼は市長に当選しました。<br> かれはしちょうにとうせんしました。 <br>He was elected as the mayor.	
保育	[sound:k-3683_保育.mp3]<br>ほいく <br> nursing, nurturing, rearing, lactation, suckling
nursing, nurturing, rearing, lactation, suckling	<b>保育<b> <br> ほいく <br>[sound:k-3683_保育.mp3]
[sound:k-3683_保育.mp3]	nursing, nurturing, rearing, lactation, suckling<br> <b>保育</b> <br> (ほいく)
(<b>八幡</b>) 八幡神社は有名です。	[sound:s-3683_八幡神社は有名です。.mp3] <br> はちまんじんじゃはゆうめいです。 <br> The Hachiman Shrine is famous.
[sound:s-3673_当面の問題に焦点を当てましょう。.mp3]	(<b>当面</b>) 当面の問題に焦点を当てましょう。<br> とうめんのもんだいにしょうてんをあてましょう。 <br>Let's focus on the current issues.	
育成	[sound:k-3684_育成.mp3]<br>いくせい <br> rearing, training, nurture, cultivation, promotion
rearing, training, nurture, cultivation, promotion	<b>育成<b> <br> いくせい <br>[sound:k-3684_育成.mp3]
[sound:k-3684_育成.mp3]	rearing, training, nurture, cultivation, promotion<br> <b>育成</b> <br> (いくせい)
(<b>十八番</b>) 彼の十八番は料理です。	[sound:s-3684_彼の十八番は料理です。.mp3] <br> かれのじゅうはちばんはりょうりです。 <br> His specialty is cooking.
[sound:s-3674_彼の言葉は本当です。.mp3]	(<b>本当</b>) 彼の言葉は本当です。<br> かれのことばはほんとうです。 <br>His words are true.	
育ち	[sound:k-3685_育ち.mp3]<br>そだち <br> breeding, growth
breeding, growth	<b>育ち<b> <br> そだち <br>[sound:k-3685_育ち.mp3]
[sound:k-3685_育ち.mp3]	breeding, growth<br> <b>育ち</b> <br> (そだち)
(<b>八重</b>) その花は八重の桜です。	[sound:s-3685_その花は八重の桜です。.mp3] <br> そのはなはやえのさくらです。 <br> That flower is a double-flowered cherry blossom.
[sound:s-3675_彼はその仕事に相当な時間を費やしました。.mp3]	(<b>相当</b>) 彼はその仕事に相当な時間を費やしました。<br> かれはそのしごとにそうとうなじかんをついやしました。 <br>He spent a considerable amount of time on the job.	
飼育	[sound:k-3686_飼育.mp3]<br>しいく <br> breeding, raising, rearing
breeding, raising, rearing	<b>飼育<b> <br> しいく <br>[sound:k-3686_飼育.mp3]
[sound:k-3686_飼育.mp3]	breeding, raising, rearing<br> <b>飼育</b> <br> (しいく)
(<b>八分音符</b>) 八分音符は半拍です。	[sound:s-3686_八分音符は半拍です。.mp3] <br> はちぶおんぷははんぱいです。 <br> An eighth note is half a beat.
[sound:s-3676_私はこのプロジェクトの担当者です。.mp3]	(<b>担当者</b>) 私はこのプロジェクトの担当者です。<br> わたしはこのぷろじぇくとのたんとうしゃです。 <br>I am the person in charge of this project.	
育英	[sound:k-3687_育英.mp3]<br>いくえい <br> education
education	<b>育英<b> <br> いくえい <br>[sound:k-3687_育英.mp3]
[sound:k-3687_育英.mp3]	education<br> <b>育英</b> <br> (いくえい)
(<b>六</b>) 彼は六匹の猫を飼っています。	[sound:s-3687_彼は六匹の猫を飼っています。.mp3] <br> かれはろっぴきのねこをかっています。 <br> He owns six cats.
[sound:s-3677_彼は八つのりんごを買いました。.mp3]	(<b>八</b>) 彼は八つのりんごを買いました。<br> かれはやっつのりんごをかいました。 <br>He bought eight apples.	
教育委員会	[sound:k-3688_教育委員会.mp3]<br>きょういくいいんかい <br> Board of Education
Board of Education	<b>教育委員会<b> <br> きょういくいいんかい <br>[sound:k-3688_教育委員会.mp3]
[sound:k-3688_教育委員会.mp3]	Board of Education<br> <b>教育委員会</b> <br> (きょういくいいんかい)
(<b>六月</b>) 六月には父の日があります。	[sound:s-3688_六月には父の日があります。.mp3] <br> ろくがつにはちちのひがあります。 <br> Father's Day is in June.
[sound:s-3678_彼女は十八歳になりました。.mp3]	(<b>十八</b>) 彼女は十八歳になりました。<br> かのじょはじゅうはっさいになりました。 <br>She turned eighteen.	
保育所	[sound:k-3689_保育所.mp3]<br>ほいくしょ, ほいくじょ <br> nursery school, nursery
nursery school, nursery	<b>保育所<b> <br> ほいくしょ, ほいくじょ <br>[sound:k-3689_保育所.mp3]
[sound:k-3689_保育所.mp3]	nursery school, nursery<br> <b>保育所</b> <br> (ほいくしょ, ほいくじょ)
(<b>六十</b>) 彼は六十歳を迎えました。	[sound:s-3689_彼は六十歳を迎えました。.mp3] <br> かれはろくじゅっさいをむかえました。 <br> He turned sixty.
[sound:s-3679_八月にはよく海に行きます。.mp3]	(<b>八月</b>) 八月にはよく海に行きます。<br> はちがつにはよくうみにいきます。 <br>We often go to the sea in August.	
席	[sound:k-3690_席.mp3]<br>せき <br> seat; location (of a gathering, etc.), place; position, post
seat; location (of a gathering, etc.), place; position, post	<b>席<b> <br> せき <br>[sound:k-3690_席.mp3]
[sound:k-3690_席.mp3]	seat; location<br> <b>of a gathering, etc.), place; position, post (席</b> <br> (せき)
(<b>六十四分音符</b>) 六十四分音符は二小節です。	[sound:s-3690_六十四分音符は二小節です。.mp3] <br> ろくじゅうよんぶおんぷはにしょうせつです。 <br> A sixty-fourth note is two measures long.
[sound:s-3680_彼の祖母は八十歳になりました。.mp3]	(<b>八十</b>) 彼の祖母は八十歳になりました。<br> かれのそぼははちじゅっさいになりました。 <br>His grandmother turned eighty.	
議席	[sound:k-3691_議席.mp3]<br>ぎせき <br> parliamentary seat
parliamentary seat	<b>議席<b> <br> ぎせき <br>[sound:k-3691_議席.mp3]
[sound:k-3691_議席.mp3]	parliamentary seat<br> <b>議席</b> <br> (ぎせき)
(<b>十六</b>) 彼女は十六歳になりました。	[sound:s-3691_彼女は十六歳になりました。.mp3] <br> かのじょはじゅうろくさいになりました。 <br> She turned sixteen.
[sound:s-3681_戦争の原因となった三十八度線。.mp3]	(<b>三十八度線</b>) 戦争の原因となった三十八度線。<br> せんそうのげんいんとなったさんじゅうはちどせん。 <br>The 38th parallel that became the cause of the war.	
主席	[sound:k-3692_主席.mp3]<br>しゅせき <br> head, chief; chairman, governor, president; top student, head of the class; top seat, first desk (in orchestra)
head, chief; chairman, governor, president; top student, head of the class; top seat, first desk (in orchestra)	<b>主席<b> <br> しゅせき <br>[sound:k-3692_主席.mp3]
[sound:k-3692_主席.mp3]	head, chief; chairman, governor, president; top student, head of the class; top seat, first desk<br> <b>in orchestra) (主席</b> <br> (しゅせき)
(<b>六角</b>) 彼は六角形のテーブルを作りました。	[sound:s-3692_彼は六角形のテーブルを作りました。.mp3] <br> かれはろっかくけいのてーぶるをつくりました。 <br> He made a hexagonal table.
[sound:s-3682_そのスパイスは百八十度の温度で調理されます。.mp3]	(<b>百八十度</b>) そのスパイスは百八十度の温度で調理されます。<br> そのすぱいすはひゃくはちじゅうどのおんどでちょうりされます。 <br>The spice is cooked at 180 degrees.	
出席	[sound:k-3693_出席.mp3]<br>しゅっせき <br> attendance, presence, appearance; to attend, to be present, to appear
attendance, presence, appearance; to attend, to be present, to appear	<b>出席<b> <br> しゅっせき <br>[sound:k-3693_出席.mp3]
[sound:k-3693_出席.mp3]	attendance, presence, appearance; to attend, to be present, to appear<br> <b>出席</b> <br> (しゅっせき)
(<b>四六時中</b>) 彼女は四六時中勉強しています。	[sound:s-3693_彼女は四六時中勉強しています。.mp3] <br> かのじょはしろくじちゅうべんきょうしています。 <br> She studies all the time.
[sound:s-3683_八幡神社は有名です。.mp3]	(<b>八幡</b>) 八幡神社は有名です。<br> はちまんじんじゃはゆうめいです。 <br>The Hachiman Shrine is famous.	
打席	[sound:k-3694_打席.mp3]<br>だせき <br> batter's box (baseball), one's turn at bat
batter's box (baseball), one's turn at bat	<b>打席<b> <br> だせき <br>[sound:k-3694_打席.mp3]
[sound:k-3694_打席.mp3]	batter's box<br> <b>baseball), one's turn at bat (打席</b> <br> (だせき)
(<b>六つ</b>) 彼らは六つの質問をしました。	[sound:s-3694_彼らは六つの質問をしました。.mp3] <br> かれらはむっつのしつもんをしました。 <br> They asked six questions.
[sound:s-3684_彼の十八番は料理です。.mp3]	(<b>十八番</b>) 彼の十八番は料理です。<br> かれのじゅうはちばんはりょうりです。 <br>His specialty is cooking.	
席上	[sound:k-3695_席上.mp3]<br>せきじょう <br> at the meeting
at the meeting	<b>席上<b> <br> せきじょう <br>[sound:k-3695_席上.mp3]
[sound:k-3695_席上.mp3]	at the meeting<br> <b>席上</b> <br> (せきじょう)
(<b>一六銀行</b>) 一六銀行は新しい口座サービスを開始しました。	[sound:s-3695_一六銀行は新しい口座サービスを開始しました。.mp3] <br> いちろくぎんこうはあたらしいこうざサービスをかいしした。 <br> Bank 16 has launched a new account service.
[sound:s-3685_その花は八重の桜です。.mp3]	(<b>八重</b>) その花は八重の桜です。<br> そのはなはやえのさくらです。 <br>That flower is a double-flowered cherry blossom.	
同席	[sound:k-3696_同席.mp3]<br>どうせき <br> presence, sitting with, being with
presence, sitting with, being with	<b>同席<b> <br> どうせき <br>[sound:k-3696_同席.mp3]
[sound:k-3696_同席.mp3]	presence, sitting with, being with<br> <b>同席</b> <br> (どうせき)
(<b>一六勝負</b>) 彼は一六勝負で勝ちました。	[sound:s-3696_彼は一六勝負で勝ちました。.mp3] <br> かれはいちろくしょうぶでかちました。 <br> He won in a sixteen-game match.
[sound:s-3686_八分音符は半拍です。.mp3]	(<b>八分音符</b>) 八分音符は半拍です。<br> はちぶおんぷははんぱいです。 <br>An eighth note is half a beat.	
座席	[sound:k-3697_座席.mp3]<br>ざせき <br> seat
seat	<b>座席<b> <br> ざせき <br>[sound:k-3697_座席.mp3]
[sound:k-3697_座席.mp3]	seat<br> <b>座席</b> <br> (ざせき)
(<b>契約</b>) 契約書にサインしてください。	[sound:s-3697_契約書にサインしてください。.mp3] <br> けいやくしょにさいんしてください。 <br> Please sign the contract.
[sound:s-3687_彼は六匹の猫を飼っています。.mp3]	(<b>六</b>) 彼は六匹の猫を飼っています。<br> かれはろっぴきのねこをかっています。 <br>He owns six cats.	
首席	[sound:k-3698_首席.mp3]<br>しゅせき <br> head, chief; chairman, governor, president; top student, head of the class; top seat, first desk (in orchestra)
head, chief; chairman, governor, president; top student, head of the class; top seat, first desk (in orchestra)	<b>首席<b> <br> しゅせき <br>[sound:k-3698_首席.mp3]
[sound:k-3698_首席.mp3]	head, chief; chairman, governor, president; top student, head of the class; top seat, first desk<br> <b>in orchestra) (首席</b> <br> (しゅせき)
(<b>条約</b>) その二国間の条約が締結されました。	[sound:s-3698_その二国間の条約が締結されました。.mp3] <br> そのにこっかんのじょうやくがていけつされました。 <br> The treaty between the two countries was signed.
[sound:s-3688_六月には父の日があります。.mp3]	(<b>六月</b>) 六月には父の日があります。<br> ろくがつにはちちのひがあります。 <br>Father's Day is in June.	
出席者	[sound:k-3699_出席者.mp3]<br>しゅっせきしゃ <br> those present, attendance
those present, attendance	<b>出席者<b> <br> しゅっせきしゃ <br>[sound:k-3699_出席者.mp3]
[sound:k-3699_出席者.mp3]	those present, attendance<br> <b>出席者</b> <br> (しゅっせきしゃ)
(<b>公約</b>) 彼は選挙で公約を宣言しました。	[sound:s-3699_彼は選挙で公約を宣言しました。.mp3] <br> かれはせんきょでこうやくをせんげんしました。 <br> He declared his election promises during the campaign.
[sound:s-3689_彼は六十歳を迎えました。.mp3]	(<b>六十</b>) 彼は六十歳を迎えました。<br> かれはろくじゅっさいをむかえました。 <br>He turned sixty.	
輸出	[sound:k-3700_輸出.mp3]<br>ゆしゅつ, しゅしゅつ <br> export; efferent (medical)
export; efferent (medical)	<b>輸出<b> <br> ゆしゅつ, しゅしゅつ <br>[sound:k-3700_輸出.mp3]
[sound:k-3700_輸出.mp3]	export; efferent<br> <b>medical) (輸出</b> <br> (ゆしゅつ, しゅしゅつ)
(<b>約束</b>) 約束を守ってください。	[sound:s-3700_約束を守ってください。.mp3] <br> やくそくをまもってください。 <br> Please keep your promise.
[sound:s-3690_六十四分音符は二小節です。.mp3]	(<b>六十四分音符</b>) 六十四分音符は二小節です。<br> ろくじゅうよんぶおんぷはにしょうせつです。 <br>A sixty-fourth note is two measures long.	
輸入	[sound:k-3701_輸入.mp3]<br>ゆにゅう, しゅにゅう <br> importation, import, introduction
importation, import, introduction	<b>輸入<b> <br> ゆにゅう, しゅにゅう <br>[sound:k-3701_輸入.mp3]
[sound:k-3701_輸入.mp3]	importation, import, introduction<br> <b>輸入</b> <br> (ゆにゅう, しゅにゅう)
(<b>予約</b>) レストランで予約を取りました。	[sound:s-3701_レストランで予約を取りました。.mp3] <br> れすとらんでよやくをとりました。 <br> I made a reservation at the restaurant.
[sound:s-3691_彼女は十六歳になりました。.mp3]	(<b>十六</b>) 彼女は十六歳になりました。<br> かのじょはじゅうろくさいになりました。 <br>She turned sixteen.	
輸送	[sound:k-3702_輸送.mp3]<br>ゆそう <br> transport, transportation
transport, transportation	<b>輸送<b> <br> ゆそう <br>[sound:k-3702_輸送.mp3]
[sound:k-3702_輸送.mp3]	transport, transportation<br> <b>輸送</b> <br> (ゆそう)
(<b>制約</b>) 彼は時間の制約に苦しんでいます。	[sound:s-3702_彼は時間の制約に苦しんでいます。.mp3] <br> かれはじかんのせいやくにくるしんでいます。 <br> He's struggling with time constraints.
[sound:s-3692_彼は六角形のテーブルを作りました。.mp3]	(<b>六角</b>) 彼は六角形のテーブルを作りました。<br> かれはろっかくけいのてーぶるをつくりました。 <br>He made a hexagonal table.	
運輸	[sound:k-3703_運輸.mp3]<br>うんゆ <br> transportation
transportation	<b>運輸<b> <br> うんゆ <br>[sound:k-3703_運輸.mp3]
[sound:k-3703_運輸.mp3]	transportation<br> <b>運輸</b> <br> (うんゆ)
(<b>規約</b>) このサイトの規約を確認してください。	[sound:s-3703_このサイトの規約を確認してください。.mp3] <br> このさいとのきやくをかくにんしてください。 <br> Please review the terms and conditions of this site.
[sound:s-3693_彼女は四六時中勉強しています。.mp3]	(<b>四六時中</b>) 彼女は四六時中勉強しています。<br> かのじょはしろくじちゅうべんきょうしています。 <br>She studies all the time.	
運輸省	[sound:k-3704_運輸省.mp3]<br>うんゆしょう <br> Ministry of Transport
Ministry of Transport	<b>運輸省<b> <br> うんゆしょう <br>[sound:k-3704_運輸省.mp3]
[sound:k-3704_運輸省.mp3]	Ministry of Transport<br> <b>運輸省</b> <br> (うんゆしょう)
(<b>婚約</b>) 彼らは婚約を発表しました。	[sound:s-3704_彼らは婚約を発表しました。.mp3] <br> かれらはこんやくをはっぴょうしました。 <br> They announced their engagement.
[sound:s-3694_彼らは六つの質問をしました。.mp3]	(<b>六つ</b>) 彼らは六つの質問をしました。<br> かれらはむっつのしつもんをしました。 <br>They asked six questions.	
禁輸	[sound:k-3705_禁輸.mp3]<br>きんゆ <br> embargo
embargo	<b>禁輸<b> <br> きんゆ <br>[sound:k-3705_禁輸.mp3]
[sound:k-3705_禁輸.mp3]	embargo<br> <b>禁輸</b> <br> (きんゆ)
