feeling, mood	<b>気分<b> <br> きぶん <br>[sound:k-1127_気分.mp3]
[sound:s-1133_彼は私の知人です。.mp3]	(<b>知人</b>) 彼は私の知人です。<br> かれはわたしのちじんです。 <br>He is an acquaintance of mine.	
四十七士	[sound:k-1144_四十七士.mp3]<br>しじゅうしちし <br> The 47 Ronin
The 47 Ronin	<b>四十七士<b> <br> しじゅうしちし <br>[sound:k-1144_四十七士.mp3]
[sound:k-1144_四十七士.mp3]	The 47 Ronin<br> <b>四十七士</b> <br> (しじゅうしちし)
(<b>草案</b>) その政策の草案が公表されました。	[sound:s-1144_その政策の草案が公表されました。.mp3] <br> そのせいさくのそうあんがこうひょうされました。 <br> The draft of the policy was released.
[sound:s-1134_彼女は非常に賢い知恵を持っています。.mp3]	(<b>知恵</b>) 彼女は非常に賢い知恵を持っています。<br> かのじょはひじょうにかしこいちえをもっています。 <br>She has very wise wisdom.	
七つ	[sound:k-1145_七つ.mp3]<br>ななつ <br> seven
seven	<b>七つ<b> <br> ななつ <br>[sound:k-1145_七つ.mp3]
[sound:k-1145_七つ.mp3]	seven<br> <b>七つ</b> <br> (ななつ)
(<b>案件</b>) その件については弁護士に相談した方がいいです。	[sound:s-1145_その件については弁護士に相談した方がいいです。.mp3] <br> そのけんについてはべんごしにそうだんしたほうがいいです。 <br> It's better to consult a lawyer regarding that matter.
[sound:s-1135_彼は知的な会話が得意です。.mp3]	(<b>知的</b>) 彼は知的な会話が得意です。<br> かれはちてきなかいわがとくいです。 <br>He is skilled in intellectual conversation.	
七七日	[sound:k-1146_七七日.mp3]<br>しちしちにち, なななぬか, なななのか <br> 49th day after death
49th day after death	<b>七七日<b> <br> しちしちにち, なななぬか, なななのか <br>[sound:k-1146_七七日.mp3]
[sound:k-1146_七七日.mp3]	49th day after death<br> <b>七七日</b> <br> (しちしちにち, なななぬか, なななのか)
(<b>試案</b>) 彼は新しいプランの試案を提示しました。	[sound:s-1146_彼は新しいプランの試案を提示しました。.mp3] <br> かれはあたらしいぷらんのしあんをていじょうしました。 <br> He presented a trial plan for the new project.
[sound:s-1136_変更があった場合は通知します。.mp3]	(<b>通知</b>) 変更があった場合は通知します。<br> へんこうがあったばあいはつうちします。 <br>We will notify you in case of any changes.	
二七日	[sound:k-1147_二七日.mp3]<br>ふたなぬか, ふたなのか <br> second week's memorial services
second week's memorial services	<b>二七日<b> <br> ふたなぬか, ふたなのか <br>[sound:k-1147_二七日.mp3]
[sound:k-1147_二七日.mp3]	second week's memorial services<br> <b>二七日</b> <br> (ふたなぬか, ふたなのか)
(<b>立案</b>) その政策は専門家によって立案されました。	[sound:s-1147_その政策は専門家によって立案されました。.mp3] <br> そのせいさくはせんもんかによってりつあんされました。 <br> The policy was formulated by experts.
[sound:s-1137_彼は副知事として働いています。.mp3]	(<b>副知事</b>) 彼は副知事として働いています。<br> かれはふくちじとしてはたらいています。 <br>He works as a deputy governor.	
七夕	[sound:k-1148_七夕.mp3]<br>たなばた, しちせき <br> Festival of the Weaver (July 7th), Star Festival
Festival of the Weaver (July 7th), Star Festival	<b>七夕<b> <br> たなばた, しちせき <br>[sound:k-1148_七夕.mp3]
[sound:k-1148_七夕.mp3]	Festival of the Weaver<br> <b>July 7th), Star Festival (七夕</b> <br> (たなばた, しちせき)
(<b>道</b>) 道に迷っています。	[sound:s-1148_道に迷っています。.mp3] <br> みちにまよっています。 <br> I'm lost.
[sound:s-1138_新しい法案が議会で審議されています。.mp3]	(<b>法案</b>) 新しい法案が議会で審議されています。<br> あたらしいほうあんがぎかいでしんぎされています。 <br>The new bill is being deliberated in parliament.	
七回忌	[sound:k-1149_七回忌.mp3]<br>しちかいき <br> seventh anniversary of a death
seventh anniversary of a death	<b>七回忌<b> <br> しちかいき <br>[sound:k-1149_七回忌.mp3]
[sound:k-1149_七回忌.mp3]	seventh anniversary of a death<br> <b>七回忌</b> <br> (しちかいき)
(<b>報道</b>) その事件は報道されていますか？	[sound:s-1149_その事件は報道されていますか？.mp3] <br> そのじけんはほうどうされていますか？	Has the incident been reported?
[sound:s-1139_彼の提案は議論を呼びました。.mp3]	(<b>提案</b>) 彼の提案は議論を呼びました。<br> かれのていあんはぎろんをよびました。 <br>His proposal sparked a debate.	
成長	[sound:k-1150_成長.mp3]<br>せいちょう <br> growth, grow to adulthood
growth, grow to adulthood	<b>成長<b> <br> せいちょう <br>[sound:k-1150_成長.mp3]
[sound:k-1150_成長.mp3]	growth, grow to adulthood<br> <b>成長</b> <br> (せいちょう)
(<b>北海道</b>) 北海道は日本の最北の島です。	[sound:s-1150_北海道は日本の最北の島です。.mp3] <br> ほっかいどうはにほんのさいほくのしまです。 <br> Hokkaido is the northernmost island of Japan.
[sound:s-1140_その計画は廃案になりました。.mp3]	(<b>廃案</b>) その計画は廃案になりました。<br> そのけいかくははいあんになりました。 <br>The plan was scrapped.	
賛成	[sound:k-1151_賛成.mp3]<br>さんせい <br> approval, agreement, support, favour, favor
approval, agreement, support, favour, favor	<b>賛成<b> <br> さんせい <br>[sound:k-1151_賛成.mp3]
[sound:k-1151_賛成.mp3]	approval, agreement, support, favour, favor<br> <b>賛成</b> <br> (さんせい)
(<b>道路</b>) この道路は交通量が多いです。	[sound:s-1151_この道路は交通量が多いです。.mp3] <br> このどうろはこうつうりょうがおおいです。 <br> This road has heavy traffic.
[sound:s-1141_その問題は未だに懸案です。.mp3]	(<b>懸案</b>) その問題は未だに懸案です。<br> そのもんだいはいまだにけんあんです。 <br>The issue is still pending.	
成果	[sound:k-1152_成果.mp3]<br>せいか <br> results, fruits
results, fruits	<b>成果<b> <br> せいか <br>[sound:k-1152_成果.mp3]
[sound:k-1152_成果.mp3]	results, fruits<br> <b>成果</b> <br> (せいか)
(<b>鉄道</b>) 彼は鉄道会社で働いています。	[sound:s-1152_彼は鉄道会社で働いています。.mp3] <br> かれはてつどうかいしゃではたらいています。 <br> He works for a railway company.
[sound:s-1142_彼はそのプロジェクトの原案を提出しました。.mp3]	(<b>原案</b>) 彼はそのプロジェクトの原案を提出しました。<br> かれはそのぷろじぇくとのげんあんをていしゅつしました。 <br>He submitted the original plan for the project.	
成立	[sound:k-1153_成立.mp3]<br>せいりつ <br> coming into existence, arrangements, establishment, conclusion, completion
coming into existence, arrangements, establishment, conclusion, completion	<b>成立<b> <br> せいりつ <br>[sound:k-1153_成立.mp3]
[sound:k-1153_成立.mp3]	coming into existence, arrangements, establishment, conclusion, completion<br> <b>成立</b> <br> (せいりつ)
(<b>都道府県</b>) 日本には47都道府県があります。	[sound:s-1153_日本には47都道府県があります。.mp3] <br> にほんには47とどうふけんがあります。 <br> Japan has 47 prefectures.
[sound:s-1143_このパンフレットは博物館の案内です。.mp3]	(<b>案内</b>) このパンフレットは博物館の案内です。<br> このぱんふれっとははくぶつかんのあんないです。 <br>This brochure is a guide to the museum.	
編成	[sound:k-1154_編成.mp3]<br>へんせい <br> composition, formation, organization, organisation, compilation
composition, formation, organization, organisation, compilation	<b>編成<b> <br> へんせい <br>[sound:k-1154_編成.mp3]
[sound:k-1154_編成.mp3]	composition, formation, organization, organisation, compilation<br> <b>編成</b> <br> (へんせい)
(<b>軌道</b>) 事業は計画通りの軌道に乗りました。	[sound:s-1154_事業は計画通りの軌道に乗りました。.mp3] <br> じぎょうはけいかくどおりのきどうにのりました。 <br> The project is on track as planned.
[sound:s-1144_その政策の草案が公表されました。.mp3]	(<b>草案</b>) その政策の草案が公表されました。<br> そのせいさくのそうあんがこうひょうされました。 <br>The draft of the policy was released.	
結成	[sound:k-1155_結成.mp3]<br>けっせい <br> formation
formation	<b>結成<b> <br> けっせい <br>[sound:k-1155_結成.mp3]
[sound:k-1155_結成.mp3]	formation<br> <b>結成</b> <br> (けっせい)
(<b>柔道</b>) 彼は柔道の選手です。	[sound:s-1155_彼は柔道の選手です。.mp3] <br> かれはじゅうどうのせんしゅです。 <br> He is a judo player.
[sound:s-1145_その件については弁護士に相談した方がいいです。.mp3]	(<b>案件</b>) その件については弁護士に相談した方がいいです。<br> そのけんについてはべんごしにそうだんしたほうがいいです。 <br>It's better to consult a lawyer regarding that matter.	
構成	[sound:k-1156_構成.mp3]<br>こうせい <br> organization, organisation, configuration, composition
organization, organisation, configuration, composition	<b>構成<b> <br> こうせい <br>[sound:k-1156_構成.mp3]
[sound:k-1156_構成.mp3]	organization, organisation, configuration, composition<br> <b>構成</b> <br> (こうせい)
(<b>報道陣</b>) 報道陣は事件の真相を追っています。	[sound:s-1156_報道陣は事件の真相を追っています。.mp3] <br> ほうどうじんはじけんのしんそうをおっています。 <br> The press is pursuing the truth of the incident.
[sound:s-1146_彼は新しいプランの試案を提示しました。.mp3]	(<b>試案</b>) 彼は新しいプランの試案を提示しました。<br> かれはあたらしいぷらんのしあんをていじょうしました。 <br>He presented a trial plan for the new project.	
成功	[sound:k-1157_成功.mp3]<br>せいこう <br> success, hit
success, hit	<b>成功<b> <br> せいこう <br>[sound:k-1157_成功.mp3]
[sound:k-1157_成功.mp3]	success, hit<br> <b>成功</b> <br> (せいこう)
(<b>高速道路</b>) 高速道路の渋滞がひどいです。	[sound:s-1157_高速道路の渋滞がひどいです。.mp3] <br> こうそくどうろのじゅうたいがひどいです。 <br> The traffic jam on the expressway is terrible.
[sound:s-1147_その政策は専門家によって立案されました。.mp3]	(<b>立案</b>) その政策は専門家によって立案されました。<br> そのせいさくはせんもんかによってりつあんされました。 <br>The policy was formulated by experts.	
成績	[sound:k-1158_成績.mp3]<br>せいせき <br> results, record, grades
results, record, grades	<b>成績<b> <br> せいせき <br>[sound:k-1158_成績.mp3]
[sound:k-1158_成績.mp3]	results, record, grades<br> <b>成績</b> <br> (せいせき)
(<b>信</b>) 彼の話を信じることができますか？	[sound:s-1158_彼の話を信じることができますか？.mp3] <br> かれのはなしをしんじることができますか？	Can you believe what he says?
[sound:s-1148_道に迷っています。.mp3]	(<b>道</b>) 道に迷っています。<br> みちにまよっています。 <br>I'm lost.	
完成	[sound:k-1159_完成.mp3]<br>かんせい <br> complete, completion; perfection, accomplishment
complete, completion; perfection, accomplishment	<b>完成<b> <br> かんせい <br>[sound:k-1159_完成.mp3]
[sound:k-1159_完成.mp3]	complete, completion; perfection, accomplishment<br> <b>完成</b> <br> (かんせい)
(<b>通信</b>) メールはインターネット通信の一種です。	[sound:s-1159_メールはインターネット通信の一種です。.mp3] <br> めーるはいんたーねっとつうしんのいっしゅです。 <br> Email is a form of internet communication.
[sound:s-1149_その事件は報道されていますか？.mp3]	(<b>報道</b>) その事件は報道されていますか？	そのじけんはほうどうされていますか？ <br>Has the incident been reported?
期間	[sound:k-1160_期間.mp3]<br>きかん <br> period, term, interval
period, term, interval	<b>期間<b> <br> きかん <br>[sound:k-1160_期間.mp3]
[sound:k-1160_期間.mp3]	period, term, interval<br> <b>期間</b> <br> (きかん)
(<b>自信</b>) 彼は自分の力に自信があります。	[sound:s-1160_彼は自分の力に自信があります。.mp3] <br> かれはじぶんのちからにじしんがあります。 <br> He has confidence in his abilities.
[sound:s-1150_北海道は日本の最北の島です。.mp3]	(<b>北海道</b>) 北海道は日本の最北の島です。<br> ほっかいどうはにほんのさいほくのしまです。 <br>Hokkaido is the northernmost island of Japan.	
期待	[sound:k-1161_期待.mp3]<br>きたい <br> expectation, anticipation, hope
expectation, anticipation, hope	<b>期待<b> <br> きたい <br>[sound:k-1161_期待.mp3]
[sound:k-1161_期待.mp3]	expectation, anticipation, hope<br> <b>期待</b> <br> (きたい)
(<b>信用</b>) その銀行は信用できると思いますか？	[sound:s-1161_その銀行は信用できると思いますか？.mp3] <br> そのぎんこうはしんようできるとおもいますか？	Do you think that bank is trustworthy?
[sound:s-1151_この道路は交通量が多いです。.mp3]	(<b>道路</b>) この道路は交通量が多いです。<br> このどうろはこうつうりょうがおおいです。 <br>This road has heavy traffic.	
時期	[sound:k-1162_時期.mp3]<br>じき <br> time, season, period; soon, shortly
time, season, period; soon, shortly	<b>時期<b> <br> じき <br>[sound:k-1162_時期.mp3]
[sound:k-1162_時期.mp3]	time, season, period; soon, shortly<br> <b>時期</b> <br> (じき)
(<b>信頼</b>) 彼は彼女に完全な信頼を置いています。	[sound:s-1162_彼は彼女に完全な信頼を置いています。.mp3] <br> かれはかのじょにかんぜんなしんらいをおいています。 <br> He has complete trust in her.
[sound:s-1152_彼は鉄道会社で働いています。.mp3]	(<b>鉄道</b>) 彼は鉄道会社で働いています。<br> かれはてつどうかいしゃではたらいています。 <br>He works for a railway company.	
早期	[sound:k-1163_早期.mp3]<br>そうき <br> early stage
early stage	<b>早期<b> <br> そうき <br>[sound:k-1163_早期.mp3]
[sound:k-1163_早期.mp3]	early stage<br> <b>早期</b> <br> (そうき)
(<b>不信</b>) 彼の言葉には不信感があります。	[sound:s-1163_彼の言葉には不信感があります。.mp3] <br> かれのことばにはふしんかんがあります。 <br> There is a sense of distrust in his words.
[sound:s-1153_日本には47都道府県があります。.mp3]	(<b>都道府県</b>) 日本には47都道府県があります。<br> にほんには47とどうふけんがあります。 <br>Japan has 47 prefectures.	
長期	[sound:k-1164_長期.mp3]<br>ちょうき <br> long time period
long time period	<b>長期<b> <br> ちょうき <br>[sound:k-1164_長期.mp3]
[sound:k-1164_長期.mp3]	long time period<br> <b>長期</b> <br> (ちょうき)
(<b>信託</b>) 彼は私に財産の信託を任せました。	[sound:s-1164_彼は私に財産の信託を任せました。.mp3] <br> かれはわたしにざいさんのしんたくをまかせました。 <br> He entrusted me with the trust of his estate.
[sound:s-1154_事業は計画通りの軌道に乗りました。.mp3]	(<b>軌道</b>) 事業は計画通りの軌道に乗りました。<br> じぎょうはけいかくどおりのきどうにのりました。 <br>The project is on track as planned.	
期限	[sound:k-1165_期限.mp3]<br>きげん <br> term, period, time frame; time limit, deadline, cutoff (date)
term, period, time frame; time limit, deadline, cutoff (date)	<b>期限<b> <br> きげん <br>[sound:k-1165_期限.mp3]
[sound:k-1165_期限.mp3]	term, period, time frame; time limit, deadline, cutoff<br> <b>date) (期限</b> <br> (きげん)
(<b>不信任</b>) 彼の不正行為が不信任の理由です。	[sound:s-1165_彼の不正行為が不信任の理由です。.mp3] <br> かれのふせいこういがふしんにんのりゆうです。 <br> His misconduct is the reason for distrust.
[sound:s-1155_彼は柔道の選手です。.mp3]	(<b>柔道</b>) 彼は柔道の選手です。<br> かれはじゅうどうのせんしゅです。 <br>He is a judo player.	
次期	[sound:k-1166_次期.mp3]<br>じき <br> next term, next period; next version, next release
next term, next period; next version, next release	<b>次期<b> <br> じき <br>[sound:k-1166_次期.mp3]
[sound:k-1166_次期.mp3]	next term, next period; next version, next release<br> <b>次期</b> <br> (じき)
(<b>信号</b>) 交差点で信号を待っています。	[sound:s-1166_交差点で信号を待っています。.mp3] <br> こうさてんでしんごうをまっています。 <br> I'm waiting for the traffic light at the intersection.
[sound:s-1156_報道陣は事件の真相を追っています。.mp3]	(<b>報道陣</b>) 報道陣は事件の真相を追っています。<br> ほうどうじんはじけんのしんそうをおっています。 <br>The press is pursuing the truth of the incident.	
定期	[sound:k-1167_定期.mp3]<br>ていき <br> fixed term; fixed-term commutation pass; fixed-term deposit
fixed term; fixed-term commutation pass; fixed-term deposit	<b>定期<b> <br> ていき <br>[sound:k-1167_定期.mp3]
[sound:k-1167_定期.mp3]	fixed term; fixed-term commutation pass; fixed-term deposit<br> <b>定期</b> <br> (ていき)
(<b>受信</b>) スマートフォンでメッセージを受信しました。	[sound:s-1167_スマートフォンでメッセージを受信しました。.mp3] <br> すまーとふぉんでめっせーじをじゅしんしました。 <br> I received a message on my smartphone.
[sound:s-1157_高速道路の渋滞がひどいです。.mp3]	(<b>高速道路</b>) 高速道路の渋滞がひどいです。<br> こうそくどうろのじゅうたいがひどいです。 <br>The traffic jam on the expressway is terrible.	
任期	[sound:k-1168_任期.mp3]<br>にんき <br> term of office
term of office	<b>任期<b> <br> にんき <br>[sound:k-1168_任期.mp3]
[sound:k-1168_任期.mp3]	term of office<br> <b>任期</b> <br> (にんき)
(<b>政策</b>) 新しい政策が発表されました。	[sound:s-1168_新しい政策が発表されました。.mp3] <br> あたらしいせいさくがはっぴょうされました。 <br> A new policy has been announced.
[sound:s-1158_彼の話を信じることができますか？.mp3]	(<b>信</b>) 彼の話を信じることができますか？	かれのはなしをしんじることができますか？ <br>Can you believe what he says?
会期	[sound:k-1169_会期.mp3]<br>かいき <br> session (of a legislature)
session (of a legislature)	<b>会期<b> <br> かいき <br>[sound:k-1169_会期.mp3]
[sound:k-1169_会期.mp3]	session<br> <b>of a legislature) (会期</b> <br> (かいき)
(<b>対策</b>) 地震に対する防災対策が重要です。	[sound:s-1169_地震に対する防災対策が重要です。.mp3] <br> じしんにたいするぼうさいたいさくがじゅうようです。 <br> Disaster preparedness measures for earthquakes are important.
[sound:s-1159_メールはインターネット通信の一種です。.mp3]	(<b>通信</b>) メールはインターネット通信の一種です。<br> めーるはいんたーねっとつうしんのいっしゅです。 <br>Email is a form of internet communication.	
