相続税	[sound:k-1409_相続税.mp3]<br>そうぞくぜい <br> inheritance tax, death duty
<b>水質</b> <br> この地域の水質は非常に高いです。	[sound:s-1416_この地域の水質は非常に高いです。.mp3] <br> The water quality in this area is very high. <br>
[sound:s-1416_この地域の水質は非常に高いです。.mp3]	(<b>水質</b>) この地域の水質は非常に高いです。The water quality in this area is very high. <br>
進路	[sound:k-1417_進路.mp3]<br>しんろ <br> route, course; career, university choices, course (of future life)
route, course; career, university choices, course (of future life)	<b>進路<b> <br> しんろ <br>[sound:k-1417_進路.mp3]
[sound:k-1417_進路.mp3]	route, course; career, university choices, course<br> <b>of future life) (進路</b> <br> (しんろ)
<b>下水道</b> <br> 都市部の下水道システムは近代的です。	[sound:s-1417_都市部の下水道システムは近代的です。.mp3] <br> The sewer system in urban areas is modern. <br>
[sound:s-1417_都市部の下水道システムは近代的です。.mp3]	(<b>下水道</b>) 都市部の下水道システムは近代的です。The sewer system in urban areas is modern. <br>
前進	[sound:k-1418_前進.mp3]<br>ぜんしん <br> advance, drive, progress
advance, drive, progress	<b>前進<b> <br> ぜんしん <br>[sound:k-1418_前進.mp3]
[sound:k-1418_前進.mp3]	advance, drive, progress<br> <b>前進</b> <br> (ぜんしん)
<b>半</b> <br> ケーキを半分に切りました。	[sound:s-1418_ケーキを半分に切りました。.mp3] <br> I cut the cake in half. <br>
[sound:s-1418_ケーキを半分に切りました。.mp3]	(<b>半</b>) ケーキを半分に切りました。I cut the cake in half. <br>
昇進	[sound:k-1419_昇進.mp3]<br>しょうしん <br> promotion
promotion	<b>昇進<b> <br> しょうしん <br>[sound:k-1419_昇進.mp3]
[sound:k-1419_昇進.mp3]	promotion<br> <b>昇進</b> <br> (しょうしん)
<b>時半</b> <br> 会議は午前十時半に始まります。	[sound:s-1419_会議は午前十時半に始まります。.mp3] <br> The meeting will start at 10:30 AM. <br>
[sound:s-1419_会議は午前十時半に始まります。.mp3]	(<b>時半</b>) 会議は午前十時半に始まります。The meeting will start at 10:30 AM. <br>
正	[sound:k-1420_正.mp3]<br>せい <br> (logical) true, regular; 10^40; original
(logical) true, regular; 10^40; original	<b>正<b> <br> せい <br>[sound:k-1420_正.mp3]
[sound:k-1420_正.mp3]	(logical) true, regular; 10^40; original<br> <b>正</b> <br> (せい)
<b>後半</b> <br> 試合の後半に反撃が始まりました。	[sound:s-1420_試合の後半に反撃が始まりました。.mp3] <br> The comeback started in the second half of the game. <br>
[sound:s-1420_試合の後半に反撃が始まりました。.mp3]	(<b>後半</b>) 試合の後半に反撃が始まりました。The comeback started in the second half of the game. <br>
改正	[sound:k-1421_改正.mp3]<br>かいせい <br> revision, amendment, alteration
revision, amendment, alteration	<b>改正<b> <br> かいせい <br>[sound:k-1421_改正.mp3]
[sound:k-1421_改正.mp3]	revision, amendment, alteration<br> <b>改正</b> <br> (かいせい)
<b>半ば</b> <br> 仕事の半ばで休憩しました。	[sound:s-1421_仕事の半ばで休憩しました。.mp3] <br> We took a break halfway through the work. <br>
[sound:s-1421_仕事の半ばで休憩しました。.mp3]	(<b>半ば</b>) 仕事の半ばで休憩しました。We took a break halfway through the work. <br>
修正	[sound:k-1422_修正.mp3]<br>しゅうせい <br> amendment, correction, revision, modification, alteration, retouching, update, fix
amendment, correction, revision, modification, alteration, retouching, update, fix	<b>修正<b> <br> しゅうせい <br>[sound:k-1422_修正.mp3]
[sound:k-1422_修正.mp3]	amendment, correction, revision, modification, alteration, retouching, update, fix<br> <b>修正</b> <br> (しゅうせい)
<b>半分</b> <br> ピザを半分にカットしてください。	[sound:s-1422_ピザを半分にカットしてください。.mp3] <br> Please cut the pizza in half. <br>
[sound:s-1422_ピザを半分にカットしてください。.mp3]	(<b>半分</b>) ピザを半分にカットしてください。Please cut the pizza in half. <br>
正式	[sound:k-1423_正式.mp3]<br>せいしき <br> due form, official, formality
due form, official, formality	<b>正式<b> <br> せいしき <br>[sound:k-1423_正式.mp3]
[sound:k-1423_正式.mp3]	due form, official, formality<br> <b>正式</b> <br> (せいしき)
<b>前半</b> <br> 試合の前半は我々の優勢でした。	[sound:s-1423_試合の前半は我々の優勢でした。.mp3] <br> We dominated the first half of the game. <br>
[sound:s-1423_試合の前半は我々の優勢でした。.mp3]	(<b>前半</b>) 試合の前半は我々の優勢でした。We dominated the first half of the game. <br>
正常	[sound:k-1424_正常.mp3]<br>せいじょう <br> normalcy, normality, normal
normalcy, normality, normal	<b>正常<b> <br> せいじょう <br>[sound:k-1424_正常.mp3]
[sound:k-1424_正常.mp3]	normalcy, normality, normal<br> <b>正常</b> <br> (せいじょう)
<b>大半</b> <br> ほとんどの人がこの計画に賛成しています。	[sound:s-1424_ほとんどの人がこの計画に賛成しています。.mp3] <br> The majority of people support this plan. <br>
[sound:s-1424_ほとんどの人がこの計画に賛成しています。.mp3]	(<b>大半</b>) ほとんどの人がこの計画に賛成しています。The majority of people support this plan. <br>
是正	[sound:k-1425_是正.mp3]<br>ぜせい <br> correction, revision
correction, revision	<b>是正<b> <br> ぜせい <br>[sound:k-1425_是正.mp3]
[sound:k-1425_是正.mp3]	correction, revision<br> <b>是正</b> <br> (ぜせい)
<b>過半数</b> <br> 過半数の票を得ることが必要です。	[sound:s-1425_過半数の票を得ることが必要です。.mp3] <br> It is necessary to gain a majority of votes. <br>
[sound:s-1425_過半数の票を得ることが必要です。.mp3]	(<b>過半数</b>) 過半数の票を得ることが必要です。It is necessary to gain a majority of votes. <br>
正義	[sound:k-1426_正義.mp3]<br>せいぎ <br> justice, right, righteousness, correct meaning
justice, right, righteousness, correct meaning	<b>正義<b> <br> せいぎ <br>[sound:k-1426_正義.mp3]
[sound:k-1426_正義.mp3]	justice, right, righteousness, correct meaning<br> <b>正義</b> <br> (せいぎ)
<b>朝鮮半島</b> <br> 朝鮮半島には豊かな歴史があります。	[sound:s-1426_朝鮮半島には豊かな歴史があります。.mp3] <br> The Korean Peninsula has a rich history. <br>
[sound:s-1426_朝鮮半島には豊かな歴史があります。.mp3]	(<b>朝鮮半島</b>) 朝鮮半島には豊かな歴史があります。The Korean Peninsula has a rich history. <br>
正午	[sound:k-1427_正午.mp3]<br>しょうご <br> noon, mid-day
noon, mid-day	<b>正午<b> <br> しょうご <br>[sound:k-1427_正午.mp3]
[sound:k-1427_正午.mp3]	noon, mid-day<br> <b>正午</b> <br> (しょうご)
<b>半数</b> <br> 彼の案に半数の支持があります。	[sound:s-1427_彼の案に半数の支持があります。.mp3] <br> Half of the members support his proposal. <br>
[sound:s-1427_彼の案に半数の支持があります。.mp3]	(<b>半数</b>) 彼の案に半数の支持があります。Half of the members support his proposal. <br>
正面	[sound:k-1428_正面.mp3]<br>しょうめん <br> front, frontage, facade, main
front, frontage, facade, main	<b>正面<b> <br> しょうめん <br>[sound:k-1428_正面.mp3]
[sound:k-1428_正面.mp3]	front, frontage, facade, main<br> <b>正面</b> <br> (しょうめん)
<b>作品</b> <br> 彼女の最新の作品は高く評価されています。	[sound:s-1428_彼女の最新の作品は高く評価されています。.mp3] <br> Her latest work is highly praised. <br>
[sound:s-1428_彼女の最新の作品は高く評価されています。.mp3]	(<b>作品</b>) 彼女の最新の作品は高く評価されています。Her latest work is highly praised. <br>
不正	[sound:k-1429_不正.mp3]<br>ふせい <br> injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud
injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud	<b>不正<b> <br> ふせい <br>[sound:k-1429_不正.mp3]
[sound:k-1429_不正.mp3]	injustice, unfairness, iniquity, impropriety, irregularity, dishonesty, illegality, fraud<br> <b>不正</b> <br> (ふせい)
<b>商品</b> <br> その店は高品質の商品を扱っています。	[sound:s-1429_その店は高品質の商品を扱っています。.mp3] <br> The store deals in high-quality goods. <br>
[sound:s-1429_その店は高品質の商品を扱っています。.mp3]	(<b>商品</b>) その店は高品質の商品を扱っています。The store deals in high-quality goods. <br>
安全	[sound:k-1430_安全.mp3]<br>あんぜん <br> safety; security
safety; security	<b>安全<b> <br> あんぜん <br>[sound:k-1430_安全.mp3]
[sound:k-1430_安全.mp3]	safety; security<br> <b>安全</b> <br> (あんぜん)
<b>製品</b> <br> この製品は高性能です。	[sound:s-1430_この製品は高性能です。.mp3] <br> This product is high-performance. <br>
[sound:s-1430_この製品は高性能です。.mp3]	(<b>製品</b>) この製品は高性能です。This product is high-performance. <br>
安保	[sound:k-1431_安保.mp3]<br>あんぽ <br> US-Japan Security Treaty, safety, security
US-Japan Security Treaty, safety, security	<b>安保<b> <br> あんぽ <br>[sound:k-1431_安保.mp3]
[sound:k-1431_安保.mp3]	US-Japan Security Treaty, safety, security<br> <b>安保</b> <br> (あんぽ)
<b>食品</b> <br> 食品の安全性は重要です。	[sound:s-1431_食品の安全性は重要です。.mp3] <br> Food safety is important. <br>
[sound:s-1431_食品の安全性は重要です。.mp3]	(<b>食品</b>) 食品の安全性は重要です。Food safety is important. <br>
安全保障	[sound:k-1432_安全保障.mp3]<br>あんぜんほしょう <br> security guarantee (e.g. military security, network security, etc.)
security guarantee (e.g. military security, network security, etc.)	<b>安全保障<b> <br> あんぜんほしょう <br>[sound:k-1432_安全保障.mp3]
[sound:k-1432_安全保障.mp3]	security guarantee<br> <b>e.g. military security, network security, etc.) (安全保障</b> <br> (あんぜんほしょう)
<b>部品</b> <br> 車の部品を交換する必要があります。	[sound:s-1432_車の部品を交換する必要があります。.mp3] <br> It is necessary to replace the parts of the car. <br>
[sound:s-1432_車の部品を交換する必要があります。.mp3]	(<b>部品</b>) 車の部品を交換する必要があります。It is necessary to replace the parts of the car. <br>
安定	[sound:k-1433_安定.mp3]<br>あんてい <br> stability, equilibrium
stability, equilibrium	<b>安定<b> <br> あんてい <br>[sound:k-1433_安定.mp3]
[sound:k-1433_安定.mp3]	stability, equilibrium<br> <b>安定</b> <br> (あんてい)
<b>医薬品</b> <br> この医薬品は処方箋が必要です。	[sound:s-1433_この医薬品は処方箋が必要です。.mp3] <br> This medicine requires a prescription. <br>
[sound:s-1433_この医薬品は処方箋が必要です。.mp3]	(<b>医薬品</b>) この医薬品は処方箋が必要です。This medicine requires a prescription. <br>
不安	[sound:k-1434_不安.mp3]<br>ふあん <br> anxiety, uneasiness, insecurity, suspense
anxiety, uneasiness, insecurity, suspense	<b>不安<b> <br> ふあん <br>[sound:k-1434_不安.mp3]
[sound:k-1434_不安.mp3]	anxiety, uneasiness, insecurity, suspense<br> <b>不安</b> <br> (ふあん)
<b>品質</b> <br> 彼の仕事は常に高品質です。	[sound:s-1434_彼の仕事は常に高品質です。.mp3] <br> His work is always of high quality. <br>
[sound:s-1434_彼の仕事は常に高品質です。.mp3]	(<b>品質</b>) 彼の仕事は常に高品質です。His work is always of high quality. <br>
慰安	[sound:k-1435_慰安.mp3]<br>いあん <br> solace, relaxation
solace, relaxation	<b>慰安<b> <br> いあん <br>[sound:k-1435_慰安.mp3]
[sound:k-1435_慰安.mp3]	solace, relaxation<br> <b>慰安</b> <br> (いあん)
<b>用品</b> <br> 旅行のために必要な用品を用意しました。	[sound:s-1435_旅行のために必要な用品を用意しました。.mp3] <br> I prepared the necessary supplies for the trip. <br>
[sound:s-1435_旅行のために必要な用品を用意しました。.mp3]	(<b>用品</b>) 旅行のために必要な用品を用意しました。I prepared the necessary supplies for the trip. <br>
安打	[sound:k-1436_安打.mp3]<br>あんだ <br> safe hit (baseball)
safe hit (baseball)	<b>安打<b> <br> あんだ <br>[sound:k-1436_安打.mp3]
[sound:k-1436_安打.mp3]	safe hit<br> <b>baseball) (安打</b> <br> (あんだ)
<b>品種</b> <br> この農場では多くの異なる品種の野菜が栽培されています。	[sound:s-1436_この農場では多くの異なる品種の野菜が栽培されています。.mp3] <br> Many different varieties of vegetables are grown on this farm. <br>
[sound:s-1436_この農場では多くの異なる品種の野菜が栽培されています。.mp3]	(<b>品種</b>) この農場では多くの異なる品種の野菜が栽培されています。Many different varieties of vegetables are grown on this farm. <br>
治安	[sound:k-1437_治安.mp3]<br>ちあん <br> public order
public order	<b>治安<b> <br> ちあん <br>[sound:k-1437_治安.mp3]
[sound:k-1437_治安.mp3]	public order<br> <b>治安</b> <br> (ちあん)
<b>品目</b> <br> このリストにはさまざまな品目が含まれています。	[sound:s-1437_このリストにはさまざまな品目が含まれています。.mp3] <br> This list includes various items. <br>
[sound:s-1437_このリストにはさまざまな品目が含まれています。.mp3]	(<b>品目</b>) このリストにはさまざまな品目が含まれています。This list includes various items. <br>
安心	[sound:k-1438_安心.mp3]<br>あんしん <br> relief, peace of mind
relief, peace of mind	<b>安心<b> <br> あんしん <br>[sound:k-1438_安心.mp3]
[sound:k-1438_安心.mp3]	relief, peace of mind<br> <b>安心</b> <br> (あんしん)
<b>昨年</b> <br> 昨年は良い年でした。	[sound:s-1438_昨年は良い年でした。.mp3] <br> Last year was a good year. <br>
[sound:s-1438_昨年は良い年でした。.mp3]	(<b>昨年</b>) 昨年は良い年でした。Last year was a good year. <br>
不安定	[sound:k-1439_不安定.mp3]<br>ふあんてい <br> instability, insecurity, crankiness
instability, insecurity, crankiness	<b>不安定<b> <br> ふあんてい <br>[sound:k-1439_不安定.mp3]
[sound:k-1439_不安定.mp3]	instability, insecurity, crankiness<br> <b>不安定</b> <br> (ふあんてい)
<b>一昨年</b> <br> 一昨年に彼女と結婚しました。	[sound:s-1439_一昨年に彼女と結婚しました。.mp3] <br> I got married to her the year before last. <br>
[sound:s-1439_一昨年に彼女と結婚しました。.mp3]	(<b>一昨年</b>) 一昨年に彼女と結婚しました。I got married to her the year before last. <br>
建設	[sound:k-1440_建設.mp3]<br>けんせつ <br> construction, establishment
construction, establishment	<b>建設<b> <br> けんせつ <br>[sound:k-1440_建設.mp3]
[sound:k-1440_建設.mp3]	construction, establishment<br> <b>建設</b> <br> (けんせつ)
<b>昨秋</b> <br> 昨秋、私たちは美しい紅葉を楽しんだ。	"[sound:s-1440_昨秋、私たちは美しい紅葉を楽しんだ。.mp3] <br> ""Last autumn, we enjoyed beautiful autumn leaves.""" <br>
[sound:s-1440_昨秋、私たちは美しい紅葉を楽しんだ。.mp3]	(<b>昨秋</b>) 昨秋、私たちは美しい紅葉を楽しんだ。Last autumn, we enjoyed beautiful autumn leaves. <br>
施設	[sound:k-1441_施設.mp3]<br>しせつ <br> institution, establishment, facility; (army) engineer
institution, establishment, facility; (army) engineer	<b>施設<b> <br> しせつ <br>[sound:k-1441_施設.mp3]
[sound:k-1441_施設.mp3]	institution, establishment, facility;<br> <b>army) engineer (施設</b> <br> (しせつ)
<b>昨年度</b> <br> 昨年度の売り上げは前年よりも増加しました。	[sound:s-1441_昨年度の売り上げは前年よりも増加しました。.mp3] <br> Sales for last fiscal year increased compared to the previous year. <br>
[sound:s-1441_昨年度の売り上げは前年よりも増加しました。.mp3]	(<b>昨年度</b>) 昨年度の売り上げは前年よりも増加しました。Sales for last fiscal year increased compared to the previous year. <br>
設置	[sound:k-1442_設置.mp3]<br>せっち <br> establishment, institution
establishment, institution	<b>設置<b> <br> せっち <br>[sound:k-1442_設置.mp3]
[sound:k-1442_設置.mp3]	establishment, institution<br> <b>設置</b> <br> (せっち)
<b>昨春</b> <br> 昨春、私たちは日本を訪れました。	"[sound:s-1442_昨春、私たちは日本を訪れました。.mp3] <br> ""Last spring, we visited Japan.""" <br>
[sound:s-1442_昨春、私たちは日本を訪れました。.mp3]	(<b>昨春</b>) 昨春、私たちは日本を訪れました。Last spring, we visited Japan. <br>
設備	[sound:k-1443_設備.mp3]<br>せつび <br> equipment, device, facilities, installation
equipment, device, facilities, installation	<b>設備<b> <br> せつび <br>[sound:k-1443_設備.mp3]
[sound:k-1443_設備.mp3]	equipment, device, facilities, installation<br> <b>設備</b> <br> (せつび)
<b>昨日</b> <br> 昨日、彼に会いました。	[sound:s-1443_昨日、彼に会いました。.mp3] <br> I met him yesterday. <br>
[sound:s-1443_昨日、彼に会いました。.mp3]	(<b>昨日</b>) 昨日、彼に会いました。I met him yesterday. <br>
設計	[sound:k-1444_設計.mp3]<br>せっけい <br> plan, design, layout
plan, design, layout	<b>設計<b> <br> せっけい <br>[sound:k-1444_設計.mp3]
[sound:k-1444_設計.mp3]	plan, design, layout<br> <b>設計</b> <br> (せっけい)
<b>昨今</b> <br> 昨今の状況は非常に厳しいです。	[sound:s-1444_昨今の状況は非常に厳しいです。.mp3] <br> The current situation is very tough these days. <br>
[sound:s-1444_昨今の状況は非常に厳しいです。.mp3]	(<b>昨今</b>) 昨今の状況は非常に厳しいです。The current situation is very tough these days. <br>
設立	[sound:k-1445_設立.mp3]<br>せつりつ <br> establishment, foundation, incorporation (of a business)
establishment, foundation, incorporation (of a business)	<b>設立<b> <br> せつりつ <br>[sound:k-1445_設立.mp3]
[sound:k-1445_設立.mp3]	establishment, foundation, incorporation<br> <b>of a business) (設立</b> <br> (せつりつ)
<b>昨年来</b> <br> 昨年来、その地域では乾燥が続いています。	[sound:s-1445_昨年来、その地域では乾燥が続いています。.mp3] <br> It has been dry in that area since last year. <br>
[sound:s-1445_昨年来、その地域では乾燥が続いています。.mp3]	(<b>昨年来</b>) 昨年来、その地域では乾燥が続いています。It has been dry in that area since last year. <br>
設定	[sound:k-1446_設定.mp3]<br>せってい <br> establishment, creation; options or preference settings (in computer software), configuration, assignment, setup
establishment, creation; options or preference settings (in computer software), configuration, assignment, setup	<b>設定<b> <br> せってい <br>[sound:k-1446_設定.mp3]
[sound:k-1446_設定.mp3]	establishment, creation; options or preference settings<br> <b>in computer software), configuration, assignment, setup (設定</b> <br> (せってい)
<b>昨夜</b> <br> 昨夜、彼は遅くまで働いていました。	[sound:s-1446_昨夜、彼は遅くまで働いていました。.mp3] <br> He worked late last night. <br>
[sound:s-1446_昨夜、彼は遅くまで働いていました。.mp3]	(<b>昨夜</b>) 昨夜、彼は遅くまで働いていました。He worked late last night. <br>
創設	[sound:k-1447_創設.mp3]<br>そうせつ <br> establishment, founding, organization, organisation
establishment, founding, organization, organisation	<b>創設<b> <br> そうせつ <br>[sound:k-1447_創設.mp3]
[sound:k-1447_創設.mp3]	establishment, founding, organization, organisation<br> <b>創設</b> <br> (そうせつ)
<b>昨冬</b> <br> 昨冬、彼女はスキーに行きました。	[sound:s-1447_昨冬、彼女はスキーに行きました。.mp3] <br> She went skiing last winter. <br>
[sound:s-1447_昨冬、彼女はスキーに行きました。.mp3]	(<b>昨冬</b>) 昨冬、彼女はスキーに行きました。She went skiing last winter. <br>
建設省	[sound:k-1448_建設省.mp3]<br>けんせつしょう <br> Ministry of Construction
Ministry of Construction	<b>建設省<b> <br> けんせつしょう <br>[sound:k-1448_建設省.mp3]
[sound:k-1448_建設省.mp3]	Ministry of Construction<br> <b>建設省</b> <br> (けんせつしょう)
<b>論議</b> <br> その提案について論議が続いています。	[sound:s-1448_その提案について論議が続いています。.mp3] <br> There is ongoing discussion about the proposal. <br>
[sound:s-1448_その提案について論議が続いています。.mp3]	(<b>論議</b>) その提案について論議が続いています。There is ongoing discussion about the proposal. <br>
開設	[sound:k-1449_開設.mp3]<br>かいせつ <br> establishment, opening
establishment, opening	<b>開設<b> <br> かいせつ <br>[sound:k-1449_開設.mp3]
[sound:k-1449_開設.mp3]	establishment, opening<br> <b>開設</b> <br> (かいせつ)
<b>議論</b> <br> 彼らはその問題について激しい議論をした。	[sound:s-1449_彼らはその問題について激しい議論をした。.mp3] <br> They had a heated debate about the issue. <br>
[sound:s-1449_彼らはその問題について激しい議論をした。.mp3]	(<b>議論</b>) 彼らはその問題について激しい議論をした。They had a heated debate about the issue. <br>
保する	[sound:k-1450_保する.mp3]<br>ほする, ほうする <br> to guarantee
to guarantee	<b>保する<b> <br> ほする, ほうする <br>[sound:k-1450_保する.mp3]
[sound:k-1450_保する.mp3]	to guarantee<br> <b>保する</b> <br> (ほする, ほうする)
<b>結論</b> <br> 会議の結論はまだ出ていません。	[sound:s-1450_会議の結論はまだ出ていません。.mp3] <br> The conclusion of the meeting has not been reached yet. <br>
[sound:s-1450_会議の結論はまだ出ていません。.mp3]	(<b>結論</b>) 会議の結論はまだ出ていません。The conclusion of the meeting has not been reached yet. <br>
安保	[sound:k-1451_安保.mp3]<br>あんぽ <br> US-Japan Security Treaty, safety, security
US-Japan Security Treaty, safety, security	<b>安保<b> <br> あんぽ <br>[sound:k-1451_安保.mp3]
[sound:k-1451_安保.mp3]	US-Japan Security Treaty, safety, security<br> <b>安保</b> <br> (あんぽ)
<b>世論</b> <br> 世論はこの問題について分かれています。	[sound:s-1451_世論はこの問題について分かれています。.mp3] <br> Public opinion is divided on this issue. <br>
[sound:s-1451_世論はこの問題について分かれています。.mp3]	(<b>世論</b>) 世論はこの問題について分かれています。Public opinion is divided on this issue. <br>
保護	[sound:k-1452_保護.mp3]<br>ほご <br> care, protection, shelter, safeguard, guardianship, favor, favour, patronage
care, protection, shelter, safeguard, guardianship, favor, favour, patronage	<b>保護<b> <br> ほご <br>[sound:k-1452_保護.mp3]
[sound:k-1452_保護.mp3]	care, protection, shelter, safeguard, guardianship, favor, favour, patronage<br> <b>保護</b> <br> (ほご)
<b>評論家</b> <br> 彼は有名な映画評論家です。	[sound:s-1452_彼は有名な映画評論家です。.mp3] <br> He is a famous film critic. <br>
[sound:s-1452_彼は有名な映画評論家です。.mp3]	(<b>評論家</b>) 彼は有名な映画評論家です。He is a famous film critic. <br>
安全保障	[sound:k-1453_安全保障.mp3]<br>あんぜんほしょう <br> security guarantee (e.g. military security, network security, etc.)
security guarantee (e.g. military security, network security, etc.)	<b>安全保障<b> <br> あんぜんほしょう <br>[sound:k-1453_安全保障.mp3]
[sound:k-1453_安全保障.mp3]	security guarantee<br> <b>e.g. military security, network security, etc.) (安全保障</b> <br> (あんぜんほしょう)
<b>論文</b> <br> 彼の論文は国際的に高く評価されています。	[sound:s-1453_彼の論文は国際的に高く評価されています。.mp3] <br> His paper is highly regarded internationally. <br>
[sound:s-1453_彼の論文は国際的に高く評価されています。.mp3]	(<b>論文</b>) 彼の論文は国際的に高く評価されています。His paper is highly regarded internationally. <br>
確保	[sound:k-1454_確保.mp3]<br>かくほ <br> guarantee, maintain, ensure, insure, secure, reservation
guarantee, maintain, ensure, insure, secure, reservation	<b>確保<b> <br> かくほ <br>[sound:k-1454_確保.mp3]
[sound:k-1454_確保.mp3]	guarantee, maintain, ensure, insure, secure, reservation<br> <b>確保</b> <br> (かくほ)
<b>討論</b> <br> 彼らは激しい討論を行った。	[sound:s-1454_彼らは激しい討論を行った。.mp3] <br> They engaged in intense debate. <br>
[sound:s-1454_彼らは激しい討論を行った。.mp3]	(<b>討論</b>) 彼らは激しい討論を行った。They engaged in intense debate. <br>
保険	[sound:k-1455_保険.mp3]<br>ほけん <br> insurance, guarantee
insurance, guarantee	<b>保険<b> <br> ほけん <br>[sound:k-1455_保険.mp3]
[sound:k-1455_保険.mp3]	insurance, guarantee<br> <b>保険</b> <br> (ほけん)
<b>理論</b> <br> その理論は科学的な根拠に基づいています。	[sound:s-1455_その理論は科学的な根拠に基づいています。.mp3] <br> The theory is based on scientific evidence. <br>
