[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
<b>不足</b> <br> この町の駐車場は不足しています。	[sound:s-0285_この町の駐車場は不足しています。.mp3] <br> このまちのちゅうしゃじょうはふそくしています。 <br>There is a shortage of parking spaces in this town.
[sound:s-0285_この町の駐車場は不足しています。.mp3]	<b>不足</b> <br> この町の駐車場は不足しています。<br> このまちのちゅうしゃじょうはふそくしています <br>There is a shortage of parking spaces in this town.
人生	[sound:k-0286_人生.mp3]<br>じんせい <br> (human) life (i.e. conception to death)
(human) life (i.e. conception to death)	<b>人生<b> <br> じんせい <br>[sound:k-0286_人生.mp3]
[sound:k-0286_人生.mp3]	(human) life<br> <b>i.e. conception to death) (人生</b> <br> (じんせい)
<b>不安</b> <br> 彼女は新しい学校で不安を感じています。	[sound:s-0286_彼女は新しい学校で不安を感じています。.mp3] <br> かのじょはあたらしいがっこうでふあんをかんじています。 <br>She feels anxious about the new school.
[sound:s-0286_彼女は新しい学校で不安を感じています。.mp3]	<b>不安</b> <br> 彼女は新しい学校で不安を感じています。<br> かのじょはあたらしいがっこうでふあんをかんじています <br>She feels anxious about the new school.
生徒	[sound:k-0287_生徒.mp3]<br>せいと <br> pupil
pupil	<b>生徒<b> <br> せいと <br>[sound:k-0287_生徒.mp3]
[sound:k-0287_生徒.mp3]	pupil<br> <b>生徒</b> <br> (せいと)
<b>不満</b> <br> 彼は彼の給料に不満を抱いています。	[sound:s-0287_彼は彼の給料に不満を抱いています。.mp3] <br> かれはかれのきゅうりょうにふまんをだいています。 <br>He is dissatisfied with his salary.
[sound:s-0287_彼は彼の給料に不満を抱いています。.mp3]	<b>不満</b> <br> 彼は彼の給料に不満を抱いています。<br> かれはかれのきゅうりょうにふまんをだいています <br>He is dissatisfied with his salary.
先生	[sound:k-0288_先生.mp3]<br>せんせい <br> teacher, master, doctor; with names of teachers, etc. as an honorific
teacher, master, doctor; with names of teachers, etc. as an honorific	<b>先生<b> <br> せんせい <br>[sound:k-0288_先生.mp3]
[sound:k-0288_先生.mp3]	teacher, master, doctor; with names of teachers, etc. as an honorific<br> <b>先生</b> <br> (せんせい)
<b>不利</b> <br> 彼のチームは不利な状況にあります。	[sound:s-0288_彼のチームは不利な状況にあります。.mp3] <br> かれのちーむはふりなじょうきょうにあります。 <br>His team is in a disadvantageous situation.
[sound:s-0288_彼のチームは不利な状況にあります。.mp3]	<b>不利</b> <br> 彼のチームは不利な状況にあります。<br> かれのちーむはふりなじょうきょうにあります <br>His team is in a disadvantageous situation.
年生	[sound:k-0289_年生.mp3]<br>ねんせい <br> pupil in ... year, student in ... year
pupil in ... year, student in ... year	<b>年生<b> <br> ねんせい <br>[sound:k-0289_年生.mp3]
[sound:k-0289_年生.mp3]	pupil in ... year, student in ... year<br> <b>年生</b> <br> (ねんせい)
<b>不可</b> <br> その行動は不可とされました。	[sound:s-0289_その行動は不可とされました。.mp3] <br> そのこうどうはふかとされました。 <br>That action was deemed unacceptable.
[sound:s-0289_その行動は不可とされました。.mp3]	<b>不可</b> <br> その行動は不可とされました。<br> そのこうどうはふかとされました <br>That action was deemed unacceptable.
連	[sound:k-0290_連.mp3]<br>れん <br> (taxonomical) tribe; quinella (quiniela); party, company, group; two reams (i.e. 1000 sheets of paper)
(taxonomical) tribe; quinella (quiniela); party, company, group; two reams (i.e. 1000 sheets of paper)	<b>連<b> <br> れん <br>[sound:k-0290_連.mp3]
[sound:k-0290_連.mp3]	(taxonomical) tribe; quinella<br> <b>quiniela); party, company, group; two reams (i.e. 1000 sheets of paper) (連</b> <br> (れん)
<b>不可能</b> <br> 彼の計画は不可能だと思います。	[sound:s-0290_彼の計画は不可能だと思います。.mp3] <br> かれのけいかくはふかのうだとおもいます。 <br>I think his plan is impossible.
[sound:s-0290_彼の計画は不可能だと思います。.mp3]	<b>不可能</b> <br> 彼の計画は不可能だと思います。<br> かれのけいかくはふかのうだとおもいます <br>I think his plan is impossible.
関連	[sound:k-0291_関連.mp3]<br>かんれん <br> relation, connection, relevance
relation, connection, relevance	<b>関連<b> <br> かんれん <br>[sound:k-0291_関連.mp3]
[sound:k-0291_関連.mp3]	relation, connection, relevance<br> <b>関連</b> <br> (かんれん)
<b>不明</b> <br> その事件の原因はまだ不明です。	[sound:s-0291_その事件の原因はまだ不明です。.mp3] <br> そのじけんのげんいんはまだふめいです。 <br>The cause of the incident is still unknown.
[sound:s-0291_その事件の原因はまだ不明です。.mp3]	<b>不明</b> <br> その事件の原因はまだ不明です。<br> そのじけんのげんいんはまだふめいです <br>The cause of the incident is still unknown.
国連	[sound:k-0292_国連.mp3]<br>こくれん <br> UN, United Nations
UN, United Nations	<b>国連<b> <br> こくれん <br>[sound:k-0292_国連.mp3]
[sound:k-0292_国連.mp3]	UN, United Nations<br> <b>国連</b> <br> (こくれん)
<b>不動産</b> <br> 彼は不動産業で成功しています。	[sound:s-0292_彼は不動産業で成功しています。.mp3] <br> かれはふどうさんぎょうでせいこうしています。 <br>He is successful in real estate business.
[sound:s-0292_彼は不動産業で成功しています。.mp3]	<b>不動産</b> <br> 彼は不動産業で成功しています。<br> かれはふどうさんぎょうでせいこうしています <br>He is successful in real estate business.
連合	[sound:k-0293_連合.mp3]<br>れんごう <br> union, alliance, combination
union, alliance, combination	<b>連合<b> <br> れんごう <br>[sound:k-0293_連合.mp3]
[sound:k-0293_連合.mp3]	union, alliance, combination<br> <b>連合</b> <br> (れんごう)
<b>不安定</b> <br> この地域は地震が多く、不安定です。	[sound:s-0293_この地域は地震が多く、不安定です。.mp3] <br> このちいきはじしんがおおく、ふあんていです。 <br>This area is unstable due to frequent earthquakes.
[sound:s-0293_この地域は地震が多く、不安定です。.mp3]	<b>不安定</b> <br> この地域は地震が多く、不安定です。<br> このちいきはじしんがおおく、ふあんていです <br>This area is unstable due to frequent earthquakes.
連続	[sound:k-0294_連続.mp3]<br>れんぞく <br> serial, consecutive, continuity, occurring in succession, continuing
serial, consecutive, continuity, occurring in succession, continuing	<b>連続<b> <br> れんぞく <br>[sound:k-0294_連続.mp3]
[sound:k-0294_連続.mp3]	serial, consecutive, continuity, occurring in succession, continuing<br> <b>連続</b> <br> (れんぞく)
<b>不在</b> <br> 申し訳ありませんが、彼は不在です。	[sound:s-0294_申し訳ありませんが、彼は不在です。.mp3] <br> もうしわけありませんが、かれはふざいです。 <br>"I'm sorry, but he is not here."
[sound:s-0294_申し訳ありませんが、彼は不在です。.mp3]	<b>不在</b> <br> 申し訳ありませんが、彼は不在です。<br> もうしわけありませんが、かれはふざいです <br>I'm sorry, but he is not here.
連邦	[sound:k-0295_連邦.mp3]<br>れんぽう <br> commonwealth, federation of states
commonwealth, federation of states	<b>連邦<b> <br> れんぽう <br>[sound:k-0295_連邦.mp3]
[sound:k-0295_連邦.mp3]	commonwealth, federation of states<br> <b>連邦</b> <br> (れんぽう)
<b>不可能性</b> <br> その計画の実行は不可能性が高い。	[sound:s-0295_その計画の実行は不可能性が高い。.mp3] <br> そのけいかくのじっこうはふかのうせいがたかい。 <br>The execution of that plan is highly improbable.
[sound:s-0295_その計画の実行は不可能性が高い。.mp3]	<b>不可能性</b> <br> その計画の実行は不可能性が高い。<br> そのけいかくのじっこうはふかのうせいがたかい <br>The execution of that plan is highly improbable.
連立	[sound:k-0296_連立.mp3]<br>れんりつ <br> alliance, coalition
alliance, coalition	<b>連立<b> <br> れんりつ <br>[sound:k-0296_連立.mp3]
[sound:k-0296_連立.mp3]	alliance, coalition<br> <b>連立</b> <br> (れんりつ)
<b>不慮</b> <br> その事故は不慮の出来事です。	[sound:s-0296_その事故は不慮の出来事です。.mp3] <br> そのじこはふりょのできごとです。 <br>The accident was an unforeseen event.
[sound:s-0296_その事故は不慮の出来事です。.mp3]	<b>不慮</b> <br> その事故は不慮の出来事です。<br> そのじこはふりょのできごとです <br>The accident was an unforeseen event.
連盟	[sound:k-0297_連盟.mp3]<br>れんめい <br> league, union, alliance
league, union, alliance	<b>連盟<b> <br> れんめい <br>[sound:k-0297_連盟.mp3]
[sound:k-0297_連盟.mp3]	league, union, alliance<br> <b>連盟</b> <br> (れんめい)
<b>不潔</b> <br> 彼の行動は不潔だ。	[sound:s-0297_彼の行動は不潔だ。.mp3] <br> かれのこうどうはふけつだ。 <br>His behavior is unclean.
[sound:s-0297_彼の行動は不潔だ。.mp3]	<b>不潔</b> <br> 彼の行動は不潔だ。<br> かれのこうどうはふけつだ <br>His behavior is unclean.
連絡	[sound:k-0298_連絡.mp3]<br>れんらく <br> to contact, to get in touch; contacting, getting in touch, communication, call, message; connection, coordination, junction; intercalary, intercalaris, internuncial
to contact, to get in touch; contacting, getting in touch, communication, call, message; connection, coordination, junction; intercalary, intercalaris, internuncial	<b>連絡<b> <br> れんらく <br>[sound:k-0298_連絡.mp3]
[sound:k-0298_連絡.mp3]	to contact, to get in touch; contacting, getting in touch, communication, call, message; connection, coordination, junction; intercalary, intercalaris, internuncial<br> <b>連絡</b> <br> (れんらく)
<b>普通</b> <br> 彼は普通の人々とは異なっています。	[sound:s-0298_彼は普通の人々とは異なっています。.mp3] <br> かれはふつうのひとびととはことなっています。 <br>He is different from ordinary people.
[sound:s-0298_彼は普通の人々とは異なっています。.mp3]	<b>普通</b> <br> 彼は普通の人々とは異なっています。<br> かれはふつうのひとびととはことなっています <br>He is different from ordinary people.
一連	[sound:k-0299_一連.mp3]<br>いちれん <br> series, chain, sequence; two reams (i.e. 1000 sheets of paper); verse, stanza
series, chain, sequence; two reams (i.e. 1000 sheets of paper); verse, stanza	<b>一連<b> <br> いちれん <br>[sound:k-0299_一連.mp3]
[sound:k-0299_一連.mp3]	series, chain, sequence; two reams<br> <b>i.e. 1000 sheets of paper); verse, stanza (一連</b> <br> (いちれん)
<b>普段</b> <br> 彼女は普段からおしゃべりです。	[sound:s-0299_彼女は普段からおしゃべりです。.mp3] <br> かのじょはふだんからおしゃべりです。 <br>She is talkative as usual.
[sound:s-0299_彼女は普段からおしゃべりです。.mp3]	<b>普段</b> <br> 彼女は普段からおしゃべりです。<br> かのじょはふだんからおしゃべりです <br>She is talkative as usual.
五	[sound:k-0300_五.mp3]<br>ご, いつ, い <br> five
five	<b>五<b> <br> ご, いつ, い <br>[sound:k-0300_五.mp3]
[sound:k-0300_五.mp3]	five<br> <b>五</b> <br> (ご, いつ, い)
<b>普及</b> <br> この技術は急速に普及しています。	[sound:s-0300_この技術は急速に普及しています。.mp3] <br> このぎじゅつはきゅうそくにふきゅうしています。 <br>This technology is spreading rapidly.
[sound:s-0300_この技術は急速に普及しています。.mp3]	<b>普及</b> <br> この技術は急速に普及しています。<br> このぎじゅつはきゅうそくにふきゅうしています <br>This technology is spreading rapidly.
五月	[sound:k-0301_五月.mp3]<br>ごがつ <br> May
May	<b>五月<b> <br> ごがつ <br>[sound:k-0301_五月.mp3]
[sound:k-0301_五月.mp3]	May<br> <b>五月</b> <br> (ごがつ)
<b>普段</b> <br> 彼女は普段からおしゃべりです。	[sound:s-0301_彼女は普段からおしゃべりです。.mp3] <br> かのじょはふだんからおしゃべりです。 <br>She is talkative as usual.
[sound:s-0301_彼女は普段からおしゃべりです。.mp3]	<b>普段</b> <br> 彼女は普段からおしゃべりです。<br> かのじょはふだんからおしゃべりです <br>She is talkative as usual.
十五	[sound:k-0302_十五.mp3]<br>じゅうご <br> 15, fifteen
15, fifteen	<b>十五<b> <br> じゅうご <br>[sound:k-0302_十五.mp3]
[sound:k-0302_十五.mp3]	15, fifteen<br> <b>十五</b> <br> (じゅうご)
<b>普及</b> <br> この技術は急速に普及しています。	[sound:s-0302_この技術は急速に普及しています。.mp3] <br> このぎじゅつはきゅうそくにふきゅうしています。 <br>This technology is spreading rapidly.
[sound:s-0302_この技術は急速に普及しています。.mp3]	<b>普及</b> <br> この技術は急速に普及しています。<br> このぎじゅつはきゅうそくにふきゅうしています <br>This technology is spreading rapidly.
五輪	[sound:k-0303_五輪.mp3]<br>ごりん <br> the Olympics
the Olympics	<b>五輪<b> <br> ごりん <br>[sound:k-0303_五輪.mp3]
[sound:k-0303_五輪.mp3]	the Olympics<br> <b>五輪</b> <br> (ごりん)
<b>普遍</b> <br> その言葉は普遍的な真理を持っています。	[sound:s-0303_その言葉は普遍的な真理を持っています。.mp3] <br> そのことばはふへんてきなしんりをもっています。 <br>The words contain universal truths.
[sound:s-0303_その言葉は普遍的な真理を持っています。.mp3]	<b>普遍</b> <br> その言葉は普遍的な真理を持っています。<br> そのことばはふへんてきなしんりをもっています <br>The words contain universal truths.
五十	[sound:k-0304_五十.mp3]<br>ごじゅう, いそ, い <br> fifty
fifty	<b>五十<b> <br> ごじゅう, いそ, い <br>[sound:k-0304_五十.mp3]
[sound:k-0304_五十.mp3]	fifty<br> <b>五十</b> <br> (ごじゅう, いそ, い)
<b>普通</b> <br> このレストランの料理は普通です。	[sound:s-0304_このレストランの料理は普通です。.mp3] <br> このれすとらんのりょうりはふつうです。 <br>The food at this restaurant is ordinary.
[sound:s-0304_このレストランの料理は普通です。.mp3]	<b>普通</b> <br> このレストランの料理は普通です。<br> このれすとらんのりょうりはふつうです <br>The food at this restaurant is ordinary.
五つ	[sound:k-0305_五つ.mp3]<br>いつつ <br> five
five	<b>五つ<b> <br> いつつ <br>[sound:k-0305_五つ.mp3]
[sound:k-0305_五つ.mp3]	five<br> <b>五つ</b> <br> (いつつ)
<b>普段</b> <br> 彼は普段から運動をしています。	[sound:s-0305_彼は普段から運動をしています。.mp3] <br> かれはふだんからうんどうをしています。 <br>He exercises regularly.
[sound:s-0305_彼は普段から運動をしています。.mp3]	<b>普段</b> <br> 彼は普段から運動をしています。<br> かれはふだんからうんどうをしています <br>He exercises regularly.
五分	[sound:k-0306_五分.mp3]<br>ごぶ <br> half, 50%, tie, evenness; 5 parts, 5%
half, 50%, tie, evenness; 5 parts, 5%	<b>五分<b> <br> ごぶ <br>[sound:k-0306_五分.mp3]
[sound:k-0306_五分.mp3]	half, 50%, tie, evenness; 5 parts, 5%<br> <b>五分</b> <br> (ごぶ)
<b>普遍的</b> <br> 愛は普遍的な感情です。	[sound:s-0306_愛は普遍的な感情です。.mp3] <br> あいはふへんてきなかんじょうです。 <br>Love is a universal emotion.
[sound:s-0306_愛は普遍的な感情です。.mp3]	<b>普遍的</b> <br> 愛は普遍的な感情です。<br> あいはふへんてきなかんじょうです <br>Love is a universal emotion.
五十三次	[sound:k-0307_五十三次.mp3]<br>ごじゅうさんつぎ <br> the 53 Toukaidou stages
the 53 Toukaidou stages	<b>五十三次<b> <br> ごじゅうさんつぎ <br>[sound:k-0307_五十三次.mp3]
[sound:k-0307_五十三次.mp3]	the 53 Toukaidou stages<br> <b>五十三次</b> <br> (ごじゅうさんつぎ)
<b>普及</b> <br> この技術は急速に普及しています。	[sound:s-0307_この技術は急速に普及しています。.mp3] <br> このぎじゅつはきゅうそくにふきゅうしています。 <br>This technology is spreading rapidly.
[sound:s-0307_この技術は急速に普及しています。.mp3]	<b>普及</b> <br> この技術は急速に普及しています。<br> このぎじゅつはきゅうそくにふきゅうしています <br>This technology is spreading rapidly.
五感	[sound:k-0308_五感.mp3]<br>ごかん <br> the five senses
the five senses	<b>五感<b> <br> ごかん <br>[sound:k-0308_五感.mp3]
[sound:k-0308_五感.mp3]	the five senses<br> <b>五感</b> <br> (ごかん)
<b>普段</b> <br> 彼女は普段からおしゃべりです。	[sound:s-0308_彼女は普段からおしゃべりです。.mp3] <br> かのじょはふだんからおしゃべりです。 <br>She is talkative as usual.
[sound:s-0308_彼女は普段からおしゃべりです。.mp3]	<b>普段</b> <br> 彼女は普段からおしゃべりです。<br> かのじょはふだんからおしゃべりです <br>She is talkative as usual.
五十音	[sound:k-0309_五十音.mp3]<br>ごじゅうおん <br> the Japanese syllabary
the Japanese syllabary	<b>五十音<b> <br> ごじゅうおん <br>[sound:k-0309_五十音.mp3]
[sound:k-0309_五十音.mp3]	the Japanese syllabary<br> <b>五十音</b> <br> (ごじゅうおん)
<b>普遍</b> <br> その言葉は普遍的な真理を持っています。	[sound:s-0309_その言葉は普遍的な真理を持っています。.mp3] <br> そのことばはふへんてきなしんりをもっています。 <br>The words contain universal truths.
[sound:s-0309_その言葉は普遍的な真理を持っています。.mp3]	<b>普遍</b> <br> その言葉は普遍的な真理を持っています。<br> そのことばはふへんてきなしんりをもっています <br>The words contain universal truths.
発	[sound:k-0310_発.mp3]<br>はつ <br> departure, departing (from ...), departing (at time ...); beginning; issued by (e.g. document); counter for gunshots, counter for blows (punches)
departure, departing (from ...), departing (at time ...); beginning; issued by (e.g. document); counter for gunshots, counter for blows (punches)	<b>発<b> <br> はつ <br>[sound:k-0310_発.mp3]
[sound:k-0310_発.mp3]	departure, departing<br> <b>from ...), departing (at time ...); beginning; issued by (e.g. document); counter for gunshots, counter for blows (punches) (発</b> <br> (はつ)
<b>普通</b> <br> このレストランの料理は普通です。	[sound:s-0310_このレストランの料理は普通です。.mp3] <br> このれすとらんのりょうりはふつうです。 <br>The food at this restaurant is ordinary.
[sound:s-0310_このレストランの料理は普通です。.mp3]	<b>普通</b> <br> このレストランの料理は普通です。<br> このれすとらんのりょうりはふつうです <br>The food at this restaurant is ordinary.
開発	[sound:k-0311_開発.mp3]<br>かいはつ <br> development, exploitation
development, exploitation	<b>開発<b> <br> かいはつ <br>[sound:k-0311_開発.mp3]
[sound:k-0311_開発.mp3]	development, exploitation<br> <b>開発</b> <br> (かいはつ)
<b>普段</b> <br> 彼は普段から運動をしています。	[sound:s-0311_彼は普段から運動をしています。.mp3] <br> かれはふだんからうんどうをしています。 <br>He exercises regularly.
[sound:s-0311_彼は普段から運動をしています。.mp3]	<b>普段</b> <br> 彼は普段から運動をしています。<br> かれはふだんからうんどうをしています <br>He exercises regularly.
発言	[sound:k-0312_発言.mp3]<br>はつげん <br> utterance, speech, proposal
utterance, speech, proposal	<b>発言<b> <br> はつげん <br>[sound:k-0312_発言.mp3]
[sound:k-0312_発言.mp3]	utterance, speech, proposal<br> <b>発言</b> <br> (はつげん)
<b>普遍的</b> <br> 愛は普遍的な感情です。	[sound:s-0312_愛は普遍的な感情です。.mp3] <br> あいはふへんてきなかんじょうです。 <br>Love is a universal emotion.
[sound:s-0312_愛は普遍的な感情です。.mp3]	<b>普遍的</b> <br> 愛は普遍的な感情です。<br> あいはふへんてきなかんじょうです <br>Love is a universal emotion.
発行	[sound:k-0313_発行.mp3]<br>はっこう <br> issue (publications), publishing; raising an event (software)
issue (publications), publishing; raising an event (software)	<b>発行<b> <br> はっこう <br>[sound:k-0313_発行.mp3]
[sound:k-0313_発行.mp3]	issue<br> <b>publications), publishing; raising an event (software) (発行</b> <br> (はっこう)
<b>直る</b> <br> その時計は直りましたか？	[sound:s-0313_その時計は直りましたか？.mp3] <br> そのとけいはなおりましたか？ <br>Is the clock fixed now?
[sound:s-0313_その時計は直りましたか？.mp3]	(<b>直る</b>) その時計は直りましたか？	そのとけいはなおりましたか？ <br>Is the clock fixed now?
発展	[sound:k-0314_発展.mp3]<br>はってん <br> development, growth
development, growth	<b>発展<b> <br> はってん <br>[sound:k-0314_発展.mp3]
[sound:k-0314_発展.mp3]	development, growth<br> <b>発展</b> <br> (はってん)
<b>直ちに</b> <br> その問題は直ちに解決しなければなりません。	[sound:s-0314_その問題は直ちに解決しなければなりません。.mp3] <br> そのもんだいはただちにかいけつしなければなりません。 <br>The problem must be solved immediately.
[sound:s-0314_その問題は直ちに解決しなければなりません。.mp3]	<b>直ちに</b> <br> その問題は直ちに解決しなければなりません。<br> そのもんだいはただちにかいけつしなければなりません <br>The problem must be solved immediately.
発表	[sound:k-0315_発表.mp3]<br>はっぴょう <br> announcement, publication
announcement, publication	<b>発表<b> <br> はっぴょう <br>[sound:k-0315_発表.mp3]
[sound:k-0315_発表.mp3]	announcement, publication<br> <b>発表</b> <br> (はっぴょう)
<b>直感</b> <br> 彼女は直感に従いました。	[sound:s-0315_彼女は直感に従いました。.mp3] <br> かのじょはちょっかんにしたがいました。 <br>She followed her intuition.
[sound:s-0315_彼女は直感に従いました。.mp3]	<b>直感</b> <br> 彼女は直感に従いました。<br> かのじょはちょっかんにしたがいました <br>She followed her intuition.
反発	[sound:k-0316_反発.mp3]<br>はんぱつ <br> to repel, to oppose, to revolt, to react sharply (against); opposition, rebellion, resistance, backlash; rally, recovery (e.g. in stock prices), rebound; to rally, to recover, to rebound
to repel, to oppose, to revolt, to react sharply (against); opposition, rebellion, resistance, backlash; rally, recovery (e.g. in stock prices), rebound; to rally, to recover, to rebound	<b>反発<b> <br> はんぱつ <br>[sound:k-0316_反発.mp3]
[sound:k-0316_反発.mp3]	to repel, to oppose, to revolt, to react sharply<br> <b>against); opposition, rebellion, resistance, backlash; rally, recovery (e.g. in stock prices), rebound; to rally, to recover, to rebound (反発</b> <br> (はんぱつ)
<b>直面</b> <br> 彼は多くの困難に直面しています。	[sound:s-0316_彼は多くの困難に直面しています。.mp3] <br> かれはおおくのこんなんにちょくめんしています。 <br>He is facing many difficulties.
[sound:s-0316_彼は多くの困難に直面しています。.mp3]	<b>直面</b> <br> 彼は多くの困難に直面しています。<br> かれはおおくのこんなんにちょくめんしています <br>He is facing many difficulties.
活発	[sound:k-0317_活発.mp3]<br>かっぱつ <br> vigor, vigour, active, lively
vigor, vigour, active, lively	<b>活発<b> <br> かっぱつ <br>[sound:k-0317_活発.mp3]
[sound:k-0317_活発.mp3]	vigor, vigour, active, lively<br> <b>活発</b> <br> (かっぱつ)
<b>直接</b> <br> 彼と直接話した方がいいです。	[sound:s-0317_彼と直接話した方がいいです。.mp3] <br> かれとちょくせつはなしたほうがいいです。 <br>It's better to talk to him directly.
[sound:s-0317_彼と直接話した方がいいです。.mp3]	<b>直接</b> <br> 彼と直接話した方がいいです。<br> かれとちょくせつはなしたほうがいいです <br>It's better to talk to him directly.
原発	[sound:k-0318_原発.mp3]<br>げんぱつ <br> nuclear power plant, nuclear power supply
nuclear power plant, nuclear power supply	<b>原発<b> <br> げんぱつ <br>[sound:k-0318_原発.mp3]
[sound:k-0318_原発.mp3]	nuclear power plant, nuclear power supply<br> <b>原発</b> <br> (げんぱつ)
<b>直接的</b> <br> 彼は直接的なアプローチを好みます。	[sound:s-0318_彼は直接的なアプローチを好みます。.mp3] <br> かれはちょくせつてきなあぷろーちをこのみます。 <br>He prefers a direct approach.
[sound:s-0318_彼は直接的なアプローチを好みます。.mp3]	<b>直接的</b> <br> 彼は直接的なアプローチを好みます。<br> かれはちょくせつてきなあぷろーちをこのみます <br>He prefers a direct approach.
先発	[sound:k-0319_先発.mp3]<br>せんぱつ <br> forerunner, advance party, going on ahead; being in a (team sports) match or game from the start, starting
forerunner, advance party, going on ahead; being in a (team sports) match or game from the start, starting	<b>先発<b> <br> せんぱつ <br>[sound:k-0319_先発.mp3]
[sound:k-0319_先発.mp3]	forerunner, advance party, going on ahead; being in a<br> <b>team sports) match or game from the start, starting (先発</b> <br> (せんぱつ)
<b>直径</b> <br> その円の直径を計算してください。	[sound:s-0319_その円の直径を計算してください。.mp3] <br> そのえんのちょっけいをけいさんしてください。 <br>Please calculate the diameter of the circle.
[sound:s-0319_その円の直径を計算してください。.mp3]	<b>直径</b> <br> その円の直径を計算してください。<br> そのえんのちょっけいをけいさんしてください <br>Please calculate the diameter of the circle.
間	[sound:k-0320_間.mp3]<br>あいだ <br> space (between), gap, interval, distance; time (between), pause, break; span (temporal or spatial), stretch, period (while); relationship (between, among); members (within, among); due to, because of
space (between), gap, interval, distance; time (between), pause, break; span (temporal or spatial), stretch, period (while); relationship (between, among); members (within, among); due to, because of	<b>間<b> <br> あいだ <br>[sound:k-0320_間.mp3]
[sound:k-0320_間.mp3]	space<br> <b>between), gap, interval, distance; time (between), pause, break; span (temporal or spatial), stretch, period (while); relationship (between, among); members (within, among); due to, because of (間</b> <br> (あいだ)
<b>直角</b> <br> この角度は直角です。	[sound:s-0320_この角度は直角です。.mp3] <br> このかくどはちょっかくです。 <br>This angle is a right angle.
[sound:s-0320_この角度は直角です。.mp3]	<b>直角</b> <br> この角度は直角です。<br> このかくどはちょっかくです <br>This angle is a right angle.
間もなく	[sound:k-0321_間もなく.mp3]<br>まもなく <br> soon, before long, in a short time; (after verb) lacking time to ..., without time to ...
soon, before long, in a short time; (after verb) lacking time to ..., without time to ...	<b>間もなく<b> <br> まもなく <br>[sound:k-0321_間もなく.mp3]
[sound:k-0321_間もなく.mp3]	soon, before long, in a short time;<br> <b>after verb) lacking time to ..., without time to ... (間もなく</b> <br> (まもなく)
<b>直行</b> <br> 列車は直行便です。	[sound:s-0321_列車は直行便です。.mp3] <br> れっしゃはちょっこうびんです。 <br>The train is a direct service.
[sound:s-0321_列車は直行便です。.mp3]	<b>直行</b> <br> 列車は直行便です。<br> れっしゃはちょっこうびんです <br>The train is a direct service.
期間	[sound:k-0322_期間.mp3]<br>きかん <br> period, term, interval
period, term, interval	<b>期間<b> <br> きかん <br>[sound:k-0322_期間.mp3]
[sound:k-0322_期間.mp3]	period, term, interval<br> <b>期間</b> <br> (きかん)
