presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
bring suit, file a claim, raise a question	<b>提起<b> <br> ていき <br>[sound:k-2539_提起.mp3]
[sound:k-2539_提起.mp3]	bring suit, file a claim, raise a question<br> <b>提起</b> <br> (ていき)
<b>施政</b> <br> 政府の施政方針が発表された。	[sound:s-2539_政府の施政方針が発表された。.mp3] <br> せいふのせいせいほうしんがはっぴょうされた。 <br>The government's policy direction has been announced.
[sound:s-2539_政府の施政方針が発表された。.mp3]	<b>施政</b> <br> 政府の施政方針が発表された。<br> せいふのせいせいほうしんがはっぴょうされた <br>The government's policy direction has been announced.
運	[sound:k-2540_運.mp3]<br>うん <br> fortune, luck
fortune, luck	<b>運<b> <br> うん <br>[sound:k-2540_運.mp3]
[sound:k-2540_運.mp3]	fortune, luck<br> <b>運</b> <br> (うん)
<b>施工</b> <br> 工事の施工が完了した。	[sound:s-2540_工事の施工が完了した。.mp3] <br> こうじのしこうがかんりょうした。 <br>The construction work has been completed.
[sound:s-2540_工事の施工が完了した。.mp3]	<b>施工</b> <br> 工事の施工が完了した。<br> こうじのしこうがかんりょうした <br>The construction work has been completed.
運ぶ	[sound:k-2541_運ぶ.mp3]<br>はこぶ <br> to carry, to transport, to move, to convey; to come, to go; to wield (a tool, etc.), to use; to go (well, etc.), to proceed, to progress
to carry, to transport, to move, to convey; to come, to go; to wield (a tool, etc.), to use; to go (well, etc.), to proceed, to progress	<b>運ぶ<b> <br> はこぶ <br>[sound:k-2541_運ぶ.mp3]
[sound:k-2541_運ぶ.mp3]	to carry, to transport, to move, to convey; to come, to go; to wield<br> <b>a tool, etc.), to use; to go (well, etc.), to proceed, to progress (運ぶ</b> <br> (はこぶ)
<b>施す</b> <br> 助けを必要とする人々に援助を施す。	[sound:s-2541_助けを必要とする人々に援助を施す。.mp3] <br> たすけをひつようとするひとびとにえんじょをほどこす。 <br>Provide assistance to those in need of help.
[sound:s-2541_助けを必要とする人々に援助を施す。.mp3]	<b>施す</b> <br> 助けを必要とする人々に援助を施す。<br> たすけをひつようとするひとびとにえんじょをほどこす <br>Provide assistance to those in need of help.
運動	[sound:k-2542_運動.mp3]<br>うんどう <br> motion, exercise
motion, exercise	<b>運動<b> <br> うんどう <br>[sound:k-2542_運動.mp3]
[sound:k-2542_運動.mp3]	motion, exercise<br> <b>運動</b> <br> (うんどう)
<b>防衛施設庁</b> <br> 防衛施設庁が国内の基地を管理している。	[sound:s-2542_防衛施設庁が国内の基地を管理している。.mp3] <br> ぼうえいしせつちょうがこくないのきちをかんりしている。 <br>The Defense Facilities Administration Agency manages domestic bases.
[sound:s-2542_防衛施設庁が国内の基地を管理している。.mp3]	<b>防衛施設庁</b> <br> 防衛施設庁が国内の基地を管理している。<br> ぼうえいしせつちょうがこくないのきちをかんりしている <br>The Defense Facilities Administration Agency manages domestic bases.
運営	[sound:k-2543_運営.mp3]<br>うんえい <br> management, administration, operation
management, administration, operation	<b>運営<b> <br> うんえい <br>[sound:k-2543_運営.mp3]
[sound:k-2543_運営.mp3]	management, administration, operation<br> <b>運営</b> <br> (うんえい)
<b>施錠</b> <br> ドアを施錠して、外出します。	[sound:s-2543_ドアを施錠して、外出します。.mp3] <br> ドアをせじょうして、がいしゅつします。 <br>Lock the door and go out.
[sound:s-2543_ドアを施錠して、外出します。.mp3]	<b>施錠</b> <br> ドアを施錠して、外出します。<br> ドアをせじょうして、がいしゅつします <br>Lock the door and go out.
運転	[sound:k-2544_運転.mp3]<br>うんてん <br> operation, motion, driving
operation, motion, driving	<b>運転<b> <br> うんてん <br>[sound:k-2544_運転.mp3]
[sound:k-2544_運転.mp3]	operation, motion, driving<br> <b>運転</b> <br> (うんてん)
<b>大切</b> <br> 家族との時間はとても大切です。	[sound:s-2544_家族との時間はとても大切です。.mp3] <br> かぞくとのじかんはとてもたいせつです。 <br>Time with family is very important.
[sound:s-2544_家族との時間はとても大切です。.mp3]	<b>大切</b> <br> 家族との時間はとても大切です。<br> かぞくとのじかんはとてもたいせつです <br>Time with family is very important.
運輸	[sound:k-2545_運輸.mp3]<br>うんゆ <br> transportation
transportation	<b>運輸<b> <br> うんゆ <br>[sound:k-2545_運輸.mp3]
[sound:k-2545_運輸.mp3]	transportation<br> <b>運輸</b> <br> (うんゆ)
<b>切っ掛け</b> <br> その出来事が彼の転職の切っ掛けになった。	[sound:s-2545_その出来事が彼の転職の切っ掛けになった。.mp3] <br> そのできごとがかれのてんしょくのきっかけになった。 <br>That incident became the trigger for his job change.
[sound:s-2545_その出来事が彼の転職の切っ掛けになった。.mp3]	<b>切っ掛け</b> <br> その出来事が彼の転職の切っ掛けになった。<br> そのできごとがかれのてんしょくのきっかけになった <br>That incident became the trigger for his job change.
運輸省	[sound:k-2546_運輸省.mp3]<br>うんゆしょう <br> Ministry of Transport
Ministry of Transport	<b>運輸省<b> <br> うんゆしょう <br>[sound:k-2546_運輸省.mp3]
[sound:k-2546_運輸省.mp3]	Ministry of Transport<br> <b>運輸省</b> <br> (うんゆしょう)
<b>一切</b> <br> 彼は一切の手助けも受けたくない。	[sound:s-2546_彼は一切の手助けも受けたくない。.mp3] <br> かれはいっさいのてだすけもうけたくない。 <br>He doesn't want any help at all.
[sound:s-2546_彼は一切の手助けも受けたくない。.mp3]	<b>一切</b> <br> 彼は一切の手助けも受けたくない。<br> かれはいっさいのてだすけもうけたくない <br>He doesn't want any help at all.
運用	[sound:k-2547_運用.mp3]<br>うんよう <br> making use of, application, investment, practical use
making use of, application, investment, practical use	<b>運用<b> <br> うんよう <br>[sound:k-2547_運用.mp3]
[sound:k-2547_運用.mp3]	making use of, application, investment, practical use<br> <b>運用</b> <br> (うんよう)
<b>適切</b> <br> 適切な処置をとる必要があります。	[sound:s-2547_適切な処置をとる必要があります。.mp3] <br> てきせつなしょちをとるひつようがあります。 <br>It's necessary to take appropriate measures.
[sound:s-2547_適切な処置をとる必要があります。.mp3]	<b>適切</b> <br> 適切な処置をとる必要があります。<br> てきせつなしょちをとるひつようがあります <br>It's necessary to take appropriate measures.
運び	[sound:k-2548_運び.mp3]<br>はこび <br> progress, pace, carriage, step, stage
progress, pace, carriage, step, stage	<b>運び<b> <br> はこび <br>[sound:k-2548_運び.mp3]
[sound:k-2548_運び.mp3]	progress, pace, carriage, step, stage<br> <b>運び</b> <br> (はこび)
<b>切り</b> <br> 彼は包丁で野菜を切りました。	[sound:s-2548_彼は包丁で野菜を切りました。.mp3] <br> かれはほうちょうでやさいをきりました。 <br>He cut the vegetables with a knife.
[sound:s-2548_彼は包丁で野菜を切りました。.mp3]	<b>切り</b> <br> 彼は包丁で野菜を切りました。<br> かれはほうちょうでやさいをきりました <br>He cut the vegetables with a knife.
運転手	[sound:k-2549_運転手.mp3]<br>うんてんしゅ <br> driver, chauffeur
driver, chauffeur	<b>運転手<b> <br> うんてんしゅ <br>[sound:k-2549_運転手.mp3]
[sound:k-2549_運転手.mp3]	driver, chauffeur<br> <b>運転手</b> <br> (うんてんしゅ)
<b>思い切って</b> <br> 思い切って新しいことに挑戦してみよう。	[sound:s-2549_思い切って新しいことに挑戦してみよう。.mp3] <br> おもいきってあたらしいことにちょうせんしてみよう。 <br>Let's dare to try something new.
[sound:s-2549_思い切って新しいことに挑戦してみよう。.mp3]	<b>思い切って</b> <br> 思い切って新しいことに挑戦してみよう。<br> おもいきってあたらしいことにちょうせんしてみよう <br>Let's dare to try something new.
終わり	[sound:k-2550_終わり.mp3]<br>おわり <br> the end
the end	<b>終わり<b> <br> おわり <br>[sound:k-2550_終わり.mp3]
[sound:k-2550_終わり.mp3]	the end<br> <b>終わり</b> <br> (おわり)
<b>切らす</b> <br> お金がなくて電気を切らすしかなかった。	[sound:s-2550_お金がなくて電気を切らすしかなかった。.mp3] <br> おかねがなくてでんきをきらすしかなかった。 <br>We had no choice but to turn off the electricity because we had no money.
[sound:s-2550_お金がなくて電気を切らすしかなかった。.mp3]	<b>切らす</b> <br> お金がなくて電気を切らすしかなかった。<br> おかねがなくてでんきをきらすしかなかった <br>We had no choice but to turn off the electricity because we had no money.
最終	[sound:k-2551_最終.mp3]<br>さいしゅう <br> last, final, closing
last, final, closing	<b>最終<b> <br> さいしゅう <br>[sound:k-2551_最終.mp3]
[sound:k-2551_最終.mp3]	last, final, closing<br> <b>最終</b> <br> (さいしゅう)
<b>切る</b> <br> 野菜を切って、スープに入れる。	[sound:s-2551_野菜を切って、スープに入れる。.mp3] <br> やさいをきって、スープにいれる。 <br>Cut the vegetables and put them in the soup.
[sound:s-2551_野菜を切って、スープに入れる。.mp3]	<b>切る</b> <br> 野菜を切って、スープに入れる。<br> やさいをきって、スープにいれる <br>Cut the vegetables and put them in the soup.
終える	[sound:k-2552_終える.mp3]<br>おえる <br> to finish
to finish	<b>終える<b> <br> おえる <br>[sound:k-2552_終える.mp3]
[sound:k-2552_終える.mp3]	to finish<br> <b>終える</b> <br> (おえる)
<b>締め切り</b> <br> レポートの締め切りは来週の金曜日です。	[sound:s-2552_レポートの締め切りは来週の金曜日です。.mp3] <br> れぽーとのしめきりはらいしゅうのきんようびです。 <br>The deadline for the report is next Friday.
[sound:s-2552_レポートの締め切りは来週の金曜日です。.mp3]	<b>締め切り</b> <br> レポートの締め切りは来週の金曜日です。<br> れぽーとのしめきりはらいしゅうのきんようびです <br>The deadline for the report is next Friday.
終結	[sound:k-2553_終結.mp3]<br>しゅうけつ <br> end, close
end, close	<b>終結<b> <br> しゅうけつ <br>[sound:k-2553_終結.mp3]
[sound:k-2553_終結.mp3]	end, close<br> <b>終結</b> <br> (しゅうけつ)
<b>切手</b> <br> 手紙に切手を貼り付ける。	[sound:s-2553_手紙に切手を貼り付ける。.mp3] <br> てがみにきってをはりつける。 <br>Affix a stamp to the letter.
[sound:s-2553_手紙に切手を貼り付ける。.mp3]	<b>切手</b> <br> 手紙に切手を貼り付ける。<br> てがみにきってをはりつける <br>Affix a stamp to the letter.
最終的	[sound:k-2554_最終的.mp3]<br>さいしゅうてき <br> finally
finally	<b>最終的<b> <br> さいしゅうてき <br>[sound:k-2554_最終的.mp3]
[sound:k-2554_最終的.mp3]	finally<br> <b>最終的</b> <br> (さいしゅうてき)
<b>由</b> <br> 彼女の行動の由はよくわからない。	[sound:s-2554_彼女の行動の由はよくわからない。.mp3] <br> かのじょのこうどうのゆはよくわからない。 <br>The reason behind her actions is unclear.
[sound:s-2554_彼女の行動の由はよくわからない。.mp3]	<b>由</b> <br> 彼女の行動の由はよくわからない。<br> かのじょのこうどうのゆはよくわからない <br>The reason behind her actions is unclear.
終値	[sound:k-2555_終値.mp3]<br>おわりね <br> closing price (stock exchange, etc.)
closing price (stock exchange, etc.)	<b>終値<b> <br> おわりね <br>[sound:k-2555_終値.mp3]
[sound:k-2555_終値.mp3]	closing price<br> <b>stock exchange, etc.) (終値</b> <br> (おわりね)
<b>自由</b> <br> 自由な時間を楽しむ。	[sound:s-2555_自由な時間を楽しむ。.mp3] <br> じゆうなじかんをたのしむ。 <br>Enjoy free time.
[sound:s-2555_自由な時間を楽しむ。.mp3]	<b>自由</b> <br> 自由な時間を楽しむ。<br> じゆうなじかんをたのしむ <br>Enjoy free time.
終了後	[sound:k-2556_終了後.mp3]<br>しゅうりょうご <br> after the end (of something)
after the end (of something)	<b>終了後<b> <br> しゅうりょうご <br>[sound:k-2556_終了後.mp3]
[sound:k-2556_終了後.mp3]	after the end<br> <b>of something) (終了後</b> <br> (しゅうりょうご)
<b>理由</b> <br> 彼の欠席の理由を知っていますか？	[sound:s-2556_彼の欠席の理由を知っていますか？.mp3] <br> かれのけっせきのりゆうをしっていますか？ <br>Do you know the reason for his absence?
[sound:s-2556_彼の欠席の理由を知っていますか？.mp3]	(<b>理由</b>) 彼の欠席の理由を知っていますか？	かれのけっせきのりゆうをしっていますか？ <br>Do you know the reason for his absence?
終戦	[sound:k-2557_終戦.mp3]<br>しゅうせん <br> end of war, cessation of hostilities
end of war, cessation of hostilities	<b>終戦<b> <br> しゅうせん <br>[sound:k-2557_終戦.mp3]
[sound:k-2557_終戦.mp3]	end of war, cessation of hostilities<br> <b>終戦</b> <br> (しゅうせん)
<b>経由</b> <br> アムステルダム経由でパリに行く。	[sound:s-2557_アムステルダム経由でパリに行く。.mp3] <br> アムステルダムけいゆでパリにいく。 <br>Go to Paris via Amsterdam.
[sound:s-2557_アムステルダム経由でパリに行く。.mp3]	<b>経由</b> <br> アムステルダム経由でパリに行く。<br> アムステルダムけいゆでパリにいく <br>Go to Paris via Amsterdam.
終日	[sound:k-2558_終日.mp3]<br>しゅうじつ, ひねもす, ひめもす, ひもすがら <br> all day, for a whole day
all day, for a whole day	<b>終日<b> <br> しゅうじつ, ひねもす, ひめもす, ひもすがら <br>[sound:k-2558_終日.mp3]
[sound:k-2558_終日.mp3]	all day, for a whole day<br> <b>終日</b> <br> (しゅうじつ, ひねもす, ひめもす, ひもすがら)
<b>不自由</b> <br> 足が不自由な人に席を譲る。	[sound:s-2558_足が不自由な人に席を譲る。.mp3] <br> あしがふじゆうなひとにせきをゆずる。 <br>Give up your seat to someone with mobility issues.
[sound:s-2558_足が不自由な人に席を譲る。.mp3]	<b>不自由</b> <br> 足が不自由な人に席を譲る。<br> あしがふじゆうなひとにせきをゆずる <br>Give up your seat to someone with mobility issues.
終盤	[sound:k-2559_終盤.mp3]<br>しゅうばん <br> endgame, final stage
endgame, final stage	<b>終盤<b> <br> しゅうばん <br>[sound:k-2559_終盤.mp3]
[sound:k-2559_終盤.mp3]	endgame, final stage<br> <b>終盤</b> <br> (しゅうばん)
<b>自由化</b> <br> その国は市場の自由化を進めている。	[sound:s-2559_その国は市場の自由化を進めている。.mp3] <br> そのくにはしじょうのじゆうかをすすめている。 <br>The country is advancing market liberalization.
[sound:s-2559_その国は市場の自由化を進めている。.mp3]	<b>自由化</b> <br> その国は市場の自由化を進めている。<br> そのくにはしじょうのじゆうかをすすめている <br>The country is advancing market liberalization.
挙げる	[sound:k-2560_挙げる.mp3]<br>あげる <br> to raise, to elevate; to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); (uk) to summon (for geishas, etc.); to send someone (away); to enrol (one's child in school) (enroll); to increase (price, quality, status, etc.); to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to give; to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; (after the -te form of a verb) to do for (the sake of someone else); (after the -masu stem of a verb) to complete; used after the -masu stem of a humble verb to increase the level of humility
to raise, to elevate; to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); (uk) to summon (for geishas, etc.); to send someone (away); to enrol (one's child in school) (enroll); to increase (price, quality, status, etc.); to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to give; to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; (after the -te form of a verb) to do for (the sake of someone else); (after the -masu stem of a verb) to complete; used after the -masu stem of a humble verb to increase the level of humility	<b>挙げる<b> <br> あげる <br>[sound:k-2560_挙げる.mp3]
[sound:k-2560_挙げる.mp3]	to raise, to elevate; to do up<br> <b>one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); (uk) to summon (for geishas, etc.); to send someone (away); to enrol (one's child in school) (enroll); to increase (price, quality, status, etc.); to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to give; to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; (after the -te form of a verb) to do for (the sake of someone else); (after the -masu stem of a verb) to complete; used after the -masu stem of a humble verb to increase the level of humility (挙げる</b> <br> (あげる)
<b>自由形</b> <br> 水泳の自由形が彼の得意種目です。	[sound:s-2560_水泳の自由形が彼の得意種目です。.mp3] <br> すいえいのじゆうがたがかれのとくいしゅもくです。 <br>Freestyle swimming is his specialty event.
[sound:s-2560_水泳の自由形が彼の得意種目です。.mp3]	<b>自由形</b> <br> 水泳の自由形が彼の得意種目です。<br> すいえいのじゆうがたがかれのとくいしゅもくです <br>Freestyle swimming is his specialty event.
選挙	[sound:k-2561_選挙.mp3]<br>せんきょ <br> election
election	<b>選挙<b> <br> せんきょ <br>[sound:k-2561_選挙.mp3]
[sound:k-2561_選挙.mp3]	election<br> <b>選挙</b> <br> (せんきょ)
<b>自由主義</b> <br> 彼は自由主義の政治家です。	[sound:s-2561_彼は自由主義の政治家です。.mp3] <br> かれはじゆうしゅぎのせいじかです。 <br>He is a liberal politician.
[sound:s-2561_彼は自由主義の政治家です。.mp3]	<b>自由主義</b> <br> 彼は自由主義の政治家です。<br> かれはじゆうしゅぎのせいじかです <br>He is a liberal politician.
総選挙	[sound:k-2562_総選挙.mp3]<br>そうせんきょ <br> general election (of the lower house)
general election (of the lower house)	<b>総選挙<b> <br> そうせんきょ <br>[sound:k-2562_総選挙.mp3]
[sound:k-2562_総選挙.mp3]	general election<br> <b>of the lower house) (総選挙</b> <br> (そうせんきょ)
<b>由来</b> <br> その言葉の由来は古い言語に遡る。	[sound:s-2562_その言葉の由来は古い言語に遡る。.mp3] <br> そのことばのゆらいはふるいげんごにさかのぼる。 <br>The origin of that word dates back to an ancient language.
[sound:s-2562_その言葉の由来は古い言語に遡る。.mp3]	<b>由来</b> <br> その言葉の由来は古い言語に遡る。<br> そのことばのゆらいはふるいげんごにさかのぼる <br>The origin of that word dates back to an ancient language.
小選挙区	[sound:k-2563_小選挙区.mp3]<br>しょうせんきょく <br> small electoral district, single-member constituency
small electoral district, single-member constituency	<b>小選挙区<b> <br> しょうせんきょく <br>[sound:k-2563_小選挙区.mp3]
[sound:k-2563_小選挙区.mp3]	small electoral district, single-member constituency<br> <b>小選挙区</b> <br> (しょうせんきょく)
<b>自由経済</b> <br> 自由経済の国々は競争が激しい。	[sound:s-2563_自由経済の国々は競争が激しい。.mp3] <br> じゆうけいざいのくにはきょうそうがはげしい。 <br>Countries with free-market economies have intense competition.
[sound:s-2563_自由経済の国々は競争が激しい。.mp3]	<b>自由経済</b> <br> 自由経済の国々は競争が激しい。<br> じゆうけいざいのくにはきょうそうがはげしい <br>Countries with free-market economies have intense competition.
一挙	[sound:k-2564_一挙.mp3]<br>いっきょ <br> one effort, one action
one effort, one action	<b>一挙<b> <br> いっきょ <br>[sound:k-2564_一挙.mp3]
[sound:k-2564_一挙.mp3]	one effort, one action<br> <b>一挙</b> <br> (いっきょ)
<b>演説</b> <br> 政治家は市民に向けて演説を行った。	[sound:s-2564_政治家は市民に向けて演説を行った。.mp3] <br> せいじかはしみんにむけてえんぜつをおこなった。 <br>The politician delivered a speech to the citizens.
[sound:s-2564_政治家は市民に向けて演説を行った。.mp3]	<b>演説</b> <br> 政治家は市民に向けて演説を行った。<br> せいじかはしみんにむけてえんぜつをおこなった <br>The politician delivered a speech to the citizens.
選挙戦	[sound:k-2565_選挙戦.mp3]<br>せんきょせん <br> election campaign
election campaign	<b>選挙戦<b> <br> せんきょせん <br>[sound:k-2565_選挙戦.mp3]
[sound:k-2565_選挙戦.mp3]	election campaign<br> <b>選挙戦</b> <br> (せんきょせん)
<b>説明</b> <br> その問題の解決方法を説明してください。	[sound:s-2565_その問題の解決方法を説明してください。.mp3] <br> そのもんだいのかいけつほうほうをせつめいしてください。 <br>Please explain the solution to the problem.
[sound:s-2565_その問題の解決方法を説明してください。.mp3]	<b>説明</b> <br> その問題の解決方法を説明してください。<br> そのもんだいのかいけつほうほうをせつめいしてください <br>Please explain the solution to the problem.
挙がる	[sound:k-2566_挙がる.mp3]<br>あがる <br> to rise, to go up, to come up, to ascend, to be raised; to enter (esp. from outdoors), to come in, to go in; to enter (a school), to advance to the next grade; to get out (of water), to come ashore; to increase; to improve, to make progress; to be promoted, to advance; to be made (of profit, etc.); to occur (esp. of a favourable result); to be adequate (to cover expenses, etc.); to be finished, to be done, to be over; (of rain) to stop, to lift; to stop (working properly), to cut out, to give out, to die; to win (in a card game, etc.); to be arrested; to turn up (of evidence, etc.); to be deep fried; to be spoken loudly; to get stage fright; to be offered (to the gods, etc.); to go, to visit; to eat, to drink; to be listed (as a candidate); to serve (in one's master's home); (in Kyoto) to go north; (after the -masu stem of a verb) indicates completion
to rise, to go up, to come up, to ascend, to be raised; to enter (esp. from outdoors), to come in, to go in; to enter (a school), to advance to the next grade; to get out (of water), to come ashore; to increase; to improve, to make progress; to be promoted, to advance; to be made (of profit, etc.); to occur (esp. of a favourable result); to be adequate (to cover expenses, etc.); to be finished, to be done, to be over; (of rain) to stop, to lift; to stop (working properly), to cut out, to give out, to die; to win (in a card game, etc.); to be arrested; to turn up (of evidence, etc.); to be deep fried; to be spoken loudly; to get stage fright; to be offered (to the gods, etc.); to go, to visit; to eat, to drink; to be listed (as a candidate); to serve (in one's master's home); (in Kyoto) to go north; (after the -masu stem of a verb) indicates completion	<b>挙がる<b> <br> あがる <br>[sound:k-2566_挙がる.mp3]
[sound:k-2566_挙がる.mp3]	to rise, to go up, to come up, to ascend, to be raised; to enter<br> <b>esp. from outdoors), to come in, to go in; to enter (a school), to advance to the next grade; to get out (of water), to come ashore; to increase; to improve, to make progress; to be promoted, to advance; to be made (of profit, etc.); to occur (esp. of a favourable result); to be adequate (to cover expenses, etc.); to be finished, to be done, to be over; (of rain) to stop, to lift; to stop (working properly), to cut out, to give out, to die; to win (in a card game, etc.); to be arrested; to turn up (of evidence, etc.); to be deep fried; to be spoken loudly; to get stage fright; to be offered (to the gods, etc.); to go, to visit; to eat, to drink; to be listed (as a candidate); to serve (in one's master's home); (in Kyoto) to go north; (after the -masu stem of a verb) indicates completion (挙がる</b> <br> (あがる)
<b>小説</b> <br> 彼女は毎晩小説を読むのが好きだ。	[sound:s-2566_彼女は毎晩小説を読むのが好きだ。.mp3] <br> かのじょはまいばんしょうせつをよむのがすきだ。 <br>She likes to read novels every night.
[sound:s-2566_彼女は毎晩小説を読むのが好きだ。.mp3]	<b>小説</b> <br> 彼女は毎晩小説を読むのが好きだ。<br> かのじょはまいばんしょうせつをよむのがすきだ <br>She likes to read novels every night.
選挙運動	[sound:k-2567_選挙運動.mp3]<br>せんきょうんどう <br> participation in election campaign
participation in election campaign	<b>選挙運動<b> <br> せんきょうんどう <br>[sound:k-2567_選挙運動.mp3]
[sound:k-2567_選挙運動.mp3]	participation in election campaign<br> <b>選挙運動</b> <br> (せんきょうんどう)
<b>解説</b> <br> テレビ番組でサッカーの試合を解説する。	[sound:s-2567_テレビ番組でサッカーの試合を解説する。.mp3] <br> テレビばんぐみでサッカーのしあいをかいせつする。 <br>Provide commentary on soccer matches on TV.
[sound:s-2567_テレビ番組でサッカーの試合を解説する。.mp3]	<b>解説</b> <br> テレビ番組でサッカーの試合を解説する。<br> テレビばんぐみでサッカーのしあいをかいせつする <br>Provide commentary on soccer matches on TV.
快挙	[sound:k-2568_快挙.mp3]<br>かいきょ <br> brilliant achievement
brilliant achievement	<b>快挙<b> <br> かいきょ <br>[sound:k-2568_快挙.mp3]
[sound:k-2568_快挙.mp3]	brilliant achievement<br> <b>快挙</b> <br> (かいきょ)
<b>説得</b> <br> 彼を説得してその計画を受け入れさせる。	[sound:s-2568_彼を説得してその計画を受け入れさせる。.mp3] <br> かれをせっとくしてそのけいかくをうけいれさせる。 <br>Persuade him to accept the plan.
[sound:s-2568_彼を説得してその計画を受け入れさせる。.mp3]	<b>説得</b> <br> 彼を説得してその計画を受け入れさせる。<br> かれをせっとくしてそのけいかくをうけいれさせる <br>Persuade him to accept the plan.
選挙権	[sound:k-2569_選挙権.mp3]<br>せんきょけん <br> suffrage
suffrage	<b>選挙権<b> <br> せんきょけん <br>[sound:k-2569_選挙権.mp3]
[sound:k-2569_選挙権.mp3]	suffrage<br> <b>選挙権</b> <br> (せんきょけん)
<b>伝説</b> <br> その場所には古い伝説が残っている。	[sound:s-2569_その場所には古い伝説が残っている。.mp3] <br> そのばしょにはふるいでんせつがのこっている。 <br>There are old legends remaining in that place.
[sound:s-2569_その場所には古い伝説が残っている。.mp3]	<b>伝説</b> <br> その場所には古い伝説が残っている。<br> そのばしょにはふるいでんせつがのこっている <br>There are old legends remaining in that place.
結果	[sound:k-2570_結果.mp3]<br>けっか <br> result, consequence
result, consequence	<b>結果<b> <br> けっか <br>[sound:k-2570_結果.mp3]
[sound:k-2570_結果.mp3]	result, consequence<br> <b>結果</b> <br> (けっか)
<b>遊説</b> <br> 政治家が選挙のために地域を遊説する。	[sound:s-2570_政治家が選挙のために地域を遊説する。.mp3] <br> せいじかがせんきょのためにちいきをゆうせつする。 <br>Politicians tour the region for elections.
[sound:s-2570_政治家が選挙のために地域を遊説する。.mp3]	<b>遊説</b> <br> 政治家が選挙のために地域を遊説する。<br> せいじかがせんきょのためにちいきをゆうせつする <br>Politicians tour the region for elections.
効果	[sound:k-2571_効果.mp3]<br>こうか <br> effect, effectiveness, efficacy, result
effect, effectiveness, efficacy, result	<b>効果<b> <br> こうか <br>[sound:k-2571_効果.mp3]
[sound:k-2571_効果.mp3]	effect, effectiveness, efficacy, result<br> <b>効果</b> <br> (こうか)
<b>力説</b> <br> 彼は自分の主張を力説した。	[sound:s-2571_彼は自分の主張を力説した。.mp3] <br> かれはじぶんのしゅちょうをりょくせつした。 <br>He strongly advocated his own opinion.
