There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
Last year, I started a new job.	<b>昨年、新しい仕事を始めました。</b> <br> さくねん、あたらしいしごとをはじめました。 <br><br> (昨年) <br> [sound:4c-s-昨年、新しい仕事を始めました。.mp3]
Sales increased compared to the previous year.	<b>前年より売上が増えました。</b> <br> ぜんねんよりうりあげがふえました。 <br><br> (前年) <br> [sound:4c-s-前年より売上が増えました。.mp3]
This museum is visited by one million people annually.	<b>この博物館は年間100万人が訪れます。</b> <br> このはくぶつかんはねんかんひゃくまんにんがおとずれます。 <br><br> (年間) <br> [sound:4c-s-この博物館は年間100万人が訪れます。.mp3]
I rested under a big tree.	<b>大きな木の下で休みました。</b> <br> おおきなきのしたでやすみました。 <br><br> (大きな) <br> [sound:4c-s-大きな木の下で休みました。.mp3]
The market is expanding.	<b>市場が拡大しています。</b> <br> しじょうがかくだいしています。 <br><br> (拡大) <br> [sound:4c-s-市場が拡大しています。.mp3]
This is the largest park in the city.	<b>この都市の最大の公園です。</b> <br> このとしのさいだいのこうえんです。 <br><br> (最大) <br> [sound:4c-s-この都市の最大の公園です。.mp3]
We celebrated his success greatly.	<b>彼の成功を大いに祝いました。</b> <br> かれのせいこうをおおいにいわいました。 <br><br> (大いに) <br> [sound:4c-s-彼の成功を大いに祝いました。.mp3]
There are ten cats.	<b>十匹の猫がいます。</b> <br> じゅっぴきのねこがいます。 <br><br> (十) <br> [sound:4c-s-十匹の猫がいます。.mp3]
There is a meeting at eleven o’clock.	<b>十一時に会議があります。</b> <br> じゅういちじにかいぎがあります。 <br><br> (十一) <br> [sound:4c-s-十一時に会議があります。.mp3]
November is the season of autumn leaves.	<b>十一月は紅葉の季節です。</b> <br> じゅういちがつはこうようのきせつです。 <br><br> (十一月) <br> [sound:4c-s-十一月は紅葉の季節です。.mp3]
I turned nineteen years old.	<b>十九歳になりました。</b> <br> じゅうきゅうさいになりました。 <br><br> (十九) <br> [sound:4c-s-十九歳になりました。.mp3]
There are two options.	<b>二つの選択肢があります。</b> <br> ふたつのせんたくしがあります。 <br><br> (二) <br> [sound:4c-s-二つの選択肢があります。.mp3]
I asked him two questions.	<b>彼に二つの質問をしました。</b> <br> かれにふたつのしつもんをしました。 <br><br> (二つ) <br> [sound:4c-s-彼に二つの質問をしました。.mp3]
I eat lunch at twelve o’clock.	<b>十二時に昼ごはんを食べます。</b> <br> じゅうにじにひるごはんをたべます。 <br><br> (十二) <br> [sound:4c-s-十二時に昼ごはんを食べます。.mp3]
December is the month of Christmas.	<b>十二月はクリスマスの月です。</b> <br> じゅうにがつはクリスマスのつきです。 <br><br> (十二月) <br> [sound:4c-s-十二月はクリスマスの月です。.mp3]
I will explain the basics of this plan.	<b>このプランの基本を説明します。</b> <br> このプランのきほんをせつめいします。 <br><br> (基本) <br> [sound:4c-s-このプランの基本を説明します。.mp3]
She is a Japanese friend.	<b>彼女は日本人の友達です。</b> <br> かのじょはにほんじんのともだちです。 <br><br> (日本人) <br> [sound:4c-s-彼女は日本人の友達です。.mp3]
The headquarters is in Tokyo.	<b>本社は東京にあります。</b> <br> ほんしゃはとうきょうにあります。 <br><br> (本社) <br> [sound:4c-s-本社は東京にあります。.mp3]
Please follow the headquarters' instructions.	<b>本部の指示に従ってください。</b> <br> ほんぶのしじにしたがってください。 <br><br> (本部) <br> [sound:4c-s-本部の指示に従ってください。.mp3]
Let's meet at the central station.	<b>中央駅で待ち合わせしましょう。</b> <br> ちゅうおうえきでまちあわせしましょう。 <br><br> (中央) <br> [sound:4c-s-中央駅で待ち合わせしましょう。.mp3]
China’s history is very long.	<b>中国の歴史はとても長いです。</b> <br> ちゅうごくのれきしはとてもながいです。 <br><br> (中国) <br> [sound:4c-s-中国の歴史はとても長いです。.mp3]
He is the central figure of the group.	<b>彼はグループの中心人物です。</b> <br> かれはグループのちゅうしんじんぶつです。 <br><br> (中心) <br> [sound:4c-s-彼はグループの中心人物です。.mp3]
Among them, I like this movie the most.	<b>中でもこの映画が一番好きです。</b> <br> なかでもこのえいががいちばんすきです。 <br><br> (中でも) <br> [sound:4c-s-中でもこの映画が一番好きです。.mp3]
He is the head of the company.	<b>彼は会社の長です。</b> <br> かれはかいしゃのちょうです。 <br><br> (長) <br> [sound:4c-s-彼は会社の長です。.mp3]
The committee chair held a meeting.	<b>委員長が会議を開きました。</b> <br> いいんちょうがかいぎをひらきました。 <br><br> (委員長) <br> [sound:4c-s-委員長が会議を開きました。.mp3]
The company president gave a speech.	<b>会社の会長がスピーチをしました。</b> <br> かいしゃのかいちょうがスピーチをしました。 <br><br> (会長) <br> [sound:4c-s-会社の会長がスピーチをしました。.mp3]
The chairman summarized the discussion.	<b>議長は議論をまとめました。</b> <br> ぎちょうはぎろんをまとめました。 <br><br> (議長) <br> [sound:4c-s-議長は議論をまとめました。.mp3]
He came up with a new idea.	<b>彼は新しいアイデアを出しました。</b> <br> かれはあたらしいアイデアをだしました。 <br><br> (出す) <br> [sound:4c-s-彼は新しいアイデアを出しました。.mp3]
He is from Tokyo.	<b>彼は東京出身です。</b> <br> かれはとうきょうしゅっしんです。 <br><br> (出身) <br> [sound:4c-s-彼は東京出身です。.mp3]
This country exports many products.	<b>この国は多くの商品を輸出しています。</b> <br> このくにはおおくのしょうひんをゆしゅつしています。 <br><br> (輸出) <br> [sound:4c-s-この国は多くの商品を輸出しています。.mp3]
He will participate in the tournament.	<b>彼は大会に出場します。</b> <br> かれはたいかいにしゅつじょうします。 <br><br> (出場) <br> [sound:4c-s-彼は大会に出場します。.mp3]
Three people went to watch a movie.	<b>三人で映画を見に行きました。</b> <br> さんにんでえいがをみにいきました。 <br><br> (三) <br> [sound:4c-s-三人で映画を見に行きました。.mp3]
There are three apples on the table.	<b>テーブルの上に三つのリンゴがあります。</b> <br> テーブルのうえにみっつのりんごがあります。 <br><br> (三つ) <br> [sound:4c-s-テーブルの上に三つのリンゴがあります。.mp3]
March is the beginning of spring.	<b>三月は春の始まりです。</b> <br> さんがつははるのはじまりです。 <br><br> (三月) <br> [sound:4c-s-三月は春の始まりです。.mp3]
All three people can speak Japanese.	<b>三人とも日本語を話せます。</b> <br> さんにんともにほんごをはなせます。 <br><br> (三人) <br> [sound:4c-s-三人とも日本語を話せます。.mp3]
The meeting and party will be held at the same time.	<b>会議とパーティーが同時に行われます。</b> <br> かいぎとパーティーがどうじにおこなわれます。 <br><br> (同時) <br> [sound:4c-s-会議とパーティーが同時に行われます。.mp3]
He is an employee of the same company.	<b>彼は同社の社員です。</b> <br> かれはどうしゃのしゃいんです。 <br><br> (同社) <br> [sound:4c-s-彼は同社の社員です。.mp3]
The meeting will be held on the same day.	<b>会議は同日に行われます。</b> <br> かいぎはどうじつにおこなわれます。 <br><br> (同日) <br> [sound:4c-s-会議は同日に行われます。.mp3]
We started a new project together.	<b>共同で新しいプロジェクトを始めました。</b> <br> きょうどうであたらしいプロジェクトをはじめました。 <br><br> (共同) <br> [sound:4c-s-共同で新しいプロジェクトを始めました。.mp3]
I read books when I have time.	<b>時間があるときに読書をします。</b> <br> じかんがあるときにどくしょをします。 <br><br> (時) <br> [sound:4c-s-時間があるときに読書をします。.mp3]
I spend a lot of time on work.	<b>仕事に多くの時間を使います。</b> <br> しごとにおおくのじかんをつかいます。 <br><br> (時間) <br> [sound:4c-s-仕事に多くの時間を使います。.mp3]
It's difficult to decide the timing for travel.	<b>旅行の時期を決めるのが難しいです。</b> <br> りょこうのじきをきめるのがむずかしいです。 <br><br> (時期) <br> [sound:4c-s-旅行の時期を決めるのが難しいです。.mp3]
He likes the history of the Edo period.	<b>彼は江戸時代の歴史が好きです。</b> <br> かれはえどじだいのれきしがすきです。 <br><br> (時代) <br> [sound:4c-s-彼は江戸時代の歴史が好きです。.mp3]
Changes in the political world are being noticed.	<b>政界の変化が注目されています。</b> <br> せいかいのへんかがちゅうもくされています。 <br><br> (政) <br> [sound:4c-s-政界の変化が注目されています。.mp3]
The role of administration is important.	<b>行政の役割は重要です。</b> <br> ぎょうせいのやくわりはじゅうようです。 <br><br> (行政) <br> [sound:4c-s-行政の役割は重要です。.mp3]
Fiscal reform is necessary.	<b>財政の改革が必要です。</b> <br> ざいせいのかいかくがひつようです。 <br><br> (財政) <br> [sound:4c-s-財政の改革が必要です。.mp3]
I'm interested in political news.	<b>政界のニュースに興味があります。</b> <br> せいかいのニュースにきょうみがあります。 <br><br> (政界) <br> [sound:4c-s-政界のニュースに興味があります。.mp3]
Let's talk about that matter in detail.	<b>その事について詳しく話しましょう。</b> <br> そのことについてくわしくはなしましょう。 <br><br> (事) <br> [sound:4c-s-その事について詳しく話しましょう。.mp3]
The organizer is preparing the event.	<b>幹事が会を準備しています。</b> <br> かんじがかいをじゅんびしています。 <br><br> (幹事) <br> [sound:4c-s-幹事が会を準備しています。.mp3]
I read the newspaper article.	<b>新聞の記事を読みました。</b> <br> しんぶんのきじをよみました。 <br><br> (記事) <br> [sound:4c-s-新聞の記事を読みました。.mp3]
Discussions on military affairs are ongoing.	<b>軍事についての議論が続いています。</b> <br> ぐんじについてのぎろんがつづいています。 <br><br> (軍事) <br> [sound:4c-s-軍事についての議論が続いています。.mp3]
He made the plan himself.	<b>彼が自ら計画を立てました。</b> <br> かれがみずからけいかくをたてました。 <br><br> (自ら) <br> [sound:4c-s-彼が自ら計画を立てました。.mp3]
The Self-Defense Forces are conducting rescue operations.	<b>自衛隊が救援活動を行っています。</b> <br> じえいたいがきゅうえんかつどうをおこなっています。 <br><br> (自衛隊) <br> [sound:4c-s-自衛隊が救援活動を行っています。.mp3]
It's important to believe in yourself.	<b>自分自身を信じることが大切です。</b> <br> じぶんじしんをしんじることがたいせつです。 <br><br> (自身) <br> [sound:4c-s-自分自身を信じることが大切です。.mp3]
I'm enjoying the beauty of nature.	<b>自然の美しさを楽しんでいます。</b> <br> しぜんのうつくしさをたのしんでいます。 <br><br> (自然) <br> [sound:4c-s-自然の美しさを楽しんでいます。.mp3]
He decided to carry out the project.	<b>彼はプロジェクトを行うことを決めました。</b> <br> かれはプロジェクトをおこなうことをきめました。 <br><br> (行う) <br> [sound:4c-s-彼はプロジェクトを行うことを決めました。.mp3]
He is running a new business.	<b>彼は新しい事業を行っています。</b> <br> かれはあたらしいじぎょうをおこなっています。 <br><br> (行) <br> [sound:4c-s-彼は新しい事業を行っています。.mp3]
I withdrew money at the bank.	<b>銀行でお金を引き出しました。</b> <br> ぎんこうでおかねをひきだしました。 <br><br> (銀行) <br> [sound:4c-s-銀行でお金を引き出しました。.mp3]
Administrative decisions affect citizens.	<b>行政の決定が市民に影響します。</b> <br> ぎょうせいのけっていがしみんにえいきょうします。 <br><br> (行政) <br> [sound:4c-s-行政の決定が市民に影響します。.mp3]
He established a new company.	<b>彼は新しい会社を設立しました。</b> <br> かれはあたらしいかいしゃをせつりつしました。 <br><br> (会社) <br> [sound:4c-s-彼は新しい会社を設立しました。.mp3]
I thought about social issues.	<b>社会の問題について考えました。</b> <br> しゃかいのもんだいについてかんがえました。 <br><br> (社会) <br> [sound:4c-s-社会の問題について考えました。.mp3]
The Socialist Party announced its policies.	<b>社会党が政策を発表しました。</b> <br> しゃかいとうがせいさくをはっぴょうしました。 <br><br> (社会党) <br> [sound:4c-s-社会党が政策を発表しました。.mp3]
The president is considering a new strategy.	<b>社長が新しい戦略を考えています。</b> <br> しゃちょうがあたらしいせんりゃくをかんがえています。 <br><br> (社長) <br> [sound:4c-s-社長が新しい戦略を考えています。.mp3]
His opinion is very interesting.	<b>彼の意見はとても興味深いです。</b> <br> かれのいけんはとてもきょうみぶかいです。 <br><br> (意見) <br> [sound:4c-s-彼の意見はとても興味深いです。.mp3]
A new policy was announced at the press conference.	<b>会見で新しい方針が発表されました。</b> <br> かいけんであたらしいほうしんがはっぴょうされました。 <br><br> (会見) <br> [sound:4c-s-会見で新しい方針が発表されました。.mp3]
We need to revise this plan.	<b>この計画を見直す必要があります。</b> <br> このけいかくをみなおすひつようがあります。 <br><br> (見直し) <br> [sound:4c-s-この計画を見直す必要があります。.mp3]
Everyone has their own perspective on history.	<b>歴史の見方は人それぞれです。</b> <br> れきしのみかたはひとそれぞれです。 <br><br> (見方) <br> [sound:4c-s-歴史の見方は人それぞれです。.mp3]
January is cold.	<b>一月は寒いです。</b> <br> いちがつはさむいです。 <br><br> (一月) <br> [sound:4c-s-一月は寒いです。.mp3]
A new school term begins in September.	<b>九月には新学期が始まります。</b> <br> くがつにはしんがっきがはじまります。 <br><br> (九月) <br> [sound:4c-s-九月には新学期が始まります。.mp3]
May has pleasant weather.	<b>五月は気候が快適です。</b> <br> ごがつはきこうがかいてきです。 <br><br> (五月) <br> [sound:4c-s-五月は気候が快適です。.mp3]
This month’s sales have increased.	<b>今月の売上が増えました。</b> <br> こんげつのうりあげがふえました。 <br><br> (今月) <br> [sound:4c-s-今月の売上が増えました。.mp3]
Let's divide the work efficiently.	<b>仕事を効率的に分けましょう。</b> <br> しごとをこうりつてきにわけましょう。 <br><br> (分け) <br> [sound:4c-s-仕事を効率的に分けましょう。.mp3]
I divided the team into two.	<b>チームを二つに分けました。</b> <br> チームをふたつにわけました。 <br><br> (分ける) <br> [sound:4c-s-チームを二つに分けました。.mp3]
I am chasing my own dreams.	<b>自分の夢を追い続けています。</b> <br> じぶんのゆめをおいつづけています。 <br><br> (自分) <br> [sound:4c-s-自分の夢を追い続けています。.mp3]
I read the important parts of this book.	<b>この本の重要な部分を読みました。</b> <br> このほんのじゅうようなぶぶんをよみました。 <br><br> (部分) <br> [sound:4c-s-この本の重要な部分を読みました。.mp3]
I will attend next week's meeting.	<b>来週の会議に出席します。</b> <br> らいしゅうのかいぎにしゅっせきします。 <br><br> (会議) <br> [sound:4c-s-来週の会議に出席します。.mp3]
Members of parliament are discussing the law.	<b>議員が法律を議論しています。</b> <br> ぎいんがほうりつをぎろんしています。 <br><br> (議員) <br> [sound:4c-s-議員が法律を議論しています。.mp3]
The new bill was discussed in the parliament.	<b>議会で新しい法案が審議されました。</b> <br> ぎかいであたらしいほうあんがしんぎされました。 <br><br> (議会) <br> [sound:4c-s-議会で新しい法案が審議されました。.mp3]
The chairperson led the meeting.	<b>議長が会議を進めました。</b> <br> ぎちょうがかいぎをすすめました。 <br><br> (議長) <br> [sound:4c-s-議長が会議を進めました。.mp3]
Let's talk after the meeting.	<b>会議の後で話しましょう。</b> <br> かいぎのあとではなしましょう。 <br><br> (後) <br> [sound:4c-s-会議の後で話しましょう。.mp3]
The weather will improve in the afternoon.	<b>午後には天気が良くなります。</b> <br> ごごにはてんきがよくなります。 <br><br> (午後) <br> [sound:4c-s-午後には天気が良くなります。.mp3]
There is someone behind him.	<b>彼の後ろに誰かがいます。</b> <br> かれのうしろにだれかがいます。 <br><br> (後ろ) <br> [sound:4c-s-彼の後ろに誰かがいます。.mp3]
Let's discuss future plans.	<b>今後の計画について話し合いましょう。</b> <br> こんごのけいかくについてはなしあいましょう。 <br><br> (今後) <br> [sound:4c-s-今後の計画について話し合いましょう。.mp3]
There is a meeting in the morning.	<b>午前中に会議があります。</b> <br> ごぜんちゅうにかいぎがあります。 <br><br> (午前) <br> [sound:4c-s-午前中に会議があります。.mp3]
Sales increased compared to the previous year.	<b>前年より売上が増えました。</b> <br> ぜんねんよりうりあげがふえました。 <br><br> (前年) <br> [sound:4c-s-前年より売上が増えました。.mp3]
The previous exam was difficult.	<b>前回の試験は難しかったです。</b> <br> ぜんかいのしけんはむずかしかったです。 <br><br> (前回) <br> [sound:4c-s-前回の試験は難しかったです。.mp3]
The premise of success is effort.	<b>成功の前提は努力です。</b> <br> せいこうのぜんていはどりょくです。 <br><br> (前提) <br> [sound:4c-s-成功の前提は努力です。.mp3]
The people's opinions should be respected.	<b>民の意見を尊重すべきです。</b> <br> たみのいけんをそんちょうすべきです。 <br><br> (民) <br> [sound:4c-s-民の意見を尊重すべきです。.mp3]
The citizens are seeking freedom.	<b>国民は自由を求めています。</b> <br> こくみんはじゆうをもとめています。 <br><br> (国民) <br> [sound:4c-s-国民は自由を求めています。.mp3]
The citizens carried out a park cleanup.	<b>市民が公園の清掃活動を行いました。</b> <br> しみんがこうえんのせいそうかつどうをおこないました。 <br><br> (市民) <br> [sound:4c-s-市民が公園の清掃活動を行いました。.mp3]
Residents discussed new regulations.	<b>住民が新しい規則について話し合いました。</b> <br> じゅうみんがあたらしいきそくについてはなしあいました。 <br><br> (住民) <br> [sound:4c-s-住民が新しい規則について話し合いました。.mp3]
Let's live life happily.	<b>人生を楽しく生きましょう。</b> <br> じんせいをたのしくいきましょう。 <br><br> (生きる) <br> [sound:4c-s-人生を楽しく生きましょう。.mp3]
Students are studying in the library.	<b>学生たちは図書館で勉強しています。</b> <br> がくせいたちはとしょかんでべんきょうしています。 <br><br> (学生) <br> [sound:4c-s-学生たちは図書館で勉強しています。.mp3]
I want to lead a healthy life.	<b>健康的な生活を送りたいです。</b> <br> けんこうてきなせいかつをおくりたいです。 <br><br> (生活) <br> [sound:4c-s-健康的な生活を送りたいです。.mp3]
The factory is producing new products.	<b>工場で新しい製品を生産しています。</b> <br> こうじょうであたらしいせいひんをせいさんしています。 <br><br> (生産) <br> [sound:4c-s-工場で新しい製品を生産しています。.mp3]
Please contact me.	<b>連絡をください。</b> <br> れんらくをください。 <br><br> (連) <br> [sound:4c-s-連絡をください。.mp3]
This story is related to environmental issues.	<b>この話は環境問題に関連しています。</b> <br> このはなしはかんきょうもんだいにかんれんしています。 <br><br> (関連) <br> [sound:4c-s-この話は環境問題に関連しています。.mp3]
The UN is working to resolve international issues.	<b>国連は国際問題を解決するために活動しています。</b> <br> こくれんはこくさいもんだいをかいけつするためにかつどうしています。 <br><br> (国連) <br> [sound:4c-s-国連は国際問題を解決するために活動しています。.mp3]
The allied forces began their operation.	<b>連合軍が作戦を開始しました。</b> <br> れんごうぐんがさくせんをかいししました。 <br><br> (連合) <br> [sound:4c-s-連合軍が作戦を開始しました。.mp3]
There are five questions.	<b>五つの質問があります。</b> <br> いつつのしつもんがあります。 <br><br> (五) <br> [sound:4c-s-五つの質問があります。.mp3]
May is a pleasant season.	<b>五月は気持ちの良い季節です。</b> <br> ごがつはきもちのよいきせつです。 <br><br> (五月) <br> [sound:4c-s-五月は気持ちの良い季節です。.mp3]
The meeting starts in fifteen minutes.	<b>十五分後に会議が始まります。</b> <br> じゅうごふんごにかいぎがはじまります。 <br><br> (十五) <br> [sound:4c-s-十五分後に会議が始まります。.mp3]
The Olympic Games will be held.	<b>五輪大会が開催されます。</b> <br> ごりんたいかいがかいさいされます。 <br><br> (五輪) <br> [sound:4c-s-五輪大会が開催されます。.mp3]
I announced a new idea.	<b>新しいアイデアを発表しました。</b> <br> あたらしいアイデアをはっぴょうしました。 <br><br> (発) <br> [sound:4c-s-新しいアイデアを発表しました。.mp3]
New technologies are being developed in this area.	<b>この地域で新しい技術が開発されています。</b> <br> このちいきであたらしいぎじゅつがかいはつされています。 <br><br> (開発) <br> [sound:4c-s-この地域で新しい技術が開発されています。.mp3]
There was an important statement in the meeting.	<b>会議で重要な発言がありました。</b> <br> かいぎでじゅうようなはつげんがありました。 <br><br> (発言) <br> [sound:4c-s-会議で重要な発言がありました。.mp3]
This magazine is published every month.	<b>この雑誌は毎月発行されます。</b> <br> このざっしはまいつきはっこうされます。 <br><br> (発行) <br> [sound:4c-s-この雑誌は毎月発行されます。.mp3]
There is a park between the two stations.	<b>二つの駅の間に公園があります。</b> <br> ふたつのえきのあいだにこうえんがあります。 <br><br> (間) <br> [sound:4c-s-二つの駅の間に公園があります。.mp3]
The train will arrive soon.	<b>間もなく電車が到着します。</b> <br> まもなくでんしゃがとうちゃくします。 <br><br> (間もなく) <br> [sound:4c-s-間もなく電車が到着します。.mp3]
The exam period is busy.	<b>試験期間中は忙しいです。</b> <br> しけんきかんちゅうはいそがしいです。 <br><br> (期間) <br> [sound:4c-s-試験期間中は忙しいです。.mp3]
I'm enjoying my free time.	<b>自由な時間を楽しんでいます。</b> <br> じゆうなじかんをたのしんでいます。 <br><br> (時間) <br> [sound:4c-s-自由な時間を楽しんでいます。.mp3]
We need to respond quickly to this problem.	<b>この問題に早く対応する必要があります。</b> <br> このもんだいにはやくたいおうするひつようがあります。 <br><br> (対応) <br> [sound:4c-s-この問題に早く対応する必要があります。.mp3]
New environmental measures are needed.	<b>新しい環境対策が必要です。</b> <br> あたらしいかんきょうたいさくがひつようです。 <br><br> (対策) <br> [sound:4c-s-新しい環境対策が必要です。.mp3]
The subject of this research is students.	<b>この研究の対象は学生です。</b> <br> このけんきゅうのたいしょうはがくせいです。 <br><br> (対象) <br> [sound:4c-s-この研究の対象は学生です。.mp3]
I am opposed to that opinion.	<b>私はその意見に反対です。</b> <br> わたしはそのいけんにはんたいです。 <br><br> (反対) <br> [sound:4c-s-私はその意見に反対です。.mp3]
His grades go up and down.	<b>彼の成績が上がったり下がったりします。</b> <br> かれのせいせきがあがったりさがったりします。 <br><br> (上がったり) <br> [sound:4c-s-彼の成績が上がったり下がったりします。.mp3]
This is the best record in history.	<b>これは史上最高の記録です。</b> <br> これはしじょうさいこうのきろくです。 <br><br> (史上) <br> [sound:4c-s-これは史上最高の記録です。.mp3]
This rule is effectively abolished.	<b>このルールは事実上、廃止されています。</b> <br> このルールはじじつじょう、はいしされています。 <br><br> (事実上) <br> [sound:4c-s-このルールは事実上、廃止されています。.mp3]
I raised the price.	<b>価格を上げました。</b> <br> かかくをあげました。 <br><br> (上げ) <br> [sound:4c-s-価格を上げました。.mp3]
I revised part of the report.	<b>報告の一部を修正しました。</b> <br> ほうこくのいちぶをしゅうせいしました。 <br><br> (一部) <br> [sound:4c-s-報告の一部を修正しました。.mp3]
Executives attended the meeting.	<b>幹部が会議に出席しました。</b> <br> かんぶがかいぎにしゅっせきしました。 <br><br> (幹部) <br> [sound:4c-s-幹部が会議に出席しました。.mp3]
The department head announced a new project.	<b>部長が新しいプロジェクトを発表しました。</b> <br> ぶちょうがあたらしいプロジェクトをはっぴょうしました。 <br><br> (部長) <br> [sound:4c-s-部長が新しいプロジェクトを発表しました。.mp3]
I will explain the important parts of this plan.	<b>この計画の重要な部分を説明します。</b> <br> このけいかくのじゅうようなぶぶんをせつめいします。 <br><br> (部分) <br> [sound:4c-s-この計画の重要な部分を説明します。.mp3]
The eastern sky is getting brighter.	<b>東の空が明るくなってきました。</b> <br> ひがしのそらがあかるくなってきました。 <br><br> (東) <br> [sound:4c-s-東の空が明るくなってきました。.mp3]
Tokyo is the capital of Japan.	<b>東京は日本の首都です。</b> <br> とうきょうはにほんのしゅとです。 <br><br> (東京) <br> [sound:4c-s-東京は日本の首都です。.mp3]
I'm reading Middle East news.	<b>中東のニュースを読んでいます。</b> <br> ちゅうとうのニュースをよんでいます。 <br><br> (中東) <br> [sound:4c-s-中東のニュースを読んでいます。.mp3]
The Tokai region has beautiful seas.	<b>東海地方は美しい海があります。</b> <br> とうかいちほうはうつくしいうみがあります。 <br><br> (東海) <br> [sound:4c-s-東海地方は美しい海があります。.mp3]
There are many patients in the hospital.	<b>病院には多くの患者がいます。</b> <br> びょういんにはおおくのかんじゃがいます。 <br><br> (患者) <br> [sound:4c-s-病院には多くの患者がいます。.mp3]
Stakeholders attended the meeting.	<b>関係者が会議に出席しました。</b> <br> かんけいしゃがかいぎにしゅっせきしました。 <br><br> (関係者) <br> [sound:4c-s-関係者が会議に出席しました。.mp3]
The journalist reported the incident.	<b>記者が事件を報道しました。</b> <br> きしゃがじけんをほうどうしました。 <br><br> (記者) <br> [sound:4c-s-記者が事件を報道しました。.mp3]
I signed a contract with the vendor.	<b>業者と契約を結びました。</b> <br> ぎょうしゃとけいやくをむすびました。 <br><br> (業者) <br> [sound:4c-s-業者と契約を結びました。.mp3]
The party’s new policy was announced.	<b>党の新しい方針が発表されました。</b> <br> とうのあたらしいほうしんがはっぴょうされました。 <br><br> (党) <br> [sound:4c-s-党の新しい方針が発表されました。.mp3]
I researched the Communist Party’s activities.	<b>共産党の活動について調べました。</b> <br> きょうさんとうのかつどうについてしらべました。 <br><br> (共産党) <br> [sound:4c-s-共産党の活動について調べました。.mp3]
