[sound:4c-k-同日.mp3]	<b>同日</b> <br> どうじつ <br> the same day
一般の人々が集まりました。 <br><br> (一般)	<b>いっぱんのひとびとがあつまりました。</b> <br> General people gathered. <br> [sound:4c-s-一般の人々が集まりました。.mp3]
General people gathered.	<b>一般の人々が集まりました。</b> <br> いっぱんのひとびとがあつまりました。 <br><br> (一般) <br> [sound:4c-s-一般の人々が集まりました。.mp3]
[sound:4c-k-一番.mp3]	<b>一番</b> <br> いちばん <br> best, first, number one; game, round, bout, fall, event (in a meet)
一番	<b>いちばん</b> <br> best, first, number one; game, round, bout, fall, event (in a meet) <br> [sound:4c-k-一番.mp3]
best, first, number one; game, round, bout, fall, event (in a meet)	<b>一番</b> <br> いちばん <br> [sound:4c-k-一番.mp3]
[sound:4c-s-彼が一番速いです。.mp3]	<b>彼が一番速いです。</b> <br> かれがいちばんはやいです。 <br><br> (一番) <br> He is the fastest.
彼が一番速いです。 <br><br> (一番)	<b>かれがいちばんはやいです。</b> <br> He is the fastest. <br> [sound:4c-s-彼が一番速いです。.mp3]
He is the fastest.	<b>彼が一番速いです。</b> <br> かれがいちばんはやいです。 <br><br> (一番) <br> [sound:4c-s-彼が一番速いです。.mp3]
[sound:4c-k-国.mp3]	<b>国</b> <br> くに <br> country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth
国	<b>くに</b> <br> country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth <br> [sound:4c-k-国.mp3]
country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth	<b>国</b> <br> くに <br> [sound:4c-k-国.mp3]
[sound:4c-s-この国は美しいです。.mp3]	<b>この国は美しいです。</b> <br> このくにはうつくしいです。 <br><br> (国) <br> This country is beautiful.
この国は美しいです。 <br><br> (国)	<b>このくにはうつくしいです。</b> <br> This country is beautiful. <br> [sound:4c-s-この国は美しいです。.mp3]
This country is beautiful.	<b>この国は美しいです。</b> <br> このくにはうつくしいです。 <br><br> (国) <br> [sound:4c-s-この国は美しいです。.mp3]
[sound:4c-k-外国.mp3]	<b>外国</b> <br> がいこく <br> foreign country
外国	<b>がいこく</b> <br> foreign country <br> [sound:4c-k-外国.mp3]
foreign country	<b>外国</b> <br> がいこく <br> [sound:4c-k-外国.mp3]
[sound:4c-s-外国に旅行したいです。.mp3]	<b>外国に旅行したいです。</b> <br> がいこくにりょこうしたいです。 <br><br> (外国) <br> I want to travel abroad.
外国に旅行したいです。 <br><br> (外国)	<b>がいこくにりょこうしたいです。</b> <br> I want to travel abroad. <br> [sound:4c-s-外国に旅行したいです。.mp3]
I want to travel abroad.	<b>外国に旅行したいです。</b> <br> がいこくにりょこうしたいです。 <br><br> (外国) <br> [sound:4c-s-外国に旅行したいです。.mp3]
[sound:4c-k-外国人.mp3]	<b>外国人</b> <br> がいこくじん <br> foreigner
外国人	<b>がいこくじん</b> <br> foreigner <br> [sound:4c-k-外国人.mp3]
foreigner	<b>外国人</b> <br> がいこくじん <br> [sound:4c-k-外国人.mp3]
[sound:4c-s-外国人が日本の文化を学んでいます。.mp3]	<b>外国人が日本の文化を学んでいます。</b> <br> がいこくじんがにほんのぶんかをまなんでいます。 <br><br> (外国人) <br> Foreigners are learning about Japanese culture.
外国人が日本の文化を学んでいます。 <br><br> (外国人)	<b>がいこくじんがにほんのぶんかをまなんでいます。</b> <br> Foreigners are learning about Japanese culture. <br> [sound:4c-s-外国人が日本の文化を学んでいます。.mp3]
Foreigners are learning about Japanese culture.	<b>外国人が日本の文化を学んでいます。</b> <br> がいこくじんがにほんのぶんかをまなんでいます。 <br><br> (外国人) <br> [sound:4c-s-外国人が日本の文化を学んでいます。.mp3]
[sound:4c-k-韓国.mp3]	<b>韓国</b> <br> かんこく <br> (South) Korea
韓国	<b>かんこく</b> <br> (South) Korea <br> [sound:4c-k-韓国.mp3]
(South) Korea	<b>韓国</b> <br> かんこく <br> [sound:4c-k-韓国.mp3]
[sound:4c-s-韓国料理が好きです。.mp3]	<b>韓国料理が好きです。</b> <br> かんこくりょうりがすきです。 <br><br> (韓国) <br> I like Korean food.
韓国料理が好きです。 <br><br> (韓国)	<b>かんこくりょうりがすきです。</b> <br> I like Korean food. <br> [sound:4c-s-韓国料理が好きです。.mp3]
I like Korean food.	<b>韓国料理が好きです。</b> <br> かんこくりょうりがすきです。 <br><br> (韓国) <br> [sound:4c-s-韓国料理が好きです。.mp3]
[sound:4c-k-委員会.mp3]	<b>委員会</b> <br> いいんかい <br> committee, commission, board, panel, committee meeting
委員会	<b>いいんかい</b> <br> committee, commission, board, panel, committee meeting <br> [sound:4c-k-委員会.mp3]
committee, commission, board, panel, committee meeting	<b>委員会</b> <br> いいんかい <br> [sound:4c-k-委員会.mp3]
[sound:4c-s-委員会が新しい規則を決めました。.mp3]	<b>委員会が新しい規則を決めました。</b> <br> いいんかいがあたらしいきそくをきめました。 <br><br> (委員会) <br> The committee decided on new rules.
委員会が新しい規則を決めました。 <br><br> (委員会)	<b>いいんかいがあたらしいきそくをきめました。</b> <br> The committee decided on new rules. <br> [sound:4c-s-委員会が新しい規則を決めました。.mp3]
The committee decided on new rules.	<b>委員会が新しい規則を決めました。</b> <br> いいんかいがあたらしいきそくをきめました。 <br><br> (委員会) <br> [sound:4c-s-委員会が新しい規則を決めました。.mp3]
[sound:4c-k-会員.mp3]	<b>会員</b> <br> かいいん <br> member, the membership
会員	<b>かいいん</b> <br> member, the membership <br> [sound:4c-k-会員.mp3]
member, the membership	<b>会員</b> <br> かいいん <br> [sound:4c-k-会員.mp3]
[sound:4c-s-会員限定のイベントがあります。.mp3]	<b>会員限定のイベントがあります。</b> <br> かいいんげんていのイベントがあります。 <br><br> (会員) <br> There is a members-only event.
会員限定のイベントがあります。 <br><br> (会員)	<b>かいいんげんていのイベントがあります。</b> <br> There is a members-only event. <br> [sound:4c-s-会員限定のイベントがあります。.mp3]
There is a members-only event.	<b>会員限定のイベントがあります。</b> <br> かいいんげんていのイベントがあります。 <br><br> (会員) <br> [sound:4c-s-会員限定のイベントがあります。.mp3]
[sound:4c-k-会議.mp3]	<b>会議</b> <br> かいぎ <br> meeting, conference, session, assembly, council, convention, congress
会議	<b>かいぎ</b> <br> meeting, conference, session, assembly, council, convention, congress <br> [sound:4c-k-会議.mp3]
meeting, conference, session, assembly, council, convention, congress	<b>会議</b> <br> かいぎ <br> [sound:4c-k-会議.mp3]
[sound:4c-s-来週の会議に参加します。.mp3]	<b>来週の会議に参加します。</b> <br> らいしゅうのかいぎにさんかします。 <br><br> (会議) <br> I will attend next week’s meeting.
来週の会議に参加します。 <br><br> (会議)	<b>らいしゅうのかいぎにさんかします。</b> <br> I will attend next week’s meeting. <br> [sound:4c-s-来週の会議に参加します。.mp3]
I will attend next week’s meeting.	<b>来週の会議に参加します。</b> <br> らいしゅうのかいぎにさんかします。 <br><br> (会議) <br> [sound:4c-s-来週の会議に参加します。.mp3]
[sound:4c-k-会見.mp3]	<b>会見</b> <br> かいけん <br> interview, audience
会見	<b>かいけん</b> <br> interview, audience <br> [sound:4c-k-会見.mp3]
interview, audience	<b>会見</b> <br> かいけん <br> [sound:4c-k-会見.mp3]
[sound:4c-s-首相が記者会見をしました。.mp3]	<b>首相が記者会見をしました。</b> <br> しゅしょうがきしゃかいけんをしました。 <br><br> (会見) <br> The Prime Minister held a press conference.
首相が記者会見をしました。 <br><br> (会見)	<b>しゅしょうがきしゃかいけんをしました。</b> <br> The Prime Minister held a press conference. <br> [sound:4c-s-首相が記者会見をしました。.mp3]
The Prime Minister held a press conference.	<b>首相が記者会見をしました。</b> <br> しゅしょうがきしゃかいけんをしました。 <br><br> (会見) <br> [sound:4c-s-首相が記者会見をしました。.mp3]
[sound:4c-k-外国人.mp3]	<b>外国人</b> <br> がいこくじん <br> foreigner
外国人	<b>がいこくじん</b> <br> foreigner <br> [sound:4c-k-外国人.mp3]
foreigner	<b>外国人</b> <br> がいこくじん <br> [sound:4c-k-外国人.mp3]
4c-s-外国人の観光客が増えています。.mp3	[sound:外国人の観光客が増えています。 ]	<b>がいこくじんのかんこうきゃくがふえています。</b> <br> 外国人 <br><br> () <br> The number of foreign tourists is increasing.
外国人	外国人の観光客が増えています。  <br><br> ()	<b>がいこくじんのかんこうきゃくがふえています。</b> <br> The number of foreign tourists is increasing. <br> [sound:4c-s-外国人の観光客が増えています。.mp3]
The number of foreign tourists is increasing.	外国人の観光客が増えています。 	<b>がいこくじんのかんこうきゃくがふえています。</b> <br> 外国人 <br><br> () <br> [sound:4c-s-外国人の観光客が増えています。.mp3]
[sound:4c-k-個人.mp3]	<b>個人</b> <br> こじん <br> individual, private person, personal, private
個人	<b>こじん</b> <br> individual, private person, personal, private <br> [sound:4c-k-個人.mp3]
individual, private person, personal, private	<b>個人</b> <br> こじん <br> [sound:4c-k-個人.mp3]
[sound:4c-s-個人の意見を大切にしてください。.mp3]	<b>個人の意見を大切にしてください。</b> <br> こじんのいけんをたいせつにしてください。 <br><br> (個人) <br> Please respect individual opinions.
個人の意見を大切にしてください。 <br><br> (個人)	<b>こじんのいけんをたいせつにしてください。</b> <br> Please respect individual opinions. <br> [sound:4c-s-個人の意見を大切にしてください。.mp3]
Please respect individual opinions.	<b>個人の意見を大切にしてください。</b> <br> こじんのいけんをたいせつにしてください。 <br><br> (個人) <br> [sound:4c-s-個人の意見を大切にしてください。.mp3]
[sound:4c-k-三人.mp3]	<b>三人</b> <br> さんにん, みたり <br> three people
三人	<b>さんにん, みたり</b> <br> three people <br> [sound:4c-k-三人.mp3]
three people	<b>三人</b> <br> さんにん, みたり <br> [sound:4c-k-三人.mp3]
[sound:4c-s-三人で旅行に行きます。.mp3]	<b>三人で旅行に行きます。</b> <br> さんにんでりょこうにいきます。 <br><br> (三人) <br> Three people are going on a trip.
三人で旅行に行きます。 <br><br> (三人)	<b>さんにんでりょこうにいきます。</b> <br> Three people are going on a trip. <br> [sound:4c-s-三人で旅行に行きます。.mp3]
Three people are going on a trip.	<b>三人で旅行に行きます。</b> <br> さんにんでりょこうにいきます。 <br><br> (三人) <br> [sound:4c-s-三人で旅行に行きます。.mp3]
[sound:4c-k-人間.mp3]	<b>人間</b> <br> にんげん <br> human being, man, person; character (of a person)
人間	<b>にんげん</b> <br> human being, man, person; character (of a person) <br> [sound:4c-k-人間.mp3]
human being, man, person; character (of a person)	<b>人間</b> <br> にんげん <br> [sound:4c-k-人間.mp3]
[sound:4c-s-人間は社会的な生き物です。.mp3]	<b>人間は社会的な生き物です。</b> <br> にんげんはしゃかいてきないきものです。 <br><br> (人間) <br> Humans are social creatures.
人間は社会的な生き物です。 <br><br> (人間)	<b>にんげんはしゃかいてきないきものです。</b> <br> Humans are social creatures. <br> [sound:4c-s-人間は社会的な生き物です。.mp3]
Humans are social creatures.	<b>人間は社会的な生き物です。</b> <br> にんげんはしゃかいてきないきものです。 <br><br> (人間) <br> [sound:4c-s-人間は社会的な生き物です。.mp3]
[sound:4c-k-年.mp3]	<b>年</b> <br> とし <br> year; age
年	<b>とし</b> <br> year; age <br> [sound:4c-k-年.mp3]
year; age	<b>年</b> <br> とし <br> [sound:4c-k-年.mp3]
[sound:4c-s-今年は良い年になりますように。.mp3]	<b>今年は良い年になりますように。</b> <br> ことしはよいとしになりますように。 <br><br> (年) <br> I hope this year will be a good one.
今年は良い年になりますように。 <br><br> (年)	<b>ことしはよいとしになりますように。</b> <br> I hope this year will be a good one. <br> [sound:4c-s-今年は良い年になりますように。.mp3]
I hope this year will be a good one.	<b>今年は良い年になりますように。</b> <br> ことしはよいとしになりますように。 <br><br> (年) <br> [sound:4c-s-今年は良い年になりますように。.mp3]
[sound:4c-k-昨年.mp3]	<b>昨年</b> <br> さくねん <br> last year
昨年	<b>さくねん</b> <br> last year <br> [sound:4c-k-昨年.mp3]
last year	<b>昨年</b> <br> さくねん <br> [sound:4c-k-昨年.mp3]
[sound:4c-s-昨年、新しい仕事を始めました。.mp3]	<b>昨年、新しい仕事を始めました。</b> <br> さくねん、あたらしいしごとをはじめました。 <br><br> (昨年) <br> Last year, I started a new job.
昨年、新しい仕事を始めました。 <br><br> (昨年)	<b>さくねん、あたらしいしごとをはじめました。</b> <br> Last year, I started a new job. <br> [sound:4c-s-昨年、新しい仕事を始めました。.mp3]
Last year, I started a new job.	<b>昨年、新しい仕事を始めました。</b> <br> さくねん、あたらしいしごとをはじめました。 <br><br> (昨年) <br> [sound:4c-s-昨年、新しい仕事を始めました。.mp3]
[sound:4c-k-前年.mp3]	<b>前年</b> <br> ぜんねん <br> the preceding year, the previous year, last year
前年	<b>ぜんねん</b> <br> the preceding year, the previous year, last year <br> [sound:4c-k-前年.mp3]
the preceding year, the previous year, last year	<b>前年</b> <br> ぜんねん <br> [sound:4c-k-前年.mp3]
[sound:4c-s-前年より売上が増えました。.mp3]	<b>前年より売上が増えました。</b> <br> ぜんねんよりうりあげがふえました。 <br><br> (前年) <br> Sales increased compared to the previous year.
前年より売上が増えました。 <br><br> (前年)	<b>ぜんねんよりうりあげがふえました。</b> <br> Sales increased compared to the previous year. <br> [sound:4c-s-前年より売上が増えました。.mp3]
Sales increased compared to the previous year.	<b>前年より売上が増えました。</b> <br> ぜんねんよりうりあげがふえました。 <br><br> (前年) <br> [sound:4c-s-前年より売上が増えました。.mp3]
[sound:4c-k-年間.mp3]	<b>年間</b> <br> ねんかん <br> year (period of)
年間	<b>ねんかん</b> <br> year (period of) <br> [sound:4c-k-年間.mp3]
year (period of)	<b>年間</b> <br> ねんかん <br> [sound:4c-k-年間.mp3]
[sound:4c-s-この博物館は年間100万人が訪れます。.mp3]	<b>この博物館は年間100万人が訪れます。</b> <br> このはくぶつかんはねんかんひゃくまんにんがおとずれます。 <br><br> (年間) <br> This museum is visited by one million people annually.
この博物館は年間100万人が訪れます。 <br><br> (年間)	<b>このはくぶつかんはねんかんひゃくまんにんがおとずれます。</b> <br> This museum is visited by one million people annually. <br> [sound:4c-s-この博物館は年間100万人が訪れます。.mp3]
This museum is visited by one million people annually.	<b>この博物館は年間100万人が訪れます。</b> <br> このはくぶつかんはねんかんひゃくまんにんがおとずれます。 <br><br> (年間) <br> [sound:4c-s-この博物館は年間100万人が訪れます。.mp3]
[sound:4c-k-大きな.mp3]	<b>大きな</b> <br> おおきな <br> big, large, great
大きな	<b>おおきな</b> <br> big, large, great <br> [sound:4c-k-大きな.mp3]
big, large, great	<b>大きな</b> <br> おおきな <br> [sound:4c-k-大きな.mp3]
[sound:4c-s-大きな木の下で休みました。.mp3]	<b>大きな木の下で休みました。</b> <br> おおきなきのしたでやすみました。 <br><br> (大きな) <br> I rested under a big tree.
大きな木の下で休みました。 <br><br> (大きな)	<b>おおきなきのしたでやすみました。</b> <br> I rested under a big tree. <br> [sound:4c-s-大きな木の下で休みました。.mp3]
I rested under a big tree.	<b>大きな木の下で休みました。</b> <br> おおきなきのしたでやすみました。 <br><br> (大きな) <br> [sound:4c-s-大きな木の下で休みました。.mp3]
[sound:4c-k-拡大.mp3]	<b>拡大</b> <br> かくだい <br> magnification, enlargement, expansion
拡大	<b>かくだい</b> <br> magnification, enlargement, expansion <br> [sound:4c-k-拡大.mp3]
magnification, enlargement, expansion	<b>拡大</b> <br> かくだい <br> [sound:4c-k-拡大.mp3]
[sound:4c-s-市場が拡大しています。.mp3]	<b>市場が拡大しています。</b> <br> しじょうがかくだいしています。 <br><br> (拡大) <br> The market is expanding.
市場が拡大しています。 <br><br> (拡大)	<b>しじょうがかくだいしています。</b> <br> The market is expanding. <br> [sound:4c-s-市場が拡大しています。.mp3]
The market is expanding.	<b>市場が拡大しています。</b> <br> しじょうがかくだいしています。 <br><br> (拡大) <br> [sound:4c-s-市場が拡大しています。.mp3]
[sound:4c-k-最大.mp3]	<b>最大</b> <br> さいだい <br> greatest, largest, maximum
最大	<b>さいだい</b> <br> greatest, largest, maximum <br> [sound:4c-k-最大.mp3]
greatest, largest, maximum	<b>最大</b> <br> さいだい <br> [sound:4c-k-最大.mp3]
[sound:4c-s-この都市の最大の公園です。.mp3]	<b>この都市の最大の公園です。</b> <br> このとしのさいだいのこうえんです。 <br><br> (最大) <br> This is the largest park in the city.
この都市の最大の公園です。 <br><br> (最大)	<b>このとしのさいだいのこうえんです。</b> <br> This is the largest park in the city. <br> [sound:4c-s-この都市の最大の公園です。.mp3]
This is the largest park in the city.	<b>この都市の最大の公園です。</b> <br> このとしのさいだいのこうえんです。 <br><br> (最大) <br> [sound:4c-s-この都市の最大の公園です。.mp3]
[sound:4c-k-大いに.mp3]	<b>大いに</b> <br> おおいに <br> very, much, greatly, a lot of
大いに	<b>おおいに</b> <br> very, much, greatly, a lot of <br> [sound:4c-k-大いに.mp3]
very, much, greatly, a lot of	<b>大いに</b> <br> おおいに <br> [sound:4c-k-大いに.mp3]
[sound:4c-s-彼の成功を大いに祝いました。.mp3]	<b>彼の成功を大いに祝いました。</b> <br> かれのせいこうをおおいにいわいました。 <br><br> (大いに) <br> We celebrated his success greatly.
彼の成功を大いに祝いました。 <br><br> (大いに)	<b>かれのせいこうをおおいにいわいました。</b> <br> We celebrated his success greatly. <br> [sound:4c-s-彼の成功を大いに祝いました。.mp3]
We celebrated his success greatly.	<b>彼の成功を大いに祝いました。</b> <br> かれのせいこうをおおいにいわいました。 <br><br> (大いに) <br> [sound:4c-s-彼の成功を大いに祝いました。.mp3]
[sound:4c-k-十.mp3]	<b>十</b> <br> じゅう, と, とお <br> 10, ten
十	<b>じゅう, と, とお</b> <br> 10, ten <br> [sound:4c-k-十.mp3]
10, ten	<b>十</b> <br> じゅう, と, とお <br> [sound:4c-k-十.mp3]
[sound:4c-s-十匹の猫がいます。.mp3]	<b>十匹の猫がいます。</b> <br> じゅっぴきのねこがいます。 <br><br> (十) <br> There are ten cats.
十匹の猫がいます。 <br><br> (十)	<b>じゅっぴきのねこがいます。</b> <br> There are ten cats. <br> [sound:4c-s-十匹の猫がいます。.mp3]
There are ten cats.	<b>十匹の猫がいます。</b> <br> じゅっぴきのねこがいます。 <br><br> (十) <br> [sound:4c-s-十匹の猫がいます。.mp3]
[sound:4c-k-十一.mp3]	<b>十一</b> <br> じゅういち, ジュウイチ <br> 11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)
十一	<b>じゅういち, ジュウイチ</b> <br> 11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax) <br> [sound:4c-k-十一.mp3]
11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)	<b>十一</b> <br> じゅういち, ジュウイチ <br> [sound:4c-k-十一.mp3]
[sound:4c-s-十一時に会議があります。.mp3]	<b>十一時に会議があります。</b> <br> じゅういちじにかいぎがあります。 <br><br> (十一) <br> There is a meeting at eleven o’clock.
十一時に会議があります。 <br><br> (十一)	<b>じゅういちじにかいぎがあります。</b> <br> There is a meeting at eleven o’clock. <br> [sound:4c-s-十一時に会議があります。.mp3]
There is a meeting at eleven o’clock.	<b>十一時に会議があります。</b> <br> じゅういちじにかいぎがあります。 <br><br> (十一) <br> [sound:4c-s-十一時に会議があります。.mp3]
[sound:4c-k-十一月.mp3]	<b>十一月</b> <br> じゅういちがつ <br> November
十一月	<b>じゅういちがつ</b> <br> November <br> [sound:4c-k-十一月.mp3]
November	<b>十一月</b> <br> じゅういちがつ <br> [sound:4c-k-十一月.mp3]
[sound:4c-s-十一月は紅葉の季節です。.mp3]	<b>十一月は紅葉の季節です。</b> <br> じゅういちがつはこうようのきせつです。 <br><br> (十一月) <br> November is the season of autumn leaves.
十一月は紅葉の季節です。 <br><br> (十一月)	<b>じゅういちがつはこうようのきせつです。</b> <br> November is the season of autumn leaves. <br> [sound:4c-s-十一月は紅葉の季節です。.mp3]
November is the season of autumn leaves.	<b>十一月は紅葉の季節です。</b> <br> じゅういちがつはこうようのきせつです。 <br><br> (十一月) <br> [sound:4c-s-十一月は紅葉の季節です。.mp3]
[sound:4c-k-十九.mp3]	<b>十九</b> <br> じゅうきゅう <br> 19, nineteen
十九	<b>じゅうきゅう</b> <br> 19, nineteen <br> [sound:4c-k-十九.mp3]
19, nineteen	<b>十九</b> <br> じゅうきゅう <br> [sound:4c-k-十九.mp3]
[sound:4c-s-十九歳になりました。.mp3]	<b>十九歳になりました。</b> <br> じゅうきゅうさいになりました。 <br><br> (十九) <br> I turned nineteen years old.
十九歳になりました。 <br><br> (十九)	<b>じゅうきゅうさいになりました。</b> <br> I turned nineteen years old. <br> [sound:4c-s-十九歳になりました。.mp3]
I turned nineteen years old.	<b>十九歳になりました。</b> <br> じゅうきゅうさいになりました。 <br><br> (十九) <br> [sound:4c-s-十九歳になりました。.mp3]
[sound:4c-k-二.mp3]	<b>二</b> <br> に, ふた, ふ, ふう <br> two
二	<b>に, ふた, ふ, ふう</b> <br> two <br> [sound:4c-k-二.mp3]
two	<b>二</b> <br> に, ふた, ふ, ふう <br> [sound:4c-k-二.mp3]
[sound:4c-s-二つの選択肢があります。.mp3]	<b>二つの選択肢があります。</b> <br> ふたつのせんたくしがあります。 <br><br> (二) <br> There are two options.
二つの選択肢があります。 <br><br> (二)	<b>ふたつのせんたくしがあります。</b> <br> There are two options. <br> [sound:4c-s-二つの選択肢があります。.mp3]
There are two options.	<b>二つの選択肢があります。</b> <br> ふたつのせんたくしがあります。 <br><br> (二) <br> [sound:4c-s-二つの選択肢があります。.mp3]
[sound:4c-k-二つ.mp3]	<b>二つ</b> <br> ふたつ <br> two
二つ	<b>ふたつ</b> <br> two <br> [sound:4c-k-二つ.mp3]
two	<b>二つ</b> <br> ふたつ <br> [sound:4c-k-二つ.mp3]
[sound:4c-s-彼に二つの質問をしました。.mp3]	<b>彼に二つの質問をしました。</b> <br> かれにふたつのしつもんをしました。 <br><br> (二つ) <br> I asked him two questions.
彼に二つの質問をしました。 <br><br> (二つ)	<b>かれにふたつのしつもんをしました。</b> <br> I asked him two questions. <br> [sound:4c-s-彼に二つの質問をしました。.mp3]
I asked him two questions.	<b>彼に二つの質問をしました。</b> <br> かれにふたつのしつもんをしました。 <br><br> (二つ) <br> [sound:4c-s-彼に二つの質問をしました。.mp3]
[sound:4c-k-十二.mp3]	<b>十二</b> <br> じゅうに <br> 12, twelve
十二	<b>じゅうに</b> <br> 12, twelve <br> [sound:4c-k-十二.mp3]
12, twelve	<b>十二</b> <br> じゅうに <br> [sound:4c-k-十二.mp3]
[sound:4c-s-十二時に昼ごはんを食べます。.mp3]	<b>十二時に昼ごはんを食べます。</b> <br> じゅうにじにひるごはんをたべます。 <br><br> (十二) <br> I eat lunch at twelve o’clock.
十二時に昼ごはんを食べます。 <br><br> (十二)	<b>じゅうにじにひるごはんをたべます。</b> <br> I eat lunch at twelve o’clock. <br> [sound:4c-s-十二時に昼ごはんを食べます。.mp3]
I eat lunch at twelve o’clock.	<b>十二時に昼ごはんを食べます。</b> <br> じゅうにじにひるごはんをたべます。 <br><br> (十二) <br> [sound:4c-s-十二時に昼ごはんを食べます。.mp3]
[sound:4c-k-十二月.mp3]	<b>十二月</b> <br> じゅうにがつ <br> December
十二月	<b>じゅうにがつ</b> <br> December <br> [sound:4c-k-十二月.mp3]
December	<b>十二月</b> <br> じゅうにがつ <br> [sound:4c-k-十二月.mp3]
