同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
五輪大会が開催されます。 <br><br> (五輪)	<b>ごりんたいかいがかいさいされます。</b> <br> The Olympic Games will be held. <br> [sound:4c-s-五輪大会が開催されます。.mp3]
新しいアイデアを発表しました。 <br><br> (発)	<b>あたらしいアイデアをはっぴょうしました。</b> <br> I announced a new idea. <br> [sound:4c-s-新しいアイデアを発表しました。.mp3]
この地域で新しい技術が開発されています。 <br><br> (開発)	<b>このちいきであたらしいぎじゅつがかいはつされています。</b> <br> New technologies are being developed in this area. <br> [sound:4c-s-この地域で新しい技術が開発されています。.mp3]
会議で重要な発言がありました。 <br><br> (発言)	<b>かいぎでじゅうようなはつげんがありました。</b> <br> There was an important statement in the meeting. <br> [sound:4c-s-会議で重要な発言がありました。.mp3]
この雑誌は毎月発行されます。 <br><br> (発行)	<b>このざっしはまいつきはっこうされます。</b> <br> This magazine is published every month. <br> [sound:4c-s-この雑誌は毎月発行されます。.mp3]
二つの駅の間に公園があります。 <br><br> (間)	<b>ふたつのえきのあいだにこうえんがあります。</b> <br> There is a park between the two stations. <br> [sound:4c-s-二つの駅の間に公園があります。.mp3]
間もなく電車が到着します。 <br><br> (間もなく)	<b>まもなくでんしゃがとうちゃくします。</b> <br> The train will arrive soon. <br> [sound:4c-s-間もなく電車が到着します。.mp3]
試験期間中は忙しいです。 <br><br> (期間)	<b>しけんきかんちゅうはいそがしいです。</b> <br> The exam period is busy. <br> [sound:4c-s-試験期間中は忙しいです。.mp3]
自由な時間を楽しんでいます。 <br><br> (時間)	<b>じゆうなじかんをたのしんでいます。</b> <br> I'm enjoying my free time. <br> [sound:4c-s-自由な時間を楽しんでいます。.mp3]
この問題に早く対応する必要があります。 <br><br> (対応)	<b>このもんだいにはやくたいおうするひつようがあります。</b> <br> We need to respond quickly to this problem. <br> [sound:4c-s-この問題に早く対応する必要があります。.mp3]
新しい環境対策が必要です。 <br><br> (対策)	<b>あたらしいかんきょうたいさくがひつようです。</b> <br> New environmental measures are needed. <br> [sound:4c-s-新しい環境対策が必要です。.mp3]
この研究の対象は学生です。 <br><br> (対象)	<b>このけんきゅうのたいしょうはがくせいです。</b> <br> The subject of this research is students. <br> [sound:4c-s-この研究の対象は学生です。.mp3]
私はその意見に反対です。 <br><br> (反対)	<b>わたしはそのいけんにはんたいです。</b> <br> I am opposed to that opinion. <br> [sound:4c-s-私はその意見に反対です。.mp3]
彼の成績が上がったり下がったりします。 <br><br> (上がったり)	<b>かれのせいせきがあがったりさがったりします。</b> <br> His grades go up and down. <br> [sound:4c-s-彼の成績が上がったり下がったりします。.mp3]
これは史上最高の記録です。 <br><br> (史上)	<b>これはしじょうさいこうのきろくです。</b> <br> This is the best record in history. <br> [sound:4c-s-これは史上最高の記録です。.mp3]
このルールは事実上、廃止されています。 <br><br> (事実上)	<b>このルールはじじつじょう、はいしされています。</b> <br> This rule is effectively abolished. <br> [sound:4c-s-このルールは事実上、廃止されています。.mp3]
価格を上げました。 <br><br> (上げ)	<b>かかくをあげました。</b> <br> I raised the price. <br> [sound:4c-s-価格を上げました。.mp3]
報告の一部を修正しました。 <br><br> (一部)	<b>ほうこくのいちぶをしゅうせいしました。</b> <br> I revised part of the report. <br> [sound:4c-s-報告の一部を修正しました。.mp3]
幹部が会議に出席しました。 <br><br> (幹部)	<b>かんぶがかいぎにしゅっせきしました。</b> <br> Executives attended the meeting. <br> [sound:4c-s-幹部が会議に出席しました。.mp3]
部長が新しいプロジェクトを発表しました。 <br><br> (部長)	<b>ぶちょうがあたらしいプロジェクトをはっぴょうしました。</b> <br> The department head announced a new project. <br> [sound:4c-s-部長が新しいプロジェクトを発表しました。.mp3]
この計画の重要な部分を説明します。 <br><br> (部分)	<b>このけいかくのじゅうようなぶぶんをせつめいします。</b> <br> I will explain the important parts of this plan. <br> [sound:4c-s-この計画の重要な部分を説明します。.mp3]
東の空が明るくなってきました。 <br><br> (東)	<b>ひがしのそらがあかるくなってきました。</b> <br> The eastern sky is getting brighter. <br> [sound:4c-s-東の空が明るくなってきました。.mp3]
東京は日本の首都です。 <br><br> (東京)	<b>とうきょうはにほんのしゅとです。</b> <br> Tokyo is the capital of Japan. <br> [sound:4c-s-東京は日本の首都です。.mp3]
中東のニュースを読んでいます。 <br><br> (中東)	<b>ちゅうとうのニュースをよんでいます。</b> <br> I'm reading Middle East news. <br> [sound:4c-s-中東のニュースを読んでいます。.mp3]
東海地方は美しい海があります。 <br><br> (東海)	<b>とうかいちほうはうつくしいうみがあります。</b> <br> The Tokai region has beautiful seas. <br> [sound:4c-s-東海地方は美しい海があります。.mp3]
病院には多くの患者がいます。 <br><br> (患者)	<b>びょういんにはおおくのかんじゃがいます。</b> <br> There are many patients in the hospital. <br> [sound:4c-s-病院には多くの患者がいます。.mp3]
関係者が会議に出席しました。 <br><br> (関係者)	<b>かんけいしゃがかいぎにしゅっせきしました。</b> <br> Stakeholders attended the meeting. <br> [sound:4c-s-関係者が会議に出席しました。.mp3]
記者が事件を報道しました。 <br><br> (記者)	<b>きしゃがじけんをほうどうしました。</b> <br> The journalist reported the incident. <br> [sound:4c-s-記者が事件を報道しました。.mp3]
業者と契約を結びました。 <br><br> (業者)	<b>ぎょうしゃとけいやくをむすびました。</b> <br> I signed a contract with the vendor. <br> [sound:4c-s-業者と契約を結びました。.mp3]
党の新しい方針が発表されました。 <br><br> (党)	<b>とうのあたらしいほうしんがはっぴょうされました。</b> <br> The party’s new policy was announced. <br> [sound:4c-s-党の新しい方針が発表されました。.mp3]
共産党の活動について調べました。 <br><br> (共産党)	<b>きょうさんとうのかつどうについてしらべました。</b> <br> I researched the Communist Party’s activities. <br> [sound:4c-s-共産党の活動について調べました。.mp3]
