[sound:4c-s-同日に会議があります。.mp3]	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> There is a meeting on the same day.
[sound:4c-s-三人で旅行に行きます。.mp3]	<b>三人で旅行に行きます。</b> <br> さんにんでりょこうにいきます。 <br><br> (三人) <br> Three people are going on a trip.
[sound:4c-s-人間は社会的な生き物です。.mp3]	<b>人間は社会的な生き物です。</b> <br> にんげんはしゃかいてきないきものです。 <br><br> (人間) <br> Humans are social creatures.
[sound:4c-s-今年は良い年になりますように。.mp3]	<b>今年は良い年になりますように。</b> <br> ことしはよいとしになりますように。 <br><br> (年) <br> I hope this year will be a good one.
[sound:4c-s-昨年、新しい仕事を始めました。.mp3]	<b>昨年、新しい仕事を始めました。</b> <br> さくねん、あたらしいしごとをはじめました。 <br><br> (昨年) <br> Last year, I started a new job.
[sound:4c-s-前年より売上が増えました。.mp3]	<b>前年より売上が増えました。</b> <br> ぜんねんよりうりあげがふえました。 <br><br> (前年) <br> Sales increased compared to the previous year.
[sound:4c-s-この博物館は年間100万人が訪れます。.mp3]	<b>この博物館は年間100万人が訪れます。</b> <br> このはくぶつかんはねんかんひゃくまんにんがおとずれます。 <br><br> (年間) <br> This museum is visited by one million people annually.
[sound:4c-s-大きな木の下で休みました。.mp3]	<b>大きな木の下で休みました。</b> <br> おおきなきのしたでやすみました。 <br><br> (大きな) <br> I rested under a big tree.
[sound:4c-s-市場が拡大しています。.mp3]	<b>市場が拡大しています。</b> <br> しじょうがかくだいしています。 <br><br> (拡大) <br> The market is expanding.
[sound:4c-s-この都市の最大の公園です。.mp3]	<b>この都市の最大の公園です。</b> <br> このとしのさいだいのこうえんです。 <br><br> (最大) <br> This is the largest park in the city.
[sound:4c-s-彼の成功を大いに祝いました。.mp3]	<b>彼の成功を大いに祝いました。</b> <br> かれのせいこうをおおいにいわいました。 <br><br> (大いに) <br> We celebrated his success greatly.
[sound:4c-s-十匹の猫がいます。.mp3]	<b>十匹の猫がいます。</b> <br> じゅっぴきのねこがいます。 <br><br> (十) <br> There are ten cats.
[sound:4c-s-十一時に会議があります。.mp3]	<b>十一時に会議があります。</b> <br> じゅういちじにかいぎがあります。 <br><br> (十一) <br> There is a meeting at eleven o’clock.
[sound:4c-s-十一月は紅葉の季節です。.mp3]	<b>十一月は紅葉の季節です。</b> <br> じゅういちがつはこうようのきせつです。 <br><br> (十一月) <br> November is the season of autumn leaves.
[sound:4c-s-十九歳になりました。.mp3]	<b>十九歳になりました。</b> <br> じゅうきゅうさいになりました。 <br><br> (十九) <br> I turned nineteen years old.
[sound:4c-s-二つの選択肢があります。.mp3]	<b>二つの選択肢があります。</b> <br> ふたつのせんたくしがあります。 <br><br> (二) <br> There are two options.
[sound:4c-s-彼に二つの質問をしました。.mp3]	<b>彼に二つの質問をしました。</b> <br> かれにふたつのしつもんをしました。 <br><br> (二つ) <br> I asked him two questions.
[sound:4c-s-十二時に昼ごはんを食べます。.mp3]	<b>十二時に昼ごはんを食べます。</b> <br> じゅうにじにひるごはんをたべます。 <br><br> (十二) <br> I eat lunch at twelve o’clock.
[sound:4c-s-十二月はクリスマスの月です。.mp3]	<b>十二月はクリスマスの月です。</b> <br> じゅうにがつはクリスマスのつきです。 <br><br> (十二月) <br> December is the month of Christmas.
[sound:4c-s-このプランの基本を説明します。.mp3]	<b>このプランの基本を説明します。</b> <br> このプランのきほんをせつめいします。 <br><br> (基本) <br> I will explain the basics of this plan.
[sound:4c-s-彼女は日本人の友達です。.mp3]	<b>彼女は日本人の友達です。</b> <br> かのじょはにほんじんのともだちです。 <br><br> (日本人) <br> She is a Japanese friend.
[sound:4c-s-本社は東京にあります。.mp3]	<b>本社は東京にあります。</b> <br> ほんしゃはとうきょうにあります。 <br><br> (本社) <br> The headquarters is in Tokyo.
[sound:4c-s-本部の指示に従ってください。.mp3]	<b>本部の指示に従ってください。</b> <br> ほんぶのしじにしたがってください。 <br><br> (本部) <br> Please follow the headquarters' instructions.
[sound:4c-s-中央駅で待ち合わせしましょう。.mp3]	<b>中央駅で待ち合わせしましょう。</b> <br> ちゅうおうえきでまちあわせしましょう。 <br><br> (中央) <br> Let's meet at the central station.
[sound:4c-s-中国の歴史はとても長いです。.mp3]	<b>中国の歴史はとても長いです。</b> <br> ちゅうごくのれきしはとてもながいです。 <br><br> (中国) <br> China’s history is very long.
[sound:4c-s-彼はグループの中心人物です。.mp3]	<b>彼はグループの中心人物です。</b> <br> かれはグループのちゅうしんじんぶつです。 <br><br> (中心) <br> He is the central figure of the group.
[sound:4c-s-中でもこの映画が一番好きです。.mp3]	<b>中でもこの映画が一番好きです。</b> <br> なかでもこのえいががいちばんすきです。 <br><br> (中でも) <br> Among them, I like this movie the most.
[sound:4c-s-彼は会社の長です。.mp3]	<b>彼は会社の長です。</b> <br> かれはかいしゃのちょうです。 <br><br> (長) <br> He is the head of the company.
[sound:4c-s-委員長が会議を開きました。.mp3]	<b>委員長が会議を開きました。</b> <br> いいんちょうがかいぎをひらきました。 <br><br> (委員長) <br> The committee chair held a meeting.
[sound:4c-s-会社の会長がスピーチをしました。.mp3]	<b>会社の会長がスピーチをしました。</b> <br> かいしゃのかいちょうがスピーチをしました。 <br><br> (会長) <br> The company president gave a speech.
[sound:4c-s-議長は議論をまとめました。.mp3]	<b>議長は議論をまとめました。</b> <br> ぎちょうはぎろんをまとめました。 <br><br> (議長) <br> The chairman summarized the discussion.
[sound:4c-s-彼は新しいアイデアを出しました。.mp3]	<b>彼は新しいアイデアを出しました。</b> <br> かれはあたらしいアイデアをだしました。 <br><br> (出す) <br> He came up with a new idea.
[sound:4c-s-彼は東京出身です。.mp3]	<b>彼は東京出身です。</b> <br> かれはとうきょうしゅっしんです。 <br><br> (出身) <br> He is from Tokyo.
[sound:4c-s-この国は多くの商品を輸出しています。.mp3]	<b>この国は多くの商品を輸出しています。</b> <br> このくにはおおくのしょうひんをゆしゅつしています。 <br><br> (輸出) <br> This country exports many products.
[sound:4c-s-彼は大会に出場します。.mp3]	<b>彼は大会に出場します。</b> <br> かれはたいかいにしゅつじょうします。 <br><br> (出場) <br> He will participate in the tournament.
[sound:4c-s-三人で映画を見に行きました。.mp3]	<b>三人で映画を見に行きました。</b> <br> さんにんでえいがをみにいきました。 <br><br> (三) <br> Three people went to watch a movie.
[sound:4c-s-テーブルの上に三つのリンゴがあります。.mp3]	<b>テーブルの上に三つのリンゴがあります。</b> <br> テーブルのうえにみっつのりんごがあります。 <br><br> (三つ) <br> There are three apples on the table.
[sound:4c-s-三月は春の始まりです。.mp3]	<b>三月は春の始まりです。</b> <br> さんがつははるのはじまりです。 <br><br> (三月) <br> March is the beginning of spring.
[sound:4c-s-三人とも日本語を話せます。.mp3]	<b>三人とも日本語を話せます。</b> <br> さんにんともにほんごをはなせます。 <br><br> (三人) <br> All three people can speak Japanese.
[sound:4c-s-会議とパーティーが同時に行われます。.mp3]	<b>会議とパーティーが同時に行われます。</b> <br> かいぎとパーティーがどうじにおこなわれます。 <br><br> (同時) <br> The meeting and party will be held at the same time.
[sound:4c-s-彼は同社の社員です。.mp3]	<b>彼は同社の社員です。</b> <br> かれはどうしゃのしゃいんです。 <br><br> (同社) <br> He is an employee of the same company.
[sound:4c-s-会議は同日に行われます。.mp3]	<b>会議は同日に行われます。</b> <br> かいぎはどうじつにおこなわれます。 <br><br> (同日) <br> The meeting will be held on the same day.
[sound:4c-s-共同で新しいプロジェクトを始めました。.mp3]	<b>共同で新しいプロジェクトを始めました。</b> <br> きょうどうであたらしいプロジェクトをはじめました。 <br><br> (共同) <br> We started a new project together.
[sound:4c-s-時間があるときに読書をします。.mp3]	<b>時間があるときに読書をします。</b> <br> じかんがあるときにどくしょをします。 <br><br> (時) <br> I read books when I have time.
[sound:4c-s-仕事に多くの時間を使います。.mp3]	<b>仕事に多くの時間を使います。</b> <br> しごとにおおくのじかんをつかいます。 <br><br> (時間) <br> I spend a lot of time on work.
[sound:4c-s-旅行の時期を決めるのが難しいです。.mp3]	<b>旅行の時期を決めるのが難しいです。</b> <br> りょこうのじきをきめるのがむずかしいです。 <br><br> (時期) <br> It's difficult to decide the timing for travel.
[sound:4c-s-彼は江戸時代の歴史が好きです。.mp3]	<b>彼は江戸時代の歴史が好きです。</b> <br> かれはえどじだいのれきしがすきです。 <br><br> (時代) <br> He likes the history of the Edo period.
[sound:4c-s-政界の変化が注目されています。.mp3]	<b>政界の変化が注目されています。</b> <br> せいかいのへんかがちゅうもくされています。 <br><br> (政) <br> Changes in the political world are being noticed.
[sound:4c-s-行政の役割は重要です。.mp3]	<b>行政の役割は重要です。</b> <br> ぎょうせいのやくわりはじゅうようです。 <br><br> (行政) <br> The role of administration is important.
[sound:4c-s-財政の改革が必要です。.mp3]	<b>財政の改革が必要です。</b> <br> ざいせいのかいかくがひつようです。 <br><br> (財政) <br> Fiscal reform is necessary.
[sound:4c-s-政界のニュースに興味があります。.mp3]	<b>政界のニュースに興味があります。</b> <br> せいかいのニュースにきょうみがあります。 <br><br> (政界) <br> I'm interested in political news.
[sound:4c-s-その事について詳しく話しましょう。.mp3]	<b>その事について詳しく話しましょう。</b> <br> そのことについてくわしくはなしましょう。 <br><br> (事) <br> Let's talk about that matter in detail.
[sound:4c-s-幹事が会を準備しています。.mp3]	<b>幹事が会を準備しています。</b> <br> かんじがかいをじゅんびしています。 <br><br> (幹事) <br> The organizer is preparing the event.
[sound:4c-s-新聞の記事を読みました。.mp3]	<b>新聞の記事を読みました。</b> <br> しんぶんのきじをよみました。 <br><br> (記事) <br> I read the newspaper article.
[sound:4c-s-軍事についての議論が続いています。.mp3]	<b>軍事についての議論が続いています。</b> <br> ぐんじについてのぎろんがつづいています。 <br><br> (軍事) <br> Discussions on military affairs are ongoing.
[sound:4c-s-彼が自ら計画を立てました。.mp3]	<b>彼が自ら計画を立てました。</b> <br> かれがみずからけいかくをたてました。 <br><br> (自ら) <br> He made the plan himself.
[sound:4c-s-自衛隊が救援活動を行っています。.mp3]	<b>自衛隊が救援活動を行っています。</b> <br> じえいたいがきゅうえんかつどうをおこなっています。 <br><br> (自衛隊) <br> The Self-Defense Forces are conducting rescue operations.
[sound:4c-s-自分自身を信じることが大切です。.mp3]	<b>自分自身を信じることが大切です。</b> <br> じぶんじしんをしんじることがたいせつです。 <br><br> (自身) <br> It's important to believe in yourself.
[sound:4c-s-自然の美しさを楽しんでいます。.mp3]	<b>自然の美しさを楽しんでいます。</b> <br> しぜんのうつくしさをたのしんでいます。 <br><br> (自然) <br> I'm enjoying the beauty of nature.
[sound:4c-s-彼はプロジェクトを行うことを決めました。.mp3]	<b>彼はプロジェクトを行うことを決めました。</b> <br> かれはプロジェクトをおこなうことをきめました。 <br><br> (行う) <br> He decided to carry out the project.
[sound:4c-s-彼は新しい事業を行っています。.mp3]	<b>彼は新しい事業を行っています。</b> <br> かれはあたらしいじぎょうをおこなっています。 <br><br> (行) <br> He is running a new business.
[sound:4c-s-銀行でお金を引き出しました。.mp3]	<b>銀行でお金を引き出しました。</b> <br> ぎんこうでおかねをひきだしました。 <br><br> (銀行) <br> I withdrew money at the bank.
[sound:4c-s-行政の決定が市民に影響します。.mp3]	<b>行政の決定が市民に影響します。</b> <br> ぎょうせいのけっていがしみんにえいきょうします。 <br><br> (行政) <br> Administrative decisions affect citizens.
[sound:4c-s-彼は新しい会社を設立しました。.mp3]	<b>彼は新しい会社を設立しました。</b> <br> かれはあたらしいかいしゃをせつりつしました。 <br><br> (会社) <br> He established a new company.
[sound:4c-s-社会の問題について考えました。.mp3]	<b>社会の問題について考えました。</b> <br> しゃかいのもんだいについてかんがえました。 <br><br> (社会) <br> I thought about social issues.
[sound:4c-s-社会党が政策を発表しました。.mp3]	<b>社会党が政策を発表しました。</b> <br> しゃかいとうがせいさくをはっぴょうしました。 <br><br> (社会党) <br> The Socialist Party announced its policies.
[sound:4c-s-社長が新しい戦略を考えています。.mp3]	<b>社長が新しい戦略を考えています。</b> <br> しゃちょうがあたらしいせんりゃくをかんがえています。 <br><br> (社長) <br> The president is considering a new strategy.
[sound:4c-s-彼の意見はとても興味深いです。.mp3]	<b>彼の意見はとても興味深いです。</b> <br> かれのいけんはとてもきょうみぶかいです。 <br><br> (意見) <br> His opinion is very interesting.
[sound:4c-s-会見で新しい方針が発表されました。.mp3]	<b>会見で新しい方針が発表されました。</b> <br> かいけんであたらしいほうしんがはっぴょうされました。 <br><br> (会見) <br> A new policy was announced at the press conference.
[sound:4c-s-この計画を見直す必要があります。.mp3]	<b>この計画を見直す必要があります。</b> <br> このけいかくをみなおすひつようがあります。 <br><br> (見直し) <br> We need to revise this plan.
[sound:4c-s-歴史の見方は人それぞれです。.mp3]	<b>歴史の見方は人それぞれです。</b> <br> れきしのみかたはひとそれぞれです。 <br><br> (見方) <br> Everyone has their own perspective on history.
[sound:4c-s-一月は寒いです。.mp3]	<b>一月は寒いです。</b> <br> いちがつはさむいです。 <br><br> (一月) <br> January is cold.
[sound:4c-s-九月には新学期が始まります。.mp3]	<b>九月には新学期が始まります。</b> <br> くがつにはしんがっきがはじまります。 <br><br> (九月) <br> A new school term begins in September.
[sound:4c-s-五月は気候が快適です。.mp3]	<b>五月は気候が快適です。</b> <br> ごがつはきこうがかいてきです。 <br><br> (五月) <br> May has pleasant weather.
[sound:4c-s-今月の売上が増えました。.mp3]	<b>今月の売上が増えました。</b> <br> こんげつのうりあげがふえました。 <br><br> (今月) <br> This month’s sales have increased.
[sound:4c-s-仕事を効率的に分けましょう。.mp3]	<b>仕事を効率的に分けましょう。</b> <br> しごとをこうりつてきにわけましょう。 <br><br> (分け) <br> Let's divide the work efficiently.
[sound:4c-s-チームを二つに分けました。.mp3]	<b>チームを二つに分けました。</b> <br> チームをふたつにわけました。 <br><br> (分ける) <br> I divided the team into two.
[sound:4c-s-自分の夢を追い続けています。.mp3]	<b>自分の夢を追い続けています。</b> <br> じぶんのゆめをおいつづけています。 <br><br> (自分) <br> I am chasing my own dreams.
[sound:4c-s-この本の重要な部分を読みました。.mp3]	<b>この本の重要な部分を読みました。</b> <br> このほんのじゅうようなぶぶんをよみました。 <br><br> (部分) <br> I read the important parts of this book.
[sound:4c-s-来週の会議に出席します。.mp3]	<b>来週の会議に出席します。</b> <br> らいしゅうのかいぎにしゅっせきします。 <br><br> (会議) <br> I will attend next week's meeting.
[sound:4c-s-議員が法律を議論しています。.mp3]	<b>議員が法律を議論しています。</b> <br> ぎいんがほうりつをぎろんしています。 <br><br> (議員) <br> Members of parliament are discussing the law.
[sound:4c-s-議会で新しい法案が審議されました。.mp3]	<b>議会で新しい法案が審議されました。</b> <br> ぎかいであたらしいほうあんがしんぎされました。 <br><br> (議会) <br> The new bill was discussed in the parliament.
[sound:4c-s-議長が会議を進めました。.mp3]	<b>議長が会議を進めました。</b> <br> ぎちょうがかいぎをすすめました。 <br><br> (議長) <br> The chairperson led the meeting.
[sound:4c-s-会議の後で話しましょう。.mp3]	<b>会議の後で話しましょう。</b> <br> かいぎのあとではなしましょう。 <br><br> (後) <br> Let's talk after the meeting.
[sound:4c-s-午後には天気が良くなります。.mp3]	<b>午後には天気が良くなります。</b> <br> ごごにはてんきがよくなります。 <br><br> (午後) <br> The weather will improve in the afternoon.
[sound:4c-s-彼の後ろに誰かがいます。.mp3]	<b>彼の後ろに誰かがいます。</b> <br> かれのうしろにだれかがいます。 <br><br> (後ろ) <br> There is someone behind him.
[sound:4c-s-今後の計画について話し合いましょう。.mp3]	<b>今後の計画について話し合いましょう。</b> <br> こんごのけいかくについてはなしあいましょう。 <br><br> (今後) <br> Let's discuss future plans.
[sound:4c-s-午前中に会議があります。.mp3]	<b>午前中に会議があります。</b> <br> ごぜんちゅうにかいぎがあります。 <br><br> (午前) <br> There is a meeting in the morning.
[sound:4c-s-前年より売上が増えました。.mp3]	<b>前年より売上が増えました。</b> <br> ぜんねんよりうりあげがふえました。 <br><br> (前年) <br> Sales increased compared to the previous year.
[sound:4c-s-前回の試験は難しかったです。.mp3]	<b>前回の試験は難しかったです。</b> <br> ぜんかいのしけんはむずかしかったです。 <br><br> (前回) <br> The previous exam was difficult.
[sound:4c-s-成功の前提は努力です。.mp3]	<b>成功の前提は努力です。</b> <br> せいこうのぜんていはどりょくです。 <br><br> (前提) <br> The premise of success is effort.
[sound:4c-s-民の意見を尊重すべきです。.mp3]	<b>民の意見を尊重すべきです。</b> <br> たみのいけんをそんちょうすべきです。 <br><br> (民) <br> The people's opinions should be respected.
[sound:4c-s-国民は自由を求めています。.mp3]	<b>国民は自由を求めています。</b> <br> こくみんはじゆうをもとめています。 <br><br> (国民) <br> The citizens are seeking freedom.
[sound:4c-s-市民が公園の清掃活動を行いました。.mp3]	<b>市民が公園の清掃活動を行いました。</b> <br> しみんがこうえんのせいそうかつどうをおこないました。 <br><br> (市民) <br> The citizens carried out a park cleanup.
[sound:4c-s-住民が新しい規則について話し合いました。.mp3]	<b>住民が新しい規則について話し合いました。</b> <br> じゅうみんがあたらしいきそくについてはなしあいました。 <br><br> (住民) <br> Residents discussed new regulations.
[sound:4c-s-人生を楽しく生きましょう。.mp3]	<b>人生を楽しく生きましょう。</b> <br> じんせいをたのしくいきましょう。 <br><br> (生きる) <br> Let's live life happily.
[sound:4c-s-学生たちは図書館で勉強しています。.mp3]	<b>学生たちは図書館で勉強しています。</b> <br> がくせいたちはとしょかんでべんきょうしています。 <br><br> (学生) <br> Students are studying in the library.
[sound:4c-s-健康的な生活を送りたいです。.mp3]	<b>健康的な生活を送りたいです。</b> <br> けんこうてきなせいかつをおくりたいです。 <br><br> (生活) <br> I want to lead a healthy life.
[sound:4c-s-工場で新しい製品を生産しています。.mp3]	<b>工場で新しい製品を生産しています。</b> <br> こうじょうであたらしいせいひんをせいさんしています。 <br><br> (生産) <br> The factory is producing new products.
[sound:4c-s-連絡をください。.mp3]	<b>連絡をください。</b> <br> れんらくをください。 <br><br> (連) <br> Please contact me.
[sound:4c-s-この話は環境問題に関連しています。.mp3]	<b>この話は環境問題に関連しています。</b> <br> このはなしはかんきょうもんだいにかんれんしています。 <br><br> (関連) <br> This story is related to environmental issues.
[sound:4c-s-国連は国際問題を解決するために活動しています。.mp3]	<b>国連は国際問題を解決するために活動しています。</b> <br> こくれんはこくさいもんだいをかいけつするためにかつどうしています。 <br><br> (国連) <br> The UN is working to resolve international issues.
[sound:4c-s-連合軍が作戦を開始しました。.mp3]	<b>連合軍が作戦を開始しました。</b> <br> れんごうぐんがさくせんをかいししました。 <br><br> (連合) <br> The allied forces began their operation.
[sound:4c-s-五つの質問があります。.mp3]	<b>五つの質問があります。</b> <br> いつつのしつもんがあります。 <br><br> (五) <br> There are five questions.
[sound:4c-s-五月は気持ちの良い季節です。.mp3]	<b>五月は気持ちの良い季節です。</b> <br> ごがつはきもちのよいきせつです。 <br><br> (五月) <br> May is a pleasant season.
[sound:4c-s-十五分後に会議が始まります。.mp3]	<b>十五分後に会議が始まります。</b> <br> じゅうごふんごにかいぎがはじまります。 <br><br> (十五) <br> The meeting starts in fifteen minutes.
[sound:4c-s-五輪大会が開催されます。.mp3]	<b>五輪大会が開催されます。</b> <br> ごりんたいかいがかいさいされます。 <br><br> (五輪) <br> The Olympic Games will be held.
[sound:4c-s-新しいアイデアを発表しました。.mp3]	<b>新しいアイデアを発表しました。</b> <br> あたらしいアイデアをはっぴょうしました。 <br><br> (発) <br> I announced a new idea.
[sound:4c-s-この地域で新しい技術が開発されています。.mp3]	<b>この地域で新しい技術が開発されています。</b> <br> このちいきであたらしいぎじゅつがかいはつされています。 <br><br> (開発) <br> New technologies are being developed in this area.
[sound:4c-s-会議で重要な発言がありました。.mp3]	<b>会議で重要な発言がありました。</b> <br> かいぎでじゅうようなはつげんがありました。 <br><br> (発言) <br> There was an important statement in the meeting.
[sound:4c-s-この雑誌は毎月発行されます。.mp3]	<b>この雑誌は毎月発行されます。</b> <br> このざっしはまいつきはっこうされます。 <br><br> (発行) <br> This magazine is published every month.
[sound:4c-s-二つの駅の間に公園があります。.mp3]	<b>二つの駅の間に公園があります。</b> <br> ふたつのえきのあいだにこうえんがあります。 <br><br> (間) <br> There is a park between the two stations.
[sound:4c-s-間もなく電車が到着します。.mp3]	<b>間もなく電車が到着します。</b> <br> まもなくでんしゃがとうちゃくします。 <br><br> (間もなく) <br> The train will arrive soon.
[sound:4c-s-試験期間中は忙しいです。.mp3]	<b>試験期間中は忙しいです。</b> <br> しけんきかんちゅうはいそがしいです。 <br><br> (期間) <br> The exam period is busy.
[sound:4c-s-自由な時間を楽しんでいます。.mp3]	<b>自由な時間を楽しんでいます。</b> <br> じゆうなじかんをたのしんでいます。 <br><br> (時間) <br> I'm enjoying my free time.
[sound:4c-s-この問題に早く対応する必要があります。.mp3]	<b>この問題に早く対応する必要があります。</b> <br> このもんだいにはやくたいおうするひつようがあります。 <br><br> (対応) <br> We need to respond quickly to this problem.
[sound:4c-s-新しい環境対策が必要です。.mp3]	<b>新しい環境対策が必要です。</b> <br> あたらしいかんきょうたいさくがひつようです。 <br><br> (対策) <br> New environmental measures are needed.
[sound:4c-s-この研究の対象は学生です。.mp3]	<b>この研究の対象は学生です。</b> <br> このけんきゅうのたいしょうはがくせいです。 <br><br> (対象) <br> The subject of this research is students.
[sound:4c-s-私はその意見に反対です。.mp3]	<b>私はその意見に反対です。</b> <br> わたしはそのいけんにはんたいです。 <br><br> (反対) <br> I am opposed to that opinion.
[sound:4c-s-彼の成績が上がったり下がったりします。.mp3]	<b>彼の成績が上がったり下がったりします。</b> <br> かれのせいせきがあがったりさがったりします。 <br><br> (上がったり) <br> His grades go up and down.
[sound:4c-s-これは史上最高の記録です。.mp3]	<b>これは史上最高の記録です。</b> <br> これはしじょうさいこうのきろくです。 <br><br> (史上) <br> This is the best record in history.
[sound:4c-s-このルールは事実上、廃止されています。.mp3]	<b>このルールは事実上、廃止されています。</b> <br> このルールはじじつじょう、はいしされています。 <br><br> (事実上) <br> This rule is effectively abolished.
[sound:4c-s-価格を上げました。.mp3]	<b>価格を上げました。</b> <br> かかくをあげました。 <br><br> (上げ) <br> I raised the price.
[sound:4c-s-報告の一部を修正しました。.mp3]	<b>報告の一部を修正しました。</b> <br> ほうこくのいちぶをしゅうせいしました。 <br><br> (一部) <br> I revised part of the report.
[sound:4c-s-幹部が会議に出席しました。.mp3]	<b>幹部が会議に出席しました。</b> <br> かんぶがかいぎにしゅっせきしました。 <br><br> (幹部) <br> Executives attended the meeting.
[sound:4c-s-部長が新しいプロジェクトを発表しました。.mp3]	<b>部長が新しいプロジェクトを発表しました。</b> <br> ぶちょうがあたらしいプロジェクトをはっぴょうしました。 <br><br> (部長) <br> The department head announced a new project.
[sound:4c-s-この計画の重要な部分を説明します。.mp3]	<b>この計画の重要な部分を説明します。</b> <br> このけいかくのじゅうようなぶぶんをせつめいします。 <br><br> (部分) <br> I will explain the important parts of this plan.
[sound:4c-s-東の空が明るくなってきました。.mp3]	<b>東の空が明るくなってきました。</b> <br> ひがしのそらがあかるくなってきました。 <br><br> (東) <br> The eastern sky is getting brighter.
[sound:4c-s-東京は日本の首都です。.mp3]	<b>東京は日本の首都です。</b> <br> とうきょうはにほんのしゅとです。 <br><br> (東京) <br> Tokyo is the capital of Japan.
[sound:4c-s-中東のニュースを読んでいます。.mp3]	<b>中東のニュースを読んでいます。</b> <br> ちゅうとうのニュースをよんでいます。 <br><br> (中東) <br> I'm reading Middle East news.
[sound:4c-s-東海地方は美しい海があります。.mp3]	<b>東海地方は美しい海があります。</b> <br> とうかいちほうはうつくしいうみがあります。 <br><br> (東海) <br> The Tokai region has beautiful seas.
[sound:4c-s-病院には多くの患者がいます。.mp3]	<b>病院には多くの患者がいます。</b> <br> びょういんにはおおくのかんじゃがいます。 <br><br> (患者) <br> There are many patients in the hospital.
[sound:4c-s-関係者が会議に出席しました。.mp3]	<b>関係者が会議に出席しました。</b> <br> かんけいしゃがかいぎにしゅっせきしました。 <br><br> (関係者) <br> Stakeholders attended the meeting.
[sound:4c-s-記者が事件を報道しました。.mp3]	<b>記者が事件を報道しました。</b> <br> きしゃがじけんをほうどうしました。 <br><br> (記者) <br> The journalist reported the incident.
[sound:4c-s-業者と契約を結びました。.mp3]	<b>業者と契約を結びました。</b> <br> ぎょうしゃとけいやくをむすびました。 <br><br> (業者) <br> I signed a contract with the vendor.
[sound:4c-s-党の新しい方針が発表されました。.mp3]	<b>党の新しい方針が発表されました。</b> <br> とうのあたらしいほうしんがはっぴょうされました。 <br><br> (党) <br> The party’s new policy was announced.
[sound:4c-s-共産党の活動について調べました。.mp3]	<b>共産党の活動について調べました。</b> <br> きょうさんとうのかつどうについてしらべました。 <br><br> (共産党) <br> I researched the Communist Party’s activities.
